Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,exchange,marketState,twoHundredDayAverageChangePercent,exchangeDataDelayedBy,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,epsForward,priceHint,epsCurrentYear,priceEpsCurrentYear,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry
t0,IMBI,33511000.0,21362700,,,-3363000,3280000,-3228000,40683000,46007000,-2051000,-2051000,,-1313000,,,,15000,113203000,115254000,67196000,-1312000,,-3378000,-3228000,11942000.0,495972000.0,183068000.0,45453000.0,228000.0,31941000.0,231801000.0,164000.0,20143000.0,-450683000.0,6207000.0,403000.0,14946000.0,126259000.0,2714000.0,44301000.0,175155000.0,56601000.0,49995000.0,74522000.0,54941000.0,-16545000,-5578000,-706000,20256000,-3639000,21224000,-539000,-15217000,3117000,-517000,6050000,-262000,-5701000,-2078000,48896000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,5.9,1630526402,-0.059999943,6.02,6.0987,5.86,80073,"iMedia Brands, Inc.",NCM,PRE,-0.22555238,0,False,False,-1.0067104,5.86 - 6.0987,5.96,0.0,0.0,32,9,finmb_104117,NasdaqCM,"iMedia Brands, Inc.",USD,213529,174828,1.97,0.50127226,3.93 - 10.48,-4.5799994,-0.43702286,3.93,10.48,1576108800,1621945800,1637587800,1637933400,-0.771,-0.39,2,-0.75,-7.866667,2.774,6.6237144,-0.72371435,-0.1092611,7.6183333,-1.7183332,126039936,-15.128206,2.1268926,15,America/New_York,EDT,-14400000,1.9,,,10.48,3.93,6.62,7.62,213.53k,174.83k,21.36M,,14.27M,13.08%,21.49%,56.46k,0.79,0.41%,0.34%,61.73k,,,,,,0.00%,"Dec 11, 2019",,1:10,"Dec 11, 2019","Jan 29, 2021","Apr 30, 2021",-2.04%,-0.82%,-1.08%,-31.24%,471.54M,37.56,18.10%,167.05M,7.49M,-9.63M,-0.77,,14.95M,0.91,53.65M,110.08,1.39,2.77,-25.4M,-3.18M,Value,55344-3433,Consumer Cyclical,645,"iMedia Brands, Inc. operates as a multiplatform interactive video and digital commerce company in the United States. It operates through two segments, ShopHQ and Emerging. The company markets, sells, and distributes products to consumers through television, website, mobile, social media, and over-the-top platforms in various merchandise categories, such as jewelry and watches, which include silver, gold, and gemstones to simulated diamonds; home and consumer electronics comprising home d̩cor, cookware, kitchen electrics, tabletop accessories, and home furnishings; beauty and wellness products, such as skincare, cosmetics, hair care, and bath and body products; and fashion and accessories, including apparel, outerwear, intimates, handbags, accessories, and footwear. It has access to approximately 80 million homes primarily on cable and satellite systems, as well as offers its products through online at OurGalleria.com and TheCloseout.com. The company was formerly known as EVINE Live Inc. and changed its name to iMedia Brands, Inc. in July 2019. iMedia Brands, Inc. was incorporated in 1990 and is headquartered in Eden Prairie, Minnesota.",Eden Prairie,952 943 6000,MN,1609372800,United States,http://www.imediabrands.com,86400,6740 Shady Oak Road,Internet Retail
t-1,IMBI,17663000.0,21362700,,,-2697000,3280000,-2712000,37998000,44390000,-930000,-930000,,-1317000,,,,15000,124797000,125727000,80407000,-1767000,,-2712000,-2712000,9387000.0,474375000.0,199587000.0,27050000.0,243000.0,43476000.0,226637000.0,130000.0,22474000.0,-447455000.0,8190000.0,417000.0,15485000.0,140066000.0,2714000.0,43104000.0,173729000.0,61951000.0,50666000.0,68715000.0,77995000.0,-379000,-1212000,794000,612000,-112000,21224000,-3477000,-2877000,2717000,2951000,-8412000,-182000,-2542000,-1212000,33663000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,5.9,1630526402,-0.059999943,6.02,6.0987,5.86,80073,"iMedia Brands, Inc.",NCM,PRE,-0.22555238,0,False,False,-1.0067104,5.86 - 6.0987,5.96,0.0,0.0,32,9,finmb_104117,NasdaqCM,"iMedia Brands, Inc.",USD,213529,174828,1.97,0.50127226,3.93 - 10.48,-4.5799994,-0.43702286,3.93,10.48,1576108800,1621945800,1637587800,1637933400,-0.771,-0.39,2,-0.75,-7.866667,2.774,6.6237144,-0.72371435,-0.1092611,7.6183333,-1.7183332,126039936,-15.128206,2.1268926,15,America/New_York,EDT,-14400000,1.9,,,10.48,3.93,6.62,7.62,213.53k,174.83k,21.36M,,14.27M,13.08%,21.49%,56.46k,0.79,0.41%,0.34%,61.73k,,,,,,0.00%,"Dec 11, 2019",,1:10,"Dec 11, 2019","Jan 29, 2021","Apr 30, 2021",-2.04%,-0.82%,-1.08%,-31.24%,471.54M,37.56,18.10%,167.05M,7.49M,-9.63M,-0.77,,14.95M,0.91,53.65M,110.08,1.39,2.77,-25.4M,-3.18M,Value,55344-3433,Consumer Cyclical,645,"iMedia Brands, Inc. operates as a multiplatform interactive video and digital commerce company in the United States. It operates through two segments, ShopHQ and Emerging. The company markets, sells, and distributes products to consumers through television, website, mobile, social media, and over-the-top platforms in various merchandise categories, such as jewelry and watches, which include silver, gold, and gemstones to simulated diamonds; home and consumer electronics comprising home d̩cor, cookware, kitchen electrics, tabletop accessories, and home furnishings; beauty and wellness products, such as skincare, cosmetics, hair care, and bath and body products; and fashion and accessories, including apparel, outerwear, intimates, handbags, accessories, and footwear. It has access to approximately 80 million homes primarily on cable and satellite systems, as well as offers its products through online at OurGalleria.com and TheCloseout.com. The company was formerly known as EVINE Live Inc. and changed its name to iMedia Brands, Inc. in July 2019. iMedia Brands, Inc. was incorporated in 1990 and is headquartered in Eden Prairie, Minnesota.",Eden Prairie,952 943 6000,MN,1609372800,United States,http://www.imediabrands.com,86400,6740 Shady Oak Road,Internet Retail
t-2,IMBI,22696000.0,21362700,,,-4733000,3280000,-4748000,36177000,40814000,-3340000,-3340000,,-1339000,,,,15000,109025000,112365000,68211000,-1393000,,-4748000,-4748000,6338000.0,473647000.0,189765000.0,29034000.0,284000.0,26298000.0,218799000.0,130000.0,17828000.0,-444743000.0,4868000.0,583000.0,18962000.0,134310000.0,2714000.0,44927000.0,166951000.0,53539000.0,49836000.0,71666000.0,81168000.0,-7174000,-1153000,-2205000,13577000,-212000,16043000,259000,-12165000,2763000,-10039000,4598000,-261000,-3592000,-1153000,32641000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,5.9,1630526402,-0.059999943,6.02,6.0987,5.86,80073,"iMedia Brands, Inc.",NCM,PRE,-0.22555238,0,False,False,-1.0067104,5.86 - 6.0987,5.96,0.0,0.0,32,9,finmb_104117,NasdaqCM,"iMedia Brands, Inc.",USD,213529,174828,1.97,0.50127226,3.93 - 10.48,-4.5799994,-0.43702286,3.93,10.48,1576108800,1621945800,1637587800,1637933400,-0.771,-0.39,2,-0.75,-7.866667,2.774,6.6237144,-0.72371435,-0.1092611,7.6183333,-1.7183332,126039936,-15.128206,2.1268926,15,America/New_York,EDT,-14400000,1.9,,,10.48,3.93,6.62,7.62,213.53k,174.83k,21.36M,,14.27M,13.08%,21.49%,56.46k,0.79,0.41%,0.34%,61.73k,,,,,,0.00%,"Dec 11, 2019",,1:10,"Dec 11, 2019","Jan 29, 2021","Apr 30, 2021",-2.04%,-0.82%,-1.08%,-31.24%,471.54M,37.56,18.10%,167.05M,7.49M,-9.63M,-0.77,,14.95M,0.91,53.65M,110.08,1.39,2.77,-25.4M,-3.18M,Value,55344-3433,Consumer Cyclical,645,"iMedia Brands, Inc. operates as a multiplatform interactive video and digital commerce company in the United States. It operates through two segments, ShopHQ and Emerging. The company markets, sells, and distributes products to consumers through television, website, mobile, social media, and over-the-top platforms in various merchandise categories, such as jewelry and watches, which include silver, gold, and gemstones to simulated diamonds; home and consumer electronics comprising home d̩cor, cookware, kitchen electrics, tabletop accessories, and home furnishings; beauty and wellness products, such as skincare, cosmetics, hair care, and bath and body products; and fashion and accessories, including apparel, outerwear, intimates, handbags, accessories, and footwear. It has access to approximately 80 million homes primarily on cable and satellite systems, as well as offers its products through online at OurGalleria.com and TheCloseout.com. The company was formerly known as EVINE Live Inc. and changed its name to iMedia Brands, Inc. in July 2019. iMedia Brands, Inc. was incorporated in 1990 and is headquartered in Eden Prairie, Minnesota.",Eden Prairie,952 943 6000,MN,1609372800,United States,http://www.imediabrands.com,86400,6740 Shady Oak Road,Internet Retail
t-3,IMBI,7617000.0,21362700,,,1069000,3280000,1054000,36664000,46292000,2786000,2786000,,-1402000,,,,15000,124515000,121729000,78223000,-1717000,,1054000,1049000,9829000.0,457340000.0,202331000.0,17446000.0,324000.0,28655000.0,219777000.0,101000.0,21242000.0,-439995000.0,8736000.0,514000.0,18703000.0,141052000.0,2714000.0,45733000.0,163701000.0,58137000.0,52006000.0,61627000.0,79812000.0,-2513000,-1361000,-3476000,-998000,509000,2500000,2498000,4857000,2738000,2327000,-3320000,-22000,-1088000,-1361000,22649000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,us_market,5.9,1630526402,-0.059999943,6.02,6.0987,5.86,80073,"iMedia Brands, Inc.",NCM,PRE,-0.22555238,0,False,False,-1.0067104,5.86 - 6.0987,5.96,0.0,0.0,32,9,finmb_104117,NasdaqCM,"iMedia Brands, Inc.",USD,213529,174828,1.97,0.50127226,3.93 - 10.48,-4.5799994,-0.43702286,3.93,10.48,1576108800,1621945800,1637587800,1637933400,-0.771,-0.39,2,-0.75,-7.866667,2.774,6.6237144,-0.72371435,-0.1092611,7.6183333,-1.7183332,126039936,-15.128206,2.1268926,15,America/New_York,EDT,-14400000,1.9,,,10.48,3.93,6.62,7.62,213.53k,174.83k,21.36M,,14.27M,13.08%,21.49%,56.46k,0.79,0.41%,0.34%,61.73k,,,,,,0.00%,"Dec 11, 2019",,1:10,"Dec 11, 2019","Jan 29, 2021","Apr 30, 2021",-2.04%,-0.82%,-1.08%,-31.24%,471.54M,37.56,18.10%,167.05M,7.49M,-9.63M,-0.77,,14.95M,0.91,53.65M,110.08,1.39,2.77,-25.4M,-3.18M,Value,55344-3433,Consumer Cyclical,645,"iMedia Brands, Inc. operates as a multiplatform interactive video and digital commerce company in the United States. It operates through two segments, ShopHQ and Emerging. The company markets, sells, and distributes products to consumers through television, website, mobile, social media, and over-the-top platforms in various merchandise categories, such as jewelry and watches, which include silver, gold, and gemstones to simulated diamonds; home and consumer electronics comprising home d̩cor, cookware, kitchen electrics, tabletop accessories, and home furnishings; beauty and wellness products, such as skincare, cosmetics, hair care, and bath and body products; and fashion and accessories, including apparel, outerwear, intimates, handbags, accessories, and footwear. It has access to approximately 80 million homes primarily on cable and satellite systems, as well as offers its products through online at OurGalleria.com and TheCloseout.com. The company was formerly known as EVINE Live Inc. and changed its name to iMedia Brands, Inc. in July 2019. iMedia Brands, Inc. was incorporated in 1990 and is headquartered in Eden Prairie, Minnesota.",Eden Prairie,952 943 6000,MN,1609372800,United States,http://www.imediabrands.com,86400,6740 Shady Oak Road,Internet Retail
