Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,totalCurrentAssets,accountsPayable,netReceivables,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,changeToNetincome,changeToOperatingActivities,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,currency,esgPopulated,tradeable,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,shortName,exchange,trailingPE,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,address2
t0,GPIW,-60403.0,19908800,,,-23904,,-26925,23904,0,-23904,-23904,,,,,,0,0,23904,0,0,-3021,-23904,-26925,4681285.0,60993.0,-60403.0,10697.0,590.0,7977.0,355.0,-4724573.0,-25092.0,235.0,60993.0,-25092.0,590.0,49296.0,,22904.0,1000.0,1000.0,-161.0,41.0,-1202.0,2819.0,,,-60403.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.014998 - 0.014998,0.014998,0.0,0.0,0,0,finmb_52557410,Other OTC,"Grand Perfecta, Inc.",USD,1807,0,0.0049980003,0.49980006,0.01 - 0.05,-0.035002,-0.70004,0.01,0.05,USD,False,False,us_market,0.014998,1628711788,0.0,0.014998,0.014998,0.014998,1000,PREPRE,GRAND PERFECTA INC,PNK,0.21123943,0.071,0,-0.008,0.014285714,0.00071228575,0.04986,0.021376811,-0.006378811,-0.2983986,298592,-1.8747499,15,America/New_York,EDT,-14400000,4,1.28,,,0.05,0.01,0.0143,0.0214,1.81k,,19.91M,,3.9M,5.43%,0.00%,,,,,,,,,,,0.00%,,,,,"Jul 30, 2019","Oct 30, 2019",0.00%,0.00%,-924.85%,,,,,,,451.6k,0.0710,,235,0,1k,,0.01,-0.01,-26.28k,-671.26k,Value,89706,Communication Services,1,"Grand Perfecta, Inc. does not have significant operations. Previously, it was engaged in gathering, publishing, and disseminating horse racing information and other content related to horse racing in Japan. The company was formerly known as STI Holdings, Inc. and changed its name to Grand Perfecta, Inc. in May 2013. Grand Perfecta, Inc. was incorporated in 2002 and is based in Carson City, Nevada.",Carson City,212-324-1876,NV,United States,http://www.grandperfecta.com,86400,123 West Nye Lane,Publishing,Suite 129
t-1,GPIW,-33587.0,19908800,,,-23904,,0,23904,0,0,-23904,,,,,,0,0,0,0,0,-3021,-23904,-26925,4681285.0,34338.0,-33587.0,7946.0,751.0,7977.0,516.0,-4697648.0,-25201.0,235.0,34338.0,-25201.0,751.0,17392.0,,0.0,1000.0,1000.0,-161.0,41.0,-1202.0,2819.0,,,-33587.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.014998 - 0.014998,0.014998,0.0,0.0,0,0,finmb_52557410,Other OTC,"Grand Perfecta, Inc.",USD,1807,0,0.0049980003,0.49980006,0.01 - 0.05,-0.035002,-0.70004,0.01,0.05,USD,False,False,us_market,0.014998,1628711788,0.0,0.014998,0.014998,0.014998,1000,PREPRE,GRAND PERFECTA INC,PNK,0.21123943,0.071,0,-0.008,0.014285714,0.00071228575,0.04986,0.021376811,-0.006378811,-0.2983986,298592,-1.8747499,15,America/New_York,EDT,-14400000,4,1.28,,,0.05,0.01,0.0143,0.0214,1.81k,,19.91M,,3.9M,5.43%,0.00%,,,,,,,,,,,0.00%,,,,,"Jul 30, 2019","Oct 30, 2019",0.00%,0.00%,-924.85%,,,,,,,451.6k,0.0710,,235,0,1k,,0.01,-0.01,-26.28k,-671.26k,Value,89706,Communication Services,1,"Grand Perfecta, Inc. does not have significant operations. Previously, it was engaged in gathering, publishing, and disseminating horse racing information and other content related to horse racing in Japan. The company was formerly known as STI Holdings, Inc. and changed its name to Grand Perfecta, Inc. in May 2013. Grand Perfecta, Inc. was incorporated in 2002 and is based in Carson City, Nevada.",Carson City,212-324-1876,NV,United States,http://www.grandperfecta.com,86400,123 West Nye Lane,Publishing,Suite 129
t-2,GPIW,-36714.0,19908800,,,574732,,574732,26783,1515,-25268,-25268,,,,,,0,24202,49470,22687,600000,-3021,574732,574732,4594285.0,52637.0,-36714.0,12623.0,15923.0,4977.0,,-4613949.0,-22027.0,2452.0,52637.0,-22027.0,15923.0,29114.0,6444.0,10551.0,10900.0,10900.0,-3477.0,-43.0,-14334.0,-600000.0,-1886.0,262.0,-36714.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.014998 - 0.014998,0.014998,0.0,0.0,0,0,finmb_52557410,Other OTC,"Grand Perfecta, Inc.",USD,1807,0,0.0049980003,0.49980006,0.01 - 0.05,-0.035002,-0.70004,0.01,0.05,USD,False,False,us_market,0.014998,1628711788,0.0,0.014998,0.014998,0.014998,1000,PREPRE,GRAND PERFECTA INC,PNK,0.21123943,0.071,0,-0.008,0.014285714,0.00071228575,0.04986,0.021376811,-0.006378811,-0.2983986,298592,-1.8747499,15,America/New_York,EDT,-14400000,4,1.28,,,0.05,0.01,0.0143,0.0214,1.81k,,19.91M,,3.9M,5.43%,0.00%,,,,,,,,,,,0.00%,,,,,"Jul 30, 2019","Oct 30, 2019",0.00%,0.00%,-924.85%,,,,,,,451.6k,0.0710,,235,0,1k,,0.01,-0.01,-26.28k,-671.26k,Value,89706,Communication Services,1,"Grand Perfecta, Inc. does not have significant operations. Previously, it was engaged in gathering, publishing, and disseminating horse racing information and other content related to horse racing in Japan. The company was formerly known as STI Holdings, Inc. and changed its name to Grand Perfecta, Inc. in May 2013. Grand Perfecta, Inc. was incorporated in 2002 and is based in Carson City, Nevada.",Carson City,212-324-1876,NV,United States,http://www.grandperfecta.com,86400,123 West Nye Lane,Publishing,Suite 129
t-3,GPIW,-611694.0,19908800,,,-9903,,-10533,11786,1882,-9904,-9904,,,,,,630,37180,47084,35298,1,-3021,-10533,-10533,4594285.0,629735.0,-611694.0,11206.0,18041.0,4977.0,,-5188681.0,-22275.0,5929.0,629735.0,-22275.0,18041.0,618529.0,6856.0,-2162.0,10900.0,10900.0,-12095.0,9.0,-12104.0,-600000.0,-5141.0,99.0,-611694.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.014998 - 0.014998,0.014998,0.0,0.0,0,0,finmb_52557410,Other OTC,"Grand Perfecta, Inc.",USD,1807,0,0.0049980003,0.49980006,0.01 - 0.05,-0.035002,-0.70004,0.01,0.05,USD,False,False,us_market,0.014998,1628711788,0.0,0.014998,0.014998,0.014998,1000,PREPRE,GRAND PERFECTA INC,PNK,0.21123943,0.071,0,-0.008,0.014285714,0.00071228575,0.04986,0.021376811,-0.006378811,-0.2983986,298592,-1.8747499,15,America/New_York,EDT,-14400000,4,1.28,,,0.05,0.01,0.0143,0.0214,1.81k,,19.91M,,3.9M,5.43%,0.00%,,,,,,,,,,,0.00%,,,,,"Jul 30, 2019","Oct 30, 2019",0.00%,0.00%,-924.85%,,,,,,,451.6k,0.0710,,235,0,1k,,0.01,-0.01,-26.28k,-671.26k,Value,89706,Communication Services,1,"Grand Perfecta, Inc. does not have significant operations. Previously, it was engaged in gathering, publishing, and disseminating horse racing information and other content related to horse racing in Japan. The company was formerly known as STI Holdings, Inc. and changed its name to Grand Perfecta, Inc. in May 2013. Grand Perfecta, Inc. was incorporated in 2002 and is based in Carson City, Nevada.",Carson City,212-324-1876,NV,United States,http://www.grandperfecta.com,86400,123 West Nye Lane,Publishing,Suite 129
