Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,otherCurrentAssets,cash,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeInCash,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,currency,shortName,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,exchangeDataDelayedBy,priceHint,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,state,country,maxAge,address1,industry,address2
t0,HNTHF,757996.0,148740992,,,-608525,,-607876,349246,179619,-658779,-658779,1819,-191114,,,,-649,617205,1275984,437586,50254,,-607876,-607876,1062154.0,15858725.0,757996.0,16616721.0,16367915.0,-18571972.0,746769.0,1899899.0,14838310.0,1899899.0,16320031.0,296690.0,227444.0,273646.0,1693332.0,,,0.0,-1194470.0,2189125.0,2134428.0,-309486.0,-939958.0,388553.0,-838937.0,-54697.0,-414046.0,-355533.0,,,-14541620.0,en-US,US,EQUITY,False,Delayed Quote,USD,HIGH NORTH RESOURCES LTD,0.0,14874,0.009090909,15,America/New_York,EDT,-14400000,False,False,PRE,0,4,0.0001,1629382638,0.0,0.0001,0.0001,0.0001,1000,PNK,us_market,0.0,1.0E-4 - 1.0E-4,0.0001,finmb_127660463,Other OTC,High North Resources Ltd.,CAD,0,0,0.0,0.0,1.0E-4 - 1.0E-4,0.0,0.0,0.0001,0.0001,-0.188,0.011,0.0001,0.0,0.0,0.0001,0.0,32.38,,,0.0001,0.0001,0.0001,0.0001,,,148.74M,,,,,,,,,,,,,,,,,,,,"Sep 29, 2014","Jun 29, 2015",0.00%,-328.04%,-41.68%,-265.77%,4.32M,0.07,-65.80%,2.59M,-6.44M,-14.98M,-0.1880,,,,13.42M,1770.28,0.02,0.01,-3.7M,-11.12M,Value,T2P 3N9,,"High North Resources Ltd. engages in the acquisition, exploration, development, and production of oil and gas properties in Canada. It holds interests in various undeveloped land properties located in Girouxville and McLean areas of Alberta. The company was founded in 2010 and is based in Calgary, Canada.",Calgary,AB,Canada,86400,350-7th Avenue SW,,Suite 3400
t-1,HNTHF,1234803.0,148740992,,,-2854132,,-2709447,455661,-9958,-2131742,-2131742,1997,-556785,,,,-144685,564601,2696343,574559,-722390,,-2709447,-2709447,957150.0,15497664.0,1234803.0,16732467.0,16369594.0,-17964096.0,765145.0,1872155.0,14732519.0,1872155.0,16366373.0,366094.0,272024.0,,3779563.0,9614.0,,0.0,-2105527.0,2285853.0,2544375.0,-154617.0,-1061114.0,1660660.0,-710791.0,258522.0,-74023.0,-1394736.0,-622266.0,,-14366425.0,en-US,US,EQUITY,False,Delayed Quote,USD,HIGH NORTH RESOURCES LTD,0.0,14874,0.009090909,15,America/New_York,EDT,-14400000,False,False,PRE,0,4,0.0001,1629382638,0.0,0.0001,0.0001,0.0001,1000,PNK,us_market,0.0,1.0E-4 - 1.0E-4,0.0001,finmb_127660463,Other OTC,High North Resources Ltd.,CAD,0,0,0.0,0.0,1.0E-4 - 1.0E-4,0.0,0.0,0.0001,0.0001,-0.188,0.011,0.0001,0.0,0.0,0.0001,0.0,32.38,,,0.0001,0.0001,0.0001,0.0001,,,148.74M,,,,,,,,,,,,,,,,,,,,"Sep 29, 2014","Jun 29, 2015",0.00%,-328.04%,-41.68%,-265.77%,4.32M,0.07,-65.80%,2.59M,-6.44M,-14.98M,-0.1880,,,,13.42M,1770.28,0.02,0.01,-3.7M,-11.12M,Value,T2P 3N9,,"High North Resources Ltd. engages in the acquisition, exploration, development, and production of oil and gas properties in Canada. It holds interests in various undeveloped land properties located in Girouxville and McLean areas of Alberta. The company was founded in 2010 and is based in Calgary, Canada.",Calgary,AB,Canada,86400,350-7th Avenue SW,,Suite 3400
t-2,HNTHF,3969919.0,148740992,,,-7111015,,-6892593,659096,340738,-6522449,-6522449,1821,-563952,,,,-218422,1484593,8007042,1143855,-588566,,-6892593,-6892593,937635.0,14089797.0,3969919.0,18059716.0,16402304.0,-15254649.0,886909.0,1884629.0,13202888.0,1884629.0,16607798.0,1451918.0,545587.0,,4600984.0,225927.0,622266.0,0.0,-4358368.0,2285853.0,1787692.0,-164713.0,-1068870.0,4947029.0,-2033677.0,-407883.0,820288.0,-2324691.0,-3639546.0,2195575.0,-11750970.0,en-US,US,EQUITY,False,Delayed Quote,USD,HIGH NORTH RESOURCES LTD,0.0,14874,0.009090909,15,America/New_York,EDT,-14400000,False,False,PRE,0,4,0.0001,1629382638,0.0,0.0001,0.0001,0.0001,1000,PNK,us_market,0.0,1.0E-4 - 1.0E-4,0.0001,finmb_127660463,Other OTC,High North Resources Ltd.,CAD,0,0,0.0,0.0,1.0E-4 - 1.0E-4,0.0,0.0,0.0001,0.0001,-0.188,0.011,0.0001,0.0,0.0,0.0001,0.0,32.38,,,0.0001,0.0001,0.0001,0.0001,,,148.74M,,,,,,,,,,,,,,,,,,,,"Sep 29, 2014","Jun 29, 2015",0.00%,-328.04%,-41.68%,-265.77%,4.32M,0.07,-65.80%,2.59M,-6.44M,-14.98M,-0.1880,,,,13.42M,1770.28,0.02,0.01,-3.7M,-11.12M,Value,T2P 3N9,,"High North Resources Ltd. engages in the acquisition, exploration, development, and production of oil and gas properties in Canada. It holds interests in various undeveloped land properties located in Girouxville and McLean areas of Alberta. The company was founded in 2010 and is based in Calgary, Canada.",Calgary,AB,Canada,86400,350-7th Avenue SW,,Suite 3400
t-3,HNTHF,9033295.0,148740992,,,-4767149,,-4767149,677965,768133,-4869925,-4869925,1307,-563952,,,,0,1657114,6527039,888981,102776,,-4767149,-4767149,810112.0,16324654.0,9033295.0,25357949.0,14700610.0,-8362056.0,711919.0,1884629.0,15612735.0,1884629.0,20004142.0,5353807.0,609749.0,,7077479.0,447046.0,4261812.0,0.0,-1353337.0,2285853.0,3773872.0,915721.0,-631614.0,744125.0,-278867.0,728330.0,2922616.0,-1074470.0,1788921.0,3045542.0,-10258928.0,en-US,US,EQUITY,False,Delayed Quote,USD,HIGH NORTH RESOURCES LTD,0.0,14874,0.009090909,15,America/New_York,EDT,-14400000,False,False,PRE,0,4,0.0001,1629382638,0.0,0.0001,0.0001,0.0001,1000,PNK,us_market,0.0,1.0E-4 - 1.0E-4,0.0001,finmb_127660463,Other OTC,High North Resources Ltd.,CAD,0,0,0.0,0.0,1.0E-4 - 1.0E-4,0.0,0.0,0.0001,0.0001,-0.188,0.011,0.0001,0.0,0.0,0.0001,0.0,32.38,,,0.0001,0.0001,0.0001,0.0001,,,148.74M,,,,,,,,,,,,,,,,,,,,"Sep 29, 2014","Jun 29, 2015",0.00%,-328.04%,-41.68%,-265.77%,4.32M,0.07,-65.80%,2.59M,-6.44M,-14.98M,-0.1880,,,,13.42M,1770.28,0.02,0.01,-3.7M,-11.12M,Value,T2P 3N9,,"High North Resources Ltd. engages in the acquisition, exploration, development, and production of oil and gas properties in Canada. It holds interests in various undeveloped land properties located in Girouxville and McLean areas of Alberta. The company was founded in 2010 and is based in Calgary, Canada.",Calgary,AB,Canada,86400,350-7th Avenue SW,,Suite 3400
