Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,longTermDebt,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,otherCashflowsFromInvestingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,currency,esgPopulated,tradeable,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,shortName,exchange,dividendDate,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,GBPT,-13422590.0,8588680,,,-7171502,3090001,-7033313,2236249,-247435,-2500754,-2500754,,-2431707,,,,0,1325133,3825887,1572568,-4670748,,-7171502,-7033313,14653990.0,19275640.0,15970464.0,1231400.0,3726089.0,20291865.0,858.0,-18045098.0,3779000.0,24028.0,308422.0,12075847.0,461955.0,4975243.0,638604.0,254435.0,4058635.0,,1048323.0,-25000.0,536260.0,536260.0,-48551.0,35580.0,-475680.0,671997.0,180473.0,2430943.0,-25000.0,,,-11437243.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.01 - 0.01,0.01,0.0,0.0,0,0,finmb_275611207,Other OTC,"Globe Photos, Inc.",USD,623,0,0.009699999,32.33333,3.0E-4 - 1.0,-0.99,-0.99,0.0003,1.0,USD,False,False,us_market,0.01,1628616565,0.0,0.0121,0.01,0.01,1,POST,GLOBE PHOTOS INC,PNK,1559779200,-1.559,0,0.143,0.32251388,-0.3125139,-0.9689936,0.103163384,-0.093163386,-0.9030664,85886,0.06993006,15,America/New_York,EDT,-14400000,4,2.09,,,1.0,0.0003,0.3225,0.1032,623,,8.59M,,8.59M,58.96%,0.00%,,,,,,,,,,,0.00%,"Jun 05, 2019",,1:40,"Jun 05, 2019","Dec 30, 2018","Sep 29, 2019",-194.76%,-171.72%,-57.52%,-424.71%,6.64M,0.80,570.90%,577.45k,-8.74M,-12.93M,-1.5590,,308.42k,0.04,4.41M,101.97,0.05,0.14,-2.66M,7.04M,Value,89113,Consumer Cyclical,48,"Globe Photos, Inc. acquires, sells, licenses, and merchandises classic and contemporary limited edition photographic images and reproductions, with a focus on iconic celebrity images in the United States. The company offers its products through auctions, third-party galleries, art consultants, interior decorators, bricks and mortar locations, and specialty and big box retailers, as well as directly to consumers and through various online outlets. It also produces, sells, and licenses sports prints, lithographs, and other related items. Globe Photos, Inc. is headquartered in Las Vegas, Nevada.",Las Vegas,702-722-6113,NV,1546214400,United States,http://www.globephotos.com,86400,6445 South Tenaya Way,702-442-2747,Internet Retail,Suite B130
t-1,GBPT,-12863053.0,8588680,,,-3471829,3228190,-3380835,2462880,-125772,-2614310,-2614310,,-847519,,,,0,1607269,4221579,1733041,-867519,,-3471829,-3380835,15054453.0,13202328.0,15658344.0,2191400.0,3141634.0,21077934.0,857.0,-11011785.0,3779000.0,19528.0,272842.0,11770334.0,465695.0,5250629.0,753324.0,434908.0,3041804.0,,566407.0,-572500.0,169326.0,1460611.0,-14692.0,-105172.0,-993283.0,657608.0,-66888.0,515367.0,-87500.0,1291285.0,-485000.0,-11017010.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.01 - 0.01,0.01,0.0,0.0,0,0,finmb_275611207,Other OTC,"Globe Photos, Inc.",USD,623,0,0.009699999,32.33333,3.0E-4 - 1.0,-0.99,-0.99,0.0003,1.0,USD,False,False,us_market,0.01,1628616565,0.0,0.0121,0.01,0.01,1,POST,GLOBE PHOTOS INC,PNK,1559779200,-1.559,0,0.143,0.32251388,-0.3125139,-0.9689936,0.103163384,-0.093163386,-0.9030664,85886,0.06993006,15,America/New_York,EDT,-14400000,4,2.09,,,1.0,0.0003,0.3225,0.1032,623,,8.59M,,8.59M,58.96%,0.00%,,,,,,,,,,,0.00%,"Jun 05, 2019",,1:40,"Jun 05, 2019","Dec 30, 2018","Sep 29, 2019",-194.76%,-171.72%,-57.52%,-424.71%,6.64M,0.80,570.90%,577.45k,-8.74M,-12.93M,-1.5590,,308.42k,0.04,4.41M,101.97,0.05,0.14,-2.66M,7.04M,Value,89113,Consumer Cyclical,48,"Globe Photos, Inc. acquires, sells, licenses, and merchandises classic and contemporary limited edition photographic images and reproductions, with a focus on iconic celebrity images in the United States. The company offers its products through auctions, third-party galleries, art consultants, interior decorators, bricks and mortar locations, and specialty and big box retailers, as well as directly to consumers and through various online outlets. It also produces, sells, and licenses sports prints, lithographs, and other related items. Globe Photos, Inc. is headquartered in Las Vegas, Nevada.",Las Vegas,702-722-6113,NV,1546214400,United States,http://www.globephotos.com,86400,6445 South Tenaya Way,702-442-2747,Internet Retail,Suite B130
t-2,GBPT,-11745238.0,8588680,,,-3683153,3319184,-3593178,2059998,49967,-2018557,-2018557,,-1664596,,,,0,1477452,3496009,1427485,-1664596,,-3683153,-3593178,15443730.0,11328626.0,14711150.0,3698492.0,3450568.0,21728826.0,816.0,-7630950.0,3779000.0,16678.0,378014.0,10816533.0,469435.0,5463363.0,805055.0,368020.0,2488769.0,115617.0,24342.0,-56570.0,820345.0,820345.0,-49673.0,73747.0,-690028.0,662753.0,191235.0,519825.0,-25000.0,1291285.0,-485000.0,-10011478.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.01 - 0.01,0.01,0.0,0.0,0,0,finmb_275611207,Other OTC,"Globe Photos, Inc.",USD,623,0,0.009699999,32.33333,3.0E-4 - 1.0,-0.99,-0.99,0.0003,1.0,USD,False,False,us_market,0.01,1628616565,0.0,0.0121,0.01,0.01,1,POST,GLOBE PHOTOS INC,PNK,1559779200,-1.559,0,0.143,0.32251388,-0.3125139,-0.9689936,0.103163384,-0.093163386,-0.9030664,85886,0.06993006,15,America/New_York,EDT,-14400000,4,2.09,,,1.0,0.0003,0.3225,0.1032,623,,8.59M,,8.59M,58.96%,0.00%,,,,,,,,,,,0.00%,"Jun 05, 2019",,1:40,"Jun 05, 2019","Dec 30, 2018","Sep 29, 2019",-194.76%,-171.72%,-57.52%,-424.71%,6.64M,0.80,570.90%,577.45k,-8.74M,-12.93M,-1.5590,,308.42k,0.04,4.41M,101.97,0.05,0.14,-2.66M,7.04M,Value,89113,Consumer Cyclical,48,"Globe Photos, Inc. acquires, sells, licenses, and merchandises classic and contemporary limited edition photographic images and reproductions, with a focus on iconic celebrity images in the United States. The company offers its products through auctions, third-party galleries, art consultants, interior decorators, bricks and mortar locations, and specialty and big box retailers, as well as directly to consumers and through various online outlets. It also produces, sells, and licenses sports prints, lithographs, and other related items. Globe Photos, Inc. is headquartered in Las Vegas, Nevada.",Las Vegas,702-722-6113,NV,1546214400,United States,http://www.globephotos.com,86400,6445 South Tenaya Way,702-442-2747,Internet Retail,Suite B130
t-3,GBPT,-9636162.0,8588680,,,1732293,3409159,1073134,4580634,319117,-4270540,-4270540,,-1291833,,,,0,2231382,6501922,1912265,6002833,,1732293,1073134,15766250.0,10114075.0,12684120.0,6130088.0,6975943.0,22223367.0,32643.0,-4016630.0,,38402.0,304267.0,12684120.0,473175.0,5533680.0,885035.0,559255.0,2462563.0,,616996.0,-674502.0,490042.0,490042.0,-10832.0,-684268.0,-499808.0,674769.0,-333003.0,-3674277.0,-24502.0,1291285.0,-485000.0,-11799085.0,en-US,US,EQUITY,False,Delayed Quote,0.0,0.01 - 0.01,0.01,0.0,0.0,0,0,finmb_275611207,Other OTC,"Globe Photos, Inc.",USD,623,0,0.009699999,32.33333,3.0E-4 - 1.0,-0.99,-0.99,0.0003,1.0,USD,False,False,us_market,0.01,1628616565,0.0,0.0121,0.01,0.01,1,POST,GLOBE PHOTOS INC,PNK,1559779200,-1.559,0,0.143,0.32251388,-0.3125139,-0.9689936,0.103163384,-0.093163386,-0.9030664,85886,0.06993006,15,America/New_York,EDT,-14400000,4,2.09,,,1.0,0.0003,0.3225,0.1032,623,,8.59M,,8.59M,58.96%,0.00%,,,,,,,,,,,0.00%,"Jun 05, 2019",,1:40,"Jun 05, 2019","Dec 30, 2018","Sep 29, 2019",-194.76%,-171.72%,-57.52%,-424.71%,6.64M,0.80,570.90%,577.45k,-8.74M,-12.93M,-1.5590,,308.42k,0.04,4.41M,101.97,0.05,0.14,-2.66M,7.04M,Value,89113,Consumer Cyclical,48,"Globe Photos, Inc. acquires, sells, licenses, and merchandises classic and contemporary limited edition photographic images and reproductions, with a focus on iconic celebrity images in the United States. The company offers its products through auctions, third-party galleries, art consultants, interior decorators, bricks and mortar locations, and specialty and big box retailers, as well as directly to consumers and through various online outlets. It also produces, sells, and licenses sports prints, lithographs, and other related items. Globe Photos, Inc. is headquartered in Las Vegas, Nevada.",Las Vegas,702-722-6113,NV,1546214400,United States,http://www.globephotos.com,86400,6445 South Tenaya Way,702-442-2747,Internet Retail,Suite B130
