Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,otherAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,currency,exchange,marketCap,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,priceHint,regularMarketChangePercent,regularMarketDayRange,market,exchangeDataDelayedBy,shortName,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry
t0,EVRRF,3121117.0,90291296,,,-862920,,-862920,461554,0,-783980,-783980,-515,-49200,,,,0,0,783980,0,-78940,,-862920,-862920,438489.0,1729870.0,3121117.0,4850987.0,7901619.0,-5281161.0,40000.0,62170.0,267760.0,849655.0,62170.0,3914613.0,936374.0,88278.0,716738.0,197553.0,771972.0,,-966.0,-58426.0,-15000.0,-39976.0,-22342.0,-634759.0,-536357.0,64273.0,57.0,-52201.0,-24976.0,337799.0,-58483.0,,,86719.0,en-US,US,EQUITY,False,Delayed Quote,0.0583,1630078271,0.0,0.0583,0.0583,0.0583,15000,USD,PNK,5263982,-14400000,False,False,REGULAR,4,0.0,0.0583 - 0.0583,us_market,0,MOLECULE HOLDINGS INC,0.0583,0.0,0.0,0,0,finmb_610754575,Other OTC,Molecule Holdings Inc.,CAD,3890,2566,0.0567,35.4375,0.0016 - 0.13,-0.07169999,-0.5515384,0.0016,0.13,1600300800,-0.038,0.035,0.06441944,-0.0061194412,-0.0949937,0.08377518,-0.025475178,-0.3040898,1.6657143,15,America/New_York,EDT,,,,0.13,0.0016,0.0644,0.0838,3.89k,2.57k,90.29M,,77.92M,17.14%,0.00%,,,,,,,,,,,0.00%,"Sep 16, 2020",,1:5,"Feb 24, 2014","Oct 30, 2020","Jan 30, 2021",0.00%,0.00%,,-99.30%,,,,,-2.03M,-3.69M,-0.0380,,477.68k,0,885.5k,28.37,1.10,0.04,-1M,,Value,K0E 1L0,Healthcare,"Molecule Holdings Inc. engages in production and co-packing of cannabis-infused beverages. The company is based in Lansdowne, Canada.",Lansdowne,ON,1609372800,Canada,http://www.molecule.ca,86400,591 Reynolds Road,Drug Manufacturers—Specialty & Generic
t-1,EVRRF,3436574.0,90291296,,,-2146737,,-2146737,443563,0,-660205,-660205,-515,-26726,,,,0,0,660205,0,-1486532,,-2146737,-2146737,466012.0,2010407.0,3436574.0,5446981.0,7333619.0,-4418241.0,40000.0,55184.0,902519.0,1137342.0,55184.0,3920403.0,1526578.0,103081.0,697625.0,145352.0,955133.0,,-14613.0,-46979.0,1010000.0,850857.0,-48290.0,294538.0,-509340.0,11994.0,115740.0,-52201.0,-159143.0,296174.0,-481122.0,47063.0,-2874.0,389236.0,en-US,US,EQUITY,False,Delayed Quote,0.0583,1630078271,0.0,0.0583,0.0583,0.0583,15000,USD,PNK,5263982,-14400000,False,False,REGULAR,4,0.0,0.0583 - 0.0583,us_market,0,MOLECULE HOLDINGS INC,0.0583,0.0,0.0,0,0,finmb_610754575,Other OTC,Molecule Holdings Inc.,CAD,3890,2566,0.0567,35.4375,0.0016 - 0.13,-0.07169999,-0.5515384,0.0016,0.13,1600300800,-0.038,0.035,0.06441944,-0.0061194412,-0.0949937,0.08377518,-0.025475178,-0.3040898,1.6657143,15,America/New_York,EDT,,,,0.13,0.0016,0.0644,0.0838,3.89k,2.57k,90.29M,,77.92M,17.14%,0.00%,,,,,,,,,,,0.00%,"Sep 16, 2020",,1:5,"Feb 24, 2014","Oct 30, 2020","Jan 30, 2021",0.00%,0.00%,,-99.30%,,,,,-2.03M,-3.69M,-0.0380,,477.68k,0,885.5k,28.37,1.10,0.04,-1M,,Value,K0E 1L0,Healthcare,"Molecule Holdings Inc. engages in production and co-packing of cannabis-infused beverages. The company is based in Lansdowne, Canada.",Lansdowne,ON,1609372800,Canada,http://www.molecule.ca,86400,591 Reynolds Road,Drug Manufacturers—Specialty & Generic
t-2,EVRRF,3415799.0,90291296,,,-366047,,-366047,286412,0,-360362,-360362,-515,-5685,,,,0,0,360362,0,-5685,,-366047,-366047,245331.0,970793.0,3415799.0,4386592.0,5441972.0,-2271504.0,40000.0,,607981.0,783742.0,,3451275.0,820115.0,35666.0,,145352.0,722546.0,115202.0,92498.0,-98254.0,-15000.0,-15000.0,85955.0,-124281.0,-11027.0,11994.0,191877.0,-52201.0,-159143.0,67641.0,-290131.0,47063.0,96932.0,36373.0,en-US,US,EQUITY,False,Delayed Quote,0.0583,1630078271,0.0,0.0583,0.0583,0.0583,15000,USD,PNK,5263982,-14400000,False,False,REGULAR,4,0.0,0.0583 - 0.0583,us_market,0,MOLECULE HOLDINGS INC,0.0583,0.0,0.0,0,0,finmb_610754575,Other OTC,Molecule Holdings Inc.,CAD,3890,2566,0.0567,35.4375,0.0016 - 0.13,-0.07169999,-0.5515384,0.0016,0.13,1600300800,-0.038,0.035,0.06441944,-0.0061194412,-0.0949937,0.08377518,-0.025475178,-0.3040898,1.6657143,15,America/New_York,EDT,,,,0.13,0.0016,0.0644,0.0838,3.89k,2.57k,90.29M,,77.92M,17.14%,0.00%,,,,,,,,,,,0.00%,"Sep 16, 2020",,1:5,"Feb 24, 2014","Oct 30, 2020","Jan 30, 2021",0.00%,0.00%,,-99.30%,,,,,-2.03M,-3.69M,-0.0380,,477.68k,0,885.5k,28.37,1.10,0.04,-1M,,Value,K0E 1L0,Healthcare,"Molecule Holdings Inc. engages in production and co-packing of cannabis-infused beverages. The company is based in Lansdowne, Canada.",Lansdowne,ON,1609372800,Canada,http://www.molecule.ca,86400,591 Reynolds Road,Drug Manufacturers—Specialty & Generic
t-3,EVRRF,3689890.0,90291296,,,-317917,,-317917,390945,0,-314813,-314813,-96932,-5958,,,,0,0,314813,0,-3104,,-317917,-317917,183375.0,917610.0,3689890.0,4607500.0,5411972.0,-1905457.0,40000.0,,732262.0,719290.0,,3378381.0,1127283.0,206311.0,,145352.0,660048.0,101836.0,335814.0,-619868.0,-15000.0,-15000.0,107528.0,-582847.0,52021.0,11994.0,2854.0,-376.0,-159143.0,11910.0,-622722.0,47063.0,-96932.0,407993.0,en-US,US,EQUITY,False,Delayed Quote,0.0583,1630078271,0.0,0.0583,0.0583,0.0583,15000,USD,PNK,5263982,-14400000,False,False,REGULAR,4,0.0,0.0583 - 0.0583,us_market,0,MOLECULE HOLDINGS INC,0.0583,0.0,0.0,0,0,finmb_610754575,Other OTC,Molecule Holdings Inc.,CAD,3890,2566,0.0567,35.4375,0.0016 - 0.13,-0.07169999,-0.5515384,0.0016,0.13,1600300800,-0.038,0.035,0.06441944,-0.0061194412,-0.0949937,0.08377518,-0.025475178,-0.3040898,1.6657143,15,America/New_York,EDT,,,,0.13,0.0016,0.0644,0.0838,3.89k,2.57k,90.29M,,77.92M,17.14%,0.00%,,,,,,,,,,,0.00%,"Sep 16, 2020",,1:5,"Feb 24, 2014","Oct 30, 2020","Jan 30, 2021",0.00%,0.00%,,-99.30%,,,,,-2.03M,-3.69M,-0.0380,,477.68k,0,885.5k,28.37,1.10,0.04,-1M,,Value,K0E 1L0,Healthcare,"Molecule Holdings Inc. engages in production and co-packing of cannabis-infused beverages. The company is based in Lansdowne, Canada.",Lansdowne,ON,1609372800,Canada,http://www.molecule.ca,86400,591 Reynolds Road,Drug Manufacturers—Specialty & Generic
