Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,changeToNetincome,changeToAccountReceivables,changeToLiabilities,totalCashFromOperatingActivities,changeInCash,changeToOperatingActivities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,issuanceOfStock,otherCashflowsFromInvestingActivities,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,esgPopulated,tradeable,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,exchange,marketState,market,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,GCCFF,789492,18850700,,,-119489,,-119489,32501,0,-109001,-109001,,,,,,0,0,109001,0,-10488,,-119489,-119489,70132,789492,29824,859624,12638972,-13756374,1906894,154673,205870,70132,1906894,487000,217951,1081,10308,76000.0,1301.0,-14622.0,-56810.0,-56810.0,,,,,,,147819,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0039000027,0.082978785,0.047 - 0.1107,-0.059799995,-0.5401987,0.047,0.1107,-0.009,0.0,0.0509 - 0.0509,0.0509,0.0,0.0,0,0,finmb_3155771,Other OTC,Golden Cariboo Resources Ltd.,CAD,53,0,0.024,0.05699722,-0.00609722,-0.10697398,0.06588623,-0.014986228,-0.22745615,1248180,2.1208334,15,America/New_York,EDT,-14400000,4,PNK,POST,us_market,GOLDEN CARIBOO RESOURCES,0.0509,1628786814,0.0,0.0509,0.0509,0.0509,700,0.88,,,0.1107,0.047,0.057,0.0659,53,,18.85M,,22.34M,32.53%,0.00%,,,,,,,,,,,,,,,,"Sep 29, 2020","Mar 30, 2021",0.00%,0.00%,-27.62%,-51.78%,,,,,,-333.32k,-0.0090,,205.87k,0.01,,,3.11,0.02,-145.02k,-149.79k,Value,V6C 2T7,,"Golden Cariboo Resources Ltd., an exploration stage junior mining company, engages in the identification, acquisition, and exploration of mineral properties in Canada. The company holds interest in the Quesnelle Gold Quartz Mine property, which includes 20 mineral claims covering 3,794.8 hectares located in the Cariboo Mining Division of British Columbia. Golden Cariboo Resources Ltd. was incorporated in 1987 and is headquartered in Vancouver, Canada.",Vancouver,604-682-2928,BC,1609372800,Canada,http://www.goldencariboo.com,86400,750 West Pender Street,604-685-6905,,Suite 804
t-1,GCCFF,832981,18850700,,,-104230,,-104230,59491,0,-100691,-100691,,,,,,0,0,100691,0,-3539,,-104230,-104230,84755,832981,27932,917736,12638972,-13636885,1830894,154673,262680,84755,1830894,487000,276063,2383,41823,40000.0,46900.0,-2233.0,-25563.0,-25563.0,-6000.0,,,,,,191308,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0039000027,0.082978785,0.047 - 0.1107,-0.059799995,-0.5401987,0.047,0.1107,-0.009,0.0,0.0509 - 0.0509,0.0509,0.0,0.0,0,0,finmb_3155771,Other OTC,Golden Cariboo Resources Ltd.,CAD,53,0,0.024,0.05699722,-0.00609722,-0.10697398,0.06588623,-0.014986228,-0.22745615,1248180,2.1208334,15,America/New_York,EDT,-14400000,4,PNK,POST,us_market,GOLDEN CARIBOO RESOURCES,0.0509,1628786814,0.0,0.0509,0.0509,0.0509,700,0.88,,,0.1107,0.047,0.057,0.0659,53,,18.85M,,22.34M,32.53%,0.00%,,,,,,,,,,,,,,,,"Sep 29, 2020","Mar 30, 2021",0.00%,0.00%,-27.62%,-51.78%,,,,,,-333.32k,-0.0090,,205.87k,0.01,,,3.11,0.02,-145.02k,-149.79k,Value,V6C 2T7,,"Golden Cariboo Resources Ltd., an exploration stage junior mining company, engages in the identification, acquisition, and exploration of mineral properties in Canada. The company holds interest in the Quesnelle Gold Quartz Mine property, which includes 20 mineral claims covering 3,794.8 hectares located in the Cariboo Mining Division of British Columbia. Golden Cariboo Resources Ltd. was incorporated in 1987 and is headquartered in Vancouver, Canada.",Vancouver,604-682-2928,BC,1609372800,Canada,http://www.goldencariboo.com,86400,750 West Pender Street,604-685-6905,,Suite 804
t-2,GCCFF,897211,18850700,,,-86813,,-86813,54488,0,-86932,-86932,,,,,,0,0,86932,0,119,,-86813,-86813,86987,897211,60371,984198,12638972,-13532655,1790894,154673,288243,86987,1790894,487000,342525,49282,13470,19689.0,-48991.0,54458.0,-61657.0,286969.0,-6000.0,-140524.0,489150.0,489150.0,-60524.0,-80000.0,255538,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0039000027,0.082978785,0.047 - 0.1107,-0.059799995,-0.5401987,0.047,0.1107,-0.009,0.0,0.0509 - 0.0509,0.0509,0.0,0.0,0,0,finmb_3155771,Other OTC,Golden Cariboo Resources Ltd.,CAD,53,0,0.024,0.05699722,-0.00609722,-0.10697398,0.06588623,-0.014986228,-0.22745615,1248180,2.1208334,15,America/New_York,EDT,-14400000,4,PNK,POST,us_market,GOLDEN CARIBOO RESOURCES,0.0509,1628786814,0.0,0.0509,0.0509,0.0509,700,0.88,,,0.1107,0.047,0.057,0.0659,53,,18.85M,,22.34M,32.53%,0.00%,,,,,,,,,,,,,,,,"Sep 29, 2020","Mar 30, 2021",0.00%,0.00%,-27.62%,-51.78%,,,,,,-333.32k,-0.0090,,205.87k,0.01,,,3.11,0.02,-145.02k,-149.79k,Value,V6C 2T7,,"Golden Cariboo Resources Ltd., an exploration stage junior mining company, engages in the identification, acquisition, and exploration of mineral properties in Canada. The company holds interest in the Quesnelle Gold Quartz Mine property, which includes 20 mineral claims covering 3,794.8 hectares located in the Cariboo Mining Division of British Columbia. Golden Cariboo Resources Ltd. was incorporated in 1987 and is headquartered in Vancouver, Canada.",Vancouver,604-682-2928,BC,1609372800,Canada,http://www.goldencariboo.com,86400,750 West Pender Street,604-685-6905,,Suite 804
t-3,GCCFF,475185,18850700,,,-22784,,-22784,19108,0,-19471,-19471,,,,,,0,0,19471,0,-3313,,-22784,-22784,93053,475185,15575,568238,12162480,-13445842,1758547,154673,1274,93053,1758547,407000,6565,291,14903,19689.0,1007.0,20250.0,-992.0,888.0,535.0,1880.0,489150.0,489150.0,1880.0,-80000.0,-86488,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.0039000027,0.082978785,0.047 - 0.1107,-0.059799995,-0.5401987,0.047,0.1107,-0.009,0.0,0.0509 - 0.0509,0.0509,0.0,0.0,0,0,finmb_3155771,Other OTC,Golden Cariboo Resources Ltd.,CAD,53,0,0.024,0.05699722,-0.00609722,-0.10697398,0.06588623,-0.014986228,-0.22745615,1248180,2.1208334,15,America/New_York,EDT,-14400000,4,PNK,POST,us_market,GOLDEN CARIBOO RESOURCES,0.0509,1628786814,0.0,0.0509,0.0509,0.0509,700,0.88,,,0.1107,0.047,0.057,0.0659,53,,18.85M,,22.34M,32.53%,0.00%,,,,,,,,,,,,,,,,"Sep 29, 2020","Mar 30, 2021",0.00%,0.00%,-27.62%,-51.78%,,,,,,-333.32k,-0.0090,,205.87k,0.01,,,3.11,0.02,-145.02k,-149.79k,Value,V6C 2T7,,"Golden Cariboo Resources Ltd., an exploration stage junior mining company, engages in the identification, acquisition, and exploration of mineral properties in Canada. The company holds interest in the Quesnelle Gold Quartz Mine property, which includes 20 mineral claims covering 3,794.8 hectares located in the Cariboo Mining Division of British Columbia. Golden Cariboo Resources Ltd. was incorporated in 1987 and is headquartered in Vancouver, Canada.",Vancouver,604-682-2928,BC,1609372800,Canada,http://www.goldencariboo.com,86400,750 West Pender Street,604-685-6905,,Suite 804
