Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,totalCurrentAssets,shortTermInvestments,netReceivables,accountsPayable,otherLiab,otherAssets,investments,changeToLiabilities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,otherCashflowsFromInvestingActivities,changeToNetincome,totalCashflowsFromInvestingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,exchange,exchangeDataDelayedBy,marketState,twoHundredDayAverageChangePercent,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,market,priceHint,regularMarketChangePercent,regularMarketDayRange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,EDWZF,-1228091.0,38673600,,,-77778,,-77778,25847,0,-25847,-25847,,,,,,0,0,25847,0,-51931,,-77778,-77778,2101325.0,-1228091.0,2076854.0,873234.0,31278895.0,-45147008.0,12640022.0,389637.0,2101325.0,12640022.0,873234.0,469044.0,3606.0,24471.0,,,-6932.0,-5439.0,2488.0,-54547.0,-22426.0,-32122.0,6932.0,48607.0,,-1228091.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.1794,finmb_38782646,Other OTC,Edgewater Exploration Ltd.,CAD,193,0,0.060399994,0.507563,0.119 - 0.205,-0.025600001,-0.12487806,0.119,0.205,1478736000,-0.002,-0.032,0.16922222,0.010177776,0.060144443,0.18060145,-0.0012014508,6938043,-5.60625,15,America/New_York,EDT,-14400000,False,False,PNK,0,REGULAR,-0.006652498,EDGEWATER EXPLORATION LTD,0.1794,1629141250,0.0,0.1794,0.1794,0.1794,250,us_market,4,0.0,0.1794 - 0.1794,0.61,,,0.205,0.119,0.1692,0.1806,193,,38.67M,,28.25M,32.58%,0.00%,,,,,,,,,,,0.00%,"Nov 09, 2016",,1:4,"Nov 09, 2016","Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-5.05%,,,,,,,-83.95k,-0.0020,,858.68k,0.02,,,0.42,-0.03,-98.96k,-69.41k,Value,V7X 1J1,Basic Materials,"Edgewater Exploration Ltd., together with its subsidiaries, engages in the acquisition, exploration, evaluation, and development of mineral resource properties. The company was founded in 2007 and is headquartered in Vancouver, Canada.",Vancouver,604 628 1010,BC,1609372800,Canada,http://www.edgewaterx.com,86400,595 Burrard Street,604 628 1011,Gold,Suite 413 PO Box 49167
t-1,EDWZF,-1278477.0,38673600,,,29748,,29748,11459,0,-11459,-11459,,,,,,0,0,11459,0,41207,,29748,29748,2201965.0,-1278477.0,2170643.0,923488.0,31278895.0,-45069230.0,12511858.0,444184.0,2201964.0,12511858.0,923488.0,462112.0,2412.0,31321.0,1.0,,-6932.0,8427.0,3035.0,-13980.0,-1206.0,-12775.0,6932.0,-53985.0,,-1278476.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.1794,finmb_38782646,Other OTC,Edgewater Exploration Ltd.,CAD,193,0,0.060399994,0.507563,0.119 - 0.205,-0.025600001,-0.12487806,0.119,0.205,1478736000,-0.002,-0.032,0.16922222,0.010177776,0.060144443,0.18060145,-0.0012014508,6938043,-5.60625,15,America/New_York,EDT,-14400000,False,False,PNK,0,REGULAR,-0.006652498,EDGEWATER EXPLORATION LTD,0.1794,1629141250,0.0,0.1794,0.1794,0.1794,250,us_market,4,0.0,0.1794 - 0.1794,0.61,,,0.205,0.119,0.1692,0.1806,193,,38.67M,,28.25M,32.58%,0.00%,,,,,,,,,,,0.00%,"Nov 09, 2016",,1:4,"Nov 09, 2016","Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-5.05%,,,,,,,-83.95k,-0.0020,,858.68k,0.02,,,0.42,-0.03,-98.96k,-69.41k,Value,V7X 1J1,Basic Materials,"Edgewater Exploration Ltd., together with its subsidiaries, engages in the acquisition, exploration, evaluation, and development of mineral resource properties. The company was founded in 2007 and is headquartered in Vancouver, Canada.",Vancouver,604 628 1010,BC,1609372800,Canada,http://www.edgewaterx.com,86400,595 Burrard Street,604 628 1011,Gold,Suite 413 PO Box 49167
t-2,EDWZF,-1172088.0,38673600,,,7638,,7638,1281,0,-1281,-1281,,,,,,0,0,1281,0,8919,,7638,7638,2112596.0,-1172088.0,,940508.0,31278896.0,-45098978.0,12647994.0,458164.0,2112597.0,12647994.0,940508.0,462112.0,2504.0,2112597.0,-1.0,,-6932.0,3447.0,17391.0,30415.0,9714.0,20702.0,6932.0,-7774.0,,-1172089.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.1794,finmb_38782646,Other OTC,Edgewater Exploration Ltd.,CAD,193,0,0.060399994,0.507563,0.119 - 0.205,-0.025600001,-0.12487806,0.119,0.205,1478736000,-0.002,-0.032,0.16922222,0.010177776,0.060144443,0.18060145,-0.0012014508,6938043,-5.60625,15,America/New_York,EDT,-14400000,False,False,PNK,0,REGULAR,-0.006652498,EDGEWATER EXPLORATION LTD,0.1794,1629141250,0.0,0.1794,0.1794,0.1794,250,us_market,4,0.0,0.1794 - 0.1794,0.61,,,0.205,0.119,0.1692,0.1806,193,,38.67M,,28.25M,32.58%,0.00%,,,,,,,,,,,0.00%,"Nov 09, 2016",,1:4,"Nov 09, 2016","Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-5.05%,,,,,,,-83.95k,-0.0020,,858.68k,0.02,,,0.42,-0.03,-98.96k,-69.41k,Value,V7X 1J1,Basic Materials,"Edgewater Exploration Ltd., together with its subsidiaries, engages in the acquisition, exploration, evaluation, and development of mineral resource properties. The company was founded in 2007 and is headquartered in Vancouver, Canada.",Vancouver,604 628 1010,BC,1609372800,Canada,http://www.edgewaterx.com,86400,595 Burrard Street,604 628 1011,Gold,Suite 413 PO Box 49167
t-3,EDWZF,-1180521.0,38673600,,,-43563,,-43563,34946,0,-34946,-34946,,,,,,0,0,34946,0,-8617,,-43563,-43563,2107954.0,-1180521.0,,927433.0,31278896.0,-45106616.0,12647199.0,427749.0,2107954.0,12647199.0,927432.0,462112.0,4558.0,2107954.0,,1.0,60000.0,-26981.0,-10679.0,-22239.0,-7713.0,-74764.0,238.0,6459.0,60238.0,-1180522.0,en-US,US,EQUITY,False,Delayed Quote,USD,0.1794,finmb_38782646,Other OTC,Edgewater Exploration Ltd.,CAD,193,0,0.060399994,0.507563,0.119 - 0.205,-0.025600001,-0.12487806,0.119,0.205,1478736000,-0.002,-0.032,0.16922222,0.010177776,0.060144443,0.18060145,-0.0012014508,6938043,-5.60625,15,America/New_York,EDT,-14400000,False,False,PNK,0,REGULAR,-0.006652498,EDGEWATER EXPLORATION LTD,0.1794,1629141250,0.0,0.1794,0.1794,0.1794,250,us_market,4,0.0,0.1794 - 0.1794,0.61,,,0.205,0.119,0.1692,0.1806,193,,38.67M,,28.25M,32.58%,0.00%,,,,,,,,,,,0.00%,"Nov 09, 2016",,1:4,"Nov 09, 2016","Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-5.05%,,,,,,,-83.95k,-0.0020,,858.68k,0.02,,,0.42,-0.03,-98.96k,-69.41k,Value,V7X 1J1,Basic Materials,"Edgewater Exploration Ltd., together with its subsidiaries, engages in the acquisition, exploration, evaluation, and development of mineral resource properties. The company was founded in 2007 and is headquartered in Vancouver, Canada.",Vancouver,604 628 1010,BC,1609372800,Canada,http://www.edgewaterx.com,86400,595 Burrard Street,604 628 1011,Gold,Suite 413 PO Box 49167
