Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,currency,shortName,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,exchangeDataDelayedBy,priceHint,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,DFMTF,3815934,80272896,,,-498511,,-498511,409759,0,-486399,-486399,,,,,,0,0,486399,0,-12112,,-498511,-498511,311820,3815934,247800,4127754,7457936,-4721590,1079588,999040,311820,1079588,2733618,1394136,347825,39799,65279.0,-521889.0,1553811.0,-381653.0,1589526.0,612501.0,-419421.0,-35715.0,233353.0,-521889.0,,1082316,en-US,US,EQUITY,False,Delayed Quote,USD,DEFENSE METALS CORP,-0.32938853,14826404,2.8415384,15,America/New_York,EDT,-14400000,False,False,REGULAR,0,4,0.1847,1630503157,0.003399998,0.1747,0.1847,0.1747,6020,PNK,us_market,1.8753436,0.1747 - 0.1847,0.1813,0.0,0.0,0,0,finmb_432752506,Other OTC,Defense Metals Corp.,CAD,116140,72183,0.0247,0.154375,0.16 - 0.595,-0.41030002,-0.68957984,0.16,0.595,-0.028,0.065,0.18125,0.0034499913,0.019034434,0.27542028,-0.09072028,0.55,,,0.595,0.16,0.1813,0.2754,116.14k,72.18k,80.27M,,60.71M,5.23%,2.33%,,,,,,,,,,,0.00%,,,,,"Mar 30, 2020","Dec 30, 2020",0.00%,0.00%,-30.18%,-55.40%,,,,,,-1.66M,-0.0280,,999.04k,0.02,,,4.47,0.06,-1.92M,-1.88M,Value,V6Z 2E6,Basic Materials,"Defense Metals Corp., a junior exploration company, engages in the acquisition and exploration of mineral properties in Canada. It has an option agreement to acquire the Wicheeda rare earth element project covering an area of 1,708 hectares located in British Columbia. The company was formerly known as First Legacy Mining Corp. and changed its name to Defense Metals Corp. in December 2018. The company is headquartered in Vancouver, Canada.",Vancouver,604 283 6110,BC,1609372800,Canada,http://defensemetals.com,86400,815 Hornby Street,Other Industrial Metals & Mining,Suite 605
t-1,DFMTF,2909108,80272896,,,-366659,,-366659,271327,0,-365010,-365010,,,,,,0,0,365010,0,-1649,,-366659,-366659,45649,2909108,22687,2954757,6115225,-4066365,860248,386539,45649,860248,2235951,718806,328392,15437,-11144.0,-321859.0,-950.0,1937.0,40000.0,-927010.0,-604201.0,-40950.0,87283.0,-321859.0,,673157,en-US,US,EQUITY,False,Delayed Quote,USD,DEFENSE METALS CORP,-0.32938853,14826404,2.8415384,15,America/New_York,EDT,-14400000,False,False,REGULAR,0,4,0.1847,1630503157,0.003399998,0.1747,0.1847,0.1747,6020,PNK,us_market,1.8753436,0.1747 - 0.1847,0.1813,0.0,0.0,0,0,finmb_432752506,Other OTC,Defense Metals Corp.,CAD,116140,72183,0.0247,0.154375,0.16 - 0.595,-0.41030002,-0.68957984,0.16,0.595,-0.028,0.065,0.18125,0.0034499913,0.019034434,0.27542028,-0.09072028,0.55,,,0.595,0.16,0.1813,0.2754,116.14k,72.18k,80.27M,,60.71M,5.23%,2.33%,,,,,,,,,,,0.00%,,,,,"Mar 30, 2020","Dec 30, 2020",0.00%,0.00%,-30.18%,-55.40%,,,,,,-1.66M,-0.0280,,999.04k,0.02,,,4.47,0.06,-1.92M,-1.88M,Value,V6Z 2E6,Basic Materials,"Defense Metals Corp., a junior exploration company, engages in the acquisition and exploration of mineral properties in Canada. It has an option agreement to acquire the Wicheeda rare earth element project covering an area of 1,708 hectares located in British Columbia. The company was formerly known as First Legacy Mining Corp. and changed its name to Defense Metals Corp. in December 2018. The company is headquartered in Vancouver, Canada.",Vancouver,604 283 6110,BC,1609372800,Canada,http://defensemetals.com,86400,815 Hornby Street,Other Industrial Metals & Mining,Suite 605
t-2,DFMTF,3189433,80272896,,,-196796,,-196796,225357,0,-336296,-336296,,,,,,0,0,336296,0,139500,,-196796,-196796,67075,3189433,22687,3256508,6122575,-3699707,766565,1313549,67075,766565,1924372,1332136,12774,44388,-150513.0,-79250.0,1611861.0,27330.0,1672800.0,1147365.0,-385246.0,-60939.0,-62061.0,-79250.0,,1265061,en-US,US,EQUITY,False,Delayed Quote,USD,DEFENSE METALS CORP,-0.32938853,14826404,2.8415384,15,America/New_York,EDT,-14400000,False,False,REGULAR,0,4,0.1847,1630503157,0.003399998,0.1747,0.1847,0.1747,6020,PNK,us_market,1.8753436,0.1747 - 0.1847,0.1813,0.0,0.0,0,0,finmb_432752506,Other OTC,Defense Metals Corp.,CAD,116140,72183,0.0247,0.154375,0.16 - 0.595,-0.41030002,-0.68957984,0.16,0.595,-0.028,0.065,0.18125,0.0034499913,0.019034434,0.27542028,-0.09072028,0.55,,,0.595,0.16,0.1813,0.2754,116.14k,72.18k,80.27M,,60.71M,5.23%,2.33%,,,,,,,,,,,0.00%,,,,,"Mar 30, 2020","Dec 30, 2020",0.00%,0.00%,-30.18%,-55.40%,,,,,,-1.66M,-0.0280,,999.04k,0.02,,,4.47,0.06,-1.92M,-1.88M,Value,V6Z 2E6,Basic Materials,"Defense Metals Corp., a junior exploration company, engages in the acquisition and exploration of mineral properties in Canada. It has an option agreement to acquire the Wicheeda rare earth element project covering an area of 1,708 hectares located in British Columbia. The company was formerly known as First Legacy Mining Corp. and changed its name to Defense Metals Corp. in December 2018. The company is headquartered in Vancouver, Canada.",Vancouver,604 283 6110,BC,1609372800,Canada,http://defensemetals.com,86400,815 Hornby Street,Other Industrial Metals & Mining,Suite 605
t-3,DFMTF,1836429,80272896,,,-436478,,-436478,312008,0,-406581,-406581,,,,,,0,0,406581,0,-29897,,-436478,-436478,207307,1836429,22687,2043736,4720614,-3502911,618726,166184,207307,618726,1834842,208894,9568,184620,-273532.0,-66314.0,30450.0,14569.0,59051.0,-550936.0,-515072.0,-28601.0,105856.0,-66314.0,56036.0,1587,en-US,US,EQUITY,False,Delayed Quote,USD,DEFENSE METALS CORP,-0.32938853,14826404,2.8415384,15,America/New_York,EDT,-14400000,False,False,REGULAR,0,4,0.1847,1630503157,0.003399998,0.1747,0.1847,0.1747,6020,PNK,us_market,1.8753436,0.1747 - 0.1847,0.1813,0.0,0.0,0,0,finmb_432752506,Other OTC,Defense Metals Corp.,CAD,116140,72183,0.0247,0.154375,0.16 - 0.595,-0.41030002,-0.68957984,0.16,0.595,-0.028,0.065,0.18125,0.0034499913,0.019034434,0.27542028,-0.09072028,0.55,,,0.595,0.16,0.1813,0.2754,116.14k,72.18k,80.27M,,60.71M,5.23%,2.33%,,,,,,,,,,,0.00%,,,,,"Mar 30, 2020","Dec 30, 2020",0.00%,0.00%,-30.18%,-55.40%,,,,,,-1.66M,-0.0280,,999.04k,0.02,,,4.47,0.06,-1.92M,-1.88M,Value,V6Z 2E6,Basic Materials,"Defense Metals Corp., a junior exploration company, engages in the acquisition and exploration of mineral properties in Canada. It has an option agreement to acquire the Wicheeda rare earth element project covering an area of 1,708 hectares located in British Columbia. The company was formerly known as First Legacy Mining Corp. and changed its name to Defense Metals Corp. in December 2018. The company is headquartered in Vancouver, Canada.",Vancouver,604 283 6110,BC,1609372800,Canada,http://defensemetals.com,86400,815 Hornby Street,Other Industrial Metals & Mining,Suite 605
