Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,market,currency,twoHundredDayAverageChangePercent,exchangeDataDelayedBy,marketState,exchange,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,gmtOffSetMilliseconds,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,shortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry
t0,KBEVF,-172294.0,81226600,,,-608532,,-608532,335132,1627,-342517,-342517,,-15227,,,,0,99280,441797,97653,-266015,,-608532,-608532,1443321.0,-172294.0,442740.0,1271027.0,13349314.0,-15041592.0,1519984.0,694096.0,1348566.0,1519984.0,40946.0,1029534.0,200547.0,48013.0,8704.0,137682.0,207339.0,-49507,-24637,-51747,456722,606507,-121581,149785,89747,-63903,-386208,9012,47615,-18198,330113,-2240,-319032.0,en-US,US,EQUITY,False,Delayed Quote,us_market,USD,-0.106474765,0,PRE,PNK,False,False,0.063,1630523112,0.0,0.05712,0.063,0.05712,167517,-31.499998,15,America/New_York,EDT,4,0.0,0.05712 - 0.063,0.063,0.0,0.0,0,0,finmb_419927141,Other OTC,Koios Beverage Corp.,USD,106950,228357,0.033,1.1,0.03 - 0.15,-0.087000005,-0.58,0.03,0.15,-0.031,-14400000,-0.002,0.054285713,0.0087142885,0.16052637,0.07050724,-0.0075072423,5142564,KOIOS BEVERAGE CORP,1.95,,,0.15,0.03,0.0543,0.0705,106.95k,228.36k,81.23M,,81.32M,8.81%,0.00%,,,,,,,,,,,0.00%,,,1:10,"Jan 13, 2016","May 30, 2020","Feb 27, 2021",0.00%,-381.21%,-99.19%,-328.76%,678.39k,0.01,-50.60%,124.31k,-2.58M,-2.4M,-0.0310,,694.1k,0.01,501.71k,,0.76,-0.00,-1.07M,-203.81k,Value,80204,Consumer Defensive,"Koios Beverage Corp., together with its subsidiaries, produces, markets, and sells functional beverages in the United States. The company also provides supplements and coffee products. It distributes its products through a network of approximately 4,400 retail locations and Website. The company was formerly known as Super Nova Petroleum Corp. and changed its name to Koios Beverage Corp. in April 2018. Koios Beverage Corp. was incorporated in 2012 and is headquartered in Denver, Colorado.",Denver,844 255 6467,CO,1577750400,United States,http://koiosbeveragecorp.com,86400,816 Acoma Street,Packaged Foods
t-1,KBEVF,204791.0,81226600,,,-198152,,-198152,206914,51918,-170652,-170652,,-15227,,,,0,138378,309030,86460,-27500,,-198152,-198152,706237.0,204791.0,24851.0,911028.0,13199529.0,-14433060.0,1438322.0,604349.0,674732.0,1438322.0,75312.0,835716.0,,33476.0,9609.0,185297.0,206805.0,-49507,46524,-3060,-12965,-12965,-19261,149785,-240280,17877,-242132,15656,-97563,6393,4271,-3060,160984.0,en-US,US,EQUITY,False,Delayed Quote,us_market,USD,-0.106474765,0,PRE,PNK,False,False,0.063,1630523112,0.0,0.05712,0.063,0.05712,167517,-31.499998,15,America/New_York,EDT,4,0.0,0.05712 - 0.063,0.063,0.0,0.0,0,0,finmb_419927141,Other OTC,Koios Beverage Corp.,USD,106950,228357,0.033,1.1,0.03 - 0.15,-0.087000005,-0.58,0.03,0.15,-0.031,-14400000,-0.002,0.054285713,0.0087142885,0.16052637,0.07050724,-0.0075072423,5142564,KOIOS BEVERAGE CORP,1.95,,,0.15,0.03,0.0543,0.0705,106.95k,228.36k,81.23M,,81.32M,8.81%,0.00%,,,,,,,,,,,0.00%,,,1:10,"Jan 13, 2016","May 30, 2020","Feb 27, 2021",0.00%,-381.21%,-99.19%,-328.76%,678.39k,0.01,-50.60%,124.31k,-2.58M,-2.4M,-0.0310,,694.1k,0.01,501.71k,,0.76,-0.00,-1.07M,-203.81k,Value,80204,Consumer Defensive,"Koios Beverage Corp., together with its subsidiaries, produces, markets, and sells functional beverages in the United States. The company also provides supplements and coffee products. It distributes its products through a network of approximately 4,400 retail locations and Website. The company was formerly known as Super Nova Petroleum Corp. and changed its name to Koios Beverage Corp. in April 2018. Koios Beverage Corp. was incorporated in 2012 and is headquartered in Denver, Colorado.",Denver,844 255 6467,CO,1577750400,United States,http://koiosbeveragecorp.com,86400,816 Acoma Street,Packaged Foods
t-2,KBEVF,382054.0,81226600,,,-584930,,-584930,558900,52259,-514803,-514803,,-15227,,,,0,214232,729035,161973,-70127,,-584930,-584930,632143.0,382054.0,24704.0,1014197.0,13199529.0,-14234908.0,1417433.0,844629.0,621628.0,1417433.0,41965.0,972232.0,,39869.0,10515.0,87734.0,155134.0,-49507,-254841,-3060,-8029,-8029,71929,149785,-332331,46041,-370343,8162,72019,1592,315726,-3060,350604.0,en-US,US,EQUITY,False,Delayed Quote,us_market,USD,-0.106474765,0,PRE,PNK,False,False,0.063,1630523112,0.0,0.05712,0.063,0.05712,167517,-31.499998,15,America/New_York,EDT,4,0.0,0.05712 - 0.063,0.063,0.0,0.0,0,0,finmb_419927141,Other OTC,Koios Beverage Corp.,USD,106950,228357,0.033,1.1,0.03 - 0.15,-0.087000005,-0.58,0.03,0.15,-0.031,-14400000,-0.002,0.054285713,0.0087142885,0.16052637,0.07050724,-0.0075072423,5142564,KOIOS BEVERAGE CORP,1.95,,,0.15,0.03,0.0543,0.0705,106.95k,228.36k,81.23M,,81.32M,8.81%,0.00%,,,,,,,,,,,0.00%,,,1:10,"Jan 13, 2016","May 30, 2020","Feb 27, 2021",0.00%,-381.21%,-99.19%,-328.76%,678.39k,0.01,-50.60%,124.31k,-2.58M,-2.4M,-0.0310,,694.1k,0.01,501.71k,,0.76,-0.00,-1.07M,-203.81k,Value,80204,Consumer Defensive,"Koios Beverage Corp., together with its subsidiaries, produces, markets, and sells functional beverages in the United States. The company also provides supplements and coffee products. It distributes its products through a network of approximately 4,400 retail locations and Website. The company was formerly known as Super Nova Petroleum Corp. and changed its name to Koios Beverage Corp. in April 2018. Koios Beverage Corp. was incorporated in 2012 and is headquartered in Denver, Colorado.",Denver,844 255 6467,CO,1577750400,United States,http://koiosbeveragecorp.com,86400,816 Acoma Street,Packaged Foods
t-3,KBEVF,595396.0,81226600,,,-1005924,,-1005924,758403,-128845,-901824,-901824,,-15227,,,,0,226496,1128320,355341,-104100,,-1005924,-1005924,832905.0,595396.0,23369.0,1428301.0,13137986.0,-13649978.0,1107388.0,1176960.0,821484.0,1107388.0,50127.0,1378174.0,,41461.0,11421.0,159753.0,492855.0,-49507,144490,-1,-28338,-14554,260256,13784,-225560,-144303,-66702,14576,148713,7193,363994,-1,556690.0,en-US,US,EQUITY,False,Delayed Quote,us_market,USD,-0.106474765,0,PRE,PNK,False,False,0.063,1630523112,0.0,0.05712,0.063,0.05712,167517,-31.499998,15,America/New_York,EDT,4,0.0,0.05712 - 0.063,0.063,0.0,0.0,0,0,finmb_419927141,Other OTC,Koios Beverage Corp.,USD,106950,228357,0.033,1.1,0.03 - 0.15,-0.087000005,-0.58,0.03,0.15,-0.031,-14400000,-0.002,0.054285713,0.0087142885,0.16052637,0.07050724,-0.0075072423,5142564,KOIOS BEVERAGE CORP,1.95,,,0.15,0.03,0.0543,0.0705,106.95k,228.36k,81.23M,,81.32M,8.81%,0.00%,,,,,,,,,,,0.00%,,,1:10,"Jan 13, 2016","May 30, 2020","Feb 27, 2021",0.00%,-381.21%,-99.19%,-328.76%,678.39k,0.01,-50.60%,124.31k,-2.58M,-2.4M,-0.0310,,694.1k,0.01,501.71k,,0.76,-0.00,-1.07M,-203.81k,Value,80204,Consumer Defensive,"Koios Beverage Corp., together with its subsidiaries, produces, markets, and sells functional beverages in the United States. The company also provides supplements and coffee products. It distributes its products through a network of approximately 4,400 retail locations and Website. The company was formerly known as Super Nova Petroleum Corp. and changed its name to Koios Beverage Corp. in April 2018. Koios Beverage Corp. was incorporated in 2012 and is headquartered in Denver, Colorado.",Denver,844 255 6467,CO,1577750400,United States,http://koiosbeveragecorp.com,86400,816 Acoma Street,Packaged Foods
