Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToNetincome,capitalExpenditures,changeToOperatingActivities,repurchaseOfStock,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,shortName,esgPopulated,tradeable,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchangeDataDelayedBy,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,longName,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,epsCurrentYear,priceEpsCurrentYear,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jul 30, 2019) 4","Short Ratio (Jul 30, 2019) 4","Short % of Float (Jul 30, 2019) 4","Short % of Shares Outstanding (Jul 30, 2019) 4","Shares Short (prior month Jun 27, 2019) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,address2
t0,IPIC,-149883000,7144130,,,-14923000,15992000,-9305000,5062000,6495000,-9968000,-9968000,5476000,-4832000,,,,13000,30238000,40206000,23743000,-4955000,,-14936000,-9305000,290860000,-149883000,6707000,156969000,1000,-28062000,60190000,-121822000,330000,3562000,27103000,-121822000,144562000,12077000,3266000,203567000,1233000,10323000,0.0,-7218000.0,6095000.0,6095000.0,-2464000.0,-1341000.0,4787000.0,3177000.0,-7218000.0,,,,,,,-15026000,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,IPIC ENTERTAINMENT INC,False,False,PNK,0.0852,1630512431,-0.4245,0.0852,0.0852,0.0852,165,PRE,0,4,-83.28429,0.0852 - 0.0852,0.5097,finmb_108810705,iPic Entertainment Inc.,Other OTC,USD,2587,2671,0.00019999593,0.0023528934,0.085 - 1.35,-1.2648001,-0.93688893,0.085,1.35,-4.223,-3.03,-0.028118812,-20.98,0.48705715,-0.40185714,-0.8250718,0.64322466,-0.55802464,-0.8675424,761941,-0.00406101,15,America/New_York,EDT,-14400000,0.43,,,1.35,0.085,0.4871,0.6432,2.59k,2.67k,7.14M,,7.11M,0.00%,0.00%,199.25k,10.57,17.23%,1.74%,165.96k,,,,,,0.00%,,,,,"Dec 30, 2018","Mar 30, 2019",-18.68%,-18.62%,-10.26%,,139.88M,22.61,-21.90%,42.18M,-7.8M,-26.13M,-4.2230,,3.56M,0.5,203.57M,,0.45,-20.98,-7.68M,-41.29M,Value,33432,Communication Services,250,"iPic Entertainment Inc. operates restaurants and theaters in the United States. The company operates casual restaurants, farm-to-glass full-service bars, and theater auditoriums with in-theater dining. It operates restaurants under the City Perch Kitchen + Bar, Tanzy, The Tuck Room, The Tuck Room Tavern, and iPic Express brands. As of March 31, 2019, it operated 123 screens at 16 locations in Arizona, California, Florida, Illinois, Maryland, New Jersey, New York, Texas, and Washington. The company was founded in 2010 and is headquartered in Boca Raton, Florida.",Boca Raton,561-886-3232,FL,United States,http://www.ipictheaters.com,86400,Mizner Park,Entertainment,433 Plaza Real Suite 335
t-1,IPIC,-140744000,7144130,,,-14347000,21523000,-8904000,16446000,11877000,-4012000,-4012000,3890000,-4363000,,,,-35000,41823000,45835000,29946000,-10335000,,-14312000,-8904480,277945000,-140744000,7363000,158724000,1000,-18757000,60077000,-121988000,259000,6026000,29607000,-121988000,143539000,14926000,3874000,188261000,1218000,12629000,-3667000.0,-12000000.0,11132000.0,11132000.0,2844000.0,3712000.0,4568000.0,6401000.0,-12000000.0,3895000.0,-10948000.0,-20000.0,1439000.0,10948000.0,,-14681000,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,IPIC ENTERTAINMENT INC,False,False,PNK,0.0852,1630512431,-0.4245,0.0852,0.0852,0.0852,165,PRE,0,4,-83.28429,0.0852 - 0.0852,0.5097,finmb_108810705,iPic Entertainment Inc.,Other OTC,USD,2587,2671,0.00019999593,0.0023528934,0.085 - 1.35,-1.2648001,-0.93688893,0.085,1.35,-4.223,-3.03,-0.028118812,-20.98,0.48705715,-0.40185714,-0.8250718,0.64322466,-0.55802464,-0.8675424,761941,-0.00406101,15,America/New_York,EDT,-14400000,0.43,,,1.35,0.085,0.4871,0.6432,2.59k,2.67k,7.14M,,7.11M,0.00%,0.00%,199.25k,10.57,17.23%,1.74%,165.96k,,,,,,0.00%,,,,,"Dec 30, 2018","Mar 30, 2019",-18.68%,-18.62%,-10.26%,,139.88M,22.61,-21.90%,42.18M,-7.8M,-26.13M,-4.2230,,3.56M,0.5,203.57M,,0.45,-20.98,-7.68M,-41.29M,Value,33432,Communication Services,250,"iPic Entertainment Inc. operates restaurants and theaters in the United States. The company operates casual restaurants, farm-to-glass full-service bars, and theater auditoriums with in-theater dining. It operates restaurants under the City Perch Kitchen + Bar, Tanzy, The Tuck Room, The Tuck Room Tavern, and iPic Express brands. As of March 31, 2019, it operated 123 screens at 16 locations in Arizona, California, Florida, Illinois, Maryland, New Jersey, New York, Texas, and Washington. The company was founded in 2010 and is headquartered in Boca Raton, Florida.",Boca Raton,561-886-3232,FL,United States,http://www.ipictheaters.com,86400,Mizner Park,Entertainment,433 Plaza Real Suite 335
t-2,IPIC,-132105000,7144130,,,-12107000,26827000,-6835000,4256000,7871000,-7702000,-7702000,6413000,-4203000,,,,22000,31742000,39444000,23871000,-4405000,,-12129000,-6833024,254968000,-132105000,5568000,149690000,1000,-9853000,51795000,-122253000,243000,3182000,26611000,-122253000,140184000,9263000,3421000,176562000,1109000,9837000,0.0,-4842000.0,7643000.0,7643000.0,-3460000.0,-6261000.0,4614000.0,-4042000.0,-5092000.0,3895000.0,-10948000.0,-20000.0,1439000.0,10948000.0,250000.0,-17348000,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,IPIC ENTERTAINMENT INC,False,False,PNK,0.0852,1630512431,-0.4245,0.0852,0.0852,0.0852,165,PRE,0,4,-83.28429,0.0852 - 0.0852,0.5097,finmb_108810705,iPic Entertainment Inc.,Other OTC,USD,2587,2671,0.00019999593,0.0023528934,0.085 - 1.35,-1.2648001,-0.93688893,0.085,1.35,-4.223,-3.03,-0.028118812,-20.98,0.48705715,-0.40185714,-0.8250718,0.64322466,-0.55802464,-0.8675424,761941,-0.00406101,15,America/New_York,EDT,-14400000,0.43,,,1.35,0.085,0.4871,0.6432,2.59k,2.67k,7.14M,,7.11M,0.00%,0.00%,199.25k,10.57,17.23%,1.74%,165.96k,,,,,,0.00%,,,,,"Dec 30, 2018","Mar 30, 2019",-18.68%,-18.62%,-10.26%,,139.88M,22.61,-21.90%,42.18M,-7.8M,-26.13M,-4.2230,,3.56M,0.5,203.57M,,0.45,-20.98,-7.68M,-41.29M,Value,33432,Communication Services,250,"iPic Entertainment Inc. operates restaurants and theaters in the United States. The company operates casual restaurants, farm-to-glass full-service bars, and theater auditoriums with in-theater dining. It operates restaurants under the City Perch Kitchen + Bar, Tanzy, The Tuck Room, The Tuck Room Tavern, and iPic Express brands. As of March 31, 2019, it operated 123 screens at 16 locations in Arizona, California, Florida, Illinois, Maryland, New Jersey, New York, Texas, and Washington. The company was founded in 2010 and is headquartered in Boca Raton, Florida.",Boca Raton,561-886-3232,FL,United States,http://www.ipictheaters.com,86400,Mizner Park,Entertainment,433 Plaza Real Suite 335
t-3,IPIC,-173115000,7144130,,,-8539000,79315000,-1027000,4812000,12160000,-4360000,-4360000,7161000,-3897000,,,,22000,37519000,41879000,25359000,-4179000,,-8561000,-1026864,245678000,-173115000,6115000,151878000,1000,-3020000,52285000,-170096000,491000,6642000,25014000,-170096000,138134000,13253000,3409000,168379000,1205000,10450000,0.0,-2508000.0,-443000.0,-443000.0,-6737000.0,-3786000.0,4278000.0,-6978000.0,-2508000.0,3895000.0,-10948000.0,-20000.0,1439000.0,10948000.0,250000.0,-11761000,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,IPIC ENTERTAINMENT INC,False,False,PNK,0.0852,1630512431,-0.4245,0.0852,0.0852,0.0852,165,PRE,0,4,-83.28429,0.0852 - 0.0852,0.5097,finmb_108810705,iPic Entertainment Inc.,Other OTC,USD,2587,2671,0.00019999593,0.0023528934,0.085 - 1.35,-1.2648001,-0.93688893,0.085,1.35,-4.223,-3.03,-0.028118812,-20.98,0.48705715,-0.40185714,-0.8250718,0.64322466,-0.55802464,-0.8675424,761941,-0.00406101,15,America/New_York,EDT,-14400000,0.43,,,1.35,0.085,0.4871,0.6432,2.59k,2.67k,7.14M,,7.11M,0.00%,0.00%,199.25k,10.57,17.23%,1.74%,165.96k,,,,,,0.00%,,,,,"Dec 30, 2018","Mar 30, 2019",-18.68%,-18.62%,-10.26%,,139.88M,22.61,-21.90%,42.18M,-7.8M,-26.13M,-4.2230,,3.56M,0.5,203.57M,,0.45,-20.98,-7.68M,-41.29M,Value,33432,Communication Services,250,"iPic Entertainment Inc. operates restaurants and theaters in the United States. The company operates casual restaurants, farm-to-glass full-service bars, and theater auditoriums with in-theater dining. It operates restaurants under the City Perch Kitchen + Bar, Tanzy, The Tuck Room, The Tuck Room Tavern, and iPic Express brands. As of March 31, 2019, it operated 123 screens at 16 locations in Arizona, California, Florida, Illinois, Maryland, New Jersey, New York, Texas, and Washington. The company was founded in 2010 and is headquartered in Boca Raton, Florida.",Boca Raton,561-886-3232,FL,United States,http://www.ipictheaters.com,86400,Mizner Park,Entertainment,433 Plaza Real Suite 335
