Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,longTermDebt,inventory,accountsPayable,netReceivables,shortLongTermDebt,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeInCash,totalCashFromOperatingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,changeToOperatingActivities,depreciation,dividendsPaid,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,priceHint,shortName,exchange,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,exchangeDataDelayedBy,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,marketState,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Dec 14, 2009) 4","Short Ratio (Dec 14, 2009) 4","Short % of Float (Dec 14, 2009) 4","Short % of Shares Outstanding (Dec 14, 2009) 4","Shares Short (prior month Nov 12, 2009) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,HABC,5755000.0,2818590,,,-1439000,,-1439000,1901000,2556000,0,-695000,1350000,,,,,0,2556000,3251000,0,-744000,,-1439000,-1439000,13490000.0,386566000.0,5755000.0,396284000.0,2819000.0,6254000.0,-10297000.0,1340000.0,-257000.0,246029000.0,28640000.0,347226000.0,-257000.0,11830000.0,74663000.0,63762000.0,38000000.0,39769000.0,334196000.0,,,-1410000.0,0.0,8034000.0,-725000.0,-10823000.0,-1860000.0,929000.0,-10098000.0,2368000.0,,,,,,-272563000.0,en-US,US,EQUITY,False,Delayed Quote,0.019,1630343914,0.0,0.019,0.019,0.019,9000,0.0068788724,0.56751096,58907,0.009304603,15,America/New_York,EDT,-14400000,False,False,USD,4,HABERSHAM BANCORP INC,PNK,2.042,0.011805556,0.0071944436,0.60941166,0.012121127,0,finmb_353984,Other OTC,Habersham Bancorp,USD,3965,14163,0.0178,14.833332,0.0012 - 0.105,-0.085999995,-0.81904763,0.0012,0.105,-8.316,PREPRE,0.0,0.019 - 0.019,0.019,0.0,0.0,0,0,us_market,2.32,,,0.105,0.0012,0.0118,0.0121,3.96k,14.16k,2.82M,,,,,42.04k,30.62,,1.49%,42.24k,,,,,,0.00%,,"Aug 26, 2008",,,"Dec 30, 2009","Sep 29, 2010",0.00%,-205.39%,-5.28%,-105.94%,4.46M,1.58,,-1.23M,,-23.44M,-8.3160,,28.64M,10.16,49.79M,,,2.04,-904.65k,,Value,30531,Financial Services,104,"Habersham Bancorp does not have significant operations. Previously, the company, operated as the bank holding company for Habersham Bank that provided commercial banking services to businesses and individuals in Habersham, White, Cherokee, Warren, Stephens, Forsyth, and Hall Counties in Georgia. Habersham Bancorp was founded in 1904 and is based in Cornelia, Georgia.",Cornelia,706-778-1000,GA,1135987200,United States,http://www.habcorp.com,86400,Historic Highway 441 North,706-778-6886,Banks—Regional,PO Box 1980
t-1,HABC,7695000.0,2818590,,,-2566000,,-2566000,1901000,1287000,0,-1878000,1264000,,,,,0,1287000,3165000,0,-688000,,-2566000,-2566000,13490000.0,397600000.0,7695000.0,409258000.0,2819000.0,6614000.0,-8858000.0,1351000.0,244000.0,254877000.0,30500000.0,358249000.0,244000.0,12008000.0,79626000.0,62747000.0,38000000.0,40587000.0,344141000.0,1925000.0,,16981000.0,0.0,24310000.0,1116000.0,-24392000.0,-36000.0,46000.0,-25508000.0,2612000.0,-13000.0,,,,,-278623000.0,en-US,US,EQUITY,False,Delayed Quote,0.019,1630343914,0.0,0.019,0.019,0.019,9000,0.0068788724,0.56751096,58907,0.009304603,15,America/New_York,EDT,-14400000,False,False,USD,4,HABERSHAM BANCORP INC,PNK,2.042,0.011805556,0.0071944436,0.60941166,0.012121127,0,finmb_353984,Other OTC,Habersham Bancorp,USD,3965,14163,0.0178,14.833332,0.0012 - 0.105,-0.085999995,-0.81904763,0.0012,0.105,-8.316,PREPRE,0.0,0.019 - 0.019,0.019,0.0,0.0,0,0,us_market,2.32,,,0.105,0.0012,0.0118,0.0121,3.96k,14.16k,2.82M,,,,,42.04k,30.62,,1.49%,42.24k,,,,,,0.00%,,"Aug 26, 2008",,,"Dec 30, 2009","Sep 29, 2010",0.00%,-205.39%,-5.28%,-105.94%,4.46M,1.58,,-1.23M,,-23.44M,-8.3160,,28.64M,10.16,49.79M,,,2.04,-904.65k,,Value,30531,Financial Services,104,"Habersham Bancorp does not have significant operations. Previously, the company, operated as the bank holding company for Habersham Bank that provided commercial banking services to businesses and individuals in Habersham, White, Cherokee, Warren, Stephens, Forsyth, and Hall Counties in Georgia. Habersham Bancorp was founded in 1904 and is based in Cornelia, Georgia.",Cornelia,706-778-1000,GA,1135987200,United States,http://www.habcorp.com,86400,Historic Highway 441 North,706-778-6886,Banks—Regional,PO Box 1980
t-2,HABC,10299000.0,2818590,,,-2471000,,-2471000,2021000,973000,0,-2139000,1091000,,,,,0,973000,3112000,0,-332000,,-2471000,-2471000,13490000.0,422056000.0,10299000.0,436318000.0,2819000.0,6651000.0,-6293000.0,1185000.0,283000.0,268586000.0,30536000.0,382871000.0,283000.0,12180000.0,76044000.0,79508000.0,38000000.0,36932000.0,369405000.0,1925000.0,,-1911000.0,0.0,4499000.0,4543000.0,-16212000.0,-11979000.0,-266000.0,-20755000.0,2205000.0,-4000.0,92000.0,,,,-306827000.0,en-US,US,EQUITY,False,Delayed Quote,0.019,1630343914,0.0,0.019,0.019,0.019,9000,0.0068788724,0.56751096,58907,0.009304603,15,America/New_York,EDT,-14400000,False,False,USD,4,HABERSHAM BANCORP INC,PNK,2.042,0.011805556,0.0071944436,0.60941166,0.012121127,0,finmb_353984,Other OTC,Habersham Bancorp,USD,3965,14163,0.0178,14.833332,0.0012 - 0.105,-0.085999995,-0.81904763,0.0012,0.105,-8.316,PREPRE,0.0,0.019 - 0.019,0.019,0.0,0.0,0,0,us_market,2.32,,,0.105,0.0012,0.0118,0.0121,3.96k,14.16k,2.82M,,,,,42.04k,30.62,,1.49%,42.24k,,,,,,0.00%,,"Aug 26, 2008",,,"Dec 30, 2009","Sep 29, 2010",0.00%,-205.39%,-5.28%,-105.94%,4.46M,1.58,,-1.23M,,-23.44M,-8.3160,,28.64M,10.16,49.79M,,,2.04,-904.65k,,Value,30531,Financial Services,104,"Habersham Bancorp does not have significant operations. Previously, the company, operated as the bank holding company for Habersham Bank that provided commercial banking services to businesses and individuals in Habersham, White, Cherokee, Warren, Stephens, Forsyth, and Hall Counties in Georgia. Habersham Bancorp was founded in 1904 and is based in Cornelia, Georgia.",Cornelia,706-778-1000,GA,1135987200,United States,http://www.habcorp.com,86400,Historic Highway 441 North,706-778-6886,Banks—Regional,PO Box 1980
t-3,HABC,13112323.0,2818590,,,-6904523,,-16904234,-859617,-350871,0,-4214042,4722788,,,,,9999711,-350871,3863171,0,-2690481,,-16904234,-16964466,13490587.0,438944119.0,13112323.0,456019352.0,2818593.0,6906243.0,-3821546.0,1735124.0,624689.0,276556264.0,42258145.0,416208995.0,624689.0,12606349.0,88922716.0,77934023.0,21000000.0,37833328.0,390160668.0,1925000.0,17000000.0,12057522.0,0.0,26326077.0,-1678174.0,-14794255.0,9918169.0,-1613653.0,-13055849.0,14577049.0,-7270.0,92000.0,-1073391.0,1152754.0,-60232.0,-327286279.0,en-US,US,EQUITY,False,Delayed Quote,0.019,1630343914,0.0,0.019,0.019,0.019,9000,0.0068788724,0.56751096,58907,0.009304603,15,America/New_York,EDT,-14400000,False,False,USD,4,HABERSHAM BANCORP INC,PNK,2.042,0.011805556,0.0071944436,0.60941166,0.012121127,0,finmb_353984,Other OTC,Habersham Bancorp,USD,3965,14163,0.0178,14.833332,0.0012 - 0.105,-0.085999995,-0.81904763,0.0012,0.105,-8.316,PREPRE,0.0,0.019 - 0.019,0.019,0.0,0.0,0,0,us_market,2.32,,,0.105,0.0012,0.0118,0.0121,3.96k,14.16k,2.82M,,,,,42.04k,30.62,,1.49%,42.24k,,,,,,0.00%,,"Aug 26, 2008",,,"Dec 30, 2009","Sep 29, 2010",0.00%,-205.39%,-5.28%,-105.94%,4.46M,1.58,,-1.23M,,-23.44M,-8.3160,,28.64M,10.16,49.79M,,,2.04,-904.65k,,Value,30531,Financial Services,104,"Habersham Bancorp does not have significant operations. Previously, the company, operated as the bank holding company for Habersham Bank that provided commercial banking services to businesses and individuals in Habersham, White, Cherokee, Warren, Stephens, Forsyth, and Hall Counties in Georgia. Habersham Bancorp was founded in 1904 and is based in Cornelia, Georgia.",Cornelia,706-778-1000,GA,1135987200,United States,http://www.habcorp.com,86400,Historic Highway 441 North,706-778-6886,Banks—Regional,PO Box 1980
