Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,intangibleAssets,shortLongTermDebt,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,currency,priceHint,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,exchange,exchangeDataDelayedBy,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,market,marketState,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,ELLH,-90900000.0,739096,,,,200000,0,,0,0,,,,,,,0,0,0,0,0,,,,542300000.0,644500000.0,-81100000.0,4700000.0,592100000.0,2000000.0,-627900000.0,67400000.0,9800000.0,4500000.0,21800000.0,24900000.0,267700000.0,9000000.0,4500000.0,247500000.0,305100000.0,7900000.0,140900000.0,305000000.0,119900000.0,113100000.0,,,0.0,,,,,,,,,,,,,37400000.0,en-US,US,EQUITY,False,Delayed Quote,0.0,99.5 - 99.5,99.5,0.0,0.0,0,0,finmb_273861,Other OTC,"Elah Holdings, Inc.",USD,125,133,32.5,0.48507464,67.0 - 102.505,-3.0049973,-0.029315617,67.0,102.505,1614632400,1614632400,1614632400,-4.408,USD,2,-2.788,95.83611,3.663887,0.038230754,89.348114,10.151886,0.11362171,73540048,-35.688663,15,America/New_York,EDT,-14400000,PNK,0,False,False,99.5,1630091512,0.0,91.0,99.5,99.5,1,ELAH HLDGS INC,us_market,REGULAR,1.08,,,102.5,67.0,95.84,89.35,125,133,739.1k,,28.98M,0.00%,1.08%,,,,,,,,,,,0.00%,,,1:200,"May 08, 2018","Dec 30, 2017","Dec 30, 2017",-9.04%,0.13%,0.18%,"-3,451.43%",1.35B,46.48,,59.1M,46.9M,-127.7M,-4.41,,24.9M,0.86,416.9M,,1.14,-2.79,-12.9M,-16.54M,Value,75205,Financial Services,"Elah Holdings, Inc. does not have significant operations. It intends to acquire businesses in the commercial and industrial markets. The company was formerly known as Real Industry, Inc. and changed its name to Elah Holdings, Inc. in May 2018. Elah Holdings, Inc. was incorporated in 1972 and is based in Dallas, Texas.",Dallas,805 435 1255,TX,1514678400,United States,http://www.elahholdings.com,86400,4514 Cole Avenue,Shell Companies,Suite 1600
t-1,ELLH,-37400000.0,739096,,,-40500000.0,300000,-40800000,12400000.0,15100000,1600000,1600000.0,500000.0,-9800000.0,,,,0,332800000,331200000,317700000,-42100000,,-40500000.0,-41600000.0,545800000.0,619900000.0,-17000000.0,800000.0,628800000.0,1000000.0,-564900000.0,69200000.0,9700000.0,2100000.0,10100000.0,12800000.0,545700000.0,,2100000.0,290000000.0,300400000.0,7900000.0,134000000.0,,125900000.0,121200000.0,10700000.0,384000000.0,0.0,-5500000.0,9400000.0,8300000.0,-11500000.0,-6300000.0,100000.0,-9200000.0,12400000.0,-100000.0,-1100000.0,29300000.0,-5400000.0,-245300000.0,en-US,US,EQUITY,False,Delayed Quote,0.0,99.5 - 99.5,99.5,0.0,0.0,0,0,finmb_273861,Other OTC,"Elah Holdings, Inc.",USD,125,133,32.5,0.48507464,67.0 - 102.505,-3.0049973,-0.029315617,67.0,102.505,1614632400,1614632400,1614632400,-4.408,USD,2,-2.788,95.83611,3.663887,0.038230754,89.348114,10.151886,0.11362171,73540048,-35.688663,15,America/New_York,EDT,-14400000,PNK,0,False,False,99.5,1630091512,0.0,91.0,99.5,99.5,1,ELAH HLDGS INC,us_market,REGULAR,1.08,,,102.5,67.0,95.84,89.35,125,133,739.1k,,28.98M,0.00%,1.08%,,,,,,,,,,,0.00%,,,1:200,"May 08, 2018","Dec 30, 2017","Dec 30, 2017",-9.04%,0.13%,0.18%,"-3,451.43%",1.35B,46.48,,59.1M,46.9M,-127.7M,-4.41,,24.9M,0.86,416.9M,,1.14,-2.79,-12.9M,-16.54M,Value,75205,Financial Services,"Elah Holdings, Inc. does not have significant operations. It intends to acquire businesses in the commercial and industrial markets. The company was formerly known as Real Industry, Inc. and changed its name to Elah Holdings, Inc. in May 2018. Elah Holdings, Inc. was incorporated in 1972 and is based in Dallas, Texas.",Dallas,805 435 1255,TX,1514678400,United States,http://www.elahholdings.com,86400,4514 Cole Avenue,Shell Companies,Suite 1600
t-2,ELLH,-33700000.0,739096,,,-5100000.0,1100000,-6500000,12400000.0,18100000,4400000,4400000.0,700000.0,-9600000.0,,,,1100000,350200000,345800000,332100000,-9500000,,-6200000.0,-7300000.0,545900000.0,624000000.0,20500000.0,1000000.0,671000000.0,2100000.0,-524000000.0,68800000.0,42900000.0,-1400000.0,8500000.0,18400000.0,178800000.0,,-1400000.0,289800000.0,312900000.0,5600000.0,145400000.0,372100000.0,120100000.0,124300000.0,11300000.0,,0.0,-5400000.0,-3700000.0,-3800000.0,-500000.0,-3000000.0,500000.0,5700000.0,11300000.0,-500000.0,-100000.0,100000.0,-4900000.0,134100000.0,en-US,US,EQUITY,False,Delayed Quote,0.0,99.5 - 99.5,99.5,0.0,0.0,0,0,finmb_273861,Other OTC,"Elah Holdings, Inc.",USD,125,133,32.5,0.48507464,67.0 - 102.505,-3.0049973,-0.029315617,67.0,102.505,1614632400,1614632400,1614632400,-4.408,USD,2,-2.788,95.83611,3.663887,0.038230754,89.348114,10.151886,0.11362171,73540048,-35.688663,15,America/New_York,EDT,-14400000,PNK,0,False,False,99.5,1630091512,0.0,91.0,99.5,99.5,1,ELAH HLDGS INC,us_market,REGULAR,1.08,,,102.5,67.0,95.84,89.35,125,133,739.1k,,28.98M,0.00%,1.08%,,,,,,,,,,,0.00%,,,1:200,"May 08, 2018","Dec 30, 2017","Dec 30, 2017",-9.04%,0.13%,0.18%,"-3,451.43%",1.35B,46.48,,59.1M,46.9M,-127.7M,-4.41,,24.9M,0.86,416.9M,,1.14,-2.79,-12.9M,-16.54M,Value,75205,Financial Services,"Elah Holdings, Inc. does not have significant operations. It intends to acquire businesses in the commercial and industrial markets. The company was formerly known as Real Industry, Inc. and changed its name to Elah Holdings, Inc. in May 2018. Elah Holdings, Inc. was incorporated in 1972 and is based in Dallas, Texas.",Dallas,805 435 1255,TX,1514678400,United States,http://www.elahholdings.com,86400,4514 Cole Avenue,Shell Companies,Suite 1600
t-3,ELLH,-32100000.0,739096,,,-10500000.0,800000,-11400000,14400000.0,13400000,-2500000,-2500000.0,900000.0,-11000000.0,,,,800000,337100000,339600000,323700000,-8000000,,-11300000.0,-12200000.0,546200000.0,615600000.0,22100000.0,1200000.0,663600000.0,5700000.0,-517700000.0,65600000.0,42300000.0,-6400000.0,9500000.0,18500000.0,172700000.0,,-6400000.0,287200000.0,306600000.0,6100000.0,146400000.0,373200000.0,111800000.0,129400000.0,11900000.0,,0.0,-5300000.0,18200000.0,17400000.0,-17200000.0,-5000000.0,500000.0,-17100000.0,11500000.0,300000.0,-800000.0,-2700000.0,-5600000.0,133900000.0,en-US,US,EQUITY,False,Delayed Quote,0.0,99.5 - 99.5,99.5,0.0,0.0,0,0,finmb_273861,Other OTC,"Elah Holdings, Inc.",USD,125,133,32.5,0.48507464,67.0 - 102.505,-3.0049973,-0.029315617,67.0,102.505,1614632400,1614632400,1614632400,-4.408,USD,2,-2.788,95.83611,3.663887,0.038230754,89.348114,10.151886,0.11362171,73540048,-35.688663,15,America/New_York,EDT,-14400000,PNK,0,False,False,99.5,1630091512,0.0,91.0,99.5,99.5,1,ELAH HLDGS INC,us_market,REGULAR,1.08,,,102.5,67.0,95.84,89.35,125,133,739.1k,,28.98M,0.00%,1.08%,,,,,,,,,,,0.00%,,,1:200,"May 08, 2018","Dec 30, 2017","Dec 30, 2017",-9.04%,0.13%,0.18%,"-3,451.43%",1.35B,46.48,,59.1M,46.9M,-127.7M,-4.41,,24.9M,0.86,416.9M,,1.14,-2.79,-12.9M,-16.54M,Value,75205,Financial Services,"Elah Holdings, Inc. does not have significant operations. It intends to acquire businesses in the commercial and industrial markets. The company was formerly known as Real Industry, Inc. and changed its name to Elah Holdings, Inc. in May 2018. Elah Holdings, Inc. was incorporated in 1972 and is based in Dallas, Texas.",Dallas,805 435 1255,TX,1514678400,United States,http://www.elahholdings.com,86400,4514 Cole Avenue,Shell Companies,Suite 1600
