Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,totalCurrentAssets,accountsPayable,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,currency,esgPopulated,tradeable,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,exchange,marketState,market,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry
t0,IPTK,-2300417,240892992,161210,,-141879,,-141879,-87316,9692,-105418,-105418,,-36461,,,,0,-4932,100486,-14624,-36461,,-141879,-141879,13737,10493216,2309375,-2286680,1190254,22695,18213,-12824290,26181,8958,2309375,26186,8958,179267,25746.0,-209522.0,-164308.0,264152.0,45214.0,-5985.0,158323.0,,-2300417,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.105000004,3.0,0.035 - 0.25,-0.11,-0.44,0.035,0.25,-0.004,93.103455,0.12 - 0.14,0.0725,0.0,0.0,0,0,finmb_1206859,Other OTC,"AS-IP Tech, Inc.",USD,3594,16689,-0.013,0.16939388,-0.029393882,-0.17352387,0.18382293,-0.04382293,-0.23839751,33725020,-10.769231,15,America/New_York,EDT,-14400000,4,PNK,PRE,us_market,AS-IP TECH INC,0.14,1630513418,0.0675,0.14,0.14,0.12,27000,0.78,,,0.25,0.035,0.1694,0.1838,3.59k,16.69k,240.89M,,128.71M,22.15%,0.00%,,,,,,,,,,,0.00%,,,,,"Jun 29, 2020","Jun 29, 2020",0.00%,"-1,705.94%",-859.72%,,36.2k,0.00,,36.2k,-576.42k,-765.18k,-0.0040,,8.96k,0,939.85k,,0.00,-0.01,-332.53k,301.06k,Value,3095,Industrials,"AS-IP Tech, Inc. develops technologies for the business aviation and commercial airline industry. The company offers BizjetMobile and fflya technologies that delivers inflight connectivity. AS-IP Tech, Inc. markets its BizjetMobile product under the CrewX, CHiiMP, and BizjetInternet brands. It operates in the Asia Pacific, the America's, Europe, and the Middle East The company was formerly known as ASI Entertainment, Inc. and changed its name to AS-IP Tech, Inc. in July 2014. AS-IP Tech, Inc. was founded in 1986 and is based in Research, Australia.",Research,424 888 2212,VIC,1609372800,Australia,http://www.asiptech.com,86400,2/1 Contour Close,Aerospace & Defense
t-1,IPTK,-2168842,240892992,161210,,-198777,,-198777,164984,2759,-162225,-162225,,-36552,,,,0,3838,166063,1079,-36552,,-198777,-198777,24041,10493216,2183785,-2144801,550974,38984,18213,-12682411,26181,14943,2183785,26186,14943,149682,33847.0,67414.0,147033.0,264152.0,79619.0,-7593.0,-154626.0,,-2168842,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.105000004,3.0,0.035 - 0.25,-0.11,-0.44,0.035,0.25,-0.004,93.103455,0.12 - 0.14,0.0725,0.0,0.0,0,0,finmb_1206859,Other OTC,"AS-IP Tech, Inc.",USD,3594,16689,-0.013,0.16939388,-0.029393882,-0.17352387,0.18382293,-0.04382293,-0.23839751,33725020,-10.769231,15,America/New_York,EDT,-14400000,4,PNK,PRE,us_market,AS-IP TECH INC,0.14,1630513418,0.0675,0.14,0.14,0.12,27000,0.78,,,0.25,0.035,0.1694,0.1838,3.59k,16.69k,240.89M,,128.71M,22.15%,0.00%,,,,,,,,,,,0.00%,,,,,"Jun 29, 2020","Jun 29, 2020",0.00%,"-1,705.94%",-859.72%,,36.2k,0.00,,36.2k,-576.42k,-765.18k,-0.0040,,8.96k,0,939.85k,,0.00,-0.01,-332.53k,301.06k,Value,3095,Industrials,"AS-IP Tech, Inc. develops technologies for the business aviation and commercial airline industry. The company offers BizjetMobile and fflya technologies that delivers inflight connectivity. AS-IP Tech, Inc. markets its BizjetMobile product under the CrewX, CHiiMP, and BizjetInternet brands. It operates in the Asia Pacific, the America's, Europe, and the Middle East The company was formerly known as ASI Entertainment, Inc. and changed its name to AS-IP Tech, Inc. in July 2014. AS-IP Tech, Inc. was founded in 1986 and is based in Research, Australia.",Research,424 888 2212,VIC,1609372800,Australia,http://www.asiptech.com,86400,2/1 Contour Close,Aerospace & Defense
t-2,IPTK,-1980369,240892992,161210,,-207307,,-207307,178287,8744,-169543,-169543,,-37764,,,,0,13828,183371,5084,-37764,,-207307,-207307,34345,10493216,2002905,-1946024,471599,56881,18213,-12483634,26181,22536,2002905,26186,22536,115591,26969.0,138116.0,277994.0,-85791.0,139878.0,22170.0,-255824.0,,-1980369,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.105000004,3.0,0.035 - 0.25,-0.11,-0.44,0.035,0.25,-0.004,93.103455,0.12 - 0.14,0.0725,0.0,0.0,0,0,finmb_1206859,Other OTC,"AS-IP Tech, Inc.",USD,3594,16689,-0.013,0.16939388,-0.029393882,-0.17352387,0.18382293,-0.04382293,-0.23839751,33725020,-10.769231,15,America/New_York,EDT,-14400000,4,PNK,PRE,us_market,AS-IP TECH INC,0.14,1630513418,0.0675,0.14,0.14,0.12,27000,0.78,,,0.25,0.035,0.1694,0.1838,3.59k,16.69k,240.89M,,128.71M,22.15%,0.00%,,,,,,,,,,,0.00%,,,,,"Jun 29, 2020","Jun 29, 2020",0.00%,"-1,705.94%",-859.72%,,36.2k,0.00,,36.2k,-576.42k,-765.18k,-0.0040,,8.96k,0,939.85k,,0.00,-0.01,-332.53k,301.06k,Value,3095,Industrials,"AS-IP Tech, Inc. develops technologies for the business aviation and commercial airline industry. The company offers BizjetMobile and fflya technologies that delivers inflight connectivity. AS-IP Tech, Inc. markets its BizjetMobile product under the CrewX, CHiiMP, and BizjetInternet brands. It operates in the Asia Pacific, the America's, Europe, and the Middle East The company was formerly known as ASI Entertainment, Inc. and changed its name to AS-IP Tech, Inc. in July 2014. AS-IP Tech, Inc. was founded in 1986 and is based in Research, Australia.",Research,424 888 2212,VIC,1609372800,Australia,http://www.asiptech.com,86400,2/1 Contour Close,Aerospace & Defense
t-3,IPTK,-1783367,240892992,48000,,-217221,,-217221,137158,15010,-180451,-180451,,-36770,,,,0,23471,203922,8461,-36770,,-217221,-217221,44650,10493216,1783733,-1738717,983914,45016,18213,-12276327,26181,366,1783733,26186,366,84784,28758.0,-1355.0,80580.0,85791.0,81935.0,174.0,-80406.0,11963.0,-1783367,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.105000004,3.0,0.035 - 0.25,-0.11,-0.44,0.035,0.25,-0.004,93.103455,0.12 - 0.14,0.0725,0.0,0.0,0,0,finmb_1206859,Other OTC,"AS-IP Tech, Inc.",USD,3594,16689,-0.013,0.16939388,-0.029393882,-0.17352387,0.18382293,-0.04382293,-0.23839751,33725020,-10.769231,15,America/New_York,EDT,-14400000,4,PNK,PRE,us_market,AS-IP TECH INC,0.14,1630513418,0.0675,0.14,0.14,0.12,27000,0.78,,,0.25,0.035,0.1694,0.1838,3.59k,16.69k,240.89M,,128.71M,22.15%,0.00%,,,,,,,,,,,0.00%,,,,,"Jun 29, 2020","Jun 29, 2020",0.00%,"-1,705.94%",-859.72%,,36.2k,0.00,,36.2k,-576.42k,-765.18k,-0.0040,,8.96k,0,939.85k,,0.00,-0.01,-332.53k,301.06k,Value,3095,Industrials,"AS-IP Tech, Inc. develops technologies for the business aviation and commercial airline industry. The company offers BizjetMobile and fflya technologies that delivers inflight connectivity. AS-IP Tech, Inc. markets its BizjetMobile product under the CrewX, CHiiMP, and BizjetInternet brands. It operates in the Asia Pacific, the America's, Europe, and the Middle East The company was formerly known as ASI Entertainment, Inc. and changed its name to AS-IP Tech, Inc. in July 2014. AS-IP Tech, Inc. was founded in 1986 and is based in Research, Australia.",Research,424 888 2212,VIC,1609372800,Australia,http://www.asiptech.com,86400,2/1 Contour Close,Aerospace & Defense
