Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,shortTermInvestments,netReceivables,accountsPayable,otherAssets,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToNetincome,changeToAccountReceivables,totalCashflowsFromInvestingActivities,issuanceOfStock,otherCashflowsFromFinancingActivities,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,shortName,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,exchangeDataDelayedBy,priceHint,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry
t0,GRDSF,-1959902.0,44626100,,,-63189,,-63414,47244,0,-47526,-47526,166,-15227,,,,225,0,47526,0,-15663,,-63414,-63414,11426071.0,1986771.0,-1959902.0,775072.0,321890.0,20755919.0,-36568364.0,81805.0,2426472.0,360.0,1904966.0,2426472.0,229820.0,92070.0,38106.0,53604.0,828899.0,,0.0,15131.0,15131.0,110853.0,-156.0,-63008.0,47721.0,282.0,,,,,,,-1812896.0,en-US,US,EQUITY,False,Delayed Quote,USD,GROUNDSTAR RESOURCES,-0.6666667,477874,-0.0022727272,15,America/New_York,EDT,-14400000,False,False,PREPRE,0,4,0.0001,1630089278,0.0,0.0001,0.0001,0.0001,1332,PNK,us_market,0.0,1.0E-4 - 1.0E-4,0.0001,finmb_3477666,Other OTC,Groundstar Resources Limited,USD,1231,0,0.0,0.0,1.0E-4 - 0.001,-0.00090000004,-0.9,0.0001,0.001,-0.014,-0.044,0.00091818185,-0.00081818184,-0.8910891,0.0003,-0.00020000001,1.3,,,0.001,0.0001,0.0009,0.0003,1.23k,,44.63M,,43.2M,3.19%,0.00%,,,,,,,,,,,,,,,,"Apr 29, 2017","Jan 30, 2018",0.00%,-949.18%,-69.46%,,53.58k,0.00,,87.92k,-488.15k,-578.24k,-0.0140,,38.47k,0,301k,,0.05,-0.04,-160.06k,-45.87k,Value,T2P 5E9,,"Groundstar Resources Limited explores for, develops, and produces oil and gas properties in Canada. The company was formerly known as Gramara Mercantile Corporation Ltd. and changed its name to Groundstar Resources Limited in July 1973. Groundstar Resources Limited was incorporated in 1968 and is headquartered in Calgary, Canada.",Calgary,403-265-2549,AB,1514678400,Canada,http://www.groundstarresources.com,86400,430 - 440 2nd Avenue SW,
t-1,GRDSF,-1787946.0,44626100,,,-163973,,-164298,97318,-10106,-109926,-109926,164,-14519,,,,325,1943,111869,12049,-54047,,-164298,-164298,11426071.0,1818897.0,-1787946.0,742624.0,325972.0,20755919.0,-36484793.0,77836.0,2514857.0,516.0,1741061.0,2514857.0,242031.0,80063.0,30514.0,49033.0,723353.0,3878.0,0.0,77560.0,77560.0,29512.0,-31235.0,-9280.0,-99515.0,2202.0,33069.0,,,,,,-1660998.0,en-US,US,EQUITY,False,Delayed Quote,USD,GROUNDSTAR RESOURCES,-0.6666667,477874,-0.0022727272,15,America/New_York,EDT,-14400000,False,False,PREPRE,0,4,0.0001,1630089278,0.0,0.0001,0.0001,0.0001,1332,PNK,us_market,0.0,1.0E-4 - 1.0E-4,0.0001,finmb_3477666,Other OTC,Groundstar Resources Limited,USD,1231,0,0.0,0.0,1.0E-4 - 0.001,-0.00090000004,-0.9,0.0001,0.001,-0.014,-0.044,0.00091818185,-0.00081818184,-0.8910891,0.0003,-0.00020000001,1.3,,,0.001,0.0001,0.0009,0.0003,1.23k,,44.63M,,43.2M,3.19%,0.00%,,,,,,,,,,,,,,,,"Apr 29, 2017","Jan 30, 2018",0.00%,-949.18%,-69.46%,,53.58k,0.00,,87.92k,-488.15k,-578.24k,-0.0140,,38.47k,0,301k,,0.05,-0.04,-160.06k,-45.87k,Value,T2P 5E9,,"Groundstar Resources Limited explores for, develops, and produces oil and gas properties in Canada. The company was formerly known as Gramara Mercantile Corporation Ltd. and changed its name to Groundstar Resources Limited in July 1973. Groundstar Resources Limited was incorporated in 1968 and is headquartered in Calgary, Canada.",Calgary,403-265-2549,AB,1514678400,Canada,http://www.groundstarresources.com,86400,430 - 440 2nd Avenue SW,
t-2,GRDSF,-1608847.0,44626100,,,-105379,,-106030,84316,-1323,-91318,-91318,163,-13136,,,,651,15899,107217,17222,-14061,,-106030,-106030,11425771.0,1662374.0,-1608847.0,676608.0,348548.0,20755919.0,-36320495.0,88174.0,2529958.0,31751.0,1574200.0,2529958.0,238312.0,106448.0,29295.0,45402.0,698010.0,3788.0,50464.0,77560.0,77560.0,11830.0,-61622.0,-7177.0,-54445.0,4377.0,-16926.0,1840.0,,,,,-1467752.0,en-US,US,EQUITY,False,Delayed Quote,USD,GROUNDSTAR RESOURCES,-0.6666667,477874,-0.0022727272,15,America/New_York,EDT,-14400000,False,False,PREPRE,0,4,0.0001,1630089278,0.0,0.0001,0.0001,0.0001,1332,PNK,us_market,0.0,1.0E-4 - 1.0E-4,0.0001,finmb_3477666,Other OTC,Groundstar Resources Limited,USD,1231,0,0.0,0.0,1.0E-4 - 0.001,-0.00090000004,-0.9,0.0001,0.001,-0.014,-0.044,0.00091818185,-0.00081818184,-0.8910891,0.0003,-0.00020000001,1.3,,,0.001,0.0001,0.0009,0.0003,1.23k,,44.63M,,43.2M,3.19%,0.00%,,,,,,,,,,,,,,,,"Apr 29, 2017","Jan 30, 2018",0.00%,-949.18%,-69.46%,,53.58k,0.00,,87.92k,-488.15k,-578.24k,-0.0140,,38.47k,0,301k,,0.05,-0.04,-160.06k,-45.87k,Value,T2P 5E9,,"Groundstar Resources Limited explores for, develops, and produces oil and gas properties in Canada. The company was formerly known as Gramara Mercantile Corporation Ltd. and changed its name to Groundstar Resources Limited in July 1973. Groundstar Resources Limited was incorporated in 1968 and is headquartered in Calgary, Canada.",Calgary,403-265-2549,AB,1514678400,Canada,http://www.groundstarresources.com,86400,430 - 440 2nd Avenue SW,
t-3,GRDSF,-1484273.0,44626100,,,-283976,,-224336,133602,-5980,-244150,-244150,77398,-22970,,,,-59640,34604,278754,40584,-39826,,-224336,-224336,11424469.0,1590852.0,-1484273.0,658016.0,401600.0,20755919.0,-36214465.0,85057.0,2549804.0,93373.0,1505795.0,2549804.0,234141.0,163799.0,23184.0,47242.0,660908.0,3660.0,78141.0,-5875.0,-8264.0,220638.0,-155722.0,-30159.0,-100714.0,23023.0,-196224.0,-1956.0,-16585.0,11810.0,-14199.0,-67.0,-1341996.0,en-US,US,EQUITY,False,Delayed Quote,USD,GROUNDSTAR RESOURCES,-0.6666667,477874,-0.0022727272,15,America/New_York,EDT,-14400000,False,False,PREPRE,0,4,0.0001,1630089278,0.0,0.0001,0.0001,0.0001,1332,PNK,us_market,0.0,1.0E-4 - 1.0E-4,0.0001,finmb_3477666,Other OTC,Groundstar Resources Limited,USD,1231,0,0.0,0.0,1.0E-4 - 0.001,-0.00090000004,-0.9,0.0001,0.001,-0.014,-0.044,0.00091818185,-0.00081818184,-0.8910891,0.0003,-0.00020000001,1.3,,,0.001,0.0001,0.0009,0.0003,1.23k,,44.63M,,43.2M,3.19%,0.00%,,,,,,,,,,,,,,,,"Apr 29, 2017","Jan 30, 2018",0.00%,-949.18%,-69.46%,,53.58k,0.00,,87.92k,-488.15k,-578.24k,-0.0140,,38.47k,0,301k,,0.05,-0.04,-160.06k,-45.87k,Value,T2P 5E9,,"Groundstar Resources Limited explores for, develops, and produces oil and gas properties in Canada. The company was formerly known as Gramara Mercantile Corporation Ltd. and changed its name to Groundstar Resources Limited in July 1973. Groundstar Resources Limited was incorporated in 1968 and is headquartered in Calgary, Canada.",Calgary,403-265-2549,AB,1514678400,Canada,http://www.groundstarresources.com,86400,430 - 440 2nd Avenue SW,
