Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,exchange,currency,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,marketState,market,shortName,exchangeDataDelayedBy,esgPopulated,tradeable,priceHint,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChangePercent,regularMarketDayRange,epsCurrentYear,priceEpsCurrentYear,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (May 27, 2021) 4","Short Ratio (May 27, 2021) 4","Short % of Float (May 27, 2021) 4","Short % of Shares Outstanding (May 27, 2021) 4","Shares Short (prior month Apr 29, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,GSMG,88344000.0,67551000,177500,,19606000,471000,18506000,23349500,33128500,9601500,9601500,,-56500,,,,1068500,47177500,37576000,14049000,10004500,,18537500,18506000,15632000.0,9159000.0,38949000.0,103976000.0,11079000.0,143396000.0,6000.0,2544000.0,89919000.0,833000.0,4892000.0,22707000.0,17731000.0,35356000.0,760000.0,4892000.0,1940000.0,103117000.0,1732000.0,81110000.0,1374000.0,7887000.0,-818500,1394000,-1712000,2752000,529500,-4271000,4337500,646500,4873500,1678500,497000,-12021500,-2222500,-459000,-29500,67761000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,NCM,USD,2.56,1630526402,-0.4100001,2.97,3.185,2.52,1538567,2.97,0.0,0.0,8,11,finmb_636228398,NasdaqCM,Glory Star New Media Group Holdings Limited,USD,2163595,18106671,1.28,1.0,1.28 - 4.86,-2.3000002,-0.47325104,1.28,4.86,1617048000,1617048000,1617048000,PREPRE,us_market,Glory Star New Media Group Hold,0,False,False,4,3.515631,1630540089,2.65,0.09000015,-13.804716,2.52 - 3.185,0.45,5.688889,2.074,0.48600006,0.23432983,3.1303623,-0.5703623,-0.1822033,172930560,15,America/New_York,EDT,-14400000,,,,4.86,1.28,2.074,3.1304,2.16M,18.11M,67.55M,,19.34M,63.49%,0.26%,106.78k,0.31,0.26%,0.16%,80.24k,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",39.58%,24.78%,17.18%,58.74%,123.76M,2.30,221.10%,85.28M,33.58M,48.99M,,149.80%,19.46M,0.34,11.66M,11.16,2.92,,8.74M,12.16M,Value,100016,Communication Services,159,"Glory Star New Media Group Holdings Limited provides advertisement and content production services in China. The company also engages in mobile and online digital advertising, and media and entertainment businesses. In addition, it operates CHEERS app, an e-commerce platform, which provides online store, live streaming, series TV shows, and online games, as well as online short videos, variety shows, and dramas. Glory Star New Media Group Holdings Limited was founded in 2016 and is headquartered in Beijing, China.",Beijing,86 10 8770 0500,1609372800,China,http://www.yaoshixinghui.com,86400,Xinhua Technology Building,Broadcasting,"Block B, 22nd Floor No. 8 Tuofangying South Road Jiuxianqiao, Chaoyang District"
t-1,GSMG,88344000.0,67551000,177500,,19606000,471000,18506000,23349500,33128500,9601500,9601500,,-56500,,,,1068500,47177500,37576000,14049000,10004500,,18537500,18506000,15632000.0,9159000.0,38949000.0,103976000.0,11079000.0,143396000.0,6000.0,2544000.0,89919000.0,833000.0,4892000.0,22707000.0,17731000.0,35356000.0,760000.0,4892000.0,1940000.0,103117000.0,1732000.0,81110000.0,1374000.0,7887000.0,-818500,1394000,-1712000,2752000,529500,-4271000,4337500,646500,4873500,1678500,497000,-12021500,-2222500,-459000,-29500,67761000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,NCM,USD,2.56,1630526402,-0.4100001,2.97,3.185,2.52,1538567,2.97,0.0,0.0,8,11,finmb_636228398,NasdaqCM,Glory Star New Media Group Holdings Limited,USD,2163595,18106671,1.28,1.0,1.28 - 4.86,-2.3000002,-0.47325104,1.28,4.86,1617048000,1617048000,1617048000,PREPRE,us_market,Glory Star New Media Group Hold,0,False,False,4,3.515631,1630540089,2.65,0.09000015,-13.804716,2.52 - 3.185,0.45,5.688889,2.074,0.48600006,0.23432983,3.1303623,-0.5703623,-0.1822033,172930560,15,America/New_York,EDT,-14400000,,,,4.86,1.28,2.074,3.1304,2.16M,18.11M,67.55M,,19.34M,63.49%,0.26%,106.78k,0.31,0.26%,0.16%,80.24k,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",39.58%,24.78%,17.18%,58.74%,123.76M,2.30,221.10%,85.28M,33.58M,48.99M,,149.80%,19.46M,0.34,11.66M,11.16,2.92,,8.74M,12.16M,Value,100016,Communication Services,159,"Glory Star New Media Group Holdings Limited provides advertisement and content production services in China. The company also engages in mobile and online digital advertising, and media and entertainment businesses. In addition, it operates CHEERS app, an e-commerce platform, which provides online store, live streaming, series TV shows, and online games, as well as online short videos, variety shows, and dramas. Glory Star New Media Group Holdings Limited was founded in 2016 and is headquartered in Beijing, China.",Beijing,86 10 8770 0500,1609372800,China,http://www.yaoshixinghui.com,86400,Xinhua Technology Building,Broadcasting,"Block B, 22nd Floor No. 8 Tuofangying South Road Jiuxianqiao, Chaoyang District"
t-2,GSMG,59096000.0,67551000,130000,,8581000,373000,9076000,5558000,14259000,8571000,8571000,,-82000,,,,-459000,19651000,11080000,5392000,10000,,9040000,9076000,14683000.0,14365000.0,24116000.0,73779000.0,2633000.0,98268000.0,6000.0,10203000.0,61956000.0,,-2548000.0,3162000.0,9056000.0,21520000.0,987000.0,-2548000.0,1837000.0,78586000.0,,59327000.0,1274000.0,6731000.0,-818500,0,-994000,2752000,529500,-4271000,-905000,-23000,112000,1678500,-994000,-12021500,-2222500,-8964000,-29500,57066000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,NCM,USD,2.56,1630526402,-0.4100001,2.97,3.185,2.52,1538567,2.97,0.0,0.0,8,11,finmb_636228398,NasdaqCM,Glory Star New Media Group Holdings Limited,USD,2163595,18106671,1.28,1.0,1.28 - 4.86,-2.3000002,-0.47325104,1.28,4.86,1617048000,1617048000,1617048000,PREPRE,us_market,Glory Star New Media Group Hold,0,False,False,4,3.515631,1630540089,2.65,0.09000015,-13.804716,2.52 - 3.185,0.45,5.688889,2.074,0.48600006,0.23432983,3.1303623,-0.5703623,-0.1822033,172930560,15,America/New_York,EDT,-14400000,,,,4.86,1.28,2.074,3.1304,2.16M,18.11M,67.55M,,19.34M,63.49%,0.26%,106.78k,0.31,0.26%,0.16%,80.24k,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",39.58%,24.78%,17.18%,58.74%,123.76M,2.30,221.10%,85.28M,33.58M,48.99M,,149.80%,19.46M,0.34,11.66M,11.16,2.92,,8.74M,12.16M,Value,100016,Communication Services,159,"Glory Star New Media Group Holdings Limited provides advertisement and content production services in China. The company also engages in mobile and online digital advertising, and media and entertainment businesses. In addition, it operates CHEERS app, an e-commerce platform, which provides online store, live streaming, series TV shows, and online games, as well as online short videos, variety shows, and dramas. Glory Star New Media Group Holdings Limited was founded in 2016 and is headquartered in Beijing, China.",Beijing,86 10 8770 0500,1609372800,China,http://www.yaoshixinghui.com,86400,Xinhua Technology Building,Broadcasting,"Block B, 22nd Floor No. 8 Tuofangying South Road Jiuxianqiao, Chaoyang District"
t-3,GSMG,47751000.0,67551000,206000,,2837000,408000,2901000,1666000,4766000,2894000,2894000,,-87000,,,,-5000,9757000,6863000,4991000,-57000,,2842000,2901000,14051000.0,11573000.0,23473000.0,61802000.0,2460000.0,85683000.0,5000.0,300000.0,52879000.0,,-2655000.0,1938000.0,9961000.0,20714000.0,596000.0,-2655000.0,2176000.0,67518000.0,,55003000.0,1271000.0,5095000.0,-818500,487000,-994000,4299000,4322000,-111000,3042000,-162000,-1118000,535000,-994000,-5253000,23000,323000,-29500,46804000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,NCM,USD,2.56,1630526402,-0.4100001,2.97,3.185,2.52,1538567,2.97,0.0,0.0,8,11,finmb_636228398,NasdaqCM,Glory Star New Media Group Holdings Limited,USD,2163595,18106671,1.28,1.0,1.28 - 4.86,-2.3000002,-0.47325104,1.28,4.86,1617048000,1617048000,1617048000,PREPRE,us_market,Glory Star New Media Group Hold,0,False,False,4,3.515631,1630540089,2.65,0.09000015,-13.804716,2.52 - 3.185,0.45,5.688889,2.074,0.48600006,0.23432983,3.1303623,-0.5703623,-0.1822033,172930560,15,America/New_York,EDT,-14400000,,,,4.86,1.28,2.074,3.1304,2.16M,18.11M,67.55M,,19.34M,63.49%,0.26%,106.78k,0.31,0.26%,0.16%,80.24k,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2020",39.58%,24.78%,17.18%,58.74%,123.76M,2.30,221.10%,85.28M,33.58M,48.99M,,149.80%,19.46M,0.34,11.66M,11.16,2.92,,8.74M,12.16M,Value,100016,Communication Services,159,"Glory Star New Media Group Holdings Limited provides advertisement and content production services in China. The company also engages in mobile and online digital advertising, and media and entertainment businesses. In addition, it operates CHEERS app, an e-commerce platform, which provides online store, live streaming, series TV shows, and online games, as well as online short videos, variety shows, and dramas. Glory Star New Media Group Holdings Limited was founded in 2016 and is headquartered in Beijing, China.",Beijing,86 10 8770 0500,1609372800,China,http://www.yaoshixinghui.com,86400,Xinhua Technology Building,Broadcasting,"Block B, 22nd Floor No. 8 Tuofangying South Road Jiuxianqiao, Chaoyang District"
