Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,accountsPayable,changeToLiabilities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToNetincome,totalCashflowsFromInvestingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceHint,regularMarketChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,currency,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,shortName,exchangeDataDelayedBy,market,marketState,epsTrailingTwelveMonths,twoHundredDayAverageChangePercent,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,GRVE,-1316880,28293100,,,-16573,187941,-16565,28544,16475,-13700,-13700,,-2873,,,,0,28634,42334,12159,-2873,,-16573,-77187,32993499,1424548,-1316880,615879,295817,18198,-34328577,161579,99380,1262969,149200,196437,99380,157091,5732.0,8237.0,-249.0,-249.0,2355.0,-8.0,,-1163589,en-US,US,EQUITY,False,Delayed Quote,9642,0.012,1.0909091,0.011 - 0.125,-0.102,-0.816,0.011,0.125,-0.072,0.036765713,-0.013765713,-0.37441713,0.05035797,-0.027357971,813424,4,-8.000001,-0.31944445,15,America/New_York,EDT,-14400000,0.023 - 0.0231,0.025,0.0,0.0,0,0,finmb_23218310,Other OTC,"Groove Botanicals, Inc.",USD,10448,USD,False,False,0.023,1630503014,-0.0020000003,0.0231,0.0231,0.023,41133,PNK,GROOVE BOTANICALS INC,0,us_market,PREPRE,-0.022,-0.54326993,1.69,,,0.125,0.011,0.0368,0.0504,10.45k,9.64k,28.29M,,26.59M,0.00%,0.00%,,,,,,,,,,,0.00%,,,1:300,"Jul 22, 2012","Mar 30, 2017","Dec 30, 2017",-258.06%,-164.57%,-19.23%,,62.43k,0.00,46.10%,5.03k,-82.7k,-403.6k,-0.0220,,99.38k,0,169.2k,,0.08,-0.07,-40.47k,237.4k,Value,55415,Energy,1,"Groove Botanicals, Inc. provides consumer health products. It intends to develop cannabidiol skin care products. The company was formerly known as Avalon Oil & Gas, Inc. and changed its name to Groove Botanicals, Inc. in May 2018. Groove Botanicals, Inc. is based in Minneapolis, Minnesota.",Minneapolis,952-746-9652,MN,1514678400,United States,http://groovebotanicals.com,86400,310 Fourth Avenue South,Oil & Gas E&P,Suite 7000
t-1,GRVE,-1241335,28293100,,,-32503,189591,-32495,13008,-15631,-29572,-29572,,-2871,,,,0,10755,40327,26386,-2931,,-32503,-93117,32993499,1349957,-1241335,555257,298421,18198,-34253032,157822,99629,1192135,149200,198792,99629,154144,16483.0,11908.0,-2395.0,-2395.0,1717.0,-8.0,,-1092506,en-US,US,EQUITY,False,Delayed Quote,9642,0.012,1.0909091,0.011 - 0.125,-0.102,-0.816,0.011,0.125,-0.072,0.036765713,-0.013765713,-0.37441713,0.05035797,-0.027357971,813424,4,-8.000001,-0.31944445,15,America/New_York,EDT,-14400000,0.023 - 0.0231,0.025,0.0,0.0,0,0,finmb_23218310,Other OTC,"Groove Botanicals, Inc.",USD,10448,USD,False,False,0.023,1630503014,-0.0020000003,0.0231,0.0231,0.023,41133,PNK,GROOVE BOTANICALS INC,0,us_market,PREPRE,-0.022,-0.54326993,1.69,,,0.125,0.011,0.0368,0.0504,10.45k,9.64k,28.29M,,26.59M,0.00%,0.00%,,,,,,,,,,,0.00%,,,1:300,"Jul 22, 2012","Mar 30, 2017","Dec 30, 2017",-258.06%,-164.57%,-19.23%,,62.43k,0.00,46.10%,5.03k,-82.7k,-403.6k,-0.0220,,99.38k,0,169.2k,,0.08,-0.07,-40.47k,237.4k,Value,55415,Energy,1,"Groove Botanicals, Inc. provides consumer health products. It intends to develop cannabidiol skin care products. The company was formerly known as Avalon Oil & Gas, Inc. and changed its name to Groove Botanicals, Inc. in May 2018. Groove Botanicals, Inc. is based in Minneapolis, Minnesota.",Minneapolis,952-746-9652,MN,1514678400,United States,http://groovebotanicals.com,86400,310 Fourth Avenue South,Oil & Gas E&P,Suite 7000
t-2,GRVE,-1149860,28293100,,,-30551,191241,-30543,20026,-1242,-24117,-24117,,-2870,,,,0,11731,35848,12973,-6434,,-30551,-91165,32993499,1260944,-1149860,494635,302533,18198,-34161557,154064,102024,1106880,149200,200509,102024,134092,4281.0,3583.0,-2550.0,-15550.0,3573.0,3556.0,13000.0,-1004856,en-US,US,EQUITY,False,Delayed Quote,9642,0.012,1.0909091,0.011 - 0.125,-0.102,-0.816,0.011,0.125,-0.072,0.036765713,-0.013765713,-0.37441713,0.05035797,-0.027357971,813424,4,-8.000001,-0.31944445,15,America/New_York,EDT,-14400000,0.023 - 0.0231,0.025,0.0,0.0,0,0,finmb_23218310,Other OTC,"Groove Botanicals, Inc.",USD,10448,USD,False,False,0.023,1630503014,-0.0020000003,0.0231,0.0231,0.023,41133,PNK,GROOVE BOTANICALS INC,0,us_market,PREPRE,-0.022,-0.54326993,1.69,,,0.125,0.011,0.0368,0.0504,10.45k,9.64k,28.29M,,26.59M,0.00%,0.00%,,,,,,,,,,,0.00%,,,1:300,"Jul 22, 2012","Mar 30, 2017","Dec 30, 2017",-258.06%,-164.57%,-19.23%,,62.43k,0.00,46.10%,5.03k,-82.7k,-403.6k,-0.0220,,99.38k,0,169.2k,,0.08,-0.07,-40.47k,237.4k,Value,55415,Energy,1,"Groove Botanicals, Inc. provides consumer health products. It intends to develop cannabidiol skin care products. The company was formerly known as Avalon Oil & Gas, Inc. and changed its name to Groove Botanicals, Inc. in May 2018. Groove Botanicals, Inc. is based in Minneapolis, Minnesota.",Minneapolis,952-746-9652,MN,1514678400,United States,http://groovebotanicals.com,86400,310 Fourth Avenue South,Oil & Gas E&P,Suite 7000
t-3,GRVE,-1000559,28293100,,,-58255,133113,-81492,19936,-790,-35285,-35285,,-2839,,,,0,11305,46590,12095,-22970,,-58255,-142126,32993499,1192458,-1000559,434013,325220,18198,-34012256,150306,104574,1042152,149200,220646,104574,132746,7285.0,-9317.0,-22280.0,-22280.0,12387.0,48857.0,13000.0,-937578,en-US,US,EQUITY,False,Delayed Quote,9642,0.012,1.0909091,0.011 - 0.125,-0.102,-0.816,0.011,0.125,-0.072,0.036765713,-0.013765713,-0.37441713,0.05035797,-0.027357971,813424,4,-8.000001,-0.31944445,15,America/New_York,EDT,-14400000,0.023 - 0.0231,0.025,0.0,0.0,0,0,finmb_23218310,Other OTC,"Groove Botanicals, Inc.",USD,10448,USD,False,False,0.023,1630503014,-0.0020000003,0.0231,0.0231,0.023,41133,PNK,GROOVE BOTANICALS INC,0,us_market,PREPRE,-0.022,-0.54326993,1.69,,,0.125,0.011,0.0368,0.0504,10.45k,9.64k,28.29M,,26.59M,0.00%,0.00%,,,,,,,,,,,0.00%,,,1:300,"Jul 22, 2012","Mar 30, 2017","Dec 30, 2017",-258.06%,-164.57%,-19.23%,,62.43k,0.00,46.10%,5.03k,-82.7k,-403.6k,-0.0220,,99.38k,0,169.2k,,0.08,-0.07,-40.47k,237.4k,Value,55415,Energy,1,"Groove Botanicals, Inc. provides consumer health products. It intends to develop cannabidiol skin care products. The company was formerly known as Avalon Oil & Gas, Inc. and changed its name to Groove Botanicals, Inc. in May 2018. Groove Botanicals, Inc. is based in Minneapolis, Minnesota.",Minneapolis,952-746-9652,MN,1514678400,United States,http://groovebotanicals.com,86400,310 Fourth Avenue South,Oil & Gas E&P,Suite 7000
