Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,totalCurrentAssets,accountsPayable,longTermDebt,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,changeToNetincome,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,quoteSourceName,triggerable,currency,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeDataDelayedBy,tradeable,marketState,priceHint,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,firstTradeDateMilliseconds,shortName,exchange,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,displayName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry
t0,GETH,-7003516.0,3143680,,,-411824,,-411824,28193,-333415,-361608,-361608,,-125725,,,,0,0,361608,333415,-50216,,-411824,-411824,23649829.0,7015010.0,-7003516.0,100094.0,11494.0,628737.0,-31282082.0,9494.0,7015010.0,11494.0,838919.0,,405660.0,25000.0,25000.0,3000.0,-3152.0,-28152.0,-75509.0,,-7003516.0,en-US,US,EQUITY,Delayed Quote,False,USD,-2.228,0.011128888,-0.003128888,-0.2811501,0.01741007,-0.009410069,-0.5404958,25149,-0.0035906646,15,0,False,PREPRE,4,0.0,0.0,1630524260,0.008,0.008,0.007 - 0.008,0.007,159815,0.008,0.0,0.0,0,0,Other OTC,USD,0.007,182047,100028,0.0045000003,1.2857143,0.0035 - 0.068,-0.060000002,-0.88235295,0.0035,0.068,1578355200,1593448200,1593534600,-1.642,1263479400000,GREEN ENVIROTECH HOLDINGS CORP,PNK,Green EnviroTech Holdings Corp.,finmb_53569336,America/New_York,EDT,-14400000,us_market,False,Green EnviroTech,1.84,-4.76%,30.90%,0.0680,0.0035,0.0111,0.0174,182.05k,100.03k,3.14M,,2.95M,0.00%,0.00%,,,,,,,,,,,0.00%,"Jan 06, 2020",,,,"Dec 30, 2018","Sep 29, 2019",0.00%,0.00%,-153.59%,,,,,-1.92M,,-3.26M,-1.6420,,9.49k,0,2.76M,,0.00,-2.23,-207.68k,278.77k,Value,95327,Industrials,5,"Green EnviroTech Holdings Corp. operates as a plastics recovery, separation, cleaning, and recycling company. The company transforms unusable scrap tires into various end products, such as carbon black, oil, and steel. It also offers Generation One, which produces a blend stock oil, char/carbon, and steel. The company was founded in 2008 and is based in Jamestown, California.",Jamestown,209-881-3523,CA,1546214400,United States,http://www.greenenvirotech.com,86400,14699 Holman Mountain Road,209-881-3529,Waste Management
t-1,GETH,-6609264.0,3143680,,,-409233,,-409233,21437,-359611,-381048,-381048,,-135306,,,,0,0,381048,359611,-28185,,-409233,-409233,23716480.0,6626910.0,-6609264.0,171847.0,17646.0,544514.0,-30870258.0,12646.0,6626910.0,17646.0,834682.0,,357727.0,174886.0,127586.0,-3000.0,10949.0,-116637.0,-107121.0,,-6609264.0,en-US,US,EQUITY,Delayed Quote,False,USD,-2.228,0.011128888,-0.003128888,-0.2811501,0.01741007,-0.009410069,-0.5404958,25149,-0.0035906646,15,0,False,PREPRE,4,0.0,0.0,1630524260,0.008,0.008,0.007 - 0.008,0.007,159815,0.008,0.0,0.0,0,0,Other OTC,USD,0.007,182047,100028,0.0045000003,1.2857143,0.0035 - 0.068,-0.060000002,-0.88235295,0.0035,0.068,1578355200,1593448200,1593534600,-1.642,1263479400000,GREEN ENVIROTECH HOLDINGS CORP,PNK,Green EnviroTech Holdings Corp.,finmb_53569336,America/New_York,EDT,-14400000,us_market,False,Green EnviroTech,1.84,-4.76%,30.90%,0.0680,0.0035,0.0111,0.0174,182.05k,100.03k,3.14M,,2.95M,0.00%,0.00%,,,,,,,,,,,0.00%,"Jan 06, 2020",,,,"Dec 30, 2018","Sep 29, 2019",0.00%,0.00%,-153.59%,,,,,-1.92M,,-3.26M,-1.6420,,9.49k,0,2.76M,,0.00,-2.23,-207.68k,278.77k,Value,95327,Industrials,5,"Green EnviroTech Holdings Corp. operates as a plastics recovery, separation, cleaning, and recycling company. The company transforms unusable scrap tires into various end products, such as carbon black, oil, and steel. It also offers Generation One, which produces a blend stock oil, char/carbon, and steel. The company was founded in 2008 and is based in Jamestown, California.",Jamestown,209-881-3523,CA,1546214400,United States,http://www.greenenvirotech.com,86400,14699 Holman Mountain Road,209-881-3529,Waste Management
t-2,GETH,-6294554.0,3143680,,,-756068,,-756068,9874,-342112,-351986,-351986,,-241957,,,,0,0,351986,342112,-404082,,-756068,-758465,23768100.0,6298251.0,-6294554.0,182575.0,3697.0,398371.0,-30461025.0,1697.0,6298251.0,3697.0,833945.0,,383134.0,41500.0,41500.0,-3000.0,517.0,-40983.0,203604.0,,-6294554.0,en-US,US,EQUITY,Delayed Quote,False,USD,-2.228,0.011128888,-0.003128888,-0.2811501,0.01741007,-0.009410069,-0.5404958,25149,-0.0035906646,15,0,False,PREPRE,4,0.0,0.0,1630524260,0.008,0.008,0.007 - 0.008,0.007,159815,0.008,0.0,0.0,0,0,Other OTC,USD,0.007,182047,100028,0.0045000003,1.2857143,0.0035 - 0.068,-0.060000002,-0.88235295,0.0035,0.068,1578355200,1593448200,1593534600,-1.642,1263479400000,GREEN ENVIROTECH HOLDINGS CORP,PNK,Green EnviroTech Holdings Corp.,finmb_53569336,America/New_York,EDT,-14400000,us_market,False,Green EnviroTech,1.84,-4.76%,30.90%,0.0680,0.0035,0.0111,0.0174,182.05k,100.03k,3.14M,,2.95M,0.00%,0.00%,,,,,,,,,,,0.00%,"Jan 06, 2020",,,,"Dec 30, 2018","Sep 29, 2019",0.00%,0.00%,-153.59%,,,,,-1.92M,,-3.26M,-1.6420,,9.49k,0,2.76M,,0.00,-2.23,-207.68k,278.77k,Value,95327,Industrials,5,"Green EnviroTech Holdings Corp. operates as a plastics recovery, separation, cleaning, and recycling company. The company transforms unusable scrap tires into various end products, such as carbon black, oil, and steel. It also offers Generation One, which produces a blend stock oil, char/carbon, and steel. The company was founded in 2008 and is based in Jamestown, California.",Jamestown,209-881-3523,CA,1546214400,United States,http://www.greenenvirotech.com,86400,14699 Holman Mountain Road,209-881-3529,Waste Management
t-3,GETH,-5897630.0,3143680,,,-1677315,,-1677315,9064,-461851,-470915,-470915,,-293209,,,,0,0,470915,461851,-1206400,,-1677315,-1677985,23650375.0,5900810.0,-5897630.0,120004.0,3180.0,156952.0,-29704957.0,1180.0,5862607.0,3180.0,842563.0,38203.0,521266.0,41500.0,22903.0,110096.0,992.0,-21911.0,913191.0,-17097.0,-5859427.0,en-US,US,EQUITY,Delayed Quote,False,USD,-2.228,0.011128888,-0.003128888,-0.2811501,0.01741007,-0.009410069,-0.5404958,25149,-0.0035906646,15,0,False,PREPRE,4,0.0,0.0,1630524260,0.008,0.008,0.007 - 0.008,0.007,159815,0.008,0.0,0.0,0,0,Other OTC,USD,0.007,182047,100028,0.0045000003,1.2857143,0.0035 - 0.068,-0.060000002,-0.88235295,0.0035,0.068,1578355200,1593448200,1593534600,-1.642,1263479400000,GREEN ENVIROTECH HOLDINGS CORP,PNK,Green EnviroTech Holdings Corp.,finmb_53569336,America/New_York,EDT,-14400000,us_market,False,Green EnviroTech,1.84,-4.76%,30.90%,0.0680,0.0035,0.0111,0.0174,182.05k,100.03k,3.14M,,2.95M,0.00%,0.00%,,,,,,,,,,,0.00%,"Jan 06, 2020",,,,"Dec 30, 2018","Sep 29, 2019",0.00%,0.00%,-153.59%,,,,,-1.92M,,-3.26M,-1.6420,,9.49k,0,2.76M,,0.00,-2.23,-207.68k,278.77k,Value,95327,Industrials,5,"Green EnviroTech Holdings Corp. operates as a plastics recovery, separation, cleaning, and recycling company. The company transforms unusable scrap tires into various end products, such as carbon black, oil, and steel. It also offers Generation One, which produces a blend stock oil, char/carbon, and steel. The company was founded in 2008 and is based in Jamestown, California.",Jamestown,209-881-3523,CA,1546214400,United States,http://www.greenenvirotech.com,86400,14699 Holman Mountain Road,209-881-3529,Waste Management
