Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,totalCashflowsFromInvestingActivities,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,currency,market,shortName,exchange,marketState,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestampStart,exchangeDataDelayedBy,earningsTimestampEnd,epsTrailingTwelveMonths,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry
t0,DREM,499818,34494500,,,-118296,,-118296,271929,164657,-108961,-108961,,-9335,,,,0,679147,788108,514490,-9335,,-118296,-118296,2183850,1115375,499818,295926,1615193,34494,2705,-1718526,683998,350202,1115375,22367,908828,555921,238284,14367.0,222000.0,222000.0,-1166.0,294683.0,72683.0,1689.0,-67145.0,243234.0,,,-206547,en-US,US,EQUITY,False,Delayed Quote,0.0425,1630071001,0.0,0.0425,0.0425,0.0425,10,0.014,0.059927776,-0.017427776,-0.290813,0.05715338,-0.014653381,-0.25638694,1466016,3.0357141,15,America/New_York,EDT,False,False,USD,us_market,DREAM HOMES & DEVELOPMENT CORPO,PNK,REGULAR,4,0.0,0.0425 - 0.0425,0.0425,0.0,0.0,0,0,finmb_133746303,Other OTC,Dream Homes & Development Corporation,USD,2841,2501,0.0145,0.51785713,0.028 - 0.085,-0.0425,-0.5,0.028,0.085,1605869940,0,1605960000,-0.006,-14400000,1.78,,,0.085,0.028,0.0599,0.0572,2.84k,2.5k,34.49M,,11.87M,57.88%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-7.33%,-6.99%,-7.57%,-40.06%,2.72M,0.08,-39.80%,785.1k,-181.38k,-199.25k,-0.0060,,350.2k,0.01,558.73k,111.79,0.81,0.01,-89.63k,-145.75k,Value,08731,Consumer Cyclical,13,"Dream Homes & Development Corporation engages in the residential construction business in the United States. It elevates/renovates, demolishes, and constructs new homes and single and multi-family homes. The company also offers engineering and structural design, infrastructure installation, soil studies, architectural and design/build, construction management, general contracting of residential single and multi-family construction, helical and timber pile installation, masonry foundations and concrete work, management of home elevation and moving projects, and finish requirements for interior construction, as well as turnkey solutions. The company was formerly known as The Virtual Learning Company, Inc. and changed its name to Dream Homes & Development Corporation in March 2017. Dream Homes & Development Corporation was incorporated in 2009 and is headquartered in Forked River, New Jersey.",Forked River,609 693 8881,NJ,1609372800,United States,http://www.dreamhomesltd.com,86400,314 South Main Street,609 693 3802,Residential Construction
t-1,DREM,504914,34494500,,,-272990,,-192844,38631,-240398,-282499,-282499,,-9335,,,,-80146,152768,435267,393166,9509,,-192844,-192844,2073480,869672,504914,187576,1374586,31664,2705,-1600230,814031,55519,869672,24056,536499,478275,332267,-184738.0,62241.0,62241.0,-29591.0,-115396.0,-96055.0,3470.0,431495.0,-43701.0,-81582.0,-1000.0,-333173,en-US,US,EQUITY,False,Delayed Quote,0.0425,1630071001,0.0,0.0425,0.0425,0.0425,10,0.014,0.059927776,-0.017427776,-0.290813,0.05715338,-0.014653381,-0.25638694,1466016,3.0357141,15,America/New_York,EDT,False,False,USD,us_market,DREAM HOMES & DEVELOPMENT CORPO,PNK,REGULAR,4,0.0,0.0425 - 0.0425,0.0425,0.0,0.0,0,0,finmb_133746303,Other OTC,Dream Homes & Development Corporation,USD,2841,2501,0.0145,0.51785713,0.028 - 0.085,-0.0425,-0.5,0.028,0.085,1605869940,0,1605960000,-0.006,-14400000,1.78,,,0.085,0.028,0.0599,0.0572,2.84k,2.5k,34.49M,,11.87M,57.88%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-7.33%,-6.99%,-7.57%,-40.06%,2.72M,0.08,-39.80%,785.1k,-181.38k,-199.25k,-0.0060,,350.2k,0.01,558.73k,111.79,0.81,0.01,-89.63k,-145.75k,Value,08731,Consumer Cyclical,13,"Dream Homes & Development Corporation engages in the residential construction business in the United States. It elevates/renovates, demolishes, and constructs new homes and single and multi-family homes. The company also offers engineering and structural design, infrastructure installation, soil studies, architectural and design/build, construction management, general contracting of residential single and multi-family construction, helical and timber pile installation, masonry foundations and concrete work, management of home elevation and moving projects, and finish requirements for interior construction, as well as turnkey solutions. The company was formerly known as The Virtual Learning Company, Inc. and changed its name to Dream Homes & Development Corporation in March 2017. Dream Homes & Development Corporation was incorporated in 2009 and is headquartered in Forked River, New Jersey.",Forked River,609 693 8881,NJ,1609372800,United States,http://www.dreamhomesltd.com,86400,314 South Main Street,609 693 3802,Residential Construction
t-2,DREM,692597,34494500,,,144673,,64527,417250,568700,149782,149782,,-5109,,,,80146,879126,729344,310426,-5109,,64527,64527,2068397,1114861,692597,231316,1807458,31586,2500,-1407386,689748,170915,1104559,48129,1069581,896166,551984,-99521.0,135895.0,135895.0,-2118.0,-99151.0,-156854.0,1668.0,-279556.0,78000.0,-78192.0,-1000.0,-34978,en-US,US,EQUITY,False,Delayed Quote,0.0425,1630071001,0.0,0.0425,0.0425,0.0425,10,0.014,0.059927776,-0.017427776,-0.290813,0.05715338,-0.014653381,-0.25638694,1466016,3.0357141,15,America/New_York,EDT,False,False,USD,us_market,DREAM HOMES & DEVELOPMENT CORPO,PNK,REGULAR,4,0.0,0.0425 - 0.0425,0.0425,0.0,0.0,0,0,finmb_133746303,Other OTC,Dream Homes & Development Corporation,USD,2841,2501,0.0145,0.51785713,0.028 - 0.085,-0.0425,-0.5,0.028,0.085,1605869940,0,1605960000,-0.006,-14400000,1.78,,,0.085,0.028,0.0599,0.0572,2.84k,2.5k,34.49M,,11.87M,57.88%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-7.33%,-6.99%,-7.57%,-40.06%,2.72M,0.08,-39.80%,785.1k,-181.38k,-199.25k,-0.0060,,350.2k,0.01,558.73k,111.79,0.81,0.01,-89.63k,-145.75k,Value,08731,Consumer Cyclical,13,"Dream Homes & Development Corporation engages in the residential construction business in the United States. It elevates/renovates, demolishes, and constructs new homes and single and multi-family homes. The company also offers engineering and structural design, infrastructure installation, soil studies, architectural and design/build, construction management, general contracting of residential single and multi-family construction, helical and timber pile installation, masonry foundations and concrete work, management of home elevation and moving projects, and finish requirements for interior construction, as well as turnkey solutions. The company was formerly known as The Virtual Learning Company, Inc. and changed its name to Dream Homes & Development Corporation in March 2017. Dream Homes & Development Corporation was incorporated in 2009 and is headquartered in Forked River, New Jersey.",Forked River,609 693 8881,NJ,1609372800,United States,http://www.dreamhomesltd.com,86400,314 South Main Street,609 693 3802,Residential Construction
t-3,DREM,542370,34494500,,,47368,,47368,207944,261411,51813,51813,,-4445,,,,0,1006687,954874,745276,-4445,,47368,47368,1985407,999332,542370,165652,1541702,28876,2500,-1471913,620629,270066,989030,49797,871276,598710,644723,-34845.0,135895.0,135895.0,-1965.0,90592.0,90592.0,1654.0,34679.0,43701.0,-78192.0,-1000.0,-117754,en-US,US,EQUITY,False,Delayed Quote,0.0425,1630071001,0.0,0.0425,0.0425,0.0425,10,0.014,0.059927776,-0.017427776,-0.290813,0.05715338,-0.014653381,-0.25638694,1466016,3.0357141,15,America/New_York,EDT,False,False,USD,us_market,DREAM HOMES & DEVELOPMENT CORPO,PNK,REGULAR,4,0.0,0.0425 - 0.0425,0.0425,0.0,0.0,0,0,finmb_133746303,Other OTC,Dream Homes & Development Corporation,USD,2841,2501,0.0145,0.51785713,0.028 - 0.085,-0.0425,-0.5,0.028,0.085,1605869940,0,1605960000,-0.006,-14400000,1.78,,,0.085,0.028,0.0599,0.0572,2.84k,2.5k,34.49M,,11.87M,57.88%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",-7.33%,-6.99%,-7.57%,-40.06%,2.72M,0.08,-39.80%,785.1k,-181.38k,-199.25k,-0.0060,,350.2k,0.01,558.73k,111.79,0.81,0.01,-89.63k,-145.75k,Value,08731,Consumer Cyclical,13,"Dream Homes & Development Corporation engages in the residential construction business in the United States. It elevates/renovates, demolishes, and constructs new homes and single and multi-family homes. The company also offers engineering and structural design, infrastructure installation, soil studies, architectural and design/build, construction management, general contracting of residential single and multi-family construction, helical and timber pile installation, masonry foundations and concrete work, management of home elevation and moving projects, and finish requirements for interior construction, as well as turnkey solutions. The company was formerly known as The Virtual Learning Company, Inc. and changed its name to Dream Homes & Development Corporation in March 2017. Dream Homes & Development Corporation was incorporated in 2009 and is headquartered in Forked River, New Jersey.",Forked River,609 693 8881,NJ,1609372800,United States,http://www.dreamhomesltd.com,86400,314 South Main Street,609 693 3802,Residential Construction
