Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeToAccountReceivables,effectOfExchangeRate,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,priceHint,shortName,exchange,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,exchangeDataDelayedBy,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,marketState,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,DLCR,-2836898.0,443355008,,,-128400,-140313,-122148,105303,20635,-84668,-84668,,-43404,,,,0,39300,123968,18665,-43732,,-128400,-122148,10092518.0,3157687.0,-2836898.0,10372.0,204976.0,443355.0,-13372771.0,-1.0,65254.0,2297.0,3157688.0,136184.0,3538.0,1241.0,0.0,-5259.0,73658.0,72538.0,49404.0,-1956.0,-69235.0,3181.0,-1120.0,328.0,-5259.0,,,-3154150.0,en-US,US,EQUITY,False,Delayed Quote,0.0043,1630503983,-0.00029999996,0.0042,0.0045,0.0042,121834,-0.0023581688,-0.3541768,1906426,-0.7166667,15,America/New_York,EDT,-14400000,False,False,USD,4,KIBUSH CAPITAL CORPORATION,PNK,-0.006,0.004094722,0.00020527793,0.050132323,0.006658169,0,finmb_10185549,Other OTC,Kibush Capital Corporation,USD,8849488,10838374,0.0033,3.2999997,0.001 - 0.0164,-0.0121,-0.7378049,0.001,0.0164,1503446400,1592328120,1592328120,1592328120,0.0,REGULAR,-6.5217385,0.0042 - 0.0045,0.0046,us_market,-2.21,,,0.0164,0.001,0.0041,0.0067,8.85M,10.84M,443.36M,,322.88M,45.18%,0.00%,,,,,,,,,,,0.00%,"Aug 22, 2017",,1:225,"Aug 22, 2017","Sep 29, 2019","Jun 29, 2020",137.71%,-253.10%,-124.22%,,150.45k,0.00,-29.30%,55.87k,-368.78k,207.19k,0.0000,,2.3k,0,2.72M,,0.00,-0.01,-209.52k,-1.48M,Value,85250,Basic Materials,"Kibush Capital Corporation, through its subsidiary, Aqua Mining Limited, operates as a mineral and natural resources exploration company in Papua New Guinea. The company primarily focuses on exploring gold. It is also involved in the timber logging and processing activities. The company was formerly known as David Loren Corporation and changed its name to Kibush Capital Corporation in August 2013. Kibush Capital Corporation was founded in 2005 and is based in Scottsdale, Arizona.",Scottsdale,480-757-9084,AZ,1577750400,United States,http://www.kibushcapital.com,86400,5635 N. Scottsdale Road,Other Industrial Metals & Mining,Suite 130
t-1,DLCR,-2964750.0,443355008,,,705514,-134062,707908,46633,14048,-32585,-32585,,-43404,,,,0,34181,66766,20133,738099,,705514,707908,9842518.0,3274369.0,-2964750.0,10044.0,200757.0,443355.0,-13250623.0,,62383.0,4253.0,3274369.0,134121.0,4253.0,,0.0,-7334.0,28026.0,14256.0,49404.0,1554.0,-5368.0,2962.0,-13770.0,-781503.0,-7334.0,15929.0,,-3270116.0,en-US,US,EQUITY,False,Delayed Quote,0.0043,1630503983,-0.00029999996,0.0042,0.0045,0.0042,121834,-0.0023581688,-0.3541768,1906426,-0.7166667,15,America/New_York,EDT,-14400000,False,False,USD,4,KIBUSH CAPITAL CORPORATION,PNK,-0.006,0.004094722,0.00020527793,0.050132323,0.006658169,0,finmb_10185549,Other OTC,Kibush Capital Corporation,USD,8849488,10838374,0.0033,3.2999997,0.001 - 0.0164,-0.0121,-0.7378049,0.001,0.0164,1503446400,1592328120,1592328120,1592328120,0.0,REGULAR,-6.5217385,0.0042 - 0.0045,0.0046,us_market,-2.21,,,0.0164,0.001,0.0041,0.0067,8.85M,10.84M,443.36M,,322.88M,45.18%,0.00%,,,,,,,,,,,0.00%,"Aug 22, 2017",,1:225,"Aug 22, 2017","Sep 29, 2019","Jun 29, 2020",137.71%,-253.10%,-124.22%,,150.45k,0.00,-29.30%,55.87k,-368.78k,207.19k,0.0000,,2.3k,0,2.72M,,0.00,-0.01,-209.52k,-1.48M,Value,85250,Basic Materials,"Kibush Capital Corporation, through its subsidiary, Aqua Mining Limited, operates as a mineral and natural resources exploration company in Papua New Guinea. The company primarily focuses on exploring gold. It is also involved in the timber logging and processing activities. The company was formerly known as David Loren Corporation and changed its name to Kibush Capital Corporation in August 2013. Kibush Capital Corporation was founded in 2005 and is based in Scottsdale, Arizona.",Scottsdale,480-757-9084,AZ,1577750400,United States,http://www.kibushcapital.com,86400,5635 N. Scottsdale Road,Other Industrial Metals & Mining,Suite 130
t-2,DLCR,-3672658.0,443355008,,,-238833,-131668,-230162,158513,8492,-150021,-150021,,-25345,,,,0,39276,189297,30784,-88812,,-238833,-230162,9842518.0,3972217.0,-3672658.0,791547.0,190891.0,443355.0,-13958531.0,1.0,61571.0,2699.0,3972216.0,126621.0,2699.0,,0.0,-3195.0,95983.0,95755.0,87845.0,476.0,-92084.0,2695.0,-228.0,63467.0,-3195.0,-15929.0,,-3969517.0,en-US,US,EQUITY,False,Delayed Quote,0.0043,1630503983,-0.00029999996,0.0042,0.0045,0.0042,121834,-0.0023581688,-0.3541768,1906426,-0.7166667,15,America/New_York,EDT,-14400000,False,False,USD,4,KIBUSH CAPITAL CORPORATION,PNK,-0.006,0.004094722,0.00020527793,0.050132323,0.006658169,0,finmb_10185549,Other OTC,Kibush Capital Corporation,USD,8849488,10838374,0.0033,3.2999997,0.001 - 0.0164,-0.0121,-0.7378049,0.001,0.0164,1503446400,1592328120,1592328120,1592328120,0.0,REGULAR,-6.5217385,0.0042 - 0.0045,0.0046,us_market,-2.21,,,0.0164,0.001,0.0041,0.0067,8.85M,10.84M,443.36M,,322.88M,45.18%,0.00%,,,,,,,,,,,0.00%,"Aug 22, 2017",,1:225,"Aug 22, 2017","Sep 29, 2019","Jun 29, 2020",137.71%,-253.10%,-124.22%,,150.45k,0.00,-29.30%,55.87k,-368.78k,207.19k,0.0000,,2.3k,0,2.72M,,0.00,-0.01,-209.52k,-1.48M,Value,85250,Basic Materials,"Kibush Capital Corporation, through its subsidiary, Aqua Mining Limited, operates as a mineral and natural resources exploration company in Papua New Guinea. The company primarily focuses on exploring gold. It is also involved in the timber logging and processing activities. The company was formerly known as David Loren Corporation and changed its name to Kibush Capital Corporation in August 2013. Kibush Capital Corporation was founded in 2005 and is based in Scottsdale, Arizona.",Scottsdale,480-757-9084,AZ,1577750400,United States,http://www.kibushcapital.com,86400,5635 N. Scottsdale Road,Other Industrial Metals & Mining,Suite 130
t-3,DLCR,-3442497.0,443355008,,,-151630,-122996,-148336,137309,23868,-113441,-113441,,-25345,,,,0,38212,151653,14344,-38189,,-151630,-148336,9842517.0,3738873.0,-3442497.0,728080.0,196380.0,443355.0,-13728369.0,,52106.0,2224.0,3738873.0,126121.0,18153.0,15929.0,0.0,-23453.0,74095.0,97507.0,100364.0,-770.0,-42836.0,3172.0,23412.0,12844.0,-23453.0,-10880.0,-31988.0,-3720720.0,en-US,US,EQUITY,False,Delayed Quote,0.0043,1630503983,-0.00029999996,0.0042,0.0045,0.0042,121834,-0.0023581688,-0.3541768,1906426,-0.7166667,15,America/New_York,EDT,-14400000,False,False,USD,4,KIBUSH CAPITAL CORPORATION,PNK,-0.006,0.004094722,0.00020527793,0.050132323,0.006658169,0,finmb_10185549,Other OTC,Kibush Capital Corporation,USD,8849488,10838374,0.0033,3.2999997,0.001 - 0.0164,-0.0121,-0.7378049,0.001,0.0164,1503446400,1592328120,1592328120,1592328120,0.0,REGULAR,-6.5217385,0.0042 - 0.0045,0.0046,us_market,-2.21,,,0.0164,0.001,0.0041,0.0067,8.85M,10.84M,443.36M,,322.88M,45.18%,0.00%,,,,,,,,,,,0.00%,"Aug 22, 2017",,1:225,"Aug 22, 2017","Sep 29, 2019","Jun 29, 2020",137.71%,-253.10%,-124.22%,,150.45k,0.00,-29.30%,55.87k,-368.78k,207.19k,0.0000,,2.3k,0,2.72M,,0.00,-0.01,-209.52k,-1.48M,Value,85250,Basic Materials,"Kibush Capital Corporation, through its subsidiary, Aqua Mining Limited, operates as a mineral and natural resources exploration company in Papua New Guinea. The company primarily focuses on exploring gold. It is also involved in the timber logging and processing activities. The company was formerly known as David Loren Corporation and changed its name to Kibush Capital Corporation in August 2013. Kibush Capital Corporation was founded in 2005 and is based in Scottsdale, Arizona.",Scottsdale,480-757-9084,AZ,1577750400,United States,http://www.kibushcapital.com,86400,5635 N. Scottsdale Road,Other Industrial Metals & Mining,Suite 130
