Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,inventory,accountsPayable,treasuryStock,otherStockholderEquity,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,netBorrowings,changeToOperatingActivities,issuanceOfStock,changeToInventory,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,priceHint,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,shortName,marketState,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry
t0,ISHI,-954124.0,213012992,,,173411,,173411,1140972,1415050,270779,270779,,-97368,,,,0,2206801,1936022,791751,-97368,,173411,173411,11056495.0,2103974.0,-954124.0,1149850.0,25554.0,10208.0,-12036173.0,44502.0,540875.0,2103974.0,43544.0,1061804.0,360868.0,149853.0,1217226.0,,,0.0,-12076.0,131275.0,466083.0,346884.0,6597.0,-12076.0,131275.0,166876.0,,,,,,-1042170.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.0501,1629728330,0.0,0.0501,0.0501,0.0501,4929,0,ISLET HLDGS INC,PRE,us_market,0.0,0.0501 - 0.0501,0.0501,0.0,0.0,0,0,finmb_269466,Other OTC,"Islet Holdings, Inc.",USD,1722,616,0.0401,4.01,0.01 - 1.0,-0.94990003,-0.94990003,0.01,1.0,-0.6868859,0.16707301,-0.11697301,-0.7001311,-96.396,-18.669,0.16000555,-0.109905556,10671951,-0.002683593,15,America/New_York,EDT,-14400000,False,False,31.58,,,1.0,0.01,0.16,0.1671,1.72k,616,213.01M,,,,,,,,,,,,,,,,,,,,"Sep 29, 2001","Jun 29, 2002",-112.12%,-102.68%,-200.80%,"-2,168.17%",4.14M,85.98,"1,391.10%",487.82k,-4.22M,-4.64M,-96.3960,,540.88k,10.58,429.04k,,0.50,-18.67,-1.66M,-1.59M,Value,95949,Healthcare,7,"Islet Holdings, Inc. offers skincare products in the United States. It provides acne-prone skin products, anti-aging products, berridroxies, botanical products, eye treatments, moisturizers and creams, sensitive skin products, toners and cleansers, and specialized products. The company also distributes skincare products of various other brands. It offers products online. Islet Holdings, Inc. was formerly known as Biozhem Cosmeceuticals, Inc. and changed its name to Islet Holdings, Inc. in May 2009. The company was incorporated in 1984 and is based in Grass Valley, California. It has a customer service center in Arizona.",Grass Valley,530-271-1911,CA,United States,http://www.revitacell.com,86400,11884 Tammy Way,Pharmaceutical Retailers
t-1,ISHI,-1455937.0,213012992,,,-1658733,,-1658733,2351097,705486,-1648909,-1648909,,-9824,,,,0,1576854,3225763,871368,-9824,,-1658733,-1658733,10729311.0,2074107.0,-1455937.0,618170.0,24338.0,65594.0,-12209586.0,18920.0,74792.0,2074107.0,34767.0,564483.0,,424097.0,879261.0,,,0.0,-150.0,701601.0,-28001.0,-729452.0,6597.0,-150.0,701601.0,929281.0,,,,,,-1509624.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.0501,1629728330,0.0,0.0501,0.0501,0.0501,4929,0,ISLET HLDGS INC,PRE,us_market,0.0,0.0501 - 0.0501,0.0501,0.0,0.0,0,0,finmb_269466,Other OTC,"Islet Holdings, Inc.",USD,1722,616,0.0401,4.01,0.01 - 1.0,-0.94990003,-0.94990003,0.01,1.0,-0.6868859,0.16707301,-0.11697301,-0.7001311,-96.396,-18.669,0.16000555,-0.109905556,10671951,-0.002683593,15,America/New_York,EDT,-14400000,False,False,31.58,,,1.0,0.01,0.16,0.1671,1.72k,616,213.01M,,,,,,,,,,,,,,,,,,,,"Sep 29, 2001","Jun 29, 2002",-112.12%,-102.68%,-200.80%,"-2,168.17%",4.14M,85.98,"1,391.10%",487.82k,-4.22M,-4.64M,-96.3960,,540.88k,10.58,429.04k,,0.50,-18.67,-1.66M,-1.59M,Value,95949,Healthcare,7,"Islet Holdings, Inc. offers skincare products in the United States. It provides acne-prone skin products, anti-aging products, berridroxies, botanical products, eye treatments, moisturizers and creams, sensitive skin products, toners and cleansers, and specialized products. The company also distributes skincare products of various other brands. It offers products online. Islet Holdings, Inc. was formerly known as Biozhem Cosmeceuticals, Inc. and changed its name to Islet Holdings, Inc. in May 2009. The company was incorporated in 1984 and is based in Grass Valley, California. It has a customer service center in Arizona.",Grass Valley,530-271-1911,CA,United States,http://www.revitacell.com,86400,11884 Tammy Way,Pharmaceutical Retailers
t-2,ISHI,10296.0,213012992,,,-859411,,-859411,1043761,187648,-859411,-859411,,-9824,,,,0,230669,1090080,43021,0,,-859411,-859411,10537581.0,407889.0,10296.0,418185.0,23568.0,,-10550853.0,21348.0,102793.0,407889.0,38065.0,358772.0,31323.0,170399.0,397728.0,,,0.0,-1600.0,45000.0,-453386.0,-496786.0,3298.0,-1600.0,45000.0,359327.0,,,,,,-49117.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.0501,1629728330,0.0,0.0501,0.0501,0.0501,4929,0,ISLET HLDGS INC,PRE,us_market,0.0,0.0501 - 0.0501,0.0501,0.0,0.0,0,0,finmb_269466,Other OTC,"Islet Holdings, Inc.",USD,1722,616,0.0401,4.01,0.01 - 1.0,-0.94990003,-0.94990003,0.01,1.0,-0.6868859,0.16707301,-0.11697301,-0.7001311,-96.396,-18.669,0.16000555,-0.109905556,10671951,-0.002683593,15,America/New_York,EDT,-14400000,False,False,31.58,,,1.0,0.01,0.16,0.1671,1.72k,616,213.01M,,,,,,,,,,,,,,,,,,,,"Sep 29, 2001","Jun 29, 2002",-112.12%,-102.68%,-200.80%,"-2,168.17%",4.14M,85.98,"1,391.10%",487.82k,-4.22M,-4.64M,-96.3960,,540.88k,10.58,429.04k,,0.50,-18.67,-1.66M,-1.59M,Value,95949,Healthcare,7,"Islet Holdings, Inc. offers skincare products in the United States. It provides acne-prone skin products, anti-aging products, berridroxies, botanical products, eye treatments, moisturizers and creams, sensitive skin products, toners and cleansers, and specialized products. The company also distributes skincare products of various other brands. It offers products online. Islet Holdings, Inc. was formerly known as Biozhem Cosmeceuticals, Inc. and changed its name to Islet Holdings, Inc. in May 2009. The company was incorporated in 1984 and is based in Grass Valley, California. It has a customer service center in Arizona.",Grass Valley,530-271-1911,CA,United States,http://www.revitacell.com,86400,11884 Tammy Way,Pharmaceutical Retailers
t-3,ISHI,819707.0,213012992,,,-2291630,,-2291630,2062471,72792,-2008265,-2008265,,-9824,,,,0,120885,2129150,48093,-283365,,-2291630,-2291630,10487781.0,354727.0,819707.0,1174434.0,22968.0,369967.0,-9691442.0,26538.0,556179.0,354727.0,39613.0,1108283.0,,57572.0,344566.0,400.0,400.0,113655.0,-14599.0,311060.0,-484028.0,-780489.0,18586.0,23155.0,-2213260.0,1919185.0,-175030.0,-508354.0,2699350.0,-31931.0,-37754.0,753556.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.0501,1629728330,0.0,0.0501,0.0501,0.0501,4929,0,ISLET HLDGS INC,PRE,us_market,0.0,0.0501 - 0.0501,0.0501,0.0,0.0,0,0,finmb_269466,Other OTC,"Islet Holdings, Inc.",USD,1722,616,0.0401,4.01,0.01 - 1.0,-0.94990003,-0.94990003,0.01,1.0,-0.6868859,0.16707301,-0.11697301,-0.7001311,-96.396,-18.669,0.16000555,-0.109905556,10671951,-0.002683593,15,America/New_York,EDT,-14400000,False,False,31.58,,,1.0,0.01,0.16,0.1671,1.72k,616,213.01M,,,,,,,,,,,,,,,,,,,,"Sep 29, 2001","Jun 29, 2002",-112.12%,-102.68%,-200.80%,"-2,168.17%",4.14M,85.98,"1,391.10%",487.82k,-4.22M,-4.64M,-96.3960,,540.88k,10.58,429.04k,,0.50,-18.67,-1.66M,-1.59M,Value,95949,Healthcare,7,"Islet Holdings, Inc. offers skincare products in the United States. It provides acne-prone skin products, anti-aging products, berridroxies, botanical products, eye treatments, moisturizers and creams, sensitive skin products, toners and cleansers, and specialized products. The company also distributes skincare products of various other brands. It offers products online. Islet Holdings, Inc. was formerly known as Biozhem Cosmeceuticals, Inc. and changed its name to Islet Holdings, Inc. in May 2009. The company was incorporated in 1984 and is based in Grass Valley, California. It has a customer service center in Arizona.",Grass Valley,530-271-1911,CA,United States,http://www.revitacell.com,86400,11884 Tammy Way,Pharmaceutical Retailers
