Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,priceEpsCurrentYear,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,currency,epsCurrentYear,market,shortName,exchange,marketState,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,exchangeDataDelayedBy,earningsTimestampEnd,trailingPE,epsTrailingTwelveMonths,epsForward,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jul 29, 2021) 4","Short Ratio (Jul 29, 2021) 4","Short % of Float (Jul 29, 2021) 4","Short % of Shares Outstanding (Jul 29, 2021) 4","Shares Short (prior month Jun 29, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,state,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry
t0,ELF,18746000,51649900,,,9804000,,8276000,50749000,61906000,11157000,11157000,,-745000,,,,1528000,97047000,85890000,35141000,-1353000,,8276000,8276000,92256000,779137000,215770000,282622000,3317000,498392000,508000,-497023000,18486000,171620000,10880000,63402000,82977000,31479000,38030000,182731000,2875000,43127000,94029000,54528000,17113000,-7419000,-2336000,1286000,478000,-8148000,463000,5634000,7492000,6222000,2320000,-2971000,-1271000,9094000,-2336000,99754000,en-US,US,EQUITY,True,Nasdaq Real Time Price,30.875,1630508512,-0.07500076,31.05,31.08,30.555,110052,44.746376,5.227,28.17389,2.7011108,0.09587284,27.887247,2.987753,0.10713689,1594690688,39.08228,5.90683,15,America/New_York,EDT,False,False,USD,0.69,us_market,"e.l.f. Beauty, Inc.",NYQ,REGULAR,2,-0.2423288,30.555 - 31.08,30.95,30.85,30.87,8,10,finmb_104554559,NYSE,"e.l.f. Beauty, Inc.",USD,427992,352816,13.555,0.78262126,17.32 - 31.29,-0.41500092,-0.013263052,17.32,31.29,1622059200,1635850740,0,1636372800,257.2917,0.12,0.79,-14400000,2.06,,,31.29,17.32,28.17,27.89,427.99k,352.82k,51.65M,,47.94M,8.13%,96.06%,2.41M,5.98,5.84%,4.65%,2.32M,,,,,,0.00%,,,,,"Mar 30, 2021","Jun 29, 2021",3.71%,5.76%,2.63%,4.89%,350.63M,7.04,50.40%,206.2M,39.96M,13M,0.12,447.40%,63.4M,1.22,150.72M,53.33,2.20,5.23,25.14M,25.59M,Value,94607,Consumer Defensive,267,10,6,"e.l.f. Beauty, Inc., together with its subsidiaries, provides cosmetic and skin care products under the e.l.f., W3LL PEOPLE, and Keys Soulcare brand names worldwide. The company offers eye, lip, face, and skin care products. It sells its products through national and international retailers and direct-to-consumer channels, which include e-commerce platforms in the United States; and internationally primarily through distributors. The company was formerly known as J.A. Cosmetics Holdings, Inc. and changed its name to e.l.f. Beauty, Inc. in April 2016. e.l.f. Beauty, Inc. was founded in 2004 and is headquartered in Oakland, California.",Oakland,510 778 7787,CA,8,1640908800,1625097600,8,United States,http://www.elfcosmetics.com,86400,10,570 10th Street,Household & Personal Products
t-1,ELF,-5960000,51649900,,,-2784000,,-24000,57600000,58600000,773000,773000,,-867000,,,,-2760000,92671000,91898000,34071000,-3557000,,-24000,-24000,103986000,774441000,217747000,269646000,4954000,487393000,504000,-505299000,14077000,171620000,1207000,57768000,73331000,15469000,37561000,170144000,2875000,40185000,108867000,56810000,15699000,6051000,-2516000,-3093000,-2680000,-5546000,621000,22329000,27525000,1171000,11414000,4341000,-208000,4712000,-2516000,96813000,en-US,US,EQUITY,True,Nasdaq Real Time Price,30.875,1630508512,-0.07500076,31.05,31.08,30.555,110052,44.746376,5.227,28.17389,2.7011108,0.09587284,27.887247,2.987753,0.10713689,1594690688,39.08228,5.90683,15,America/New_York,EDT,False,False,USD,0.69,us_market,"e.l.f. Beauty, Inc.",NYQ,REGULAR,2,-0.2423288,30.555 - 31.08,30.95,30.85,30.87,8,10,finmb_104554559,NYSE,"e.l.f. Beauty, Inc.",USD,427992,352816,13.555,0.78262126,17.32 - 31.29,-0.41500092,-0.013263052,17.32,31.29,1622059200,1635850740,0,1636372800,257.2917,0.12,0.79,-14400000,2.06,,,31.29,17.32,28.17,27.89,427.99k,352.82k,51.65M,,47.94M,8.13%,96.06%,2.41M,5.98,5.84%,4.65%,2.32M,,,,,,0.00%,,,,,"Mar 30, 2021","Jun 29, 2021",3.71%,5.76%,2.63%,4.89%,350.63M,7.04,50.40%,206.2M,39.96M,13M,0.12,447.40%,63.4M,1.22,150.72M,53.33,2.20,5.23,25.14M,25.59M,Value,94607,Consumer Defensive,267,10,6,"e.l.f. Beauty, Inc., together with its subsidiaries, provides cosmetic and skin care products under the e.l.f., W3LL PEOPLE, and Keys Soulcare brand names worldwide. The company offers eye, lip, face, and skin care products. It sells its products through national and international retailers and direct-to-consumer channels, which include e-commerce platforms in the United States; and internationally primarily through distributors. The company was formerly known as J.A. Cosmetics Holdings, Inc. and changed its name to e.l.f. Beauty, Inc. in April 2016. e.l.f. Beauty, Inc. was founded in 2004 and is headquartered in Oakland, California.",Oakland,510 778 7787,CA,8,1640908800,1625097600,8,United States,http://www.elfcosmetics.com,86400,10,570 10th Street,Household & Personal Products
t-2,ELF,-3335000,51649900,,,4759000,,4297000,50580000,57119000,6291000,6291000,,-855000,,,,462000,88562000,82271000,31443000,-1532000,,4297000,4297000,96317000,769380000,216303000,264602000,3498000,480905000,497000,-505275000,16832000,171620000,11094000,35439000,66680000,14438000,38710000,160289000,2875000,44555000,112827000,68567000,20108000,3459000,-1212000,-3094000,-2927000,-2704000,371000,-5602000,-1463000,6211000,-4081000,-10747000,-204000,1889000,-1212000,93609000,en-US,US,EQUITY,True,Nasdaq Real Time Price,30.875,1630508512,-0.07500076,31.05,31.08,30.555,110052,44.746376,5.227,28.17389,2.7011108,0.09587284,27.887247,2.987753,0.10713689,1594690688,39.08228,5.90683,15,America/New_York,EDT,False,False,USD,0.69,us_market,"e.l.f. Beauty, Inc.",NYQ,REGULAR,2,-0.2423288,30.555 - 31.08,30.95,30.85,30.87,8,10,finmb_104554559,NYSE,"e.l.f. Beauty, Inc.",USD,427992,352816,13.555,0.78262126,17.32 - 31.29,-0.41500092,-0.013263052,17.32,31.29,1622059200,1635850740,0,1636372800,257.2917,0.12,0.79,-14400000,2.06,,,31.29,17.32,28.17,27.89,427.99k,352.82k,51.65M,,47.94M,8.13%,96.06%,2.41M,5.98,5.84%,4.65%,2.32M,,,,,,0.00%,,,,,"Mar 30, 2021","Jun 29, 2021",3.71%,5.76%,2.63%,4.89%,350.63M,7.04,50.40%,206.2M,39.96M,13M,0.12,447.40%,63.4M,1.22,150.72M,53.33,2.20,5.23,25.14M,25.59M,Value,94607,Consumer Defensive,267,10,6,"e.l.f. Beauty, Inc., together with its subsidiaries, provides cosmetic and skin care products under the e.l.f., W3LL PEOPLE, and Keys Soulcare brand names worldwide. The company offers eye, lip, face, and skin care products. It sells its products through national and international retailers and direct-to-consumer channels, which include e-commerce platforms in the United States; and internationally primarily through distributors. The company was formerly known as J.A. Cosmetics Holdings, Inc. and changed its name to e.l.f. Beauty, Inc. in April 2016. e.l.f. Beauty, Inc. was founded in 2004 and is headquartered in Oakland, California.",Oakland,510 778 7787,CA,8,1640908800,1625097600,8,United States,http://www.elfcosmetics.com,86400,10,570 10th Street,Household & Personal Products
t-3,ELF,-15315000,51649900,,,204000,,447000,44923000,47138000,1968000,1968000,,-905000,,,,-243000,72350000,70382000,25212000,-1764000,,447000,447000,98348000,763731000,218771000,254653000,2148000,473424000,494000,-509572000,19982000,171620000,9404000,41041000,61027000,13407000,39417000,151760000,2875000,33844000,116778000,64486000,20544000,2071000,-1591000,-3094000,-3182000,-4870000,113000,-13183000,-8410000,6168000,-11727000,-3949000,-201000,3236000,-1591000,90733000,en-US,US,EQUITY,True,Nasdaq Real Time Price,30.875,1630508512,-0.07500076,31.05,31.08,30.555,110052,44.746376,5.227,28.17389,2.7011108,0.09587284,27.887247,2.987753,0.10713689,1594690688,39.08228,5.90683,15,America/New_York,EDT,False,False,USD,0.69,us_market,"e.l.f. Beauty, Inc.",NYQ,REGULAR,2,-0.2423288,30.555 - 31.08,30.95,30.85,30.87,8,10,finmb_104554559,NYSE,"e.l.f. Beauty, Inc.",USD,427992,352816,13.555,0.78262126,17.32 - 31.29,-0.41500092,-0.013263052,17.32,31.29,1622059200,1635850740,0,1636372800,257.2917,0.12,0.79,-14400000,2.06,,,31.29,17.32,28.17,27.89,427.99k,352.82k,51.65M,,47.94M,8.13%,96.06%,2.41M,5.98,5.84%,4.65%,2.32M,,,,,,0.00%,,,,,"Mar 30, 2021","Jun 29, 2021",3.71%,5.76%,2.63%,4.89%,350.63M,7.04,50.40%,206.2M,39.96M,13M,0.12,447.40%,63.4M,1.22,150.72M,53.33,2.20,5.23,25.14M,25.59M,Value,94607,Consumer Defensive,267,10,6,"e.l.f. Beauty, Inc., together with its subsidiaries, provides cosmetic and skin care products under the e.l.f., W3LL PEOPLE, and Keys Soulcare brand names worldwide. The company offers eye, lip, face, and skin care products. It sells its products through national and international retailers and direct-to-consumer channels, which include e-commerce platforms in the United States; and internationally primarily through distributors. The company was formerly known as J.A. Cosmetics Holdings, Inc. and changed its name to e.l.f. Beauty, Inc. in April 2016. e.l.f. Beauty, Inc. was founded in 2004 and is headquartered in Oakland, California.",Oakland,510 778 7787,CA,8,1640908800,1625097600,8,United States,http://www.elfcosmetics.com,86400,10,570 10th Street,Household & Personal Products
