Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,deferredLongTermAssetCharges,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,gmtOffSetMilliseconds,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,priceHint,shortName,longName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchange,market,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,exchangeDataDelayedBy,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jun 14, 2021) 4","Short Ratio (Jun 14, 2021) 4","Short % of Float (Jun 14, 2021) 4","Short % of Shares Outstanding (Jun 14, 2021) 4","Shares Short (prior month May 13, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,state,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry
t0,HPE,-2407000000.0,1305929984,503000000,,288000000,51000000,259000000,1180000000,2287000000,520000000,520000000,,-101000000,,,,29000000,6700000000,6180000000,4413000000,-232000000,,259000000,259000000,950000000.0,28538000000.0,37521000000.0,16560000000.0,82000000.0,3953000000.0,54132000000.0,13000000.0,2180000000.0,-8229000000.0,7245000000.0,17873000000.0,-3762000000.0,5269000000.0,3946000000.0,17980000000.0,2509000000.0,-3762000000.0,1554000000.0,16703000000.0,2640000000.0,2936000000.0,12296000000.0,3117000000.0,5533000000.0,,-3000000,325000000,-579000000,189000000,40000000,-296000000,283000000,822000000,639000000,-88000000,-156000000,-349000000,-14000000,7000000,254000000,-535000000,-1277000000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,-0.7761959,15.21 - 15.53,15.46,0.0,0.0,8,32,finmb_273983758,NYSE,USD,8285678,7784585,7.0550003,0.85153896,8.285 - 16.74,-1.3999996,-0.083632,8.285,16.74,1625616000,1622563500,1638183540,1638532800,0.48,31.11562,0.031047864,0.493,1.95,1.89,8.116403,-14400000,12.698,14.635428,0.7045717,0.048141517,15.231812,0.10818863,2,Hewlett Packard Enterprise Comp,Hewlett Packard Enterprise Company,15.34,1630526578,-0.119999886,15.5,15.53,15.21,8075680,PRE,NYQ,us_market,0.007102808,20032966656,7.8666663,1.2080643,15,America/New_York,EDT,False,False,0,1.24,,,16.74,8.28,14.64,15.23,8.29M,7.78M,1.31B,,1.3B,0.29%,83.69%,26.05M,2.81,2.59%,1.99%,24.38M,0.48,3.29%,0.48,3.10%,2.61,97.96%,"Jul 06, 2021","Jun 14, 2021",1289:1000,"Aug 31, 2017","Oct 30, 2020","Apr 29, 2021",2.35%,7.10%,2.25%,3.94%,27.56B,21.22,11.50%,8.5B,4.56B,648M,0.49,,3.95B,3.02,15.83B,95.28,0.93,12.70,4B,2.37B,Value,77070,Technology,59400,7,7,"Hewlett Packard Enterprise Company provides solutions that allow customers to capture, analyze, and act upon data seamlessly. The company offers general purpose servers for multi-workload computing and workload-optimized servers; HPE ProLiant rack and tower servers; HPE BladeSystem, HPE Synergy, and HPE ProLiant; storage solutions; and solutions for secondary workloads and traditional tape, storage networking, and disk products, such as HPE Modular Storage Arrays and HPE XP. It also offers HPE Apollo and Cray products; and HPE Superdome Flex, HPE Nonstop, HPE Integrity, HPE Moonshot, and HPE Edgeline products. Additionally, the company provides mobility and Internet of Things solutions under the Aruba brand, which include Wi-Fi access points, switches, routers, and sensors; such as cloud-based management, network management, network access control, analytics and assurance, and location services; and professional and support services, as well as as-a-service and consumption models for the intelligent edge portfolio of products. In addition, it offers various leasing, financing, IT consumption, and utility programs and asset management services for customers to facilitate technology deployment models and the acquisition of complete IT solutions, including hardware, software, and services from Hewlett Packard Enterprise and others. Further, the company invests in communications and media solutions, Hewlett Packard labs, and various business incubation projects. It serves commercial and large enterprise groups, including business and public sector enterprises; and through various partners comprising resellers, distribution partners, original equipment manufacturers, independent software vendors, systems integrators, and advisory firms. The company has strategic alliances with The Swiss National Supercomputing Centre and NVIDIA; Citrix Systems, Inc.; and Wipro Limited. Hewlett Packard Enterprise Company was founded in 1939 and is headquartered in Houston, Texas.",Houston,650 687 5817,TX,4,1609372800,1625097600,2,United States,http://www.hpe.com,86400,4,11445 Compaq Center West Drive,Communication Equipment
t-1,HPE,-2798000000.0,1305929984,468000000,,205000000,47000000,223000000,1142000000,2288000000,552000000,552000000,16000000.0,-101000000,,,,-18000000,6833000000,6281000000,4545000000,-347000000,,223000000,223000000,993000000.0,28427000000.0,37192000000.0,16212000000.0,81000000.0,4015000000.0,53451000000.0,13000000.0,2300000000.0,-8332000000.0,7298000000.0,17873000000.0,-3896000000.0,5011000000.0,3452000000.0,17931000000.0,2713000000.0,-3896000000.0,1566000000.0,16072000000.0,2714000000.0,2933000000.0,11963000000.0,2791000000.0,5196000000.0,,-6000000,-161000000,-652000000,-262000000,-459000000,-402000000,-148000000,963000000,674000000,-246000000,-155000000,-148000000,446000000,-42000000,365000000,-513000000,-1859000000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,-0.7761959,15.21 - 15.53,15.46,0.0,0.0,8,32,finmb_273983758,NYSE,USD,8285678,7784585,7.0550003,0.85153896,8.285 - 16.74,-1.3999996,-0.083632,8.285,16.74,1625616000,1622563500,1638183540,1638532800,0.48,31.11562,0.031047864,0.493,1.95,1.89,8.116403,-14400000,12.698,14.635428,0.7045717,0.048141517,15.231812,0.10818863,2,Hewlett Packard Enterprise Comp,Hewlett Packard Enterprise Company,15.34,1630526578,-0.119999886,15.5,15.53,15.21,8075680,PRE,NYQ,us_market,0.007102808,20032966656,7.8666663,1.2080643,15,America/New_York,EDT,False,False,0,1.24,,,16.74,8.28,14.64,15.23,8.29M,7.78M,1.31B,,1.3B,0.29%,83.69%,26.05M,2.81,2.59%,1.99%,24.38M,0.48,3.29%,0.48,3.10%,2.61,97.96%,"Jul 06, 2021","Jun 14, 2021",1289:1000,"Aug 31, 2017","Oct 30, 2020","Apr 29, 2021",2.35%,7.10%,2.25%,3.94%,27.56B,21.22,11.50%,8.5B,4.56B,648M,0.49,,3.95B,3.02,15.83B,95.28,0.93,12.70,4B,2.37B,Value,77070,Technology,59400,7,7,"Hewlett Packard Enterprise Company provides solutions that allow customers to capture, analyze, and act upon data seamlessly. The company offers general purpose servers for multi-workload computing and workload-optimized servers; HPE ProLiant rack and tower servers; HPE BladeSystem, HPE Synergy, and HPE ProLiant; storage solutions; and solutions for secondary workloads and traditional tape, storage networking, and disk products, such as HPE Modular Storage Arrays and HPE XP. It also offers HPE Apollo and Cray products; and HPE Superdome Flex, HPE Nonstop, HPE Integrity, HPE Moonshot, and HPE Edgeline products. Additionally, the company provides mobility and Internet of Things solutions under the Aruba brand, which include Wi-Fi access points, switches, routers, and sensors; such as cloud-based management, network management, network access control, analytics and assurance, and location services; and professional and support services, as well as as-a-service and consumption models for the intelligent edge portfolio of products. In addition, it offers various leasing, financing, IT consumption, and utility programs and asset management services for customers to facilitate technology deployment models and the acquisition of complete IT solutions, including hardware, software, and services from Hewlett Packard Enterprise and others. Further, the company invests in communications and media solutions, Hewlett Packard labs, and various business incubation projects. It serves commercial and large enterprise groups, including business and public sector enterprises; and through various partners comprising resellers, distribution partners, original equipment manufacturers, independent software vendors, systems integrators, and advisory firms. The company has strategic alliances with The Swiss National Supercomputing Centre and NVIDIA; Citrix Systems, Inc.; and Wipro Limited. Hewlett Packard Enterprise Company was founded in 1939 and is headquartered in Houston, Texas.",Houston,650 687 5817,TX,4,1609372800,1625097600,2,United States,http://www.hpe.com,86400,4,11445 Compaq Center West Drive,Communication Equipment
t-2,HPE,-3071000000.0,1305929984,484000000,,125000000,47000000,157000000,1126000000,2233000000,529000000,529000000,15000000.0,-178000000,,,,-32000000,7208000000,6679000000,4975000000,-404000000,,157000000,157000000,1103000000.0,28350000000.0,37919000000.0,16049000000.0,76000000.0,4280000000.0,54015000000.0,13000000.0,1782000000.0,-8375000000.0,6097000000.0,17873000000.0,-3939000000.0,3989000000.0,3504000000.0,18738000000.0,2770000000.0,-3939000000.0,2528000000.0,16556000000.0,2685000000.0,4073000000.0,12133000000.0,2674000000.0,5383000000.0,1778000000.0,-4000000,-656000000,-1424000000,-3483000000,-3639000000,-21000000,-4316000000,747000000,652000000,-43000000,-154000000,726000000,-530000000,-2000000,456000000,-604000000,-2182000000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,-0.7761959,15.21 - 15.53,15.46,0.0,0.0,8,32,finmb_273983758,NYSE,USD,8285678,7784585,7.0550003,0.85153896,8.285 - 16.74,-1.3999996,-0.083632,8.285,16.74,1625616000,1622563500,1638183540,1638532800,0.48,31.11562,0.031047864,0.493,1.95,1.89,8.116403,-14400000,12.698,14.635428,0.7045717,0.048141517,15.231812,0.10818863,2,Hewlett Packard Enterprise Comp,Hewlett Packard Enterprise Company,15.34,1630526578,-0.119999886,15.5,15.53,15.21,8075680,PRE,NYQ,us_market,0.007102808,20032966656,7.8666663,1.2080643,15,America/New_York,EDT,False,False,0,1.24,,,16.74,8.28,14.64,15.23,8.29M,7.78M,1.31B,,1.3B,0.29%,83.69%,26.05M,2.81,2.59%,1.99%,24.38M,0.48,3.29%,0.48,3.10%,2.61,97.96%,"Jul 06, 2021","Jun 14, 2021",1289:1000,"Aug 31, 2017","Oct 30, 2020","Apr 29, 2021",2.35%,7.10%,2.25%,3.94%,27.56B,21.22,11.50%,8.5B,4.56B,648M,0.49,,3.95B,3.02,15.83B,95.28,0.93,12.70,4B,2.37B,Value,77070,Technology,59400,7,7,"Hewlett Packard Enterprise Company provides solutions that allow customers to capture, analyze, and act upon data seamlessly. The company offers general purpose servers for multi-workload computing and workload-optimized servers; HPE ProLiant rack and tower servers; HPE BladeSystem, HPE Synergy, and HPE ProLiant; storage solutions; and solutions for secondary workloads and traditional tape, storage networking, and disk products, such as HPE Modular Storage Arrays and HPE XP. It also offers HPE Apollo and Cray products; and HPE Superdome Flex, HPE Nonstop, HPE Integrity, HPE Moonshot, and HPE Edgeline products. Additionally, the company provides mobility and Internet of Things solutions under the Aruba brand, which include Wi-Fi access points, switches, routers, and sensors; such as cloud-based management, network management, network access control, analytics and assurance, and location services; and professional and support services, as well as as-a-service and consumption models for the intelligent edge portfolio of products. In addition, it offers various leasing, financing, IT consumption, and utility programs and asset management services for customers to facilitate technology deployment models and the acquisition of complete IT solutions, including hardware, software, and services from Hewlett Packard Enterprise and others. Further, the company invests in communications and media solutions, Hewlett Packard labs, and various business incubation projects. It serves commercial and large enterprise groups, including business and public sector enterprises; and through various partners comprising resellers, distribution partners, original equipment manufacturers, independent software vendors, systems integrators, and advisory firms. The company has strategic alliances with The Swiss National Supercomputing Centre and NVIDIA; Citrix Systems, Inc.; and Wipro Limited. Hewlett Packard Enterprise Company was founded in 1939 and is headquartered in Houston, Texas.",Houston,650 687 5817,TX,4,1609372800,1625097600,2,United States,http://www.hpe.com,86400,4,11445 Compaq Center West Drive,Communication Equipment
t-3,HPE,-2121000000.0,1305929984,455000000,,-34000000,51000000,9000000,1103000000,2067000000,384000000,384000000,30000000.0,-178000000,,,,-43000000,6816000000,6432000000,4749000000,-418000000,,9000000,9000000,834000000.0,28275000000.0,42033000000.0,16155000000.0,74000000.0,4187000000.0,58239000000.0,13000000.0,2792000000.0,-8377000000.0,5791000000.0,17298000000.0,-3756000000.0,3983000000.0,7788000000.0,21610000000.0,4598000000.0,-3756000000.0,2660000000.0,21383000000.0,2807000000.0,2856000000.0,13676000000.0,3469000000.0,6001000000.0,,-4000000,504000000,-1050000000,2666000000,2525000000,144000000,2947000000,1472000000,642000000,-498000000,-154000000,-57000000,-254000000,13000000,444000000,-620000000,-227000000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,USD,-0.7761959,15.21 - 15.53,15.46,0.0,0.0,8,32,finmb_273983758,NYSE,USD,8285678,7784585,7.0550003,0.85153896,8.285 - 16.74,-1.3999996,-0.083632,8.285,16.74,1625616000,1622563500,1638183540,1638532800,0.48,31.11562,0.031047864,0.493,1.95,1.89,8.116403,-14400000,12.698,14.635428,0.7045717,0.048141517,15.231812,0.10818863,2,Hewlett Packard Enterprise Comp,Hewlett Packard Enterprise Company,15.34,1630526578,-0.119999886,15.5,15.53,15.21,8075680,PRE,NYQ,us_market,0.007102808,20032966656,7.8666663,1.2080643,15,America/New_York,EDT,False,False,0,1.24,,,16.74,8.28,14.64,15.23,8.29M,7.78M,1.31B,,1.3B,0.29%,83.69%,26.05M,2.81,2.59%,1.99%,24.38M,0.48,3.29%,0.48,3.10%,2.61,97.96%,"Jul 06, 2021","Jun 14, 2021",1289:1000,"Aug 31, 2017","Oct 30, 2020","Apr 29, 2021",2.35%,7.10%,2.25%,3.94%,27.56B,21.22,11.50%,8.5B,4.56B,648M,0.49,,3.95B,3.02,15.83B,95.28,0.93,12.70,4B,2.37B,Value,77070,Technology,59400,7,7,"Hewlett Packard Enterprise Company provides solutions that allow customers to capture, analyze, and act upon data seamlessly. The company offers general purpose servers for multi-workload computing and workload-optimized servers; HPE ProLiant rack and tower servers; HPE BladeSystem, HPE Synergy, and HPE ProLiant; storage solutions; and solutions for secondary workloads and traditional tape, storage networking, and disk products, such as HPE Modular Storage Arrays and HPE XP. It also offers HPE Apollo and Cray products; and HPE Superdome Flex, HPE Nonstop, HPE Integrity, HPE Moonshot, and HPE Edgeline products. Additionally, the company provides mobility and Internet of Things solutions under the Aruba brand, which include Wi-Fi access points, switches, routers, and sensors; such as cloud-based management, network management, network access control, analytics and assurance, and location services; and professional and support services, as well as as-a-service and consumption models for the intelligent edge portfolio of products. In addition, it offers various leasing, financing, IT consumption, and utility programs and asset management services for customers to facilitate technology deployment models and the acquisition of complete IT solutions, including hardware, software, and services from Hewlett Packard Enterprise and others. Further, the company invests in communications and media solutions, Hewlett Packard labs, and various business incubation projects. It serves commercial and large enterprise groups, including business and public sector enterprises; and through various partners comprising resellers, distribution partners, original equipment manufacturers, independent software vendors, systems integrators, and advisory firms. The company has strategic alliances with The Swiss National Supercomputing Centre and NVIDIA; Citrix Systems, Inc.; and Wipro Limited. Hewlett Packard Enterprise Company was founded in 1939 and is headquartered in Houston, Texas.",Houston,650 687 5817,TX,4,1609372800,1625097600,2,United States,http://www.hpe.com,86400,4,11445 Compaq Center West Drive,Communication Equipment
