Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,otherLiab,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,priceHint,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,shortName,marketState,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,maxAge,address1,fax,industry,address2
t0,FUTS,-205759.0,96114400,,,-686131,,-686131,350962,-54,-589523,-589523,,,,,,0,0,589523,54,-96608,,-686131,-686131,180.0,1861674.0,-205579.0,1656095.0,61587285.0,-61792864.0,676251.0,677985.0,171256.0,820276.0,835639.0,106507.0,1014167.0,171256.0,39810.0,-956.0,43639.0,-479267.0,-478311.0,18413.0,-80051.0,186009.0,-956.0,,,,,664383.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.0435,1630436736,0.0,0.0415,0.0435,0.0435,1,0,FUTURE SCIENCE HOLDINGS INC,POST,us_market,0.0,0.0435 - 0.0435,0.0435,0.0,0.0,0,0,finmb_8202745,Other OTC,Future Science Holdings Inc.,USD,60756,2483,0.040909998,15.795366,0.00259 - 0.05,-0.006500002,-0.13000004,0.00259,0.05,-0.005644869,0.03429451,0.00920549,0.26842463,-0.03,-0.002,0.043746945,-0.00024694577,4180976,-21.749998,15,America/New_York,EDT,-14400000,False,False,-0.44,,,0.05,0.0026,0.0437,0.0343,60.76k,2.48k,96.11M,,68.15M,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2015","Sep 29, 2016",0.00%,0.00%,-82.18%,-299.50%,,,,98.87k,-2.57M,-2.85M,-0.0300,,677.99k,0.01,1.01M,,4.88,-0.00,-2.48M,-1.5M,Value,Financial Services,10,"Future Science Holdings Inc. does not have significant operations. Previously, the company was engaged in the exploration and development of titanium deposits or reserves in Chile. Future Science Holdings Inc. was incorporated in 1998 and is headquartered in Santiago, Chile.",Santiago,56 22 657 1800,Chile,86400,Augusto LeguÃ­a Norte 100,56 22 657 1809,Shell Companies,Oficina 1401 Las Condes
t-1,FUTS,369495.0,96114400,,,-717153,,-717153,422966,-6758,-634688,-634688,,,,,,0,0,634688,6758,-82465,,-717153,-717153,,1811769.0,369495.0,2181264.0,61476228.0,-61106733.0,798338.0,1157252.0,131445.0,902771.0,1278493.0,26456.0,881986.0,131445.0,-273989.0,-956.0,52872.0,-859211.0,-859211.0,18032.0,-24576.0,84530.0,-956.0,,,,,1147048.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.0435,1630436736,0.0,0.0415,0.0435,0.0435,1,0,FUTURE SCIENCE HOLDINGS INC,POST,us_market,0.0,0.0435 - 0.0435,0.0435,0.0,0.0,0,0,finmb_8202745,Other OTC,Future Science Holdings Inc.,USD,60756,2483,0.040909998,15.795366,0.00259 - 0.05,-0.006500002,-0.13000004,0.00259,0.05,-0.005644869,0.03429451,0.00920549,0.26842463,-0.03,-0.002,0.043746945,-0.00024694577,4180976,-21.749998,15,America/New_York,EDT,-14400000,False,False,-0.44,,,0.05,0.0026,0.0437,0.0343,60.76k,2.48k,96.11M,,68.15M,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2015","Sep 29, 2016",0.00%,0.00%,-82.18%,-299.50%,,,,98.87k,-2.57M,-2.85M,-0.0300,,677.99k,0.01,1.01M,,4.88,-0.00,-2.48M,-1.5M,Value,Financial Services,10,"Future Science Holdings Inc. does not have significant operations. Previously, the company was engaged in the exploration and development of titanium deposits or reserves in Chile. Future Science Holdings Inc. was incorporated in 1998 and is headquartered in Santiago, Chile.",Santiago,56 22 657 1800,Chile,86400,Augusto LeguÃ­a Norte 100,56 22 657 1809,Shell Companies,Oficina 1401 Las Condes
t-2,FUTS,1076597.0,96114400,,,-736992,,-736992,457775,0,-710104,-710104,,,,,,0,0,710104,0,-26888,,-736992,-736992,,2010207.0,1076597.0,3086804.0,61467250.0,-60390653.0,837751.0,2016463.0,405423.0,920803.0,2166001.0,1880.0,767033.0,405423.0,270081.0,-956.0,49266.0,1619585.0,-380415.0,17563.0,323.0,19344.0,-956.0,2000000.0,2000000.0,,,1760578.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.0435,1630436736,0.0,0.0415,0.0435,0.0435,1,0,FUTURE SCIENCE HOLDINGS INC,POST,us_market,0.0,0.0435 - 0.0435,0.0435,0.0,0.0,0,0,finmb_8202745,Other OTC,Future Science Holdings Inc.,USD,60756,2483,0.040909998,15.795366,0.00259 - 0.05,-0.006500002,-0.13000004,0.00259,0.05,-0.005644869,0.03429451,0.00920549,0.26842463,-0.03,-0.002,0.043746945,-0.00024694577,4180976,-21.749998,15,America/New_York,EDT,-14400000,False,False,-0.44,,,0.05,0.0026,0.0437,0.0343,60.76k,2.48k,96.11M,,68.15M,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2015","Sep 29, 2016",0.00%,0.00%,-82.18%,-299.50%,,,,98.87k,-2.57M,-2.85M,-0.0300,,677.99k,0.01,1.01M,,4.88,-0.00,-2.48M,-1.5M,Value,Financial Services,10,"Future Science Holdings Inc. does not have significant operations. Previously, the company was engaged in the exploration and development of titanium deposits or reserves in Chile. Future Science Holdings Inc. was incorporated in 1998 and is headquartered in Santiago, Chile.",Santiago,56 22 657 1800,Chile,86400,Augusto LeguÃ­a Norte 100,56 22 657 1809,Shell Companies,Oficina 1401 Las Condes
t-3,FUTS,1399017.0,96114400,,,-707845,,-707845,548137,101275,-689016,-689016,,-67.0,,,,0,0,689016,-101275,-18829,,-707845,-707845,,135354.0,1399017.0,1534371.0,61052678.0,-59653661.0,,396878.0,135354.0,938366.0,596005.0,2203.0,,110751.0,-92070.0,-62711.0,41456.0,-824202.0,-761491.0,-5560.0,2454.0,74.0,-62711.0,2000000.0,2000000.0,245000.0,-245000.0,460651.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.0435,1630436736,0.0,0.0415,0.0435,0.0435,1,0,FUTURE SCIENCE HOLDINGS INC,POST,us_market,0.0,0.0435 - 0.0435,0.0435,0.0,0.0,0,0,finmb_8202745,Other OTC,Future Science Holdings Inc.,USD,60756,2483,0.040909998,15.795366,0.00259 - 0.05,-0.006500002,-0.13000004,0.00259,0.05,-0.005644869,0.03429451,0.00920549,0.26842463,-0.03,-0.002,0.043746945,-0.00024694577,4180976,-21.749998,15,America/New_York,EDT,-14400000,False,False,-0.44,,,0.05,0.0026,0.0437,0.0343,60.76k,2.48k,96.11M,,68.15M,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2015","Sep 29, 2016",0.00%,0.00%,-82.18%,-299.50%,,,,98.87k,-2.57M,-2.85M,-0.0300,,677.99k,0.01,1.01M,,4.88,-0.00,-2.48M,-1.5M,Value,Financial Services,10,"Future Science Holdings Inc. does not have significant operations. Previously, the company was engaged in the exploration and development of titanium deposits or reserves in Chile. Future Science Holdings Inc. was incorporated in 1998 and is headquartered in Santiago, Chile.",Santiago,56 22 657 1800,Chile,86400,Augusto LeguÃ­a Norte 100,56 22 657 1809,Shell Companies,Oficina 1401 Las Condes
