Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,marketState,shortName,market,exchangeDataDelayedBy,exchange,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,GRDAF,1007561,52762600,,,177311,65894,142986,601951,869777,239147,239147,,-186361,,,,30304,9972636,9733489,9102860,-61836,,147008,142986,253452,2360204,37963413,1261013,274541,39290320,50000,292680,-1372770,6439795,223579,10330768,6078691,26640231,1008520,1969666,223579,15303566,13402534,5833310,199447,1699888,-81421,339446,745590,615500,-463439,1707478,-322505,1075036,1238515,83340,-130090,143573,338401,-13237697,en-US,US,EQUITY,False,Delayed Quote,USD,2.525,-0.025000095,-0.009901027,2.534155,-0.034154892,-0.013477824,131906496,15,America/New_York,EDT,-14400000,4,0.0,2.5 - 2.5,2.5,finmb_658152979,PREPRE,GUARDFORCE AI CO. LTD,us_market,0,PNK,False,False,2.5,1628531683,0.0,2.5,2.5,2.5,200,Other OTC,"Guardforce AI Co., Limited",USD,4,0,0.0,0.0,2.5 - 2.55,-0.049999952,-0.019607825,2.5,2.55,,,,2.55,2.5,2.525,2.5342,4,,52.76M,,11.22M,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2019",-8.30%,-1.06%,-0.66%,,37.65M,0.73,8.40%,6.2M,2.07M,-3.13M,,,6.08M,0.12,27.86M,2099.86,2.11,,4.91M,2.62M,Value,10210,Industrials,1885,"Guardforce AI Co., Limited offers cash solutions and cash handling services in Thailand. The company's services include cash-in-transit, vehicles to banks, ATM management, cash center operations, cash processing, coin processing, and cheque center services, as well as cash deposit machine solutions comprising cash deposit management and express cash services. Its customers include local commercial banks, chain retailers, coin manufacturing mints, and government authorities. The company was incorporated in 2018 and is based in Bangkok, Thailand.",Bangkok,66 2 973 6011,1609372800,Thailand,http://www.guardforceai.com,86400,96 Vibhavadi Rangsit Road,Security & Protection Services,Talad Bangkhen Laksi
t-1,GRDAF,1007561,52762600,,,177311,65894,142986,601951,869777,239147,239147,,-186361,,,,30304,9972636,9733489,9102860,-61836,,147008,142986,253452,2360204,37963413,1261013,274541,39290320,50000,292680,-1372770,6439795,223579,10330768,6078691,26640231,1008520,1969666,223579,15303566,13402534,5833310,199447,1699888,-81421,339446,745590,615500,-463439,1707478,-322505,1075036,1238515,83340,-130090,143573,338401,-13237697,en-US,US,EQUITY,False,Delayed Quote,USD,2.525,-0.025000095,-0.009901027,2.534155,-0.034154892,-0.013477824,131906496,15,America/New_York,EDT,-14400000,4,0.0,2.5 - 2.5,2.5,finmb_658152979,PREPRE,GUARDFORCE AI CO. LTD,us_market,0,PNK,False,False,2.5,1628531683,0.0,2.5,2.5,2.5,200,Other OTC,"Guardforce AI Co., Limited",USD,4,0,0.0,0.0,2.5 - 2.55,-0.049999952,-0.019607825,2.5,2.55,,,,2.55,2.5,2.525,2.5342,4,,52.76M,,11.22M,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2019",-8.30%,-1.06%,-0.66%,,37.65M,0.73,8.40%,6.2M,2.07M,-3.13M,,,6.08M,0.12,27.86M,2099.86,2.11,,4.91M,2.62M,Value,10210,Industrials,1885,"Guardforce AI Co., Limited offers cash solutions and cash handling services in Thailand. The company's services include cash-in-transit, vehicles to banks, ATM management, cash center operations, cash processing, coin processing, and cheque center services, as well as cash deposit machine solutions comprising cash deposit management and express cash services. Its customers include local commercial banks, chain retailers, coin manufacturing mints, and government authorities. The company was incorporated in 2018 and is based in Bangkok, Thailand.",Bangkok,66 2 973 6011,1609372800,Thailand,http://www.guardforceai.com,86400,96 Vibhavadi Rangsit Road,Security & Protection Services,Talad Bangkhen Laksi
t-2,GRDAF,871711,52762600,,,-103036,61855,-115968,1645768,1399109,-294638,-294638,,-125564,,,,13933,9312904,9607542,7913795,191602,,-116969,-115968,244634,2360204,34834301,1116345,2081871,36012501,50000,385858,-1692763,6136894,398904,9269779,2859332,22630044,1009235,695090,398904,16369326,10128762,5827143,333457,1118522,-141599,-565202,-1480011,-1480011,-179200,-594400,29544,1421270,1384941,345763,-130090,117251,-555158,-12501282,en-US,US,EQUITY,False,Delayed Quote,USD,2.525,-0.025000095,-0.009901027,2.534155,-0.034154892,-0.013477824,131906496,15,America/New_York,EDT,-14400000,4,0.0,2.5 - 2.5,2.5,finmb_658152979,PREPRE,GUARDFORCE AI CO. LTD,us_market,0,PNK,False,False,2.5,1628531683,0.0,2.5,2.5,2.5,200,Other OTC,"Guardforce AI Co., Limited",USD,4,0,0.0,0.0,2.5 - 2.55,-0.049999952,-0.019607825,2.5,2.55,,,,2.55,2.5,2.525,2.5342,4,,52.76M,,11.22M,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2019",-8.30%,-1.06%,-0.66%,,37.65M,0.73,8.40%,6.2M,2.07M,-3.13M,,,6.08M,0.12,27.86M,2099.86,2.11,,4.91M,2.62M,Value,10210,Industrials,1885,"Guardforce AI Co., Limited offers cash solutions and cash handling services in Thailand. The company's services include cash-in-transit, vehicles to banks, ATM management, cash center operations, cash processing, coin processing, and cheque center services, as well as cash deposit machine solutions comprising cash deposit management and express cash services. Its customers include local commercial banks, chain retailers, coin manufacturing mints, and government authorities. The company was incorporated in 2018 and is based in Bangkok, Thailand.",Bangkok,66 2 973 6011,1609372800,Thailand,http://www.guardforceai.com,86400,96 Vibhavadi Rangsit Road,Security & Protection Services,Talad Bangkhen Laksi
t-3,GRDAF,871711,52762600,,,-103036,61855,-115968,1645768,1399109,-294638,-294638,,-125564,,,,13933,9312904,9607542,7913795,191602,,-116969,-115968,244634,2360204,34834301,1116345,2081871,36012501,50000,385858,-1692763,6136894,398904,9269779,2859332,22630044,1009235,695090,398904,16369326,10128762,5827143,333457,1118522,-141599,-565202,-1480011,-1480011,-179200,-594400,29544,1421270,1384941,345763,-130090,117251,-555158,-12501282,en-US,US,EQUITY,False,Delayed Quote,USD,2.525,-0.025000095,-0.009901027,2.534155,-0.034154892,-0.013477824,131906496,15,America/New_York,EDT,-14400000,4,0.0,2.5 - 2.5,2.5,finmb_658152979,PREPRE,GUARDFORCE AI CO. LTD,us_market,0,PNK,False,False,2.5,1628531683,0.0,2.5,2.5,2.5,200,Other OTC,"Guardforce AI Co., Limited",USD,4,0,0.0,0.0,2.5 - 2.55,-0.049999952,-0.019607825,2.5,2.55,,,,2.55,2.5,2.525,2.5342,4,,52.76M,,11.22M,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Dec 30, 2019",-8.30%,-1.06%,-0.66%,,37.65M,0.73,8.40%,6.2M,2.07M,-3.13M,,,6.08M,0.12,27.86M,2099.86,2.11,,4.91M,2.62M,Value,10210,Industrials,1885,"Guardforce AI Co., Limited offers cash solutions and cash handling services in Thailand. The company's services include cash-in-transit, vehicles to banks, ATM management, cash center operations, cash processing, coin processing, and cheque center services, as well as cash deposit machine solutions comprising cash deposit management and express cash services. Its customers include local commercial banks, chain retailers, coin manufacturing mints, and government authorities. The company was incorporated in 2018 and is based in Bangkok, Thailand.",Bangkok,66 2 973 6011,1609372800,Thailand,http://www.guardforceai.com,86400,96 Vibhavadi Rangsit Road,Security & Protection Services,Talad Bangkhen Laksi
