Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,capitalExpenditures,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,exchange,marketState,twoHundredDayAverageChangePercent,exchangeDataDelayedBy,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,priceHint,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry
t0,CYRP,-2513456,15593000,70133,,-122570,,-122570,270200,246421,-93912,-93912,,-28658,,,,0,300256,394168,53835,-28658,,-122570,-122570,187,6808950,2765468,-2513269,459880,254289,15593,-9337812,11645,22249,2765468,1420000,58236,184221,161972,224443,-37560.0,-2065.0,40000.0,40000.0,28623.0,-13785.0,-51720.0,2631.0,77033.0,-2065.0,,-2581247,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.7,1630077012,0.0,0.7,0.7,0.7,100,CYBRA CORPORATION,PNK,REGULAR,0.8083874,0,False,False,0.0,0.7 - 0.7,0.7,0.0,0.0,0,0,finmb_9647339,Other OTC,CYBRA Corporation,USD,234,156,0.659,16.07317,0.041 - 15.0,-14.3,-0.9533333,0.041,15.0,-0.012,4,-0.161,0.33166668,0.3683333,1.1105527,0.3870852,0.3129148,8430590,-4.347826,15,America/New_York,EDT,-14400000,5.99,,,15.0,0.041,0.3317,0.3871,234,156,15.59M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2011","Sep 29, 2012",-11.29%,-7.35%,-25.09%,,1.62M,0.10,-24.60%,1.41M,-109.32k,-182.99k,-0.0120,,22.25k,0,1.46M,,0.07,-0.16,63.01k,90.89k,Value,10701,Technology,12,"CYBRA Corporation develops barcode labelling and radio frequency identification (RFID) software, and hardware products in the United States. Its flagship product is MarkMagic, a bar code, RFID, and forms middleware solution that enables customers to integrate bar code labels, RFID technology, and electronic forms into their business systems. The company also offers EdgeMagic, an integrated RFID control solution to manage edge devices, as well as commission, write, read, and verify RFID tags. In addition, it provides hardware products, such as hawk loss prevention antennas, edgebox controllers, RFID cages and seals, and smart seals for warehouse, retail floor, and in transit applications. The company serves various industries, such as luxury goods, retail, consumer goods, apparel, health care, food processing, distribution, manufacturing, and hospitality. CYBRA Corporation was founded in 1985 and is headquartered in Yonkers, New York.",Yonkers,800-292-7288,NY,1325289600,United States,http://www.cybra.com,86400,28 Wells Avenue,914-963-6699,Software—Application
t-1,CYRP,-2438511,15593000,60002,,-42990,,-25093,324844,370242,-14604,-14604,,-28386,,,,-17897,484390,498994,114148,-28386,,-25093,-25093,312,6761514,2781905,-2438199,463086,345796,15529,-9215242,11645,36034,2781905,1420000,58800,275039,239005,258797,14548.0,-4061.0,-8203.0,-8203.0,28331.0,9264.0,21528.0,2956.0,658.0,-4061.0,,-2506866,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.7,1630077012,0.0,0.7,0.7,0.7,100,CYBRA CORPORATION,PNK,REGULAR,0.8083874,0,False,False,0.0,0.7 - 0.7,0.7,0.0,0.0,0,0,finmb_9647339,Other OTC,CYBRA Corporation,USD,234,156,0.659,16.07317,0.041 - 15.0,-14.3,-0.9533333,0.041,15.0,-0.012,4,-0.161,0.33166668,0.3683333,1.1105527,0.3870852,0.3129148,8430590,-4.347826,15,America/New_York,EDT,-14400000,5.99,,,15.0,0.041,0.3317,0.3871,234,156,15.59M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2011","Sep 29, 2012",-11.29%,-7.35%,-25.09%,,1.62M,0.10,-24.60%,1.41M,-109.32k,-182.99k,-0.0120,,22.25k,0,1.46M,,0.07,-0.16,63.01k,90.89k,Value,10701,Technology,12,"CYBRA Corporation develops barcode labelling and radio frequency identification (RFID) software, and hardware products in the United States. Its flagship product is MarkMagic, a bar code, RFID, and forms middleware solution that enables customers to integrate bar code labels, RFID technology, and electronic forms into their business systems. The company also offers EdgeMagic, an integrated RFID control solution to manage edge devices, as well as commission, write, read, and verify RFID tags. In addition, it provides hardware products, such as hawk loss prevention antennas, edgebox controllers, RFID cages and seals, and smart seals for warehouse, retail floor, and in transit applications. The company serves various industries, such as luxury goods, retail, consumer goods, apparel, health care, food processing, distribution, manufacturing, and hospitality. CYBRA Corporation was founded in 1985 and is headquartered in Yonkers, New York.",Yonkers,800-292-7288,NY,1325289600,United States,http://www.cybra.com,86400,28 Wells Avenue,914-963-6699,Software—Application
t-2,CYRP,-2413545,15593000,58775,,1201,,34785,289099,378163,30289,30289,,-29088,,,,-33584,452445,422156,74282,-29088,,34785,34785,438,6761514,2747229,-2413107,444756,336212,15529,-9190150,11645,26770,2747229,1420000,57696,266433,239663,254464,28989.0,-4061.0,-78619.0,-78619.0,28634.0,-27765.0,50854.0,1777.0,-43456.0,-4061.0,,-2480796,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.7,1630077012,0.0,0.7,0.7,0.7,100,CYBRA CORPORATION,PNK,REGULAR,0.8083874,0,False,False,0.0,0.7 - 0.7,0.7,0.0,0.0,0,0,finmb_9647339,Other OTC,CYBRA Corporation,USD,234,156,0.659,16.07317,0.041 - 15.0,-14.3,-0.9533333,0.041,15.0,-0.012,4,-0.161,0.33166668,0.3683333,1.1105527,0.3870852,0.3129148,8430590,-4.347826,15,America/New_York,EDT,-14400000,5.99,,,15.0,0.041,0.3317,0.3871,234,156,15.59M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2011","Sep 29, 2012",-11.29%,-7.35%,-25.09%,,1.62M,0.10,-24.60%,1.41M,-109.32k,-182.99k,-0.0120,,22.25k,0,1.46M,,0.07,-0.16,63.01k,90.89k,Value,10701,Technology,12,"CYBRA Corporation develops barcode labelling and radio frequency identification (RFID) software, and hardware products in the United States. Its flagship product is MarkMagic, a bar code, RFID, and forms middleware solution that enables customers to integrate bar code labels, RFID technology, and electronic forms into their business systems. The company also offers EdgeMagic, an integrated RFID control solution to manage edge devices, as well as commission, write, read, and verify RFID tags. In addition, it provides hardware products, such as hawk loss prevention antennas, edgebox controllers, RFID cages and seals, and smart seals for warehouse, retail floor, and in transit applications. The company serves various industries, such as luxury goods, retail, consumer goods, apparel, health care, food processing, distribution, manufacturing, and hospitality. CYBRA Corporation was founded in 1985 and is headquartered in Yonkers, New York.",Yonkers,800-292-7288,NY,1325289600,United States,http://www.cybra.com,86400,28 Wells Avenue,914-963-6699,Software—Application
t-3,CYRP,-2448456,15593000,59173,,-70112,,-70112,298093,316303,-40963,-40963,,-29149,,,,0,383822,424785,67519,-29149,,-70112,-70112,564,6761514,2768225,-2447892,424966,322423,15529,-9224935,11645,54535,2768225,1420000,59472,250742,196207,245265,24544.0,-2433.0,7380.0,7380.0,13633.0,47297.0,42350.0,2509.0,64143.0,-2433.0,7509.0,-2517483,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.7,1630077012,0.0,0.7,0.7,0.7,100,CYBRA CORPORATION,PNK,REGULAR,0.8083874,0,False,False,0.0,0.7 - 0.7,0.7,0.0,0.0,0,0,finmb_9647339,Other OTC,CYBRA Corporation,USD,234,156,0.659,16.07317,0.041 - 15.0,-14.3,-0.9533333,0.041,15.0,-0.012,4,-0.161,0.33166668,0.3683333,1.1105527,0.3870852,0.3129148,8430590,-4.347826,15,America/New_York,EDT,-14400000,5.99,,,15.0,0.041,0.3317,0.3871,234,156,15.59M,,,,,,,,,,,,,,,0.00%,,,,,"Dec 30, 2011","Sep 29, 2012",-11.29%,-7.35%,-25.09%,,1.62M,0.10,-24.60%,1.41M,-109.32k,-182.99k,-0.0120,,22.25k,0,1.46M,,0.07,-0.16,63.01k,90.89k,Value,10701,Technology,12,"CYBRA Corporation develops barcode labelling and radio frequency identification (RFID) software, and hardware products in the United States. Its flagship product is MarkMagic, a bar code, RFID, and forms middleware solution that enables customers to integrate bar code labels, RFID technology, and electronic forms into their business systems. The company also offers EdgeMagic, an integrated RFID control solution to manage edge devices, as well as commission, write, read, and verify RFID tags. In addition, it provides hardware products, such as hawk loss prevention antennas, edgebox controllers, RFID cages and seals, and smart seals for warehouse, retail floor, and in transit applications. The company serves various industries, such as luxury goods, retail, consumer goods, apparel, health care, food processing, distribution, manufacturing, and hospitality. CYBRA Corporation was founded in 1985 and is headquartered in Yonkers, New York.",Yonkers,800-292-7288,NY,1325289600,United States,http://www.cybra.com,86400,28 Wells Avenue,914-963-6699,Software—Application
