Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,ask,bid,regularMarketPreviousClose,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingPE,currency,marketState,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,market,priceHint,exchangeDataDelayedBy,twoHundredDayAverageChangePercent,shortName,exchange,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,EGPLF,10623508,99789696,,,180240,,180240,286089,461563,133786,133786,,,,,,0,3861728,3727942,3400165,46454,,180240,180240,4907268,1773231,10623508,647049,12396739,24271256,-18555016,99289,4825060,1744993,2311656,9985794,1844039,1071973,41221.0,800420.0,-79865.0,-6448.0,-6448.0,261563.0,-11661.0,74652.0,35810.0,40000.0,-1231329.0,27948.0,-168086.0,,,8240801,en-US,US,EQUITY,False,Delayed Quote,0.0,0.1321 - 0.1321,0.0,0.0,0.1321,0,0,finmb_882419,Other OTC,Eagle Plains Resources Ltd.,CAD,13942,10866,0.1021,3.4033334,0.03 - 0.18,-0.047900006,-0.26611114,0.03,0.18,1621022400,1637665140,1638187200,6.952632,USD,REGULAR,0.1321,1630433944,0.0,0.1323,0.1321,0.1321,14000,us_market,4,0,-0.024622742,EAGLE PLAINS RESOURCES,PNK,0.019,0.106,0.13111112,0.0009888858,0.007542349,0.13543478,-0.0033347756,13859932,1.2462264,15,America/New_York,EDT,-14400000,False,False,0.75,,,0.18,0.03,0.1311,0.1354,13.94k,10.87k,99.79M,,92.55M,6.56%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",28.01%,-6.52%,-3.46%,26.53%,8.37M,0.09,229.40%,1.03M,-378.83k,2.34M,0.0190,,8.13M,0.08,54.21k,0.51,5.72,0.11,573.46k,-763.2k,Value,V1C 2R7,Basic Materials,"Eagle Plains Resources Ltd., a junior resource company, acquires, explores for, and develops mineral resource properties in Western Canada. It explores for gold, silver, uranium, copper, molybdenum, graphite, lead, zinc, gypsum, and rare earth and industrial mineral projects in British Columbia, Yukon, the Northwest Territories, and Saskatchewan. The company was incorporated in 1994 and is headquartered in Cranbrook, Canada.",Cranbrook,250 426 0749,BC,1577750400,Canada,http://www.eagleplains.com,86400,44-12th Avenue South,250 426 6899,Other Industrial Metals & Mining,Suite 200
t-1,EGPLF,10437285,99789696,,,-113153,,-113153,624148,330982,-623347,-623347,,,,,,0,2075364,2698711,1744382,510194,,-113153,-113153,4901285,723595,10437285,391385,11160880,24271256,-18735256,99289,4836721,688909,2179678,8881913,612605,248086,48106.0,-130151.0,-35489.0,-17652.0,11682.0,34542.0,-245158.0,-221351.0,105359.0,100000.0,16328.0,-134276.0,-196615.0,29333.0,1.0,8193004,en-US,US,EQUITY,False,Delayed Quote,0.0,0.1321 - 0.1321,0.0,0.0,0.1321,0,0,finmb_882419,Other OTC,Eagle Plains Resources Ltd.,CAD,13942,10866,0.1021,3.4033334,0.03 - 0.18,-0.047900006,-0.26611114,0.03,0.18,1621022400,1637665140,1638187200,6.952632,USD,REGULAR,0.1321,1630433944,0.0,0.1323,0.1321,0.1321,14000,us_market,4,0,-0.024622742,EAGLE PLAINS RESOURCES,PNK,0.019,0.106,0.13111112,0.0009888858,0.007542349,0.13543478,-0.0033347756,13859932,1.2462264,15,America/New_York,EDT,-14400000,False,False,0.75,,,0.18,0.03,0.1311,0.1354,13.94k,10.87k,99.79M,,92.55M,6.56%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",28.01%,-6.52%,-3.46%,26.53%,8.37M,0.09,229.40%,1.03M,-378.83k,2.34M,0.0190,,8.13M,0.08,54.21k,0.51,5.72,0.11,573.46k,-763.2k,Value,V1C 2R7,Basic Materials,"Eagle Plains Resources Ltd., a junior resource company, acquires, explores for, and develops mineral resource properties in Western Canada. It explores for gold, silver, uranium, copper, molybdenum, graphite, lead, zinc, gypsum, and rare earth and industrial mineral projects in British Columbia, Yukon, the Northwest Territories, and Saskatchewan. The company was incorporated in 1994 and is headquartered in Cranbrook, Canada.",Cranbrook,250 426 0749,BC,1577750400,Canada,http://www.eagleplains.com,86400,44-12th Avenue South,250 426 6899,Other Industrial Metals & Mining,Suite 200
t-2,EGPLF,10329272,99789696,,,618987,,618987,105394,496051,359026,359026,,,,,,0,2192698,1833672,1696647,259961,,618987,618987,4777333,979264,10329272,494783,11308536,24174042,-18622103,98533,5081879,979264,1910550,9299453,816465,454600,582896.0,214643.0,128676.0,-17652.0,783652.0,58692.0,1178209.0,265881.0,28284.0,-278500.0,-397611.0,-257114.0,-175720.0,785420.0,-1768.0,8320189,en-US,US,EQUITY,False,Delayed Quote,0.0,0.1321 - 0.1321,0.0,0.0,0.1321,0,0,finmb_882419,Other OTC,Eagle Plains Resources Ltd.,CAD,13942,10866,0.1021,3.4033334,0.03 - 0.18,-0.047900006,-0.26611114,0.03,0.18,1621022400,1637665140,1638187200,6.952632,USD,REGULAR,0.1321,1630433944,0.0,0.1323,0.1321,0.1321,14000,us_market,4,0,-0.024622742,EAGLE PLAINS RESOURCES,PNK,0.019,0.106,0.13111112,0.0009888858,0.007542349,0.13543478,-0.0033347756,13859932,1.2462264,15,America/New_York,EDT,-14400000,False,False,0.75,,,0.18,0.03,0.1311,0.1354,13.94k,10.87k,99.79M,,92.55M,6.56%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",28.01%,-6.52%,-3.46%,26.53%,8.37M,0.09,229.40%,1.03M,-378.83k,2.34M,0.0190,,8.13M,0.08,54.21k,0.51,5.72,0.11,573.46k,-763.2k,Value,V1C 2R7,Basic Materials,"Eagle Plains Resources Ltd., a junior resource company, acquires, explores for, and develops mineral resource properties in Western Canada. It explores for gold, silver, uranium, copper, molybdenum, graphite, lead, zinc, gypsum, and rare earth and industrial mineral projects in British Columbia, Yukon, the Northwest Territories, and Saskatchewan. The company was incorporated in 1994 and is headquartered in Cranbrook, Canada.",Cranbrook,250 426 0749,BC,1577750400,Canada,http://www.eagleplains.com,86400,44-12th Avenue South,250 426 6899,Other Industrial Metals & Mining,Suite 200
t-3,EGPLF,9122286,99789696,,,1678122,,1678122,215826,64550,-394834,-394834,,,,,,0,259803,654637,195253,2072956,,1678122,1678122,4773986,622061,9122286,252723,9744347,23589390,-19241090,98532,3903670,622061,1905098,7740717,220388,269823,3990.0,133078.0,47604.0,-17652.0,783652.0,101295.0,501879.0,454275.0,24906.0,303500.0,-25250.0,-1437548.0,-279961.0,785420.0,-1768.0,7118656,en-US,US,EQUITY,False,Delayed Quote,0.0,0.1321 - 0.1321,0.0,0.0,0.1321,0,0,finmb_882419,Other OTC,Eagle Plains Resources Ltd.,CAD,13942,10866,0.1021,3.4033334,0.03 - 0.18,-0.047900006,-0.26611114,0.03,0.18,1621022400,1637665140,1638187200,6.952632,USD,REGULAR,0.1321,1630433944,0.0,0.1323,0.1321,0.1321,14000,us_market,4,0,-0.024622742,EAGLE PLAINS RESOURCES,PNK,0.019,0.106,0.13111112,0.0009888858,0.007542349,0.13543478,-0.0033347756,13859932,1.2462264,15,America/New_York,EDT,-14400000,False,False,0.75,,,0.18,0.03,0.1311,0.1354,13.94k,10.87k,99.79M,,92.55M,6.56%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",28.01%,-6.52%,-3.46%,26.53%,8.37M,0.09,229.40%,1.03M,-378.83k,2.34M,0.0190,,8.13M,0.08,54.21k,0.51,5.72,0.11,573.46k,-763.2k,Value,V1C 2R7,Basic Materials,"Eagle Plains Resources Ltd., a junior resource company, acquires, explores for, and develops mineral resource properties in Western Canada. It explores for gold, silver, uranium, copper, molybdenum, graphite, lead, zinc, gypsum, and rare earth and industrial mineral projects in British Columbia, Yukon, the Northwest Territories, and Saskatchewan. The company was incorporated in 1994 and is headquartered in Cranbrook, Canada.",Cranbrook,250 426 0749,BC,1577750400,Canada,http://www.eagleplains.com,86400,44-12th Avenue South,250 426 6899,Other Industrial Metals & Mining,Suite 200
