Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,cash,totalCurrentLiabilities,totalCurrentAssets,longTermInvestments,accountsPayable,changeToNetincome,changeToLiabilities,changeToOperatingActivities,totalCashFromOperatingActivities,changeInCash,WC,language,region,quoteType,triggerable,quoteSourceName,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,trailingPE,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceHint,regularMarketChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,currency,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,shortName,exchangeDataDelayedBy,market,marketState,epsTrailingTwelveMonths,twoHundredDayAverageChangePercent,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,FPNUF,7288000,6902590,,,-234000,,341000,40000,-194000,-234000,-234000,,,,,,-575000,-194000,40000,0,0,,341000,341000,610000,7288000,266000,7898000,71373000,-64085000,292000,67000,318000,73000,7825000,52000,-198000,0,-137000,6000,6000,-245000,en-US,US,EQUITY,False,Delayed Quote,833,0.6909,2.2287097,0.31 - 1.09,-0.0891,-0.08174312,0.31,1.09,1438300800,1.9938248,1.056,0.97,0.030900002,0.031855673,0.7960145,0.20488554,23653670,4,0.0,0.947822,15,America/New_York,EDT,-14400000,1.0009 - 1.0009,1.0009,0.0,0.0,0,0,finmb_3206198,Other OTC,FP Newspapers Inc.,CAD,884,USD,False,False,1.0009,1629988123,0.0,1.0009,1.0009,1.0009,5000,PNK,FP NEWSPAPERS INC,0,us_market,POST,0.502,0.25738922,0.49,,,1.09,0.31,0.97,0.796,884,833,6.9M,,4.86M,29.59%,0.00%,,,,,,,,,,,,"Jul 30, 2015",,,,"Dec 29, 2020","Mar 30, 2021",80.44%,97.11%,53.15%,76.19%,5.3M,0.77,,5.61M,,4.26M,0.5020,468.30%,67k,0.01,,,0.23,1.06,58k,3.52M,Value,V6B 4N8,,"FP Newspapers Inc. publishes, prints, and distributes daily and weekly newspapers, and specialty publications in Manitoba. It owns and publishes the Winnipeg Free Press, Brandon Sun, Canstar Community News division, and the Carillon in Steinbach. The company also delivers advertising materials and provides commercial printing services. FP Newspapers Inc. was founded in 1999 and is based in Vancouver, Canada.",Vancouver,604 681 8817,BC,1609372800,Canada,http://www.fpnewspapers.com,86400,650 West Georgia Street,,Suite 2900 P.O. Box 11583
t-1,FPNUF,6947000,6902590,,,3309000,,2454000,30000,3338000,3308000,3308000,,,,,,855000,3338000,30000,0,1000,,2454000,2454000,1235000,6947000,406000,8182000,71373000,-64426000,781000,61000,454000,66000,8116000,48000,-2428000,0,-82000,-56000,-56000,-388000,en-US,US,EQUITY,False,Delayed Quote,833,0.6909,2.2287097,0.31 - 1.09,-0.0891,-0.08174312,0.31,1.09,1438300800,1.9938248,1.056,0.97,0.030900002,0.031855673,0.7960145,0.20488554,23653670,4,0.0,0.947822,15,America/New_York,EDT,-14400000,1.0009 - 1.0009,1.0009,0.0,0.0,0,0,finmb_3206198,Other OTC,FP Newspapers Inc.,CAD,884,USD,False,False,1.0009,1629988123,0.0,1.0009,1.0009,1.0009,5000,PNK,FP NEWSPAPERS INC,0,us_market,POST,0.502,0.25738922,0.49,,,1.09,0.31,0.97,0.796,884,833,6.9M,,4.86M,29.59%,0.00%,,,,,,,,,,,,"Jul 30, 2015",,,,"Dec 29, 2020","Mar 30, 2021",80.44%,97.11%,53.15%,76.19%,5.3M,0.77,,5.61M,,4.26M,0.5020,468.30%,67k,0.01,,,0.23,1.06,58k,3.52M,Value,V6B 4N8,,"FP Newspapers Inc. publishes, prints, and distributes daily and weekly newspapers, and specialty publications in Manitoba. It owns and publishes the Winnipeg Free Press, Brandon Sun, Canstar Community News division, and the Carillon in Steinbach. The company also delivers advertising materials and provides commercial printing services. FP Newspapers Inc. was founded in 1999 and is based in Vancouver, Canada.",Vancouver,604 681 8817,BC,1609372800,Canada,http://www.fpnewspapers.com,86400,650 West Georgia Street,,Suite 2900 P.O. Box 11583
t-2,FPNUF,6023000,6902590,,,206000,,126000,50000,256000,206000,206000,,,,,,80000,256000,50000,0,0,,126000,126000,976000,6023000,505000,6999000,71373000,-65350000,436000,117000,540000,125000,6874000,35000,-73000,0,-14000,39000,39000,-415000,en-US,US,EQUITY,False,Delayed Quote,833,0.6909,2.2287097,0.31 - 1.09,-0.0891,-0.08174312,0.31,1.09,1438300800,1.9938248,1.056,0.97,0.030900002,0.031855673,0.7960145,0.20488554,23653670,4,0.0,0.947822,15,America/New_York,EDT,-14400000,1.0009 - 1.0009,1.0009,0.0,0.0,0,0,finmb_3206198,Other OTC,FP Newspapers Inc.,CAD,884,USD,False,False,1.0009,1629988123,0.0,1.0009,1.0009,1.0009,5000,PNK,FP NEWSPAPERS INC,0,us_market,POST,0.502,0.25738922,0.49,,,1.09,0.31,0.97,0.796,884,833,6.9M,,4.86M,29.59%,0.00%,,,,,,,,,,,,"Jul 30, 2015",,,,"Dec 29, 2020","Mar 30, 2021",80.44%,97.11%,53.15%,76.19%,5.3M,0.77,,5.61M,,4.26M,0.5020,468.30%,67k,0.01,,,0.23,1.06,58k,3.52M,Value,V6B 4N8,,"FP Newspapers Inc. publishes, prints, and distributes daily and weekly newspapers, and specialty publications in Manitoba. It owns and publishes the Winnipeg Free Press, Brandon Sun, Canstar Community News division, and the Carillon in Steinbach. The company also delivers advertising materials and provides commercial printing services. FP Newspapers Inc. was founded in 1999 and is based in Vancouver, Canada.",Vancouver,604 681 8817,BC,1609372800,Canada,http://www.fpnewspapers.com,86400,650 West Georgia Street,,Suite 2900 P.O. Box 11583
t-3,FPNUF,5345000,6902590,,,1869000,,1344000,33000,1902000,1869000,1869000,,,,,,525000,1902000,33000,0,0,,1344000,1344000,795000,5345000,476000,6140000,71373000,-66028000,247000,78000,548000,80000,6060000,72000,-1812000,0,537000,69000,69000,-468000,en-US,US,EQUITY,False,Delayed Quote,833,0.6909,2.2287097,0.31 - 1.09,-0.0891,-0.08174312,0.31,1.09,1438300800,1.9938248,1.056,0.97,0.030900002,0.031855673,0.7960145,0.20488554,23653670,4,0.0,0.947822,15,America/New_York,EDT,-14400000,1.0009 - 1.0009,1.0009,0.0,0.0,0,0,finmb_3206198,Other OTC,FP Newspapers Inc.,CAD,884,USD,False,False,1.0009,1629988123,0.0,1.0009,1.0009,1.0009,5000,PNK,FP NEWSPAPERS INC,0,us_market,POST,0.502,0.25738922,0.49,,,1.09,0.31,0.97,0.796,884,833,6.9M,,4.86M,29.59%,0.00%,,,,,,,,,,,,"Jul 30, 2015",,,,"Dec 29, 2020","Mar 30, 2021",80.44%,97.11%,53.15%,76.19%,5.3M,0.77,,5.61M,,4.26M,0.5020,468.30%,67k,0.01,,,0.23,1.06,58k,3.52M,Value,V6B 4N8,,"FP Newspapers Inc. publishes, prints, and distributes daily and weekly newspapers, and specialty publications in Manitoba. It owns and publishes the Winnipeg Free Press, Brandon Sun, Canstar Community News division, and the Carillon in Steinbach. The company also delivers advertising materials and provides commercial printing services. FP Newspapers Inc. was founded in 1999 and is based in Vancouver, Canada.",Vancouver,604 681 8817,BC,1609372800,Canada,http://www.fpnewspapers.com,86400,650 West Georgia Street,,Suite 2900 P.O. Box 11583
