Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,longTermDebt,accountsPayable,otherCurrentAssets,shortLongTermDebt,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToNetincome,totalCashflowsFromInvestingActivities,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,marketState,currency,exchange,shortName,market,priceHint,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,address2
t0,ECGI,-476803.0,6519760,368125,,-686846,,-686846,276465,0,-644590,-644590,,-42256,,,,0,0,644590,0,-42256,,-686846,-686846,4272653.0,1725419.0,-476803.0,88071.0,41708.0,1248616.0,135894.0,-4953974.0,68624.0,583349.0,71248.0,467366.0,68624.0,305.0,458630.0,206332.0,1258053.0,425658.0,,,30056.0,22474.0,586362.0,2472.0,563888.0,48113.0,-137390.0,-400859.0,310.0,117246.0,,,-8736.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,EVENT CARDIO GROUP INC,us_market,4,Other OTC,"ECGI Holdings, Inc.",USD,2302,5504,0.07290001,0.5607693,0.13 - 4.0,-3.7971,-0.949275,0.13,4.0,1565827200,-0.549,0,-0.07,0.33408332,-0.13118331,-0.39266646,0.6038014,-0.40090144,-0.66396236,1322859,-2.8985715,15,America/New_York,EDT,-14400000,False,False,-45.147335,0.2029 - 0.2856,0.3699,0.0,0.0,0,0,finmb_271982243,0.2029,1630505703,-0.16699998,0.2856,0.2856,0.2029,400,-4.65,,,4.0,0.13,0.3341,0.6038,2.3k,5.5k,6.52M,,2.98M,,,,,,,,,,,,,0.00%,"Aug 14, 2019",,1:20,"Aug 14, 2019","Aug 30, 2015","May 30, 2016",0.00%,0.00%,-133.97%,,,,,,-3.06M,-3.24M,-0.5490,,71.25k,0.01,1.26M,,0.98,-0.07,-1.38M,149.02k,Value,90035,Healthcare,1,"ECGI Holdings, Inc., through its subsidiary, operates in the cardiac medical device innovation, patient monitoring, and cardiac event prediction industry. The company is developing cardiac monitoring device based on a wireless and leadless advance cardiac monitor. Its products include Now Cardio, a cardiac monitor that offers dual-functionality, including holter monitoring and event recording. The company was formerly known as Event Cardio Group Inc. and changed its name to ECGI Holdings, Inc. in August 2019. ECGI Holdings, Inc. is based in Los Angeles, California.",Los Angeles,323-968-2030,CA,United States,http://www.ecgiholdings.com,86400,1976 S. La Cienega Boulevard,Medical Devices,Suite 235
t-1,ECGI,-512923.0,6519760,308076,,-756726,,-756726,368020,0,-676096,-676096,,-80630,,,,0,0,676096,0,-80630,,-756726,-756726,2984387.0,1671552.0,-512923.0,,40827.0,1168629.0,119455.0,-4267128.0,650363.0,415715.0,23135.0,436429.0,650363.0,593.0,549439.0,202882.0,1235123.0,395602.0,101172.0,,-172847.0,54193.0,309337.0,-46330.0,255144.0,3921.0,300783.0,-606199.0,290.0,-9836.0,,,113010.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,EVENT CARDIO GROUP INC,us_market,4,Other OTC,"ECGI Holdings, Inc.",USD,2302,5504,0.07290001,0.5607693,0.13 - 4.0,-3.7971,-0.949275,0.13,4.0,1565827200,-0.549,0,-0.07,0.33408332,-0.13118331,-0.39266646,0.6038014,-0.40090144,-0.66396236,1322859,-2.8985715,15,America/New_York,EDT,-14400000,False,False,-45.147335,0.2029 - 0.2856,0.3699,0.0,0.0,0,0,finmb_271982243,0.2029,1630505703,-0.16699998,0.2856,0.2856,0.2029,400,-4.65,,,4.0,0.13,0.3341,0.6038,2.3k,5.5k,6.52M,,2.98M,,,,,,,,,,,,,0.00%,"Aug 14, 2019",,1:20,"Aug 14, 2019","Aug 30, 2015","May 30, 2016",0.00%,0.00%,-133.97%,,,,,,-3.06M,-3.24M,-0.5490,,71.25k,0.01,1.26M,,0.98,-0.07,-1.38M,149.02k,Value,90035,Healthcare,1,"ECGI Holdings, Inc., through its subsidiary, operates in the cardiac medical device innovation, patient monitoring, and cardiac event prediction industry. The company is developing cardiac monitoring device based on a wireless and leadless advance cardiac monitor. Its products include Now Cardio, a cardiac monitor that offers dual-functionality, including holter monitoring and event recording. The company was formerly known as Event Cardio Group Inc. and changed its name to ECGI Holdings, Inc. in August 2019. ECGI Holdings, Inc. is based in Los Angeles, California.",Los Angeles,323-968-2030,CA,United States,http://www.ecgiholdings.com,86400,1976 S. La Cienega Boulevard,Medical Devices,Suite 235
t-2,ECGI,-572839.0,6519760,80210,,-529815,,-529815,387533,0,-467743,-467743,,-62072,,,,0,0,467743,0,-62072,,-529815,-529815,2533492.0,1776156.0,-572839.0,,41284.0,1213317.0,116205.0,-3510402.0,287866.0,560021.0,19214.0,1251156.0,287866.0,905.0,652391.0,,525000.0,663552.0,71423.0,438346.0,64717.0,-14358.0,165642.0,12775.0,180000.0,-13213.0,55079.0,-133934.0,304.0,-9836.0,-100000.0,-100000.0,-598765.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,EVENT CARDIO GROUP INC,us_market,4,Other OTC,"ECGI Holdings, Inc.",USD,2302,5504,0.07290001,0.5607693,0.13 - 4.0,-3.7971,-0.949275,0.13,4.0,1565827200,-0.549,0,-0.07,0.33408332,-0.13118331,-0.39266646,0.6038014,-0.40090144,-0.66396236,1322859,-2.8985715,15,America/New_York,EDT,-14400000,False,False,-45.147335,0.2029 - 0.2856,0.3699,0.0,0.0,0,0,finmb_271982243,0.2029,1630505703,-0.16699998,0.2856,0.2856,0.2029,400,-4.65,,,4.0,0.13,0.3341,0.6038,2.3k,5.5k,6.52M,,2.98M,,,,,,,,,,,,,0.00%,"Aug 14, 2019",,1:20,"Aug 14, 2019","Aug 30, 2015","May 30, 2016",0.00%,0.00%,-133.97%,,,,,,-3.06M,-3.24M,-0.5490,,71.25k,0.01,1.26M,,0.98,-0.07,-1.38M,149.02k,Value,90035,Healthcare,1,"ECGI Holdings, Inc., through its subsidiary, operates in the cardiac medical device innovation, patient monitoring, and cardiac event prediction industry. The company is developing cardiac monitoring device based on a wireless and leadless advance cardiac monitor. Its products include Now Cardio, a cardiac monitor that offers dual-functionality, including holter monitoring and event recording. The company was formerly known as Event Cardio Group Inc. and changed its name to ECGI Holdings, Inc. in August 2019. ECGI Holdings, Inc. is based in Los Angeles, California.",Los Angeles,323-968-2030,CA,United States,http://www.ecgiholdings.com,86400,1976 S. La Cienega Boulevard,Medical Devices,Suite 235
t-3,ECGI,-488508.0,6519760,766062,,-1268874,,-1268874,477026,0,-1243088,-1243088,,-25786,,,,0,0,1243088,0,-25786,,-1268874,-1268874,2110237.0,1729201.0,-488508.0,,55864.0,1250693.0,109460.0,-2980587.0,272382.0,542516.0,32427.0,1204201.0,272382.0,1214.0,706963.0,,525000.0,598835.0,105999.0,440898.0,324713.0,75801.0,250801.0,-119451.0,175000.0,-2190.0,-16769.0,-361222.0,312.0,405000.0,125000.0,-100000.0,-497238.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,EVENT CARDIO GROUP INC,us_market,4,Other OTC,"ECGI Holdings, Inc.",USD,2302,5504,0.07290001,0.5607693,0.13 - 4.0,-3.7971,-0.949275,0.13,4.0,1565827200,-0.549,0,-0.07,0.33408332,-0.13118331,-0.39266646,0.6038014,-0.40090144,-0.66396236,1322859,-2.8985715,15,America/New_York,EDT,-14400000,False,False,-45.147335,0.2029 - 0.2856,0.3699,0.0,0.0,0,0,finmb_271982243,0.2029,1630505703,-0.16699998,0.2856,0.2856,0.2029,400,-4.65,,,4.0,0.13,0.3341,0.6038,2.3k,5.5k,6.52M,,2.98M,,,,,,,,,,,,,0.00%,"Aug 14, 2019",,1:20,"Aug 14, 2019","Aug 30, 2015","May 30, 2016",0.00%,0.00%,-133.97%,,,,,,-3.06M,-3.24M,-0.5490,,71.25k,0.01,1.26M,,0.98,-0.07,-1.38M,149.02k,Value,90035,Healthcare,1,"ECGI Holdings, Inc., through its subsidiary, operates in the cardiac medical device innovation, patient monitoring, and cardiac event prediction industry. The company is developing cardiac monitoring device based on a wireless and leadless advance cardiac monitor. Its products include Now Cardio, a cardiac monitor that offers dual-functionality, including holter monitoring and event recording. The company was formerly known as Event Cardio Group Inc. and changed its name to ECGI Holdings, Inc. in August 2019. ECGI Holdings, Inc. is based in Los Angeles, California.",Los Angeles,323-968-2030,CA,United States,http://www.ecgiholdings.com,86400,1976 S. La Cienega Boulevard,Medical Devices,Suite 235
