Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,longTermDebt,otherCurrentAssets,shortTermInvestments,changeToLiabilities,totalCashflowsFromInvestingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,totalCashFromFinancingActivities,issuanceOfStock,netBorrowings,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,priceHint,shortName,exchange,epsCurrentYear,priceEpsCurrentYear,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,exchangeDataDelayedBy,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,epsForward,marketState,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jul 29, 2021) 4","Short Ratio (Jul 29, 2021) 4","Short % of Float (Jul 29, 2021) 4","Short % of Shares Outstanding (Jul 29, 2021) 4","Shares Short (prior month Jun 29, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,IPWR,24397988.0,5872050,560693,,-1186693,,-1186693,715551,0,-1276244,-1276244,,-1856,,,,0,84705,1360949,84705,89551,,-1186693,-1186693,2048537.0,103700516.0,1992171.0,26446525.0,28438696.0,5873.0,-77246654.0,951717.0,-13210.0,11189.0,25716977.0,742571.0,393787.0,25985183.0,132371.0,159107.0,,,,51817.0,-114282.0,141942.0,-1072040.0,-957758.0,40828.0,-6484.0,832.0,-31457.0,,,,25242612.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,16.9,1630526402,0.39999962,16.66,16.99,16.42,38642,3.777174,0.28783238,99237640,-70.416664,3.6034114,15,America/New_York,EDT,-14400000,False,False,USD,2,Ideal Power Inc.,NCM,-0.87,-19.425287,4.69,15.078286,1.8217134,0.12081701,13.122826,0,finmb_244182766,NasdaqCM,Ideal Power Inc.,USD,102798,37371,12.09,2.5135136,4.81 - 24.95,-8.050001,-0.32264534,4.81,24.95,1566259200,1620936000,1636541940,1636977600,-1.884,-0.24,PRE,2.42424,16.42 - 16.99,16.5,0.0,0.0,11,10,us_market,0.97,,,24.95,4.81,15.08,13.12,102.8k,37.37k,5.87M,,5.32M,10.80%,15.01%,438.97k,3.21,7.48%,7.48%,399.19k,,,,,,0.00%,"Aug 19, 2019",,1:10,"Aug 19, 2019","Dec 30, 2020","Jun 29, 2021",0.00%,-577.71%,-16.75%,-56.10%,748.38k,0.15,"1,200.20%",,-4.19M,-8.14M,-1.88,,25.72M,4.38,335.28k,1.27,34.99,4.69,-3.32M,-1.6M,Value,78735,Industrials,5,"Ideal Power Inc. focuses on the development and commercialization of its B-TRAN technology. It develops Bi-directional bi-polar junction TRANsistor solid state switch technology. The company was formerly known as Ideal Power Converters Inc. and changed its name to Ideal Power Inc. in July 2013. Ideal Power Inc. was incorporated in 2007 and is headquartered in Austin, Texas.",Austin,512 264 1542,TX,1609372800,United States,http://www.idealpower.com,86400,5508 Highway 290 West,Electrical Equipment & Parts,Suite 120
t-1,IPWR,25540090.0,5872050,260880,,-924150,,-924150,663264,0,-924144,-924144,,-6,,,,0,242061,1166205,242061,-6,,-924150,-924150,2001417.0,103608805.0,1623901.0,27541507.0,29165408.0,5873.0,-76059961.0,944026.0,-13210.0,11189.0,26789017.0,588468.0,64985.0,27087817.0,125887.0,107290.0,91407.0,,,5306.0,-30737.0,-129021.0,23631761.0,-843337.0,29515.0,44400.0,130613.0,-1462.0,24505835.0,24505835.0,,26499349.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,16.9,1630526402,0.39999962,16.66,16.99,16.42,38642,3.777174,0.28783238,99237640,-70.416664,3.6034114,15,America/New_York,EDT,-14400000,False,False,USD,2,Ideal Power Inc.,NCM,-0.87,-19.425287,4.69,15.078286,1.8217134,0.12081701,13.122826,0,finmb_244182766,NasdaqCM,Ideal Power Inc.,USD,102798,37371,12.09,2.5135136,4.81 - 24.95,-8.050001,-0.32264534,4.81,24.95,1566259200,1620936000,1636541940,1636977600,-1.884,-0.24,PRE,2.42424,16.42 - 16.99,16.5,0.0,0.0,11,10,us_market,0.97,,,24.95,4.81,15.08,13.12,102.8k,37.37k,5.87M,,5.32M,10.80%,15.01%,438.97k,3.21,7.48%,7.48%,399.19k,,,,,,0.00%,"Aug 19, 2019",,1:10,"Aug 19, 2019","Dec 30, 2020","Jun 29, 2021",0.00%,-577.71%,-16.75%,-56.10%,748.38k,0.15,"1,200.20%",,-4.19M,-8.14M,-1.88,,25.72M,4.38,335.28k,1.27,34.99,4.69,-3.32M,-1.6M,Value,78735,Industrials,5,"Ideal Power Inc. focuses on the development and commercialization of its B-TRAN technology. It develops Bi-directional bi-polar junction TRANsistor solid state switch technology. The company was formerly known as Ideal Power Converters Inc. and changed its name to Ideal Power Inc. in July 2013. Ideal Power Inc. was incorporated in 2007 and is headquartered in Austin, Texas.",Austin,512 264 1542,TX,1609372800,United States,http://www.idealpower.com,86400,5508 Highway 290 West,Electrical Equipment & Parts,Suite 120
t-2,IPWR,2260306.0,5872050,559356,,-1135399,,-1135399,391196,0,-950552,-950552,,-2569,,,,0,273827,1224379,273827,-184847,,-1135399,-1135399,1568903.0,78974964.0,1302964.0,3829209.0,5132173.0,3266.0,-75135811.0,552031.0,-13210.0,,3157256.0,659526.0,116844.0,3446426.0,170287.0,101984.0,91407.0,52951.0,23769.0,35274.0,-18917.0,54321.0,-611969.0,-715393.0,35784.0,-141664.0,436291.0,-1533.0,122341.0,122341.0,,2786900.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,16.9,1630526402,0.39999962,16.66,16.99,16.42,38642,3.777174,0.28783238,99237640,-70.416664,3.6034114,15,America/New_York,EDT,-14400000,False,False,USD,2,Ideal Power Inc.,NCM,-0.87,-19.425287,4.69,15.078286,1.8217134,0.12081701,13.122826,0,finmb_244182766,NasdaqCM,Ideal Power Inc.,USD,102798,37371,12.09,2.5135136,4.81 - 24.95,-8.050001,-0.32264534,4.81,24.95,1566259200,1620936000,1636541940,1636977600,-1.884,-0.24,PRE,2.42424,16.42 - 16.99,16.5,0.0,0.0,11,10,us_market,0.97,,,24.95,4.81,15.08,13.12,102.8k,37.37k,5.87M,,5.32M,10.80%,15.01%,438.97k,3.21,7.48%,7.48%,399.19k,,,,,,0.00%,"Aug 19, 2019",,1:10,"Aug 19, 2019","Dec 30, 2020","Jun 29, 2021",0.00%,-577.71%,-16.75%,-56.10%,748.38k,0.15,"1,200.20%",,-4.19M,-8.14M,-1.88,,25.72M,4.38,335.28k,1.27,34.99,4.69,-3.32M,-1.6M,Value,78735,Industrials,5,"Ideal Power Inc. focuses on the development and commercialization of its B-TRAN technology. It develops Bi-directional bi-polar junction TRANsistor solid state switch technology. The company was formerly known as Ideal Power Converters Inc. and changed its name to Ideal Power Inc. in July 2013. Ideal Power Inc. was incorporated in 2007 and is headquartered in Austin, Texas.",Austin,512 264 1542,TX,1609372800,United States,http://www.idealpower.com,86400,5508 Highway 290 West,Electrical Equipment & Parts,Suite 120
t-3,IPWR,2824878.0,5872050,494548,,-4894739,,-4894739,677967,0,-1172515,-1172515,,-1358,,,,0,147787,1320302,147787,-3722224,,-4894739,-4894739,1583523.0,78419046.0,1279460.0,4408401.0,5687861.0,2977.0,-74000412.0,607974.0,-13210.0,,3769225.0,580079.0,168054.0,3936284.0,28623.0,66710.0,91407.0,,,19377.0,-14277.0,144103.0,1975643.0,-801282.0,29120.0,-28623.0,3929480.0,-1729.0,2791202.0,2796202.0,-5000.0,3356205.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,16.9,1630526402,0.39999962,16.66,16.99,16.42,38642,3.777174,0.28783238,99237640,-70.416664,3.6034114,15,America/New_York,EDT,-14400000,False,False,USD,2,Ideal Power Inc.,NCM,-0.87,-19.425287,4.69,15.078286,1.8217134,0.12081701,13.122826,0,finmb_244182766,NasdaqCM,Ideal Power Inc.,USD,102798,37371,12.09,2.5135136,4.81 - 24.95,-8.050001,-0.32264534,4.81,24.95,1566259200,1620936000,1636541940,1636977600,-1.884,-0.24,PRE,2.42424,16.42 - 16.99,16.5,0.0,0.0,11,10,us_market,0.97,,,24.95,4.81,15.08,13.12,102.8k,37.37k,5.87M,,5.32M,10.80%,15.01%,438.97k,3.21,7.48%,7.48%,399.19k,,,,,,0.00%,"Aug 19, 2019",,1:10,"Aug 19, 2019","Dec 30, 2020","Jun 29, 2021",0.00%,-577.71%,-16.75%,-56.10%,748.38k,0.15,"1,200.20%",,-4.19M,-8.14M,-1.88,,25.72M,4.38,335.28k,1.27,34.99,4.69,-3.32M,-1.6M,Value,78735,Industrials,5,"Ideal Power Inc. focuses on the development and commercialization of its B-TRAN technology. It develops Bi-directional bi-polar junction TRANsistor solid state switch technology. The company was formerly known as Ideal Power Converters Inc. and changed its name to Ideal Power Inc. in July 2013. Ideal Power Inc. was incorporated in 2007 and is headquartered in Austin, Texas.",Austin,512 264 1542,TX,1609372800,United States,http://www.idealpower.com,86400,5508 Highway 290 West,Electrical Equipment & Parts,Suite 120
