Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,treasuryStock,otherStockholderEquity,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,currency,priceHint,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,shortName,marketState,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,dividendDate,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,fiftyDayAverage,fiftyDayAverageChange,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,GPFT,-5738837.0,513584000,,,-1416701,,-1416701,405008,-72620,-477628,-477628,,-421381,,,,0,350815,828443,423435,-939073,,-1416701,-1416701,6948281.0,9076530.0,-5738837.0,1561558.0,3337693.0,51077.0,74974.0,-12738195.0,23953.0,7459.0,440990.0,6914860.0,2621786.0,1907662.0,1252622.0,169950.0,245843.0,2069214.0,490815.0,771820.0,,,-35231,-30521,568647,432647,167660,141095,-261031,22629,11299,-206435,-136000,958522,-5662238.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.031,1630525346,9.999983e-05,0.0304,0.0329,0.0304,383017,0,GRAPEFRUIT USA INC,PREPRE,us_market,0.32362404,0.0304 - 0.0329,0.0309,finmb_595499527,Other OTC,"Grapefruit USA, Inc.",USD,716584,623171,0.011,0.55,0.02 - 0.31,-0.279,-0.90000004,1521158400,0.02,0.31,1619440200,1619440200,1619440200,-0.15662648,0.09732898,-0.06632899,-0.6814927,0.03675714,-0.005757142,15921104,15,America/New_York,EDT,-14400000,False,False,2.3,,,0.31,0.02,0.0368,0.0973,716.58k,623.17k,513.58M,,209.33M,63.83%,0.00%,,,,,,,,,,,0.00%,"Mar 15, 2018",,1:20,"Mar 15, 2018","Dec 30, 2020","Mar 30, 2021",-74.41%,-36.36%,-27.56%,,3.63M,0.01,-10.90%,280.46k,-1.23M,-2.7M,,,440.99k,0,5.83M,,0.18,,-1.53M,-4.82M,Value,19801,Healthcare,14,"Grapefruit USA, Inc. focuses on manufacturing and distribution of cannabis distillates, edibles, and cannabis products. It also offers cannabis advisory services for branding, compliance, packaging, extraction, edible manufacturing, and distribution logistics efforts. The company was formerly known as Grapefruit Boulevard Investments, Inc. and changed its name to Grapefruit USA, Inc. in January 2020. Grapefruit USA, Inc. was founded in 2017 and is based in Wilmington, Delaware.",Wilmington,310-575-1175,DE,1609372800,United States,http://www.grapefruitblvd.com,86400,1000 Northwest Street,Drug Manufacturers—Specialty & Generic,Suite 1200-3094 Mid-Town Brandy Wine
t-1,GPFT,-4679747.0,513584000,,,6013240,,6013240,405158,85857,-319301,-319301,,-753861,,,,0,1091941,1411242,1006084,6332541,,6013240,6013240,6591177.0,7728734.0,-4679747.0,1091373.0,3048987.0,50570.0,107444.0,-11321494.0,29226.0,7459.0,299895.0,4379581.0,829072.0,1922716.0,948862.0,169950.0,39408.0,3228368.0,502115.0,807051.0,,,-264150,-5457,941561,919191,20257,134052,-779682,44998,-91404,-39408,-22370,-6463215,-3430719.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.031,1630525346,9.999983e-05,0.0304,0.0329,0.0304,383017,0,GRAPEFRUIT USA INC,PREPRE,us_market,0.32362404,0.0304 - 0.0329,0.0309,finmb_595499527,Other OTC,"Grapefruit USA, Inc.",USD,716584,623171,0.011,0.55,0.02 - 0.31,-0.279,-0.90000004,1521158400,0.02,0.31,1619440200,1619440200,1619440200,-0.15662648,0.09732898,-0.06632899,-0.6814927,0.03675714,-0.005757142,15921104,15,America/New_York,EDT,-14400000,False,False,2.3,,,0.31,0.02,0.0368,0.0973,716.58k,623.17k,513.58M,,209.33M,63.83%,0.00%,,,,,,,,,,,0.00%,"Mar 15, 2018",,1:20,"Mar 15, 2018","Dec 30, 2020","Mar 30, 2021",-74.41%,-36.36%,-27.56%,,3.63M,0.01,-10.90%,280.46k,-1.23M,-2.7M,,,440.99k,0,5.83M,,0.18,,-1.53M,-4.82M,Value,19801,Healthcare,14,"Grapefruit USA, Inc. focuses on manufacturing and distribution of cannabis distillates, edibles, and cannabis products. It also offers cannabis advisory services for branding, compliance, packaging, extraction, edible manufacturing, and distribution logistics efforts. The company was formerly known as Grapefruit Boulevard Investments, Inc. and changed its name to Grapefruit USA, Inc. in January 2020. Grapefruit USA, Inc. was founded in 2017 and is based in Wilmington, Delaware.",Wilmington,310-575-1175,DE,1609372800,United States,http://www.grapefruitblvd.com,86400,1000 Northwest Street,Drug Manufacturers—Specialty & Generic,Suite 1200-3094 Mid-Town Brandy Wine
t-2,GPFT,-13098945.0,513584000,,,-7689694,,-7689694,357246,182484,-174762,-174762,,-532410,,,,0,1306201,1480963,1123717,-7514932,,-7689694,-7689694,4185344.0,15841728.0,-13098945.0,10144854.0,2742783.0,50445.0,25000.0,-17334734.0,41310.0,7459.0,165843.0,13623967.0,829072.0,1963821.0,601553.0,169950.0,,2046962.0,410710.0,1044687.0,,,-123125,-25469,449060,427053,54697,64835,-336749,43440,-157954,17695,-22007,7518192,-13022414.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.031,1630525346,9.999983e-05,0.0304,0.0329,0.0304,383017,0,GRAPEFRUIT USA INC,PREPRE,us_market,0.32362404,0.0304 - 0.0329,0.0309,finmb_595499527,Other OTC,"Grapefruit USA, Inc.",USD,716584,623171,0.011,0.55,0.02 - 0.31,-0.279,-0.90000004,1521158400,0.02,0.31,1619440200,1619440200,1619440200,-0.15662648,0.09732898,-0.06632899,-0.6814927,0.03675714,-0.005757142,15921104,15,America/New_York,EDT,-14400000,False,False,2.3,,,0.31,0.02,0.0368,0.0973,716.58k,623.17k,513.58M,,209.33M,63.83%,0.00%,,,,,,,,,,,0.00%,"Mar 15, 2018",,1:20,"Mar 15, 2018","Dec 30, 2020","Mar 30, 2021",-74.41%,-36.36%,-27.56%,,3.63M,0.01,-10.90%,280.46k,-1.23M,-2.7M,,,440.99k,0,5.83M,,0.18,,-1.53M,-4.82M,Value,19801,Healthcare,14,"Grapefruit USA, Inc. focuses on manufacturing and distribution of cannabis distillates, edibles, and cannabis products. It also offers cannabis advisory services for branding, compliance, packaging, extraction, edible manufacturing, and distribution logistics efforts. The company was formerly known as Grapefruit Boulevard Investments, Inc. and changed its name to Grapefruit USA, Inc. in January 2020. Grapefruit USA, Inc. was founded in 2017 and is based in Wilmington, Delaware.",Wilmington,310-575-1175,DE,1609372800,United States,http://www.grapefruitblvd.com,86400,1000 Northwest Street,Drug Manufacturers—Specialty & Generic,Suite 1200-3094 Mid-Town Brandy Wine
t-3,GPFT,-5944988.0,513584000,,,392181,,392181,420891,71302,-349589,-349589,,-437066,,,,0,880652,1230241,809350,741770,,392181,392181,3703459.0,8440517.0,-5944988.0,2966489.0,2495529.0,49510.0,7459.0,-9645040.0,45065.0,,101008.0,6453283.0,829072.0,1946661.0,378918.0,169950.0,17695.0,1776485.0,252756.0,1047812.0,-52917.0,-52917.0,35516,-25469,164331,122229,91700,-33925,-156154,62364,-157954,78123,-42102,-816038,-6074365.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.031,1630525346,9.999983e-05,0.0304,0.0329,0.0304,383017,0,GRAPEFRUIT USA INC,PREPRE,us_market,0.32362404,0.0304 - 0.0329,0.0309,finmb_595499527,Other OTC,"Grapefruit USA, Inc.",USD,716584,623171,0.011,0.55,0.02 - 0.31,-0.279,-0.90000004,1521158400,0.02,0.31,1619440200,1619440200,1619440200,-0.15662648,0.09732898,-0.06632899,-0.6814927,0.03675714,-0.005757142,15921104,15,America/New_York,EDT,-14400000,False,False,2.3,,,0.31,0.02,0.0368,0.0973,716.58k,623.17k,513.58M,,209.33M,63.83%,0.00%,,,,,,,,,,,0.00%,"Mar 15, 2018",,1:20,"Mar 15, 2018","Dec 30, 2020","Mar 30, 2021",-74.41%,-36.36%,-27.56%,,3.63M,0.01,-10.90%,280.46k,-1.23M,-2.7M,,,440.99k,0,5.83M,,0.18,,-1.53M,-4.82M,Value,19801,Healthcare,14,"Grapefruit USA, Inc. focuses on manufacturing and distribution of cannabis distillates, edibles, and cannabis products. It also offers cannabis advisory services for branding, compliance, packaging, extraction, edible manufacturing, and distribution logistics efforts. The company was formerly known as Grapefruit Boulevard Investments, Inc. and changed its name to Grapefruit USA, Inc. in January 2020. Grapefruit USA, Inc. was founded in 2017 and is based in Wilmington, Delaware.",Wilmington,310-575-1175,DE,1609372800,United States,http://www.grapefruitblvd.com,86400,1000 Northwest Street,Drug Manufacturers—Specialty & Generic,Suite 1200-3094 Mid-Town Brandy Wine
