Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,accountsPayable,shortTermInvestments,changeToLiabilities,totalCashFromFinancingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,currency,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,marketState,shortName,market,exchangeDataDelayedBy,exchange,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,sector,longBusinessSummary,city,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry
t0,ENCTF,-24880744.0,45748300,,,-153184,,-153184,352961,0,-381105,-381105,,-187338,,,,0,0,381105,0,227921,,-153184,-153184,8032476.0,25983288.0,-24880744.0,14401684.0,1102544.0,66105503.0,-100023723.0,1005000.0,68420.0,9106.0,25983288.0,7700000.0,1005000.0,1.0,19934.0,1014189.0,10828.0,3881604.0,,318750,38500,38500,8436,-30064,-200792,-25963354.0,en-US,US,EQUITY,False,Delayed Quote,USD,-0.064,0.065,0.053543057,0.024456944,0.45677152,0.053894185,0.024105817,0.4472805,4627521,1.2,15,America/New_York,EDT,-14400000,4,0.0,0.078 - 0.078,0.078,0.0,0.0,0,0,finmb_51202345,REGULAR,ENCANTO POTASH CORP,us_market,0,PNK,False,False,0.078,1630000954,0.0,0.078,0.078,0.078,350,Other OTC,Encanto Potash Corp.,CAD,2286,7812,0.067,6.0909095,0.011 - 0.12,-0.041999996,-0.34999996,0.011,0.12,1526601600,0.65,,,0.12,0.011,0.0535,0.0539,2.29k,7.81k,45.75M,,63M,19.54%,0.00%,,,,,,,,,,,0.00%,"May 17, 2018",,1:10,"May 17, 2018","Dec 30, 2020","Jun 29, 2021",0.00%,0.00%,-6.62%,,,,,,,-154.07k,-0.0640,,9.11k,0,7.7M,,0.00,0.06,-38.13k,-2.27M,Value,Basic Materials,"Encanto Potash Corp. engages in the exploration and mine development of potash properties in the province of Saskatchewan, Canada. Its flagship property is the Muskowekwan First Nation project covering an area of approximately 61,114 acres located to the north of Regina, Saskatchewan. The company was incorporated in 1986 and is headquartered in Vancouver, Canada.",Vancouver,BC,1577750400,Canada,http://www.encantopotash.ca,86400,3123-595 Burrard Street,Other Industrial Metals & Mining
t-1,ENCTF,-27978559.0,45748300,,,-514023,,-514023,341260,0,-342298,-342298,,-203420,,,,0,0,342298,0,-171725,,-514023,-514023,8004332.0,29077829.0,-27978559.0,15318436.0,1099270.0,62882648.0,-99870539.0,1005000.0,68420.0,670.0,29077829.0,9100000.0,1005000.0,1.0,16660.0,1014189.0,15990.0,4659393.0,,346699,38500,38500,134,134,171450,-29061169.0,en-US,US,EQUITY,False,Delayed Quote,USD,-0.064,0.065,0.053543057,0.024456944,0.45677152,0.053894185,0.024105817,0.4472805,4627521,1.2,15,America/New_York,EDT,-14400000,4,0.0,0.078 - 0.078,0.078,0.0,0.0,0,0,finmb_51202345,REGULAR,ENCANTO POTASH CORP,us_market,0,PNK,False,False,0.078,1630000954,0.0,0.078,0.078,0.078,350,Other OTC,Encanto Potash Corp.,CAD,2286,7812,0.067,6.0909095,0.011 - 0.12,-0.041999996,-0.34999996,0.011,0.12,1526601600,0.65,,,0.12,0.011,0.0535,0.0539,2.29k,7.81k,45.75M,,63M,19.54%,0.00%,,,,,,,,,,,0.00%,"May 17, 2018",,1:10,"May 17, 2018","Dec 30, 2020","Jun 29, 2021",0.00%,0.00%,-6.62%,,,,,,,-154.07k,-0.0640,,9.11k,0,7.7M,,0.00,0.06,-38.13k,-2.27M,Value,Basic Materials,"Encanto Potash Corp. engages in the exploration and mine development of potash properties in the province of Saskatchewan, Canada. Its flagship property is the Muskowekwan First Nation project covering an area of approximately 61,114 acres located to the north of Regina, Saskatchewan. The company was incorporated in 1986 and is headquartered in Vancouver, Canada.",Vancouver,BC,1577750400,Canada,http://www.encantopotash.ca,86400,3123-595 Burrard Street,Other Industrial Metals & Mining
t-2,ENCTF,-27465573.0,45748300,,,759356,,759356,451001,0,-669232,-669232,,-272780,,,,0,0,669232,0,1428588,,759356,759356,8003294.0,28560717.0,-27465573.0,15255226.0,1095144.0,62882648.0,-99356515.0,1005000.0,68420.0,536.0,28560717.0,9100000.0,1005000.0,1.0,12534.0,1014189.0,11998.0,4205491.0,,438473,38500,38500,-2063,-2063,-1197880,-28548183.0,en-US,US,EQUITY,False,Delayed Quote,USD,-0.064,0.065,0.053543057,0.024456944,0.45677152,0.053894185,0.024105817,0.4472805,4627521,1.2,15,America/New_York,EDT,-14400000,4,0.0,0.078 - 0.078,0.078,0.0,0.0,0,0,finmb_51202345,REGULAR,ENCANTO POTASH CORP,us_market,0,PNK,False,False,0.078,1630000954,0.0,0.078,0.078,0.078,350,Other OTC,Encanto Potash Corp.,CAD,2286,7812,0.067,6.0909095,0.011 - 0.12,-0.041999996,-0.34999996,0.011,0.12,1526601600,0.65,,,0.12,0.011,0.0535,0.0539,2.29k,7.81k,45.75M,,63M,19.54%,0.00%,,,,,,,,,,,0.00%,"May 17, 2018",,1:10,"May 17, 2018","Dec 30, 2020","Jun 29, 2021",0.00%,0.00%,-6.62%,,,,,,,-154.07k,-0.0640,,9.11k,0,7.7M,,0.00,0.06,-38.13k,-2.27M,Value,Basic Materials,"Encanto Potash Corp. engages in the exploration and mine development of potash properties in the province of Saskatchewan, Canada. Its flagship property is the Muskowekwan First Nation project covering an area of approximately 61,114 acres located to the north of Regina, Saskatchewan. The company was incorporated in 1986 and is headquartered in Vancouver, Canada.",Vancouver,BC,1577750400,Canada,http://www.encantopotash.ca,86400,3123-595 Burrard Street,Other Industrial Metals & Mining
t-3,ENCTF,2987225.0,45748300,,,-246218,,-246218,325358,0,-325358,-325358,,-200296,,,,0,0,325358,0,79140,,-246218,-246218,7953153.0,28478253.0,2987225.0,13627290.0,31465478.0,62882648.0,-68853576.0,1005000.0,68420.0,2599.0,28478253.0,9100000.0,1005000.0,24084473.0,7312585.0,,9986.0,5750963.0,7300000.0,322483,38500,38500,-6138,-6138,-80391,-21165668.0,en-US,US,EQUITY,False,Delayed Quote,USD,-0.064,0.065,0.053543057,0.024456944,0.45677152,0.053894185,0.024105817,0.4472805,4627521,1.2,15,America/New_York,EDT,-14400000,4,0.0,0.078 - 0.078,0.078,0.0,0.0,0,0,finmb_51202345,REGULAR,ENCANTO POTASH CORP,us_market,0,PNK,False,False,0.078,1630000954,0.0,0.078,0.078,0.078,350,Other OTC,Encanto Potash Corp.,CAD,2286,7812,0.067,6.0909095,0.011 - 0.12,-0.041999996,-0.34999996,0.011,0.12,1526601600,0.65,,,0.12,0.011,0.0535,0.0539,2.29k,7.81k,45.75M,,63M,19.54%,0.00%,,,,,,,,,,,0.00%,"May 17, 2018",,1:10,"May 17, 2018","Dec 30, 2020","Jun 29, 2021",0.00%,0.00%,-6.62%,,,,,,,-154.07k,-0.0640,,9.11k,0,7.7M,,0.00,0.06,-38.13k,-2.27M,Value,Basic Materials,"Encanto Potash Corp. engages in the exploration and mine development of potash properties in the province of Saskatchewan, Canada. Its flagship property is the Muskowekwan First Nation project covering an area of approximately 61,114 acres located to the north of Regina, Saskatchewan. The company was incorporated in 1986 and is headquartered in Vancouver, Canada.",Vancouver,BC,1577750400,Canada,http://www.encantopotash.ca,86400,3123-595 Burrard Street,Other Industrial Metals & Mining
