Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,otherCurrentAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,dividendsPaid,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,repurchaseOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,marketState,currency,exchange,shortName,market,priceHint,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Aug 12, 2021) 4","Short Ratio (Aug 12, 2021) 4","Short % of Float (Aug 12, 2021) 4","Short % of Shares Outstanding (Aug 12, 2021) 4","Shares Short (prior month Jul 14, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,state,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,fax,industry
t0,EDUC,43156700.0,8350970,,,4660600,,3438100,24488300,28778000,4289700,4289700,,-167800,,,,1222500,40807900,36518200,12029900,370900,,3438100,3438100,11152100.0,51493000.0,43156700.0,7653700.0,94649700.0,2482000.0,42286300.0,458700.0,-12763700.0,830900.0,1756600.0,37481500.0,1185700.0,30074900.0,63743900.0,3974200.0,13552800.0,56555100.0,18035700.0,,-864500.0,-1617200.0,7241100.0,6438000.0,-3853300.0,32000.0,-55600.0,-4876400.0,432000.0,-835100.0,-4928000.0,-665100.0,596700.0,-1617200.0,,26262400.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,REGULAR,USD,NGM,Educational Development Corpora,us_market,2,NasdaqGM,Educational Development Corporation,USD,31457,25850,0.4100008,0.043803506,9.36 - 20.0,-10.23,-0.5115,9.36,20.0,1630972800,1621368000,1625688000,1626120000,0.32,6.513334,0.03305785,1.5,0,4.823,10.553611,-0.78361034,-0.07425045,14.371884,-4.601884,-0.32020044,81588984,2.0257103,15,America/New_York,EDT,-14400000,False,False,0.9297536,9.77 - 9.77,9.68,9.77,9.95,30,11,finmb_268454,9.77,1630503003,0.09000015,9.61,9.77,9.77,129,1.11,,,20.0,9.36,10.55,14.37,31.46k,25.85k,8.35M,,6.27M,25.96%,26.63%,8.56k,0.35,0.13%,0.10%,13.94k,0.4,4.13%,0.32,3.31%,,21.43%,"Sep 06, 2021","Aug 22, 2021",2:1,"Aug 22, 2018","Feb 27, 2021","May 30, 2021",6.82%,8.57%,13.28%,38.12%,207.15M,25.04,6.60%,144.6M,19.4M,14.13M,1.50,78.00%,1.76M,0.2,23.47M,54.39,1.70,4.82,-9.65M,-17.6M,Value,74146,Communication Services,214,4,10,"Educational Development Corporation, a publishing company, operates as a trade co-publisher of educational children's books in the United States. The company offers various books, including touchy-feely board books, activity books and flashcards, adventure and search books, art books, sticker books, and foreign language books, as well as science and math titles, and chapter books and novels. It operates in two divisions, Home Business and Publishing. The Home Business division distributes books through a network of independent consultants using a combination of direct sales, home parties, book fairs, and Internet based social media platforms. The Publishing division markets books to bookstores, toy stores, specialty stores, museums, and other retail outlets throughout the country. The company distributes children's books published by Usborne Publishing Limited in the United Kingdom. Educational Development Corporation was incorporated in 1965 and is headquartered in Tulsa, Oklahoma.",Tulsa,918 622 4522,OK,10,1640908800,1625097600,9,United States,http://www.edcpub.com,86400,10,5402 South 122nd East Avenue,800 743 5660,Publishing
t-1,EDUC,40259800.0,8350970,,,3013100,,2168300,26172900,28608800,2435900,2435900,,-119500,,,,844800,40343000,37907100,11734200,577200,,2168300,2168300,10863900.0,48590700.0,40259800.0,4590000.0,88850500.0,2482000.0,39683000.0,203800.0,-12769100.0,724800.0,1812200.0,37915300.0,533500.0,29985100.0,58140600.0,3346700.0,10451200.0,51762400.0,19674300.0,100800.0,-26963500.0,-2105300.0,5115200.0,4223300.0,-4125900.0,32100.0,-29682100.0,-31800100.0,425300.0,-835700.0,-4412100.0,744800.0,224400.0,-2105300.0,-88300.0,20225300.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,REGULAR,USD,NGM,Educational Development Corpora,us_market,2,NasdaqGM,Educational Development Corporation,USD,31457,25850,0.4100008,0.043803506,9.36 - 20.0,-10.23,-0.5115,9.36,20.0,1630972800,1621368000,1625688000,1626120000,0.32,6.513334,0.03305785,1.5,0,4.823,10.553611,-0.78361034,-0.07425045,14.371884,-4.601884,-0.32020044,81588984,2.0257103,15,America/New_York,EDT,-14400000,False,False,0.9297536,9.77 - 9.77,9.68,9.77,9.95,30,11,finmb_268454,9.77,1630503003,0.09000015,9.61,9.77,9.77,129,1.11,,,20.0,9.36,10.55,14.37,31.46k,25.85k,8.35M,,6.27M,25.96%,26.63%,8.56k,0.35,0.13%,0.10%,13.94k,0.4,4.13%,0.32,3.31%,,21.43%,"Sep 06, 2021","Aug 22, 2021",2:1,"Aug 22, 2018","Feb 27, 2021","May 30, 2021",6.82%,8.57%,13.28%,38.12%,207.15M,25.04,6.60%,144.6M,19.4M,14.13M,1.50,78.00%,1.76M,0.2,23.47M,54.39,1.70,4.82,-9.65M,-17.6M,Value,74146,Communication Services,214,4,10,"Educational Development Corporation, a publishing company, operates as a trade co-publisher of educational children's books in the United States. The company offers various books, including touchy-feely board books, activity books and flashcards, adventure and search books, art books, sticker books, and foreign language books, as well as science and math titles, and chapter books and novels. It operates in two divisions, Home Business and Publishing. The Home Business division distributes books through a network of independent consultants using a combination of direct sales, home parties, book fairs, and Internet based social media platforms. The Publishing division markets books to bookstores, toy stores, specialty stores, museums, and other retail outlets throughout the country. The company distributes children's books published by Usborne Publishing Limited in the United Kingdom. Educational Development Corporation was incorporated in 1965 and is headquartered in Tulsa, Oklahoma.",Tulsa,918 622 4522,OK,10,1640908800,1625097600,9,United States,http://www.edcpub.com,86400,10,5402 South 122nd East Avenue,800 743 5660,Publishing
t-2,EDUC,38721300.0,8350970,,,5774300,,4269600,41658700,47152500,5493800,5493800,,-119300,,,,1504700,66750300,61256500,19597800,280500,,4269600,4269600,10552600.0,73446800.0,38721300.0,10584800.0,112168100.0,2482000.0,38349900.0,297500.0,-12663200.0,825500.0,31494300.0,62538900.0,527700.0,27246800.0,84095800.0,4124000.0,10587100.0,47313800.0,45159800.0,,21803700.0,-1599100.0,-128800.0,-610800.0,4761100.0,19200.0,8858000.0,11067900.0,386800.0,-501200.0,-17112500.0,-871800.0,-249100.0,-1599100.0,-88300.0,21556900.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,REGULAR,USD,NGM,Educational Development Corpora,us_market,2,NasdaqGM,Educational Development Corporation,USD,31457,25850,0.4100008,0.043803506,9.36 - 20.0,-10.23,-0.5115,9.36,20.0,1630972800,1621368000,1625688000,1626120000,0.32,6.513334,0.03305785,1.5,0,4.823,10.553611,-0.78361034,-0.07425045,14.371884,-4.601884,-0.32020044,81588984,2.0257103,15,America/New_York,EDT,-14400000,False,False,0.9297536,9.77 - 9.77,9.68,9.77,9.95,30,11,finmb_268454,9.77,1630503003,0.09000015,9.61,9.77,9.77,129,1.11,,,20.0,9.36,10.55,14.37,31.46k,25.85k,8.35M,,6.27M,25.96%,26.63%,8.56k,0.35,0.13%,0.10%,13.94k,0.4,4.13%,0.32,3.31%,,21.43%,"Sep 06, 2021","Aug 22, 2021",2:1,"Aug 22, 2018","Feb 27, 2021","May 30, 2021",6.82%,8.57%,13.28%,38.12%,207.15M,25.04,6.60%,144.6M,19.4M,14.13M,1.50,78.00%,1.76M,0.2,23.47M,54.39,1.70,4.82,-9.65M,-17.6M,Value,74146,Communication Services,214,4,10,"Educational Development Corporation, a publishing company, operates as a trade co-publisher of educational children's books in the United States. The company offers various books, including touchy-feely board books, activity books and flashcards, adventure and search books, art books, sticker books, and foreign language books, as well as science and math titles, and chapter books and novels. It operates in two divisions, Home Business and Publishing. The Home Business division distributes books through a network of independent consultants using a combination of direct sales, home parties, book fairs, and Internet based social media platforms. The Publishing division markets books to bookstores, toy stores, specialty stores, museums, and other retail outlets throughout the country. The company distributes children's books published by Usborne Publishing Limited in the United Kingdom. Educational Development Corporation was incorporated in 1965 and is headquartered in Tulsa, Oklahoma.",Tulsa,918 622 4522,OK,10,1640908800,1625097600,9,United States,http://www.edcpub.com,86400,10,5402 South 122nd East Avenue,800 743 5660,Publishing
t-3,EDUC,34976200.0,8350970,,,5799500,,4255000,36500300,41940600,5440300,5440300,,-140000,,,,1544500,59250100,53809800,17309500,359200,,4255000,4255000,10245600.0,49609400.0,34976200.0,8276100.0,84585600.0,2482000.0,34915800.0,922200.0,-12667200.0,523300.0,22636300.0,37939400.0,522000.0,26289400.0,57772900.0,3267800.0,10721600.0,30563400.0,24710700.0,,12228600.0,-297100.0,-7304700.0,-7786800.0,1378300.0,19100.0,7870800.0,15954700.0,411200.0,-501200.0,-3098500.0,-741300.0,-9700.0,-297100.0,-88300.0,19833500.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,REGULAR,USD,NGM,Educational Development Corpora,us_market,2,NasdaqGM,Educational Development Corporation,USD,31457,25850,0.4100008,0.043803506,9.36 - 20.0,-10.23,-0.5115,9.36,20.0,1630972800,1621368000,1625688000,1626120000,0.32,6.513334,0.03305785,1.5,0,4.823,10.553611,-0.78361034,-0.07425045,14.371884,-4.601884,-0.32020044,81588984,2.0257103,15,America/New_York,EDT,-14400000,False,False,0.9297536,9.77 - 9.77,9.68,9.77,9.95,30,11,finmb_268454,9.77,1630503003,0.09000015,9.61,9.77,9.77,129,1.11,,,20.0,9.36,10.55,14.37,31.46k,25.85k,8.35M,,6.27M,25.96%,26.63%,8.56k,0.35,0.13%,0.10%,13.94k,0.4,4.13%,0.32,3.31%,,21.43%,"Sep 06, 2021","Aug 22, 2021",2:1,"Aug 22, 2018","Feb 27, 2021","May 30, 2021",6.82%,8.57%,13.28%,38.12%,207.15M,25.04,6.60%,144.6M,19.4M,14.13M,1.50,78.00%,1.76M,0.2,23.47M,54.39,1.70,4.82,-9.65M,-17.6M,Value,74146,Communication Services,214,4,10,"Educational Development Corporation, a publishing company, operates as a trade co-publisher of educational children's books in the United States. The company offers various books, including touchy-feely board books, activity books and flashcards, adventure and search books, art books, sticker books, and foreign language books, as well as science and math titles, and chapter books and novels. It operates in two divisions, Home Business and Publishing. The Home Business division distributes books through a network of independent consultants using a combination of direct sales, home parties, book fairs, and Internet based social media platforms. The Publishing division markets books to bookstores, toy stores, specialty stores, museums, and other retail outlets throughout the country. The company distributes children's books published by Usborne Publishing Limited in the United Kingdom. Educational Development Corporation was incorporated in 1965 and is headquartered in Tulsa, Oklahoma.",Tulsa,918 622 4522,OK,10,1640908800,1625097600,9,United States,http://www.edcpub.com,86400,10,5402 South 122nd East Avenue,800 743 5660,Publishing
