Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,currency,exchange,marketCap,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,priceHint,regularMarketChangePercent,regularMarketDayRange,market,exchangeDataDelayedBy,shortName,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,HLLPF,11304899.0,138892000,,,-4380502,3992681,-4523802,5261132,793815,-4680517,-4680517,,-8598,,,,0,6972100,11652617,6178285,300015,,-4380502,-4523802,2494880.0,7607352.0,1315001.0,13799779.0,89163.0,19107461.0,27674485.0,-23182576.0,1700518.0,8161150.0,6971263.0,1225034.0,1700518.0,157829.0,8293602.0,530940.0,87440.0,891491.0,53758.0,-1838847.0,-469490.0,6507338.0,-590363.0,6976828.0,5556250.0,-81773.0,969532.0,19736.0,1144186.0,4672553.0,-1769794.0,,7068568.0,en-US,US,EQUITY,False,Delayed Quote,0.6469,1630526399,0.12690002,0.5129,0.69,0.5129,539442,USD,PNK,92156736,-14400000,False,False,PRE,4,24.40385,0.5129 - 0.69,us_market,0,HELLO PAL INTERNATIONAL INC,0.52,finmb_876561,Other OTC,Hello Pal International Inc.,CAD,407609,220773,0.6169,20.563335,0.03 - 1.85,-1.2031,-0.6503243,0.03,1.85,-0.028,0.01,0.5124531,0.13444692,0.26235947,0.8591891,-0.2122891,-0.24708076,64.69,15,America/New_York,EDT,4.25,,,1.85,0.03,0.5125,0.8592,407.61k,220.77k,138.89M,,144.41M,13.31%,2.28%,,,,,,,,,,,0.00%,,,,,"Feb 27, 2021","May 30, 2021",-35.54%,-35.00%,-44.60%,-90.72%,21.7M,0.17,466.10%,1.56M,-7.69M,-7.71M,-0.0280,,6.97M,0.04,272.87k,1.53,6.77,0.01,383.44k,-569.75k,Value,V6G 3H1,Technology,"Hello Pal International Inc. develops, markets, owns, and operates an international social networking platform in Asia. The company's Hello Pal Platform enables users to find and interact with users from all over the world through various means, such as chat messaging, livestreaming, and audio/video calling. Its platform also offers crypto-mining services. The company was formerly known as Neoteck Solutions Inc. and changed its name to Hello Pal International Inc. in May 2016. The company is headquartered in Vancouver, Canada.",Vancouver,604 683 0911,BC,1640908800,Canada,http://www.hellopal.com,86400,550 Denman Street,604 684 0642,Software—Application,Suite 200
t-1,HLLPF,1967756.0,138892000,,,-2007776,3992681,-2007776,2485163,860230,-1828269,-1828269,,-90628,,,,0,7222134,9050403,6361904,-179507,,-2007776,-2007776,2615708.0,2566359.0,1796757.0,4583464.0,220933.0,6380221.0,18883542.0,-18658774.0,1792337.0,,1415013.0,1644811.0,1792337.0,168068.0,3596445.0,1675126.0,143082.0,744252.0,287321.0,-173684.0,-179247.0,1485786.0,-211022.0,1607403.0,958952.0,8325.0,-361475.0,16571.0,-247820.0,1614486.0,-110964.0,57630.0,1951634.0,en-US,US,EQUITY,False,Delayed Quote,0.6469,1630526399,0.12690002,0.5129,0.69,0.5129,539442,USD,PNK,92156736,-14400000,False,False,PRE,4,24.40385,0.5129 - 0.69,us_market,0,HELLO PAL INTERNATIONAL INC,0.52,finmb_876561,Other OTC,Hello Pal International Inc.,CAD,407609,220773,0.6169,20.563335,0.03 - 1.85,-1.2031,-0.6503243,0.03,1.85,-0.028,0.01,0.5124531,0.13444692,0.26235947,0.8591891,-0.2122891,-0.24708076,64.69,15,America/New_York,EDT,4.25,,,1.85,0.03,0.5125,0.8592,407.61k,220.77k,138.89M,,144.41M,13.31%,2.28%,,,,,,,,,,,0.00%,,,,,"Feb 27, 2021","May 30, 2021",-35.54%,-35.00%,-44.60%,-90.72%,21.7M,0.17,466.10%,1.56M,-7.69M,-7.71M,-0.0280,,6.97M,0.04,272.87k,1.53,6.77,0.01,383.44k,-569.75k,Value,V6G 3H1,Technology,"Hello Pal International Inc. develops, markets, owns, and operates an international social networking platform in Asia. The company's Hello Pal Platform enables users to find and interact with users from all over the world through various means, such as chat messaging, livestreaming, and audio/video calling. Its platform also offers crypto-mining services. The company was formerly known as Neoteck Solutions Inc. and changed its name to Hello Pal International Inc. in May 2016. The company is headquartered in Vancouver, Canada.",Vancouver,604 683 0911,BC,1640908800,Canada,http://www.hellopal.com,86400,550 Denman Street,604 684 0642,Software—Application,Suite 200
t-2,HLLPF,-595627.0,138892000,,,-828595,3992681,-828595,1155287,512971,-776331,-776331,,-13629,,,,0,4449799,5226130,3936828,-52264,,-828595,-828595,1954662.0,2669399.0,1612162.0,1359035.0,30803.0,2971197.0,15262098.0,-16650998.0,78536.0,,456061.0,1409634.0,78536.0,85334.0,931201.0,179856.0,182354.0,459734.0,99391.0,-64666.0,-83166.0,-65419.0,-260833.0,17747.0,166405.0,8405.0,288085.0,8866.0,277367.0,866740.0,-14321.0,57630.0,-478433.0,en-US,US,EQUITY,False,Delayed Quote,0.6469,1630526399,0.12690002,0.5129,0.69,0.5129,539442,USD,PNK,92156736,-14400000,False,False,PRE,4,24.40385,0.5129 - 0.69,us_market,0,HELLO PAL INTERNATIONAL INC,0.52,finmb_876561,Other OTC,Hello Pal International Inc.,CAD,407609,220773,0.6169,20.563335,0.03 - 1.85,-1.2031,-0.6503243,0.03,1.85,-0.028,0.01,0.5124531,0.13444692,0.26235947,0.8591891,-0.2122891,-0.24708076,64.69,15,America/New_York,EDT,4.25,,,1.85,0.03,0.5125,0.8592,407.61k,220.77k,138.89M,,144.41M,13.31%,2.28%,,,,,,,,,,,0.00%,,,,,"Feb 27, 2021","May 30, 2021",-35.54%,-35.00%,-44.60%,-90.72%,21.7M,0.17,466.10%,1.56M,-7.69M,-7.71M,-0.0280,,6.97M,0.04,272.87k,1.53,6.77,0.01,383.44k,-569.75k,Value,V6G 3H1,Technology,"Hello Pal International Inc. develops, markets, owns, and operates an international social networking platform in Asia. The company's Hello Pal Platform enables users to find and interact with users from all over the world through various means, such as chat messaging, livestreaming, and audio/video calling. Its platform also offers crypto-mining services. The company was formerly known as Neoteck Solutions Inc. and changed its name to Hello Pal International Inc. in May 2016. The company is headquartered in Vancouver, Canada.",Vancouver,604 683 0911,BC,1640908800,Canada,http://www.hellopal.com,86400,550 Denman Street,604 684 0642,Software—Application,Suite 200
t-3,HLLPF,-701581.0,138892000,,,-352545,3992681,-352545,347924,174411,-311628,-311628,,-24012,,,,0,3058879,3370507,2884468,-40917,,-352545,-352545,1762293.0,1792467.0,1577356.0,1060712.0,8422.0,2638068.0,11910751.0,-15822403.0,3179897.0,,289656.0,1365206.0,3179897.0,94445.0,781330.0,457223.0,180883.0,444126.0,24186.0,-8211.0,63630.0,648653.0,-652.0,585023.0,128485.0,748.0,-512705.0,16407.0,-367314.0,45505.0,-13096.0,57630.0,-583876.0,en-US,US,EQUITY,False,Delayed Quote,0.6469,1630526399,0.12690002,0.5129,0.69,0.5129,539442,USD,PNK,92156736,-14400000,False,False,PRE,4,24.40385,0.5129 - 0.69,us_market,0,HELLO PAL INTERNATIONAL INC,0.52,finmb_876561,Other OTC,Hello Pal International Inc.,CAD,407609,220773,0.6169,20.563335,0.03 - 1.85,-1.2031,-0.6503243,0.03,1.85,-0.028,0.01,0.5124531,0.13444692,0.26235947,0.8591891,-0.2122891,-0.24708076,64.69,15,America/New_York,EDT,4.25,,,1.85,0.03,0.5125,0.8592,407.61k,220.77k,138.89M,,144.41M,13.31%,2.28%,,,,,,,,,,,0.00%,,,,,"Feb 27, 2021","May 30, 2021",-35.54%,-35.00%,-44.60%,-90.72%,21.7M,0.17,466.10%,1.56M,-7.69M,-7.71M,-0.0280,,6.97M,0.04,272.87k,1.53,6.77,0.01,383.44k,-569.75k,Value,V6G 3H1,Technology,"Hello Pal International Inc. develops, markets, owns, and operates an international social networking platform in Asia. The company's Hello Pal Platform enables users to find and interact with users from all over the world through various means, such as chat messaging, livestreaming, and audio/video calling. Its platform also offers crypto-mining services. The company was formerly known as Neoteck Solutions Inc. and changed its name to Hello Pal International Inc. in May 2016. The company is headquartered in Vancouver, Canada.",Vancouver,604 683 0911,BC,1640908800,Canada,http://www.hellopal.com,86400,550 Denman Street,604 684 0642,Software—Application,Suite 200
