Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,capitalSurplus,otherCurrentLiab,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,marketState,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,exchange,priceHint,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,GSVRF,24148977.0,198374000,,,-2898649,,-2898649,537072,0,-2723453,-2723453,,-1218,,,,0,0,2723453,0,-175196,,-2898649,-2898649,318643.0,24148977.0,24467620.0,56588255.0,-52506785.0,20067507.0,890158.0,19213240.0,302106.0,8225.0,20067507.0,3933391.0,19644071.0,247260.0,16537.0,293881.0,,,54675.0,-304079.0,-2938.0,15677663.0,90641.0,16022440.0,13891313.0,-159854.0,-1322417.0,20084.0,-140729.0,-341839.0,1551561.0,-304079.0,,19341965.0,en-US,US,EQUITY,False,Delayed Quote,2.0475807,0.42 - 0.4518,0.422156,finmb_3175090,Other OTC,Guanajuato Silver Company Ltd.,CAD,221462,255874,0.33069998,3.303696,0.1001 - 0.7,-0.2692,-0.38457143,0.1001,0.7,1552435200,-14400000,False,False,USD,PREPRE,0.3730475,0.05775249,0.1548127,0.42982,0.0009799898,0.0022800004,86706256,15,America/New_York,EDT,GUANAJUATO SILVER COMPANY LTD,0.4308,1630526268,0.008643985,0.438,0.4518,0.42,112757,0,PNK,4,us_market,1.53,,,0.7,0.1001,0.373,0.4298,221.46k,255.87k,198.37M,,146.23M,20.21%,0.11%,,,,,,,,,,,0.00%,"Mar 12, 2019",,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-21.81%,-37.67%,,,,,-4.61M,-4.9M,,,19.21M,0.1,24.76k,0.10,65.02,,-3.18M,-2.48M,Value,V6C 3E1,Basic Materials,"Guanajuato Silver Company Ltd. engages in the acquisition, exploration, development, and evaluation of mineral assets in Canada and Mexico. The company primarily focuses on gold and silver properties. Its flagship project is the 100% owned the El Pinguico project located in Guanajuato, Mexico. The company was formerly known as Vangold Mining Corp. and changed its name to Guanajuato Silver Company Ltd. in June 2021. Guanajuato Silver Company Ltd. was incorporated in 1978 and is headquartered in Vancouver, Canada.",Vancouver,778 989 5346,BC,1609372800,Canada,http://www.gsilver.com,86400,999 Canada Place,Other Industrial Metals & Mining,Suite 578
t-1,GSVRF,9967362.0,198374000,,,-889634,,-889634,490606,0,-862355,-862355,,-1218,,,,0,0,862355,0,-27279,,-889634,-889634,274861.0,9967362.0,10242223.0,44241396.0,-49608136.0,15334102.0,890158.0,5321927.0,255342.0,8181.0,15334102.0,3649395.0,5702670.0,106531.0,19519.0,244661.0,,,33385.0,-1015411.0,-2108.0,2275033.0,-217730.0,1192723.0,422283.0,4352.0,-841691.0,4417.0,-75230.0,1084418.0,303101.0,-809568.0,-200000.0,5447328.0,en-US,US,EQUITY,False,Delayed Quote,2.0475807,0.42 - 0.4518,0.422156,finmb_3175090,Other OTC,Guanajuato Silver Company Ltd.,CAD,221462,255874,0.33069998,3.303696,0.1001 - 0.7,-0.2692,-0.38457143,0.1001,0.7,1552435200,-14400000,False,False,USD,PREPRE,0.3730475,0.05775249,0.1548127,0.42982,0.0009799898,0.0022800004,86706256,15,America/New_York,EDT,GUANAJUATO SILVER COMPANY LTD,0.4308,1630526268,0.008643985,0.438,0.4518,0.42,112757,0,PNK,4,us_market,1.53,,,0.7,0.1001,0.373,0.4298,221.46k,255.87k,198.37M,,146.23M,20.21%,0.11%,,,,,,,,,,,0.00%,"Mar 12, 2019",,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-21.81%,-37.67%,,,,,-4.61M,-4.9M,,,19.21M,0.1,24.76k,0.10,65.02,,-3.18M,-2.48M,Value,V6C 3E1,Basic Materials,"Guanajuato Silver Company Ltd. engages in the acquisition, exploration, development, and evaluation of mineral assets in Canada and Mexico. The company primarily focuses on gold and silver properties. Its flagship project is the 100% owned the El Pinguico project located in Guanajuato, Mexico. The company was formerly known as Vangold Mining Corp. and changed its name to Guanajuato Silver Company Ltd. in June 2021. Guanajuato Silver Company Ltd. was incorporated in 1978 and is headquartered in Vancouver, Canada.",Vancouver,778 989 5346,BC,1609372800,Canada,http://www.gsilver.com,86400,999 Canada Place,Other Industrial Metals & Mining,Suite 578
t-2,GSVRF,6536833.0,198374000,,,-815665,,-815665,342009,0,-774756,-774756,,-1218,,,,0,0,774756,0,-40909,,-815665,-815665,248111.0,6536833.0,6784944.0,42702977.0,-48718502.0,,251408.0,4899644.0,248111.0,,,1546109.0,4987427.0,31301.0,,248111.0,12552358.0,,11494.0,-9607.0,-2108.0,3889944.0,-50564.0,4004244.0,3109284.0,-4093.0,-766960.0,8278.0,-7158.0,-114300.0,86655.0,-17890.0,-200000.0,4739316.0,en-US,US,EQUITY,False,Delayed Quote,2.0475807,0.42 - 0.4518,0.422156,finmb_3175090,Other OTC,Guanajuato Silver Company Ltd.,CAD,221462,255874,0.33069998,3.303696,0.1001 - 0.7,-0.2692,-0.38457143,0.1001,0.7,1552435200,-14400000,False,False,USD,PREPRE,0.3730475,0.05775249,0.1548127,0.42982,0.0009799898,0.0022800004,86706256,15,America/New_York,EDT,GUANAJUATO SILVER COMPANY LTD,0.4308,1630526268,0.008643985,0.438,0.4518,0.42,112757,0,PNK,4,us_market,1.53,,,0.7,0.1001,0.373,0.4298,221.46k,255.87k,198.37M,,146.23M,20.21%,0.11%,,,,,,,,,,,0.00%,"Mar 12, 2019",,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-21.81%,-37.67%,,,,,-4.61M,-4.9M,,,19.21M,0.1,24.76k,0.10,65.02,,-3.18M,-2.48M,Value,V6C 3E1,Basic Materials,"Guanajuato Silver Company Ltd. engages in the acquisition, exploration, development, and evaluation of mineral assets in Canada and Mexico. The company primarily focuses on gold and silver properties. Its flagship project is the 100% owned the El Pinguico project located in Guanajuato, Mexico. The company was formerly known as Vangold Mining Corp. and changed its name to Guanajuato Silver Company Ltd. in June 2021. Guanajuato Silver Company Ltd. was incorporated in 1978 and is headquartered in Vancouver, Canada.",Vancouver,778 989 5346,BC,1609372800,Canada,http://www.gsilver.com,86400,999 Canada Place,Other Industrial Metals & Mining,Suite 578
t-3,GSVRF,3364490.0,198374000,,,-297884,,-297884,206372,0,-284917,-284917,,-1218,,,,0,0,284917,0,-12967,,-297884,-297884,252119.0,3364490.0,3616609.0,40205031.0,-47902837.0,,251408.0,1790360.0,252119.0,,,1544780.0,1820421.0,24143.0,,231485.0,11062296.0,20634.0,-30814.0,-1295.0,-2108.0,1715950.0,1988.0,1715950.0,1462132.0,709.0,-253232.0,1749.0,-403.0,-114300.0,72132.0,-1295.0,-200000.0,1568302.0,en-US,US,EQUITY,False,Delayed Quote,2.0475807,0.42 - 0.4518,0.422156,finmb_3175090,Other OTC,Guanajuato Silver Company Ltd.,CAD,221462,255874,0.33069998,3.303696,0.1001 - 0.7,-0.2692,-0.38457143,0.1001,0.7,1552435200,-14400000,False,False,USD,PREPRE,0.3730475,0.05775249,0.1548127,0.42982,0.0009799898,0.0022800004,86706256,15,America/New_York,EDT,GUANAJUATO SILVER COMPANY LTD,0.4308,1630526268,0.008643985,0.438,0.4518,0.42,112757,0,PNK,4,us_market,1.53,,,0.7,0.1001,0.373,0.4298,221.46k,255.87k,198.37M,,146.23M,20.21%,0.11%,,,,,,,,,,,0.00%,"Mar 12, 2019",,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-21.81%,-37.67%,,,,,-4.61M,-4.9M,,,19.21M,0.1,24.76k,0.10,65.02,,-3.18M,-2.48M,Value,V6C 3E1,Basic Materials,"Guanajuato Silver Company Ltd. engages in the acquisition, exploration, development, and evaluation of mineral assets in Canada and Mexico. The company primarily focuses on gold and silver properties. Its flagship project is the 100% owned the El Pinguico project located in Guanajuato, Mexico. The company was formerly known as Vangold Mining Corp. and changed its name to Guanajuato Silver Company Ltd. in June 2021. Guanajuato Silver Company Ltd. was incorporated in 1978 and is headquartered in Vancouver, Canada.",Vancouver,778 989 5346,BC,1609372800,Canada,http://www.gsilver.com,86400,999 Canada Place,Other Industrial Metals & Mining,Suite 578
