Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,accountsPayable,shortLongTermDebt,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToNetincome,capitalExpenditures,otherCashflowsFromFinancingActivities,issuanceOfStock,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,currency,esgPopulated,tradeable,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,exchange,marketState,market,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,maxAge,address1,industry,address2
t0,CYNS,8961691.0,0,,,-4078196,,-4078196,1640752,81987,-3214013,-3214013,,-864531,,,,0,189906,3403919,107919,-864183,,-4078196,-4206397,54307763.0,28625039.0,8961691.0,1124005.0,2416769.0,37587202.0,84529.0,1099975.0,-45430601.0,1295457.0,1030364.0,10966842.0,29785832.0,6224740.0,281173.0,1320828.0,17658197.0,4468413.0,,-227032.0,0.0,-3132115.0,-20078.0,-70078.0,-372234.0,-2409560.0,-50000.0,792633.0,-159619.0,49333.0,4165269.0,-2954416.0,,,,-4742102.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.000100000005,0.12500001,8.0E-4 - 0.005,-0.0041,-0.82,0.0008,0.005,-0.222,0.0,9.0E-4 - 9.0E-4,0.002,0.0,0.0,0,0,finmb_3565176,Other OTC,Cygnus Oil & Gas Corp.,USD,95045,2666,0.106,0.0011141667,-0.0002141667,-0.19222142,0.0018000704,-0.0009000704,-0.50001955,89512,0.008490566,15,America/New_York,EDT,-14400000,4,PNK,REGULAR,us_market,CYGNUS OIL AND GAS,0.0009,1630347971,0.0,0.0009,0.0009,0.0009,1000,0.96,,,0.005,0.0008,0.0011,0.0018,95.05k,2.67k,,,,0.00%,0.00%,,,,,,,1.19%,,,,0.00%,,,,,"Dec 30, 2005","Sep 29, 2006",0.00%,"-1,125.17%",-29.01%,-203.12%,1.18M,0.01,309.60%,175.61k,-10.64M,-17.31M,-0.2220,,1.03M,0.01,17.97M,200.56,0.57,0.11,-6.8M,-25.69M,Value,77027,Energy,8,"Cygnus Oil and Gas Corporation, a development stage energy company, engages in the exploration, development and production of oil and gas in the United States and New Zealand. It has interests in 13 oil and gas projects. The company, formerly known as Touchstone Resources USA, Inc., was founded in 2001 and is based in Houston, Texas. On April 3, 2007, Cygnus Oil & Gas Corp filed a voluntary petition for reorganization under Chapter 11 in the US Bankruptcy Court for the Southern District of Texas, Houston. The plan was later approved as Chapter 11 liquidation on September 19, 2007.",Houston,713-418-7129,TX,United States,86400,520 Post Oak Boulevard,Oil & Gas E&P,Suite 320
t-1,CYNS,12888412.0,0,,,-6465762,,-6465762,1903338,71228,-5705883,-5705883,,-818496,,,,0,252351,5958234,181123,-759879,,-6465762,-6609014,54029158.0,24084857.0,12888412.0,1311340.0,2416769.0,36973848.0,83458.0,1214643.0,-41224204.0,1482792.0,3439924.0,6862629.0,25675006.0,9761909.0,54141.0,2704618.0,17222228.0,4109630.0,,-227032.0,0.0,-13123665.0,19310722.0,17411207.0,-372234.0,2281519.0,-50000.0,-2006023.0,239635.0,-142723.0,4220104.0,-12980942.0,-1899515.0,,,2899280.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.000100000005,0.12500001,8.0E-4 - 0.005,-0.0041,-0.82,0.0008,0.005,-0.222,0.0,9.0E-4 - 9.0E-4,0.002,0.0,0.0,0,0,finmb_3565176,Other OTC,Cygnus Oil & Gas Corp.,USD,95045,2666,0.106,0.0011141667,-0.0002141667,-0.19222142,0.0018000704,-0.0009000704,-0.50001955,89512,0.008490566,15,America/New_York,EDT,-14400000,4,PNK,REGULAR,us_market,CYGNUS OIL AND GAS,0.0009,1630347971,0.0,0.0009,0.0009,0.0009,1000,0.96,,,0.005,0.0008,0.0011,0.0018,95.05k,2.67k,,,,0.00%,0.00%,,,,,,,1.19%,,,,0.00%,,,,,"Dec 30, 2005","Sep 29, 2006",0.00%,"-1,125.17%",-29.01%,-203.12%,1.18M,0.01,309.60%,175.61k,-10.64M,-17.31M,-0.2220,,1.03M,0.01,17.97M,200.56,0.57,0.11,-6.8M,-25.69M,Value,77027,Energy,8,"Cygnus Oil and Gas Corporation, a development stage energy company, engages in the exploration, development and production of oil and gas in the United States and New Zealand. It has interests in 13 oil and gas projects. The company, formerly known as Touchstone Resources USA, Inc., was founded in 2001 and is based in Houston, Texas. On April 3, 2007, Cygnus Oil & Gas Corp filed a voluntary petition for reorganization under Chapter 11 in the US Bankruptcy Court for the Southern District of Texas, Houston. The plan was later approved as Chapter 11 liquidation on September 19, 2007.",Houston,713-418-7129,TX,United States,86400,520 Post Oak Boulevard,Oil & Gas E&P,Suite 320
t-2,CYNS,8506880.0,0,,,-2375060,,-2375060,1493749,350451,-2252005,-2252005,,-117392,,,,0,489390,2741395,138939,-123055,,-2375060,-2527440,43042887.0,11405512.0,8506880.0,,2431627.0,19913074.0,79183.0,405536.0,-34615190.0,201601.0,1158405.0,9960017.0,14811658.0,4845674.0,54141.0,726778.0,1445495.0,4097365.0,3050000.0,62928.0,0.0,-4877910.0,-57892.0,5796128.0,-372234.0,-3474583.0,-50000.0,-4392801.0,636949.0,-55346.0,-2654690.0,-4885492.0,-1899515.0,5854020.0,,-5114343.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.000100000005,0.12500001,8.0E-4 - 0.005,-0.0041,-0.82,0.0008,0.005,-0.222,0.0,9.0E-4 - 9.0E-4,0.002,0.0,0.0,0,0,finmb_3565176,Other OTC,Cygnus Oil & Gas Corp.,USD,95045,2666,0.106,0.0011141667,-0.0002141667,-0.19222142,0.0018000704,-0.0009000704,-0.50001955,89512,0.008490566,15,America/New_York,EDT,-14400000,4,PNK,REGULAR,us_market,CYGNUS OIL AND GAS,0.0009,1630347971,0.0,0.0009,0.0009,0.0009,1000,0.96,,,0.005,0.0008,0.0011,0.0018,95.05k,2.67k,,,,0.00%,0.00%,,,,,,,1.19%,,,,0.00%,,,,,"Dec 30, 2005","Sep 29, 2006",0.00%,"-1,125.17%",-29.01%,-203.12%,1.18M,0.01,309.60%,175.61k,-10.64M,-17.31M,-0.2220,,1.03M,0.01,17.97M,200.56,0.57,0.11,-6.8M,-25.69M,Value,77027,Energy,8,"Cygnus Oil and Gas Corporation, a development stage energy company, engages in the exploration, development and production of oil and gas in the United States and New Zealand. It has interests in 13 oil and gas projects. The company, formerly known as Touchstone Resources USA, Inc., was founded in 2001 and is based in Houston, Texas. On April 3, 2007, Cygnus Oil & Gas Corp filed a voluntary petition for reorganization under Chapter 11 in the US Bankruptcy Court for the Southern District of Texas, Houston. The plan was later approved as Chapter 11 liquidation on September 19, 2007.",Houston,713-418-7129,TX,United States,86400,520 Post Oak Boulevard,Oil & Gas E&P,Suite 320
t-3,CYNS,4590829.0,0,,,-3807512,,-3806978,1079272,-64597,-2104696,-2104696,,-338893,,,,0,248321,2353017,312918,-1702816,,-3807512,-3964476,36607833.0,11873412.0,4590829.0,,465826.0,16464951.0,70746.0,382525.0,-32087750.0,30149.0,4632988.0,10338752.0,7699254.0,8681407.0,54141.0,2118223.0,1534660.0,2991974.0,3050000.0,484164.0,-3521770.0,-3049504.0,-4544.0,4120087.0,720667.0,-123068.0,-50000.0,-1193651.0,747563.0,286948.0,-1362360.0,-3820616.0,-116690.0,4241321.0,4610994.0,-1657345.0,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.000100000005,0.12500001,8.0E-4 - 0.005,-0.0041,-0.82,0.0008,0.005,-0.222,0.0,9.0E-4 - 9.0E-4,0.002,0.0,0.0,0,0,finmb_3565176,Other OTC,Cygnus Oil & Gas Corp.,USD,95045,2666,0.106,0.0011141667,-0.0002141667,-0.19222142,0.0018000704,-0.0009000704,-0.50001955,89512,0.008490566,15,America/New_York,EDT,-14400000,4,PNK,REGULAR,us_market,CYGNUS OIL AND GAS,0.0009,1630347971,0.0,0.0009,0.0009,0.0009,1000,0.96,,,0.005,0.0008,0.0011,0.0018,95.05k,2.67k,,,,0.00%,0.00%,,,,,,,1.19%,,,,0.00%,,,,,"Dec 30, 2005","Sep 29, 2006",0.00%,"-1,125.17%",-29.01%,-203.12%,1.18M,0.01,309.60%,175.61k,-10.64M,-17.31M,-0.2220,,1.03M,0.01,17.97M,200.56,0.57,0.11,-6.8M,-25.69M,Value,77027,Energy,8,"Cygnus Oil and Gas Corporation, a development stage energy company, engages in the exploration, development and production of oil and gas in the United States and New Zealand. It has interests in 13 oil and gas projects. The company, formerly known as Touchstone Resources USA, Inc., was founded in 2001 and is based in Houston, Texas. On April 3, 2007, Cygnus Oil & Gas Corp filed a voluntary petition for reorganization under Chapter 11 in the US Bankruptcy Court for the Southern District of Texas, Houston. The plan was later approved as Chapter 11 liquidation on September 19, 2007.",Houston,713-418-7129,TX,United States,86400,520 Post Oak Boulevard,Oil & Gas E&P,Suite 320
