Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,otherCurrentAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceHint,regularMarketChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,currency,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,shortName,exchangeDataDelayedBy,market,marketState,epsTrailingTwelveMonths,twoHundredDayAverageChangePercent,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,maxAge,address1,industry,address2
t0,HESV,-1924903.0,16678000,,,-234210,,-234210,586201,754558,-221538,-221538,329030,-35279,,,,0,1747545,1969083,992987,-12672,,-234210,-234210,5729185.0,5156730.0,-1924903.0,649906.0,3231827.0,376981.0,-7763963.0,-267106.0,107775.0,455954.0,2603268.0,1073248.0,-267106.0,2581861.0,542191.0,86237.0,2553462.0,579737.0,,-90376.0,-327219.0,-168290.0,-168290.0,366365.0,-212818.0,282691.0,60865.0,196547.0,-16500.0,-327219.0,,,-2061077.0,en-US,US,EQUITY,False,Delayed Quote,150,0.0,0.0,1.0E-6 - 0.001,-0.000999,-0.999,1e-06,0.001,-0.511,0.0001,-9.9e-05,-0.99,0.0001,-9.9e-05,16,4,0.0,-1.9569472e-06,15,America/New_York,EDT,-14400000,1.0E-6 - 1.0E-6,1e-06,finmb_2983570,Other OTC,Home Energy Savings Corp.,USD,150,USD,False,False,1e-06,1629745884,0.0,0.0001,1e-06,1e-06,579,PNK,HOME ENERGY SAVINGS CORPORATION,0,us_market,PRE,-1.394,-0.99,27.43,,,0.001,0.0,0.0001,0.0001,150,150,16.68M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Jun 29, 2004","Dec 30, 2004",-57.17%,-29.05%,,,6.51M,2.44,6.70%,1.69M,-1.58M,-3.72M,-1.3940,,455.95k,0.12,3.63M,,0.21,-0.51,-1.4M,,Value,34343,,28,"Home Energy Savings Corp. sells and installs home improvement products. It also offers mortgage services and home improvement financing products. Home Energy Savings Corp. was formerly known as Elite Flight Solutions, Inc. and changed its name to Home Energy Savings Corp. in July 2006. The company was founded in 2003 and is based in Sarasota, Florida.",Sarasota,941-343-9966,FL,1104451200,United States,86400,8191 North Tamiami Trail,,Suite B-2
t-1,HESV,-1787333.0,16678000,,,-607171,,-607171,478689,783133,-341186,-341186,588290,-70233,,,,0,1693615,2034801,910482,-265985,,-607171,-607171,5744259.0,5184341.0,-1787333.0,521872.0,3397008.0,363805.0,-7529753.0,-365644.0,111304.0,710426.0,4424341.0,,-365644.0,2290719.0,994985.0,282784.0,760000.0,645823.0,1775.0,210831.0,-16483.0,803222.0,781722.0,-193543.0,340040.0,-425199.0,57340.0,-178401.0,285745.0,-16483.0,50000.0,-71500.0,-3429356.0,en-US,US,EQUITY,False,Delayed Quote,150,0.0,0.0,1.0E-6 - 0.001,-0.000999,-0.999,1e-06,0.001,-0.511,0.0001,-9.9e-05,-0.99,0.0001,-9.9e-05,16,4,0.0,-1.9569472e-06,15,America/New_York,EDT,-14400000,1.0E-6 - 1.0E-6,1e-06,finmb_2983570,Other OTC,Home Energy Savings Corp.,USD,150,USD,False,False,1e-06,1629745884,0.0,0.0001,1e-06,1e-06,579,PNK,HOME ENERGY SAVINGS CORPORATION,0,us_market,PRE,-1.394,-0.99,27.43,,,0.001,0.0,0.0001,0.0001,150,150,16.68M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Jun 29, 2004","Dec 30, 2004",-57.17%,-29.05%,,,6.51M,2.44,6.70%,1.69M,-1.58M,-3.72M,-1.3940,,455.95k,0.12,3.63M,,0.21,-0.51,-1.4M,,Value,34343,,28,"Home Energy Savings Corp. sells and installs home improvement products. It also offers mortgage services and home improvement financing products. Home Energy Savings Corp. was formerly known as Elite Flight Solutions, Inc. and changed its name to Home Energy Savings Corp. in July 2006. The company was founded in 2003 and is based in Sarasota, Florida.",Sarasota,941-343-9966,FL,1104451200,United States,86400,8191 North Tamiami Trail,,Suite B-2
t-2,HESV,-1462181.0,16678000,,,-1484346,,-1484346,578680,720918,-565335,-565335,639005,-80208,,,,0,1787587,2352922,1066669,-919011,,-1484346,-1484346,5590611.0,4588257.0,-1462181.0,443000.0,3126076.0,259394.0,-6922582.0,-389604.0,331510.0,370386.0,3828257.0,,-389604.0,2309866.0,484700.0,104383.0,760000.0,513864.0,9931.0,278513.0,5719758.0,-5735213.0,-5344185.0,59275.0,236677.0,-138896.0,68568.0,-91710.0,1030804.0,5719758.0,415028.0,-24000.0,-3343557.0,en-US,US,EQUITY,False,Delayed Quote,150,0.0,0.0,1.0E-6 - 0.001,-0.000999,-0.999,1e-06,0.001,-0.511,0.0001,-9.9e-05,-0.99,0.0001,-9.9e-05,16,4,0.0,-1.9569472e-06,15,America/New_York,EDT,-14400000,1.0E-6 - 1.0E-6,1e-06,finmb_2983570,Other OTC,Home Energy Savings Corp.,USD,150,USD,False,False,1e-06,1629745884,0.0,0.0001,1e-06,1e-06,579,PNK,HOME ENERGY SAVINGS CORPORATION,0,us_market,PRE,-1.394,-0.99,27.43,,,0.001,0.0,0.0001,0.0001,150,150,16.68M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Jun 29, 2004","Dec 30, 2004",-57.17%,-29.05%,,,6.51M,2.44,6.70%,1.69M,-1.58M,-3.72M,-1.3940,,455.95k,0.12,3.63M,,0.21,-0.51,-1.4M,,Value,34343,,28,"Home Energy Savings Corp. sells and installs home improvement products. It also offers mortgage services and home improvement financing products. Home Energy Savings Corp. was formerly known as Elite Flight Solutions, Inc. and changed its name to Home Energy Savings Corp. in July 2006. The company was founded in 2003 and is based in Sarasota, Florida.",Sarasota,941-343-9966,FL,1104451200,United States,86400,8191 North Tamiami Trail,,Suite B-2
t-3,HESV,-728302.0,16678000,,,-1393128,,-1393128,401226,387465,-761868,-761868,629681,-631260,,,,0,1276538,2038406,889073,-631260,,-1393128,-1393128,5010135.0,7212231.0,-728302.0,,6483929.0,176591.0,-5438236.0,-476792.0,294010.0,133709.0,6322231.0,,-476792.0,6043537.0,146382.0,12673.0,890000.0,678351.0,,-370981.0,5719758.0,352453.0,879947.0,-181681.0,-238582.0,-1118529.0,118426.0,160205.0,548630.0,5719758.0,649462.0,-121968.0,-6175849.0,en-US,US,EQUITY,False,Delayed Quote,150,0.0,0.0,1.0E-6 - 0.001,-0.000999,-0.999,1e-06,0.001,-0.511,0.0001,-9.9e-05,-0.99,0.0001,-9.9e-05,16,4,0.0,-1.9569472e-06,15,America/New_York,EDT,-14400000,1.0E-6 - 1.0E-6,1e-06,finmb_2983570,Other OTC,Home Energy Savings Corp.,USD,150,USD,False,False,1e-06,1629745884,0.0,0.0001,1e-06,1e-06,579,PNK,HOME ENERGY SAVINGS CORPORATION,0,us_market,PRE,-1.394,-0.99,27.43,,,0.001,0.0,0.0001,0.0001,150,150,16.68M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Jun 29, 2004","Dec 30, 2004",-57.17%,-29.05%,,,6.51M,2.44,6.70%,1.69M,-1.58M,-3.72M,-1.3940,,455.95k,0.12,3.63M,,0.21,-0.51,-1.4M,,Value,34343,,28,"Home Energy Savings Corp. sells and installs home improvement products. It also offers mortgage services and home improvement financing products. Home Energy Savings Corp. was formerly known as Elite Flight Solutions, Inc. and changed its name to Home Energy Savings Corp. in July 2006. The company was founded in 2003 and is based in Sarasota, Florida.",Sarasota,941-343-9966,FL,1104451200,United States,86400,8191 North Tamiami Trail,,Suite B-2
