Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,shortTermInvestments,netReceivables,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,changeToAccountReceivables,changeToNetincome,capitalExpenditures,investments,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,currency,esgPopulated,tradeable,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,shortName,exchange,exchangeDataDelayedBy,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,HGGOF,39532116.0,59338300,,,-316280,,-316280,230886,0,-294385,-294385,,,,,,0,0,294385,0,-21895,,-316280,-316280,1149681.0,292579.0,39532116.0,10594.0,39824695.0,40762092.0,-2379657.0,16186182.0,292579.0,22673444.0,17151251.0,266000.0,308472.0,278860.0,-242334.0,-1350707.0,232070.0,-61723.0,232070.0,-1760431.0,-641794.0,-52916.0,31459.0,-1350707.0,,,16858672.0,en-US,US,EQUITY,False,Delayed Quote,-0.91667527,1.0701 - 1.09,1.08,finmb_614332511,Other OTC,HighGold Mining Inc.,CAD,12107,5957,0.24209994,0.29239124,0.828 - 2.437,-1.3669001,-0.56089455,0.828,2.437,USD,False,False,us_market,1.0701,1630522912,-0.009900093,1.082,1.09,1.0701,1180,PRE,HIGHGOLD MINING INC,PNK,0,1.2051429,-0.1350429,-0.11205552,1.1131015,-0.043001533,-0.038632177,63918568,15,America/New_York,EDT,-14400000,4,,,,2.437,0.828,1.2051,1.1131,12.11k,5.96k,59.34M,,56.91M,1.62%,30.66%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,,,,,,,,-1.16M,,,16.45M,0.28,,,58.62,,-1.02M,,Value,V6C 2V6,Basic Materials,"HighGold Mining Inc., an exploration company, engages in the exploration and development of gold projects located in North America. It also explores for copper, zinc, silver, gold, and lead, as well as other base metals. The company's flagship asset is the 21,000-acre Johnson Tract gold property located in southcentral Alaska, the United States. HighGold Mining Inc. was founded in 2019 and is headquartered in Vancouver, Canada.",Vancouver,604 629 1165,BC,1577750400,Canada,http://www.highgoldmining.com,86400,800 West Pender Street,Gold,Suite 320
t-1,HGGOF,39424504.0,59338300,,,-385226,,-385226,637471,0,-267678,-267678,,,,,,0,0,267678,0,-117548,,-385226,-385226,1066392.0,891818.0,39424504.0,135264.0,40316322.0,40421489.0,-2063377.0,17946613.0,891818.0,21411959.0,18904363.0,378000.0,255556.0,750016.0,481889.0,-5051742.0,3645182.0,-68859.0,3862234.0,-1531366.0,-124806.0,-142144.0,-10466.0,-5111592.0,59850.0,-217052.0,18012545.0,en-US,US,EQUITY,False,Delayed Quote,-0.91667527,1.0701 - 1.09,1.08,finmb_614332511,Other OTC,HighGold Mining Inc.,CAD,12107,5957,0.24209994,0.29239124,0.828 - 2.437,-1.3669001,-0.56089455,0.828,2.437,USD,False,False,us_market,1.0701,1630522912,-0.009900093,1.082,1.09,1.0701,1180,PRE,HIGHGOLD MINING INC,PNK,0,1.2051429,-0.1350429,-0.11205552,1.1131015,-0.043001533,-0.038632177,63918568,15,America/New_York,EDT,-14400000,4,,,,2.437,0.828,1.2051,1.1131,12.11k,5.96k,59.34M,,56.91M,1.62%,30.66%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,,,,,,,,-1.16M,,,16.45M,0.28,,,58.62,,-1.02M,,Value,V6C 2V6,Basic Materials,"HighGold Mining Inc., an exploration company, engages in the exploration and development of gold projects located in North America. It also explores for copper, zinc, silver, gold, and lead, as well as other base metals. The company's flagship asset is the 21,000-acre Johnson Tract gold property located in southcentral Alaska, the United States. HighGold Mining Inc. was founded in 2019 and is headquartered in Vancouver, Canada.",Vancouver,604 629 1165,BC,1577750400,Canada,http://www.highgoldmining.com,86400,800 West Pender Street,Gold,Suite 320
t-2,HGGOF,35443483.0,59338300,,,-9476,,-9476,369638,0,-448073,-448073,,,,,,0,0,448073,0,438597,,-9476,-9476,949282.0,1526901.0,35443483.0,,36970384.0,36172352.0,-1678151.0,19477979.0,1526901.0,16681901.0,20288483.0,428000.0,144495.0,1501359.0,-33017.0,-6773810.0,16083375.0,7583.0,17066737.0,8930915.0,-378650.0,-11196.0,-332544.0,-6773810.0,59850.0,-983362.0,18761582.0,en-US,US,EQUITY,False,Delayed Quote,-0.91667527,1.0701 - 1.09,1.08,finmb_614332511,Other OTC,HighGold Mining Inc.,CAD,12107,5957,0.24209994,0.29239124,0.828 - 2.437,-1.3669001,-0.56089455,0.828,2.437,USD,False,False,us_market,1.0701,1630522912,-0.009900093,1.082,1.09,1.0701,1180,PRE,HIGHGOLD MINING INC,PNK,0,1.2051429,-0.1350429,-0.11205552,1.1131015,-0.043001533,-0.038632177,63918568,15,America/New_York,EDT,-14400000,4,,,,2.437,0.828,1.2051,1.1131,12.11k,5.96k,59.34M,,56.91M,1.62%,30.66%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,,,,,,,,-1.16M,,,16.45M,0.28,,,58.62,,-1.02M,,Value,V6C 2V6,Basic Materials,"HighGold Mining Inc., an exploration company, engages in the exploration and development of gold projects located in North America. It also explores for copper, zinc, silver, gold, and lead, as well as other base metals. The company's flagship asset is the 21,000-acre Johnson Tract gold property located in southcentral Alaska, the United States. HighGold Mining Inc. was founded in 2019 and is headquartered in Vancouver, Canada.",Vancouver,604 629 1165,BC,1577750400,Canada,http://www.highgoldmining.com,86400,800 West Pender Street,Gold,Suite 320
t-3,HGGOF,18844115.0,59338300,,,-445779,,-445779,275056,0,-357231,-357231,,,,,,0,0,357231,0,-88548,,-445779,-445779,851139.0,427269.0,18844115.0,,19271384.0,19661651.0,-1668675.0,10547064.0,427269.0,8350903.0,10920481.0,,133299.0,427269.0,368991.0,-1570370.0,671482.0,-1175.0,671482.0,-773166.0,125722.0,121510.0,-124710.0,-1570370.0,59850.0,-983362.0,10493212.0,en-US,US,EQUITY,False,Delayed Quote,-0.91667527,1.0701 - 1.09,1.08,finmb_614332511,Other OTC,HighGold Mining Inc.,CAD,12107,5957,0.24209994,0.29239124,0.828 - 2.437,-1.3669001,-0.56089455,0.828,2.437,USD,False,False,us_market,1.0701,1630522912,-0.009900093,1.082,1.09,1.0701,1180,PRE,HIGHGOLD MINING INC,PNK,0,1.2051429,-0.1350429,-0.11205552,1.1131015,-0.043001533,-0.038632177,63918568,15,America/New_York,EDT,-14400000,4,,,,2.437,0.828,1.2051,1.1131,12.11k,5.96k,59.34M,,56.91M,1.62%,30.66%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,,,,,,,,-1.16M,,,16.45M,0.28,,,58.62,,-1.02M,,Value,V6C 2V6,Basic Materials,"HighGold Mining Inc., an exploration company, engages in the exploration and development of gold projects located in North America. It also explores for copper, zinc, silver, gold, and lead, as well as other base metals. The company's flagship asset is the 21,000-acre Johnson Tract gold property located in southcentral Alaska, the United States. HighGold Mining Inc. was founded in 2019 and is headquartered in Vancouver, Canada.",Vancouver,604 629 1165,BC,1577750400,Canada,http://www.highgoldmining.com,86400,800 West Pender Street,Gold,Suite 320
