Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,totalCurrentLiabilities,shortLongTermDebt,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,treasuryStock,cash,otherStockholderEquity,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,currency,exchange,marketCap,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,priceHint,regularMarketChangePercent,regularMarketDayRange,market,exchangeDataDelayedBy,shortName,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry
t0,IWAL,-669201.0,33919400,72376,,-602579,,-602579,218724,-199081,-600540,-600540,,-16027,,,,0,-63168,537372,135913,-2039,,-602579,-602579,124682.0,3732963.0,984215.0,-544519.0,47971.0,439696.0,33919.0,322.0,-4311401.0,541231.0,30248.0,315014.0,116777.0,442984.0,75217.0,379725.0,,,,149721.0,-1.0,-1352.0,-1353.0,54862.0,-121417.0,-120063.0,4729.0,-53712.0,56439.0,-1.0,270477.0,,-226217.0,en-US,US,EQUITY,False,Delayed Quote,0.0201,1630521703,-0.0064000003,0.0302,0.0302,0.0201,71999,USD,PNK,681779,-14400000,False,False,PRE,4,-24.150946,0.0201 - 0.0302,us_market,0,IWALLET CORP,0.0265,finmb_269088446,Other OTC,iWallet Corporation,USD,1033114,104442,0.017099999,5.7,0.003 - 0.113,-0.0929,-0.8221239,0.003,0.113,-0.097,-0.016,0.026371429,-0.0062714294,-0.2378115,0.02557971,-0.00547971,-0.21422097,-1.2562499,15,America/New_York,EDT,4.36,,,0.113,0.003,0.0264,0.0256,1.03M,104.44k,33.92M,,,,,,,,,,,,,,,0.00%,,,5:1,"Jul 10, 2014","Dec 30, 2014","Sep 29, 2015",0.00%,"-1,831.52%",-148.42%,-679.42%,131.86k,0.00,,32.84k,-2.4M,-2.4M,-0.0970,,,,476.74k,,0.58,-0.02,-1.42M,-576.14k,Value,92121,Industrials,"iWallet Corporation designs, develops, manufactures, and sells personal security products to protect against identity, personal, and financial information theft in the United States and internationally. The company offers biometric locking luxury storage cases that protect cash, credit cards, and personal information with a proprietary fingerprint security system. It intends to serve customers in luxury secure storage cases and accessories markets. The company was founded in 2009 and is based in San Diego, California.",San Diego,858-877-3195,CA,1419984000,United States,http://iwalletusa.com,86400,7394 Trade Street,Security & Protection Services
t-1,IWAL,-176980.0,33919400,102839,,-528309,,-528309,297868,21561,-525645,-525645,,-8383,,,,0,118472,644117,96911,-2664,,-528309,-528309,129410.0,3619913.0,819930.0,-47570.0,47971.0,772360.0,33919.0,322.0,-3708822.0,349177.0,4200.0,642950.0,193328.0,470753.0,166508.0,230004.0,7420.0,121417.0,7420.0,22247.0,-22179.0,450821.0,471134.0,30409.0,56697.0,-392258.0,6163.0,-4933.0,-65257.0,20313.0,148755.0,,293773.0,en-US,US,EQUITY,False,Delayed Quote,0.0201,1630521703,-0.0064000003,0.0302,0.0302,0.0201,71999,USD,PNK,681779,-14400000,False,False,PRE,4,-24.150946,0.0201 - 0.0302,us_market,0,IWALLET CORP,0.0265,finmb_269088446,Other OTC,iWallet Corporation,USD,1033114,104442,0.017099999,5.7,0.003 - 0.113,-0.0929,-0.8221239,0.003,0.113,-0.097,-0.016,0.026371429,-0.0062714294,-0.2378115,0.02557971,-0.00547971,-0.21422097,-1.2562499,15,America/New_York,EDT,4.36,,,0.113,0.003,0.0264,0.0256,1.03M,104.44k,33.92M,,,,,,,,,,,,,,,0.00%,,,5:1,"Jul 10, 2014","Dec 30, 2014","Sep 29, 2015",0.00%,"-1,831.52%",-148.42%,-679.42%,131.86k,0.00,,32.84k,-2.4M,-2.4M,-0.0970,,,,476.74k,,0.58,-0.02,-1.42M,-576.14k,Value,92121,Industrials,"iWallet Corporation designs, develops, manufactures, and sells personal security products to protect against identity, personal, and financial information theft in the United States and internationally. The company offers biometric locking luxury storage cases that protect cash, credit cards, and personal information with a proprietary fingerprint security system. It intends to serve customers in luxury secure storage cases and accessories markets. The company was founded in 2009 and is based in San Diego, California.",San Diego,858-877-3195,CA,1419984000,United States,http://iwalletusa.com,86400,7394 Trade Street,Security & Protection Services
t-2,IWAL,227009.0,33919400,88339,,-533425,,-533425,311985,-8302,-554522,-554522,,-577,,,,0,24522,579044,32824,21097,,-533425,-533425,112061.0,3480498.0,331216.0,339070.0,48333.0,670286.0,33919.0,203546.0,-3180513.0,318370.0,4200.0,558225.0,128384.0,12846.0,161575.0,207757.0,5166.0,64720.0,5166.0,-27634.0,-22179.0,-1065.0,-1065.0,43828.0,-401127.0,-400062.0,2942.0,-22756.0,-5971.0,20313.0,141621.0,,239855.0,en-US,US,EQUITY,False,Delayed Quote,0.0201,1630521703,-0.0064000003,0.0302,0.0302,0.0201,71999,USD,PNK,681779,-14400000,False,False,PRE,4,-24.150946,0.0201 - 0.0302,us_market,0,IWALLET CORP,0.0265,finmb_269088446,Other OTC,iWallet Corporation,USD,1033114,104442,0.017099999,5.7,0.003 - 0.113,-0.0929,-0.8221239,0.003,0.113,-0.097,-0.016,0.026371429,-0.0062714294,-0.2378115,0.02557971,-0.00547971,-0.21422097,-1.2562499,15,America/New_York,EDT,4.36,,,0.113,0.003,0.0264,0.0256,1.03M,104.44k,33.92M,,,,,,,,,,,,,,,0.00%,,,5:1,"Jul 10, 2014","Dec 30, 2014","Sep 29, 2015",0.00%,"-1,831.52%",-148.42%,-679.42%,131.86k,0.00,,32.84k,-2.4M,-2.4M,-0.0970,,,,476.74k,,0.58,-0.02,-1.42M,-576.14k,Value,92121,Industrials,"iWallet Corporation designs, develops, manufactures, and sells personal security products to protect against identity, personal, and financial information theft in the United States and internationally. The company offers biometric locking luxury storage cases that protect cash, credit cards, and personal information with a proprietary fingerprint security system. It intends to serve customers in luxury secure storage cases and accessories markets. The company was founded in 2009 and is based in San Diego, California.",San Diego,858-877-3195,CA,1419984000,United States,http://iwalletusa.com,86400,7394 Trade Street,Security & Protection Services
t-3,IWAL,614538.0,33919400,98206,,-734132,,-734132,393731,10690,-734298,-734298,22944.0,-577,,,,0,52032,786330,41342,166,,-734132,-734132,116336.0,3341070.0,344075.0,730874.0,48306.0,1074949.0,33919.0,231534.0,-2647088.0,330311.0,4347.0,958613.0,122413.0,13764.0,138819.0,235391.0,2973.0,465847.0,2973.0,131460.0,-17875.0,-14576.0,-34155.0,-165881.0,-555161.0,-503131.0,2071.0,-31600.0,43971.0,-224370.0,249734.0,204791.0,628302.0,en-US,US,EQUITY,False,Delayed Quote,0.0201,1630521703,-0.0064000003,0.0302,0.0302,0.0201,71999,USD,PNK,681779,-14400000,False,False,PRE,4,-24.150946,0.0201 - 0.0302,us_market,0,IWALLET CORP,0.0265,finmb_269088446,Other OTC,iWallet Corporation,USD,1033114,104442,0.017099999,5.7,0.003 - 0.113,-0.0929,-0.8221239,0.003,0.113,-0.097,-0.016,0.026371429,-0.0062714294,-0.2378115,0.02557971,-0.00547971,-0.21422097,-1.2562499,15,America/New_York,EDT,4.36,,,0.113,0.003,0.0264,0.0256,1.03M,104.44k,33.92M,,,,,,,,,,,,,,,0.00%,,,5:1,"Jul 10, 2014","Dec 30, 2014","Sep 29, 2015",0.00%,"-1,831.52%",-148.42%,-679.42%,131.86k,0.00,,32.84k,-2.4M,-2.4M,-0.0970,,,,476.74k,,0.58,-0.02,-1.42M,-576.14k,Value,92121,Industrials,"iWallet Corporation designs, develops, manufactures, and sells personal security products to protect against identity, personal, and financial information theft in the United States and internationally. The company offers biometric locking luxury storage cases that protect cash, credit cards, and personal information with a proprietary fingerprint security system. It intends to serve customers in luxury secure storage cases and accessories markets. The company was founded in 2009 and is based in San Diego, California.",San Diego,858-877-3195,CA,1419984000,United States,http://iwalletusa.com,86400,7394 Trade Street,Security & Protection Services
