Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,totalCurrentAssets,longTermInvestments,longTermDebt,accountsPayable,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToOperatingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,currency,exchange,marketCap,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,priceHint,regularMarketChangePercent,regularMarketDayRange,market,exchangeDataDelayedBy,shortName,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry
t0,DKGR,-141628,13990400,,,-16556,,-16556,14000,-237,-16325,-16325,,,,,,0,0,16325,237,-231,,-16556,-16556,2089,170040,-139539,30501,2009130,-1621550,-527119,1072,4202,-527119,1072,27340,165838,4202,0.0,15500.0,15500.0,1031.0,-14469.0,2088.0,,-3130,en-US,US,EQUITY,False,Delayed Quote,0.0003,1630427842,0.0,0.0005,0.0003,0.0003,400000,USD,PNK,786,-14400000,False,False,REGULAR,4,0.0,3.0E-4 - 3.0E-4,us_market,0,UNIVERSAL APPAREL & TEXTILE CO,0.0003,0.0,0.0,0,0,finmb_3103037,Other OTC,Universal Apparel & Textile Company,USD,14661905,7498026,0.00010000002,0.5000001,2.0E-4 - 0.01,-0.009699999,-0.96999997,0.0002,0.01,-0.014,-0.083,0.0025708333,-0.0022708334,-0.8833063,0.001068169,-0.000768169,-0.71914554,-0.0036144583,15,America/New_York,EDT,7.95,,,0.01,0.0002,0.0026,0.0011,14.66M,7.5M,13.99M,,,,,,,,,,,,,,,,,,1:500,"Jun 22, 2016","Dec 30, 2011","Mar 30, 2012",0.00%,0.00%,-42.93%,,,,,-664,-15.12k,-23.82k,-0.0140,,1.07k,0,165.84k,,0.25,-0.08,-14.48k,-6.32k,Value,89703,,"Universal Apparel & Textile Company, through its subsidiary, Universal Apparel Company, engages in the wholesale of apparel and textile products in North America and Europe. It primarily sells casual and athletic wear tops and bottoms, T-shirts, and fleece products to specialty and boutique stores, high-end and mid-tier retail stores, sporting goods stores, screen printers, and private label accounts, as well as to college bookstores and hospitality industry. The company also holds assets in the oil and gas sector. The company was formerly known as Drake Gold Resources Inc. and changed its name to Universal Apparel & Textile Company in April 2015. Universal Apparel & Textile Company was incorporated in 1981 and is headquartered in Aurora, Illinois.",Carson City,630-640-3955,NV,United States,http://www.universalapparelusa.com,86400,311 Division Street,
t-1,DKGR,-202285,13990400,,,-2224,,-2224,97,0,-2185,-2185,,,,,,0,0,2185,0,-39,,-2224,-2224,4177,229667,-198108,31558,1965030,-1604992,-558146,41,4202,-558146,41,27340,225465,4202,0.0,15500.0,15500.0,14.0,14.0,2088.0,150.0,-4161,en-US,US,EQUITY,False,Delayed Quote,0.0003,1630427842,0.0,0.0005,0.0003,0.0003,400000,USD,PNK,786,-14400000,False,False,REGULAR,4,0.0,3.0E-4 - 3.0E-4,us_market,0,UNIVERSAL APPAREL & TEXTILE CO,0.0003,0.0,0.0,0,0,finmb_3103037,Other OTC,Universal Apparel & Textile Company,USD,14661905,7498026,0.00010000002,0.5000001,2.0E-4 - 0.01,-0.009699999,-0.96999997,0.0002,0.01,-0.014,-0.083,0.0025708333,-0.0022708334,-0.8833063,0.001068169,-0.000768169,-0.71914554,-0.0036144583,15,America/New_York,EDT,7.95,,,0.01,0.0002,0.0026,0.0011,14.66M,7.5M,13.99M,,,,,,,,,,,,,,,,,,1:500,"Jun 22, 2016","Dec 30, 2011","Mar 30, 2012",0.00%,0.00%,-42.93%,,,,,-664,-15.12k,-23.82k,-0.0140,,1.07k,0,165.84k,,0.25,-0.08,-14.48k,-6.32k,Value,89703,,"Universal Apparel & Textile Company, through its subsidiary, Universal Apparel Company, engages in the wholesale of apparel and textile products in North America and Europe. It primarily sells casual and athletic wear tops and bottoms, T-shirts, and fleece products to specialty and boutique stores, high-end and mid-tier retail stores, sporting goods stores, screen printers, and private label accounts, as well as to college bookstores and hospitality industry. The company also holds assets in the oil and gas sector. The company was formerly known as Drake Gold Resources Inc. and changed its name to Universal Apparel & Textile Company in April 2015. Universal Apparel & Textile Company was incorporated in 1981 and is headquartered in Aurora, Illinois.",Carson City,630-640-3955,NV,United States,http://www.universalapparelusa.com,86400,311 Division Street,
t-2,DKGR,-202149,13990400,,,-2852,,-2852,60,-664,-2813,-2813,,,,,,0,0,2813,664,-39,,-2852,-2852,6265,229517,-195884,33632,1965030,-1602768,-558146,27,4202,-558146,27,27340,225315,4202,0.0,15500.0,15500.0,37.0,38.0,2089.0,800.0,-4175,en-US,US,EQUITY,False,Delayed Quote,0.0003,1630427842,0.0,0.0005,0.0003,0.0003,400000,USD,PNK,786,-14400000,False,False,REGULAR,4,0.0,3.0E-4 - 3.0E-4,us_market,0,UNIVERSAL APPAREL & TEXTILE CO,0.0003,0.0,0.0,0,0,finmb_3103037,Other OTC,Universal Apparel & Textile Company,USD,14661905,7498026,0.00010000002,0.5000001,2.0E-4 - 0.01,-0.009699999,-0.96999997,0.0002,0.01,-0.014,-0.083,0.0025708333,-0.0022708334,-0.8833063,0.001068169,-0.000768169,-0.71914554,-0.0036144583,15,America/New_York,EDT,7.95,,,0.01,0.0002,0.0026,0.0011,14.66M,7.5M,13.99M,,,,,,,,,,,,,,,,,,1:500,"Jun 22, 2016","Dec 30, 2011","Mar 30, 2012",0.00%,0.00%,-42.93%,,,,,-664,-15.12k,-23.82k,-0.0140,,1.07k,0,165.84k,,0.25,-0.08,-14.48k,-6.32k,Value,89703,,"Universal Apparel & Textile Company, through its subsidiary, Universal Apparel Company, engages in the wholesale of apparel and textile products in North America and Europe. It primarily sells casual and athletic wear tops and bottoms, T-shirts, and fleece products to specialty and boutique stores, high-end and mid-tier retail stores, sporting goods stores, screen printers, and private label accounts, as well as to college bookstores and hospitality industry. The company also holds assets in the oil and gas sector. The company was formerly known as Drake Gold Resources Inc. and changed its name to Universal Apparel & Textile Company in April 2015. Universal Apparel & Textile Company was incorporated in 1981 and is headquartered in Aurora, Illinois.",Carson City,630-640-3955,NV,United States,http://www.universalapparelusa.com,86400,311 Division Street,
t-3,DKGR,-201387,13990400,,,-2187,,-2187,60,0,-2148,-2148,,,,,,0,0,2148,0,-39,,-2187,-2187,8354,228717,-193033,35685,1965030,-1599917,-558146,-9,4202,-558146,-9,27340,224515,4202,0.0,15500.0,15500.0,-59.0,-59.0,2088.0,40.0,-4211,en-US,US,EQUITY,False,Delayed Quote,0.0003,1630427842,0.0,0.0005,0.0003,0.0003,400000,USD,PNK,786,-14400000,False,False,REGULAR,4,0.0,3.0E-4 - 3.0E-4,us_market,0,UNIVERSAL APPAREL & TEXTILE CO,0.0003,0.0,0.0,0,0,finmb_3103037,Other OTC,Universal Apparel & Textile Company,USD,14661905,7498026,0.00010000002,0.5000001,2.0E-4 - 0.01,-0.009699999,-0.96999997,0.0002,0.01,-0.014,-0.083,0.0025708333,-0.0022708334,-0.8833063,0.001068169,-0.000768169,-0.71914554,-0.0036144583,15,America/New_York,EDT,7.95,,,0.01,0.0002,0.0026,0.0011,14.66M,7.5M,13.99M,,,,,,,,,,,,,,,,,,1:500,"Jun 22, 2016","Dec 30, 2011","Mar 30, 2012",0.00%,0.00%,-42.93%,,,,,-664,-15.12k,-23.82k,-0.0140,,1.07k,0,165.84k,,0.25,-0.08,-14.48k,-6.32k,Value,89703,,"Universal Apparel & Textile Company, through its subsidiary, Universal Apparel Company, engages in the wholesale of apparel and textile products in North America and Europe. It primarily sells casual and athletic wear tops and bottoms, T-shirts, and fleece products to specialty and boutique stores, high-end and mid-tier retail stores, sporting goods stores, screen printers, and private label accounts, as well as to college bookstores and hospitality industry. The company also holds assets in the oil and gas sector. The company was formerly known as Drake Gold Resources Inc. and changed its name to Universal Apparel & Textile Company in April 2015. Universal Apparel & Textile Company was incorporated in 1981 and is headquartered in Aurora, Illinois.",Carson City,630-640-3955,NV,United States,http://www.universalapparelusa.com,86400,311 Division Street,
