Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,inventory,accountsPayable,otherLiab,shortTermInvestments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,exchange,currency,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,marketState,market,shortName,exchangeDataDelayedBy,esgPopulated,tradeable,priceHint,regularMarketChangePercent,regularMarketDayRange,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,EVLLF,8392527.0,93596000,,,-1001357,1129265,-892450,818213,17904,-1388291,-1388291,,-401936,,,,0,43201,1431492,25297,386934,,-1001357,-892450,4197878.0,750000.0,1355160.0,12590405.0,131464.0,15074830.0,29681254.0,366966.0,-25522635.0,7681786.0,1.0,4069556.0,1264210.0,7681786.0,4080068.0,6108145.0,688738.0,196142.0,1069681.0,707447.0,,,-271580.0,-45890.0,-97374.0,-224412.0,-35992.0,75000.0,-1441758.0,1964.0,-1173420.0,470878.0,-269488.0,36552.0,-202038.0,-211340.0,-45890.0,,4843935.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.271,1630508960,0.011000007,0.25,0.271,0.25,40791,0.26,0.0,0.0,0,0,finmb_413001390,Other OTC,EnviroLeach Technologies Inc.,CAD,108109,115966,0.025999993,0.10612242,0.245 - 0.745,-0.474,-0.6362416,0.245,0.745,REGULAR,us_market,ENVIROMETAL TECHNOLOGIES INC,0,False,False,4,4.230772,0.25 - 0.271,-0.056,0.135,0.30733332,-0.036333323,-0.11822123,0.42647102,-0.15547103,-0.36455238,25812588,2.0074074,15,America/New_York,EDT,-14400000,0.61,,,0.745,0.245,0.3073,0.4265,108.11k,115.97k,93.6M,,90.65M,3.69%,3.98%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,-967.60%,-26.10%,-47.46%,646.56k,0.01,-79.80%,-518.7k,-4.8M,-5.51M,-0.0560,,4.07M,0.04,257.98k,1.88,4.83,0.14,-2.28M,-974.36k,Value,V5A 4W2,Basic Materials,"EnviroLeach Technologies Inc. develops and commercializes inorganic electrochemical technologies for the hydrometallurgical extraction and recovery of precious metals in the primary and secondary metal sectors. Its targets the gold mining sector and the e-waste sector markets. The company was incorporated in 2016 and is headquartered in Burnaby, Canada.",Burnaby,604 428 2400,BC,1577750400,Canada,http://enviroleach.com,86400,8331 Eastlake Drive,604 428 2600,Gold,Unit 114
t-1,EVLLF,8940736.0,93596000,-396327.0,,-1985425,1121068,-1954036,799496,-246493,-1636509,-1636509,,-75454,,,,0,-13964,1622545,232529,-348916,,-1985425,-1954036,4372499.0,750000.0,2132625.0,13313235.0,202682.0,16566928.0,29447944.0,366966.0,-24630185.0,7745476.0,1.0,5511314.0,1584828.0,7745476.0,4330433.0,7163871.0,700124.0,232694.0,800193.0,802621.0,486842.0,,1119117.0,-111385.0,-633956.0,4014215.0,587329.0,5522500.0,4647917.0,-9337.0,754424.0,673500.0,-314119.0,74829.0,-874329.0,567804.0,-92258.0,-19127.0,5579043.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.271,1630508960,0.011000007,0.25,0.271,0.25,40791,0.26,0.0,0.0,0,0,finmb_413001390,Other OTC,EnviroLeach Technologies Inc.,CAD,108109,115966,0.025999993,0.10612242,0.245 - 0.745,-0.474,-0.6362416,0.245,0.745,REGULAR,us_market,ENVIROMETAL TECHNOLOGIES INC,0,False,False,4,4.230772,0.25 - 0.271,-0.056,0.135,0.30733332,-0.036333323,-0.11822123,0.42647102,-0.15547103,-0.36455238,25812588,2.0074074,15,America/New_York,EDT,-14400000,0.61,,,0.745,0.245,0.3073,0.4265,108.11k,115.97k,93.6M,,90.65M,3.69%,3.98%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,-967.60%,-26.10%,-47.46%,646.56k,0.01,-79.80%,-518.7k,-4.8M,-5.51M,-0.0560,,4.07M,0.04,257.98k,1.88,4.83,0.14,-2.28M,-974.36k,Value,V5A 4W2,Basic Materials,"EnviroLeach Technologies Inc. develops and commercializes inorganic electrochemical technologies for the hydrometallurgical extraction and recovery of precious metals in the primary and secondary metal sectors. Its targets the gold mining sector and the e-waste sector markets. The company was incorporated in 2016 and is headquartered in Burnaby, Canada.",Burnaby,604 428 2400,BC,1577750400,Canada,http://enviroleach.com,86400,8331 Eastlake Drive,604 428 2600,Gold,Unit 114
t-2,EVLLF,4501720.0,93596000,113954.0,,-1231853,1130639,-1019693,449359,-239212,-1250944,-1250944,,-53055,,,,0,573572,1824516,812784,19091,,-1231853,-1019693,5068261.0,,2188521.0,9569981.0,-149181.0,12889141.0,24326462.0,389966.0,-22281598.0,7525117.0,,863399.0,631049.0,7525117.0,4650808.0,3170072.0,,307523.0,690724.0,376040.0,1455168.0,750000.0,-368082.0,76840.0,40000.0,222533.0,-77492.0,77500.0,-313325.0,-9337.0,-612698.0,448417.0,686128.0,-27224.0,105033.0,-254752.0,-225409.0,241149.0,2539023.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.271,1630508960,0.011000007,0.25,0.271,0.25,40791,0.26,0.0,0.0,0,0,finmb_413001390,Other OTC,EnviroLeach Technologies Inc.,CAD,108109,115966,0.025999993,0.10612242,0.245 - 0.745,-0.474,-0.6362416,0.245,0.745,REGULAR,us_market,ENVIROMETAL TECHNOLOGIES INC,0,False,False,4,4.230772,0.25 - 0.271,-0.056,0.135,0.30733332,-0.036333323,-0.11822123,0.42647102,-0.15547103,-0.36455238,25812588,2.0074074,15,America/New_York,EDT,-14400000,0.61,,,0.745,0.245,0.3073,0.4265,108.11k,115.97k,93.6M,,90.65M,3.69%,3.98%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,-967.60%,-26.10%,-47.46%,646.56k,0.01,-79.80%,-518.7k,-4.8M,-5.51M,-0.0560,,4.07M,0.04,257.98k,1.88,4.83,0.14,-2.28M,-974.36k,Value,V5A 4W2,Basic Materials,"EnviroLeach Technologies Inc. develops and commercializes inorganic electrochemical technologies for the hydrometallurgical extraction and recovery of precious metals in the primary and secondary metal sectors. Its targets the gold mining sector and the e-waste sector markets. The company was incorporated in 2016 and is headquartered in Burnaby, Canada.",Burnaby,604 428 2400,BC,1577750400,Canada,http://enviroleach.com,86400,8331 Eastlake Drive,604 428 2600,Gold,Unit 114
t-3,EVLLF,5258312.0,93596000,150807.0,,-1941577,1221011,-1644921,620477,221223,-1980368,-1980368,,-53055,,,,0,43750,2024118,-177473,38791,,-1941577,-1644921,5253861.0,,1752773.0,10512173.0,-130053.0,13485957.0,24183149.0,436166.0,-21261905.0,7590929.0,,1216724.0,893286.0,7590929.0,4820085.0,3412011.0,,280299.0,1387865.0,568614.0,787842.0,,-709890.0,-267356.0,41285.0,475891.0,-60388.0,50000.0,-1020370.0,-9337.0,-1228815.0,363784.0,-304349.0,427799.0,384606.0,699151.0,-92882.0,-217766.0,2518725.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.271,1630508960,0.011000007,0.25,0.271,0.25,40791,0.26,0.0,0.0,0,0,finmb_413001390,Other OTC,EnviroLeach Technologies Inc.,CAD,108109,115966,0.025999993,0.10612242,0.245 - 0.745,-0.474,-0.6362416,0.245,0.745,REGULAR,us_market,ENVIROMETAL TECHNOLOGIES INC,0,False,False,4,4.230772,0.25 - 0.271,-0.056,0.135,0.30733332,-0.036333323,-0.11822123,0.42647102,-0.15547103,-0.36455238,25812588,2.0074074,15,America/New_York,EDT,-14400000,0.61,,,0.745,0.245,0.3073,0.4265,108.11k,115.97k,93.6M,,90.65M,3.69%,3.98%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,-967.60%,-26.10%,-47.46%,646.56k,0.01,-79.80%,-518.7k,-4.8M,-5.51M,-0.0560,,4.07M,0.04,257.98k,1.88,4.83,0.14,-2.28M,-974.36k,Value,V5A 4W2,Basic Materials,"EnviroLeach Technologies Inc. develops and commercializes inorganic electrochemical technologies for the hydrometallurgical extraction and recovery of precious metals in the primary and secondary metal sectors. Its targets the gold mining sector and the e-waste sector markets. The company was incorporated in 2016 and is headquartered in Burnaby, Canada.",Burnaby,604 428 2400,BC,1577750400,Canada,http://enviroleach.com,86400,8331 Eastlake Drive,604 428 2600,Gold,Unit 114
