Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,longTermInvestments,treasuryStock,otherStockholderEquity,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,WC,language,region,quoteType,triggerable,quoteSourceName,exchange,currency,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,marketState,market,shortName,exchangeDataDelayedBy,esgPopulated,tradeable,priceHint,regularMarketChangePercent,regularMarketDayRange,epsCurrentYear,priceEpsCurrentYear,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Aug 12, 2021) 4","Short Ratio (Aug 12, 2021) 4","Short % of Float (Aug 12, 2021) 4","Short % of Shares Outstanding (Aug 12, 2021) 4","Shares Short (prior month Jul 14, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry
t0,EOSE,63936000.0,51801300,3647000,,-54043000,,-54043000,11325000,-11752000,-26672000,-26672000,-52000,-154000,,,,0,612000,27284000,12364000,-27371000,,-54043000,-54043000,300000.0,436372000.0,41287000.0,68567000.0,3602000.0,109854000.0,5000.0,9843000.0,-367810000.0,3125000.0,4331000.0,5089000.0,74690000.0,24622000.0,6082000.0,8392000.0,91742000.0,1044000.0,13540000.0,4434000.0,14929000.0,,,,-7646000.0,-4424000.0,-3000.0,17581000.0,11880000.0,17608000.0,-26027000.0,-39184000.0,612000.0,-1213000.0,-1676000.0,14000.0,-24000.0,11675000.0,-3051000.0,,67120000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,NCM,USD,13.84,1630509587,0.9200001,12.92,13.95,12.842,266202,12.92,13.77,13.95,14,9,finmb_144482072,NasdaqCM,"Eos Energy Enterprises, Inc.",USD,471125,500516,3.83,0.38261735,10.01 - 31.952,-18.112,-0.56685024,10.01,31.952,1620822600,1620822600,1620822600,REGULAR,us_market,"Eos Energy Enterprises, Inc.",0,False,False,2,7.1207438,12.842 - 13.95,-2.38,-5.815126,15.1975,-1.3575001,-0.08932391,16.921413,-3.0814133,-0.18210141,716929984,15,America/New_York,EDT,-14400000,,,,31.95,10.01,15.2,16.92,471.12k,500.52k,51.8M,,31.33M,14.43%,60.49%,4.82M,16.75,15.74%,8.99%,5.25M,,,,,,0.00%,,,,,"Dec 30, 2020","Jun 29, 2021",0.00%,"-7,171.26%",-74.85%,,995k,0.03,,-5.29M,-69.45M,-129.02M,,,74.69M,1.39,19.63M,28.63,3.73,,-74.43M,-62.59M,Value,08820,Industrials,83,"Eos Energy Enterprises, Inc. designs, manufactures, and deploys battery storage solutions for utility, commercial and industrial, and renewable energy markets in the United States. The company offers stationary battery storage solutions. Its flagship product is the Eos Znyth DC battery system designed to meet the requirements of the grid-scale energy storage market. The company was founded in 2008 and is headquartered in Edison, New Jersey.",Edison,732 225 8400,NJ,1609372800,United States,http://www.eosenergystorage.com,86400,3920 Park Avenue,Electrical Equipment & Parts
t-1,EOSE,101497000.0,51801300,4869000,,-21456000,,-21456000,16838000,64000,-21651000,-21651000,8000,-21000,,,,0,164000,21815000,100000,195000,,-21456000,-21456000,310000.0,415569000.0,25993000.0,101807000.0,12871000.0,127800000.0,5000.0,4144000.0,-313767000.0,3698000.0,,3928000.0,100717000.0,22189000.0,1176000.0,7995000.0,107391000.0,348000.0,105000.0,92000.0,8131000.0,8176000.0,,,10312000.0,-11360000.0,-3000.0,-73000.0,330000.0,17608000.0,-21136000.0,-9703000.0,485000.0,-2870000.0,122000.0,-184000.0,-70000.0,688000.0,-4490000.0,-4000000.0,85202000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,NCM,USD,13.84,1630509587,0.9200001,12.92,13.95,12.842,266202,12.92,13.77,13.95,14,9,finmb_144482072,NasdaqCM,"Eos Energy Enterprises, Inc.",USD,471125,500516,3.83,0.38261735,10.01 - 31.952,-18.112,-0.56685024,10.01,31.952,1620822600,1620822600,1620822600,REGULAR,us_market,"Eos Energy Enterprises, Inc.",0,False,False,2,7.1207438,12.842 - 13.95,-2.38,-5.815126,15.1975,-1.3575001,-0.08932391,16.921413,-3.0814133,-0.18210141,716929984,15,America/New_York,EDT,-14400000,,,,31.95,10.01,15.2,16.92,471.12k,500.52k,51.8M,,31.33M,14.43%,60.49%,4.82M,16.75,15.74%,8.99%,5.25M,,,,,,0.00%,,,,,"Dec 30, 2020","Jun 29, 2021",0.00%,"-7,171.26%",-74.85%,,995k,0.03,,-5.29M,-69.45M,-129.02M,,,74.69M,1.39,19.63M,28.63,3.73,,-74.43M,-62.59M,Value,08820,Industrials,83,"Eos Energy Enterprises, Inc. designs, manufactures, and deploys battery storage solutions for utility, commercial and industrial, and renewable energy markets in the United States. The company offers stationary battery storage solutions. Its flagship product is the Eos Znyth DC battery system designed to meet the requirements of the grid-scale energy storage market. The company was founded in 2008 and is headquartered in Edison, New Jersey.",Edison,732 225 8400,NJ,1609372800,United States,http://www.eosenergystorage.com,86400,3920 Park Avenue,Electrical Equipment & Parts
t-2,EOSE,122776000.0,51801300,5315000,,-23406000,,-23406000,10950000,836000,-15614000,-15614000,185000,-340000,,,,0,184000,15798000,-652000,-7792000,,-23406000,-23406000,320000.0,395913000.0,15168000.0,123096000.0,5177000.0,138264000.0,5000.0,2390000.0,-290766000.0,762000.0,,1188000.0,121853000.0,14122000.0,1071000.0,5653000.0,127367000.0,563000.0,280000.0,214000.0,7725000.0,3736000.0,17944000.0,17944000.0,-2307000.0,-3225000.0,257000.0,134682000.0,854000.0,142345000.0,115319000.0,-16138000.0,416000.0,-2870000.0,-136000.0,35000.0,-10420000.0,8406000.0,-1766000.0,-1459000.0,113245000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,NCM,USD,13.84,1630509587,0.9200001,12.92,13.95,12.842,266202,12.92,13.77,13.95,14,9,finmb_144482072,NasdaqCM,"Eos Energy Enterprises, Inc.",USD,471125,500516,3.83,0.38261735,10.01 - 31.952,-18.112,-0.56685024,10.01,31.952,1620822600,1620822600,1620822600,REGULAR,us_market,"Eos Energy Enterprises, Inc.",0,False,False,2,7.1207438,12.842 - 13.95,-2.38,-5.815126,15.1975,-1.3575001,-0.08932391,16.921413,-3.0814133,-0.18210141,716929984,15,America/New_York,EDT,-14400000,,,,31.95,10.01,15.2,16.92,471.12k,500.52k,51.8M,,31.33M,14.43%,60.49%,4.82M,16.75,15.74%,8.99%,5.25M,,,,,,0.00%,,,,,"Dec 30, 2020","Jun 29, 2021",0.00%,"-7,171.26%",-74.85%,,995k,0.03,,-5.29M,-69.45M,-129.02M,,,74.69M,1.39,19.63M,28.63,3.73,,-74.43M,-62.59M,Value,08820,Industrials,83,"Eos Energy Enterprises, Inc. designs, manufactures, and deploys battery storage solutions for utility, commercial and industrial, and renewable energy markets in the United States. The company offers stationary battery storage solutions. Its flagship product is the Eos Znyth DC battery system designed to meet the requirements of the grid-scale energy storage market. The company was founded in 2008 and is headquartered in Edison, New Jersey.",Edison,732 225 8400,NJ,1609372800,United States,http://www.eosenergystorage.com,86400,3920 Park Avenue,Electrical Equipment & Parts
t-3,EOSE,-229130000.0,51801300,3747000,,-30116000,,-30116000,4392000,-6016000,-14274000,-14274000,119000,-16626000,,,,0,35000,14309000,6051000,-15842000,,-30116000,-30116000,330000.0,,132469000.0,-228800000.0,6488000.0,22293000.0,20616000.0,6175000.0,-249416000.0,750000.0,,810000.0,6534000.0,131217000.0,912000.0,5817000.0,13319000.0,344000.0,491000.0,78000.0,15235000.0,2017000.0,,,2433000.0,-1449000.0,7536000.0,16472000.0,-3960000.0,142345000.0,5614000.0,-9409000.0,392000.0,-2870000.0,-78000.0,41000.0,146000.0,21879000.0,-438000.0,-1011000.0,-117898000.0,en-US,US,EQUITY,True,Nasdaq Real Time Price,NCM,USD,13.84,1630509587,0.9200001,12.92,13.95,12.842,266202,12.92,13.77,13.95,14,9,finmb_144482072,NasdaqCM,"Eos Energy Enterprises, Inc.",USD,471125,500516,3.83,0.38261735,10.01 - 31.952,-18.112,-0.56685024,10.01,31.952,1620822600,1620822600,1620822600,REGULAR,us_market,"Eos Energy Enterprises, Inc.",0,False,False,2,7.1207438,12.842 - 13.95,-2.38,-5.815126,15.1975,-1.3575001,-0.08932391,16.921413,-3.0814133,-0.18210141,716929984,15,America/New_York,EDT,-14400000,,,,31.95,10.01,15.2,16.92,471.12k,500.52k,51.8M,,31.33M,14.43%,60.49%,4.82M,16.75,15.74%,8.99%,5.25M,,,,,,0.00%,,,,,"Dec 30, 2020","Jun 29, 2021",0.00%,"-7,171.26%",-74.85%,,995k,0.03,,-5.29M,-69.45M,-129.02M,,,74.69M,1.39,19.63M,28.63,3.73,,-74.43M,-62.59M,Value,08820,Industrials,83,"Eos Energy Enterprises, Inc. designs, manufactures, and deploys battery storage solutions for utility, commercial and industrial, and renewable energy markets in the United States. The company offers stationary battery storage solutions. Its flagship product is the Eos Znyth DC battery system designed to meet the requirements of the grid-scale energy storage market. The company was founded in 2008 and is headquartered in Edison, New Jersey.",Edison,732 225 8400,NJ,1609372800,United States,http://www.eosenergystorage.com,86400,3920 Park Avenue,Electrical Equipment & Parts
