Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,intangibleAssets,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,exchange,marketState,twoHundredDayAverageChangePercent,exchangeDataDelayedBy,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsTrailingTwelveMonths,priceHint,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,DRRSF,44167891.0,185388992,,,-4385173,,-4396059,183640,0,-221773,-221773,-11005,-1775864,,,,10886,0,221773,0,-4163400,,-4396059,-4396059,15833097.0,20174820.0,44167891.0,54112.0,64342711.0,80701251.0,-61262443.0,3168377.0,8895986.0,283252.0,606882.0,924524.0,100000.0,8895986.0,63217311.0,842148.0,235266.0,16013501.0,705037.0,,-370765,22368,-7082,296251,-6407,333333,-22028,-340647,22167,94824,-10986,-30000,4421403,-72456,-82376.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.2899,1630439999,0.0,0.2927,0.2899,0.2899,195500,ARIANNE PHOSPHATE INC,PNK,REGULAR,-0.09672155,0,False,False,0.0,0.2899 - 0.2899,0.2899,0.0,0.0,0,0,finmb_880210,Other OTC,Arianne Phosphate Inc.,CAD,51204,22750,0.18990001,1.899,0.1 - 0.5,-0.2101,-0.4202,0.1,0.5,1617048000,1617048000,1617048000,-0.057,4,0.255,0.26722223,0.02267778,0.08486487,0.320942,-0.03104201,54044320,1.1368628,15,America/New_York,EDT,-14400000,1.03,,,0.5,0.1,0.2672,0.3209,51.2k,22.75k,185.39M,,130.32M,4.98%,21.59%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-0.72%,-23.58%,,,,-3.7k,-692.97k,-8.48M,-0.0570,,606.88k,0,16.25M,36.78,0.91,0.25,-1.29M,-4.86M,Value,G7H 1T2,Basic Materials,"Arianne Phosphate Inc. engages in the acquisition and exploration of mining properties in Canada. It primarily focuses on developing Lac Ã  Paul phosphate rock project located in the Saguenay-Lac St-Jean area, Quebec. The company was formerly known as Arianne Resources Inc. and changed its name to Arianne Phosphate Inc. in June 2013. Arianne Phosphate Inc. was founded in 1997 and is headquartered in Chicoutimi, Canada.",Chicoutimi,418 549 7316,QC,1577750400,Canada,http://www.arianne-inc.com,86400,393 Racine Street East,418 549 5750,Other Industrial Metals & Mining,Suite 200
t-1,DRRSF,23877401.0,185388992,,,-5091571,,-5111103,86914,0,-81524,-81524,-45600,-5014829,,,,19532,0,81524,0,-5010047,,-5111103,-5111103,15226269.0,40928203.0,23877401.0,52029.0,64805604.0,64354302.0,-56836384.0,3157491.0,1133214.0,277119.0,628910.0,37651750.0,36452363.0,1133214.0,63586897.0,941588.0,312678.0,43139.0,1000306.0,,-72394,60329,80314,70675,-18812,333333,-407857,-538861,43098,-80742,-8475,-9639,4628825,93792,-36710162.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.2899,1630439999,0.0,0.2927,0.2899,0.2899,195500,ARIANNE PHOSPHATE INC,PNK,REGULAR,-0.09672155,0,False,False,0.0,0.2899 - 0.2899,0.2899,0.0,0.0,0,0,finmb_880210,Other OTC,Arianne Phosphate Inc.,CAD,51204,22750,0.18990001,1.899,0.1 - 0.5,-0.2101,-0.4202,0.1,0.5,1617048000,1617048000,1617048000,-0.057,4,0.255,0.26722223,0.02267778,0.08486487,0.320942,-0.03104201,54044320,1.1368628,15,America/New_York,EDT,-14400000,1.03,,,0.5,0.1,0.2672,0.3209,51.2k,22.75k,185.39M,,130.32M,4.98%,21.59%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-0.72%,-23.58%,,,,-3.7k,-692.97k,-8.48M,-0.0570,,606.88k,0,16.25M,36.78,0.91,0.25,-1.29M,-4.86M,Value,G7H 1T2,Basic Materials,"Arianne Phosphate Inc. engages in the acquisition and exploration of mining properties in Canada. It primarily focuses on developing Lac Ã  Paul phosphate rock project located in the Saguenay-Lac St-Jean area, Quebec. The company was formerly known as Arianne Resources Inc. and changed its name to Arianne Phosphate Inc. in June 2013. Arianne Phosphate Inc. was founded in 1997 and is headquartered in Chicoutimi, Canada.",Chicoutimi,418 549 7316,QC,1577750400,Canada,http://www.arianne-inc.com,86400,393 Racine Street East,418 549 5750,Other Industrial Metals & Mining,Suite 200
t-2,DRRSF,28975644.0,185388992,,,-146193,,-162637,148134,0,-260430,-260430,-45600,-5014829,,,,16444,0,260430,0,114237,,-162637,-162637,15222991.0,39558218.0,28994866.0,409303.0,68553084.0,64354302.0,-51680066.0,3173074.0,1097639.0,425073.0,1036767.0,36246901.0,34963966.0,1097639.0,66947945.0,1160844.0,124077.0,40000.0,651709.0,19222.0,0,-22835,-60398,-67249,459180,333333,205762,295846,32271,80742,-8475,-6851,-32968,-258577,-35086057.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.2899,1630439999,0.0,0.2927,0.2899,0.2899,195500,ARIANNE PHOSPHATE INC,PNK,REGULAR,-0.09672155,0,False,False,0.0,0.2899 - 0.2899,0.2899,0.0,0.0,0,0,finmb_880210,Other OTC,Arianne Phosphate Inc.,CAD,51204,22750,0.18990001,1.899,0.1 - 0.5,-0.2101,-0.4202,0.1,0.5,1617048000,1617048000,1617048000,-0.057,4,0.255,0.26722223,0.02267778,0.08486487,0.320942,-0.03104201,54044320,1.1368628,15,America/New_York,EDT,-14400000,1.03,,,0.5,0.1,0.2672,0.3209,51.2k,22.75k,185.39M,,130.32M,4.98%,21.59%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-0.72%,-23.58%,,,,-3.7k,-692.97k,-8.48M,-0.0570,,606.88k,0,16.25M,36.78,0.91,0.25,-1.29M,-4.86M,Value,G7H 1T2,Basic Materials,"Arianne Phosphate Inc. engages in the acquisition and exploration of mining properties in Canada. It primarily focuses on developing Lac Ã  Paul phosphate rock project located in the Saguenay-Lac St-Jean area, Quebec. The company was formerly known as Arianne Resources Inc. and changed its name to Arianne Phosphate Inc. in June 2013. Arianne Phosphate Inc. was founded in 1997 and is headquartered in Chicoutimi, Canada.",Chicoutimi,418 549 7316,QC,1577750400,Canada,http://www.arianne-inc.com,86400,393 Racine Street East,418 549 5750,Other Industrial Metals & Mining,Suite 200
t-3,DRRSF,29044659.0,185388992,,,-181674,,-194153,112855,0,-182878,-182878,-45600,-5014829,,,,12479,0,182878,0,1204,,-194153,-194153,15136937.0,38307097.0,29072118.0,,67379215.0,64354302.0,-51489040.0,3156630.0,1069919.0,414657.0,831005.0,31169857.0,29721830.0,1069919.0,65438236.0,1498863.0,667858.0,3866430.0,1338834.0,27459.0,0,-231893,28276,1510882,-600723,1506000,574027,-704962,43594,79079,-8475,-23394,46320,-278021,-29670994.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,0.2899,1630439999,0.0,0.2927,0.2899,0.2899,195500,ARIANNE PHOSPHATE INC,PNK,REGULAR,-0.09672155,0,False,False,0.0,0.2899 - 0.2899,0.2899,0.0,0.0,0,0,finmb_880210,Other OTC,Arianne Phosphate Inc.,CAD,51204,22750,0.18990001,1.899,0.1 - 0.5,-0.2101,-0.4202,0.1,0.5,1617048000,1617048000,1617048000,-0.057,4,0.255,0.26722223,0.02267778,0.08486487,0.320942,-0.03104201,54044320,1.1368628,15,America/New_York,EDT,-14400000,1.03,,,0.5,0.1,0.2672,0.3209,51.2k,22.75k,185.39M,,130.32M,4.98%,21.59%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-0.72%,-23.58%,,,,-3.7k,-692.97k,-8.48M,-0.0570,,606.88k,0,16.25M,36.78,0.91,0.25,-1.29M,-4.86M,Value,G7H 1T2,Basic Materials,"Arianne Phosphate Inc. engages in the acquisition and exploration of mining properties in Canada. It primarily focuses on developing Lac Ã  Paul phosphate rock project located in the Saguenay-Lac St-Jean area, Quebec. The company was formerly known as Arianne Resources Inc. and changed its name to Arianne Phosphate Inc. in June 2013. Arianne Phosphate Inc. was founded in 1997 and is headquartered in Chicoutimi, Canada.",Chicoutimi,418 549 7316,QC,1577750400,Canada,http://www.arianne-inc.com,86400,393 Racine Street East,418 549 5750,Other Industrial Metals & Mining,Suite 200
