Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,repurchaseOfStock,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToInventory,changeToAccountReceivables,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,gmtOffSetMilliseconds,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,priceHint,shortName,longName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchange,market,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,exchangeDataDelayedBy,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,DAAT,5220526,5765770,,,15235,,7242,683826,716232,32406,32406,,-17171,,,,7993,2643380,2610974,1927148,-17171,,7242,7242,102402,1963102,1625033,5322928,26930,6947961,6323,128975,3769616,79152,-416113,544702,162094,1545881,284625,6016232,1056626,4594740,1460992,426034,-61243,-13498,-18497,35039,-101288,-4999,-21548,18773,-45584,-553460,38556,6268,-15659,4470351,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.2 - 0.2,0.2,0.0,0.0,0,0,finmb_415022,Other OTC,USD,1310,2750,0.049999997,0.3333333,0.15 - 0.52,-0.32,-0.61538464,0.15,0.52,-0.004,-14400000,0.923,0.19027779,0.009722218,0.051094867,0.2555797,-0.055579707,4,DAC TECHNOLOGIES GROUP INTL INC,"DAC Technologies Group International, Inc.",0.2,1630077741,0.0,0.2,0.2,0.2,5000,REGULAR,PNK,us_market,-0.21746525,1153154,0.21668473,15,America/New_York,EDT,False,False,0,-0.12,,,0.52,0.15,0.1903,0.2556,1.31k,2.75k,5.77M,,,58.67%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2009","Sep 29, 2010",-0.22%,0.83%,0.79%,-0.47%,11.59M,2.00,-14.70%,4.13M,168.52k,-24.92k,-0.0040,-90.10%,162.09k,0.03,15.04k,0.28,3.89,0.92,576.05k,506.25k,Value,72210,Consumer Cyclical,12,"DAC Technologies Group International, Inc. manufactures and markets consumer products for wholesale, retail, and OEM gun manufacturing markets. The company specializes in gun cleaning kits, gun safety devices, security items, and other outdoor products. It offers products in the categories of gun cleaning kits and accessories, other shooting and outdoor accessories, licensed products, gun locks, and safes. The company sells its products to mass merchants, retail chains, sporting goods retailers, distributors, and OEM gun manufacturers. It also markets its products through catalog companies. The company was formerly known as DAC Technologies of America, Inc. and changed its name to DAC Technologies Group International, Inc. in July 1999. The company was incorporated in 1993 and is based in Little Rock, Arkansas.",Little Rock,501-661-9100,AR,1262217600,United States,http://www.dactec.com,86400,4700 South Bowman Road,501-661-9108,Leisure,Suite 900
t-1,DAAT,5213302,5765770,,,-202642,,-125652,653001,469178,-183823,-183823,,-18819,,,,-76990,2036926,2220749,1567748,-18819,,-125652,-125652,107383,1963102,1202522,5320685,26518,6523207,6323,135243,3762374,79152,-411114,502787,263382,1123370,282758,5630279,1095182,4041280,1034958,831787,-84730,-13254,-23325,4172,-15517,-10071,92538,18479,-61479,-73039,-486219,-119084,-23251,4506909,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.2 - 0.2,0.2,0.0,0.0,0,0,finmb_415022,Other OTC,USD,1310,2750,0.049999997,0.3333333,0.15 - 0.52,-0.32,-0.61538464,0.15,0.52,-0.004,-14400000,0.923,0.19027779,0.009722218,0.051094867,0.2555797,-0.055579707,4,DAC TECHNOLOGIES GROUP INTL INC,"DAC Technologies Group International, Inc.",0.2,1630077741,0.0,0.2,0.2,0.2,5000,REGULAR,PNK,us_market,-0.21746525,1153154,0.21668473,15,America/New_York,EDT,False,False,0,-0.12,,,0.52,0.15,0.1903,0.2556,1.31k,2.75k,5.77M,,,58.67%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2009","Sep 29, 2010",-0.22%,0.83%,0.79%,-0.47%,11.59M,2.00,-14.70%,4.13M,168.52k,-24.92k,-0.0040,-90.10%,162.09k,0.03,15.04k,0.28,3.89,0.92,576.05k,506.25k,Value,72210,Consumer Cyclical,12,"DAC Technologies Group International, Inc. manufactures and markets consumer products for wholesale, retail, and OEM gun manufacturing markets. The company specializes in gun cleaning kits, gun safety devices, security items, and other outdoor products. It offers products in the categories of gun cleaning kits and accessories, other shooting and outdoor accessories, licensed products, gun locks, and safes. The company sells its products to mass merchants, retail chains, sporting goods retailers, distributors, and OEM gun manufacturers. It also markets its products through catalog companies. The company was formerly known as DAC Technologies of America, Inc. and changed its name to DAC Technologies Group International, Inc. in July 1999. The company was incorporated in 1993 and is based in Little Rock, Arkansas.",Little Rock,501-661-9100,AR,1262217600,United States,http://www.dactec.com,86400,4700 South Bowman Road,501-661-9108,Leisure,Suite 900
t-2,DAAT,5344042,5765770,,,-119195,,-73826,635410,538756,-96654,-96654,,-22541,,,,-45369,2006676,2103330,1467920,-22541,,-73826,-73826,112366,1963102,392364,5456408,26545,5848772,6323,16159,3888026,79152,-401043,432362,278899,313212,273003,5031041,651057,3968241,203171,-572922,-75392,-10667,-10667,-177973,-151537,-10071,-65478,17895,-66333,511106,347711,-4209,-9059,4717829,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.2 - 0.2,0.2,0.0,0.0,0,0,finmb_415022,Other OTC,USD,1310,2750,0.049999997,0.3333333,0.15 - 0.52,-0.32,-0.61538464,0.15,0.52,-0.004,-14400000,0.923,0.19027779,0.009722218,0.051094867,0.2555797,-0.055579707,4,DAC TECHNOLOGIES GROUP INTL INC,"DAC Technologies Group International, Inc.",0.2,1630077741,0.0,0.2,0.2,0.2,5000,REGULAR,PNK,us_market,-0.21746525,1153154,0.21668473,15,America/New_York,EDT,False,False,0,-0.12,,,0.52,0.15,0.1903,0.2556,1.31k,2.75k,5.77M,,,58.67%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2009","Sep 29, 2010",-0.22%,0.83%,0.79%,-0.47%,11.59M,2.00,-14.70%,4.13M,168.52k,-24.92k,-0.0040,-90.10%,162.09k,0.03,15.04k,0.28,3.89,0.92,576.05k,506.25k,Value,72210,Consumer Cyclical,12,"DAC Technologies Group International, Inc. manufactures and markets consumer products for wholesale, retail, and OEM gun manufacturing markets. The company specializes in gun cleaning kits, gun safety devices, security items, and other outdoor products. It offers products in the categories of gun cleaning kits and accessories, other shooting and outdoor accessories, licensed products, gun locks, and safes. The company sells its products to mass merchants, retail chains, sporting goods retailers, distributors, and OEM gun manufacturers. It also markets its products through catalog companies. The company was formerly known as DAC Technologies of America, Inc. and changed its name to DAC Technologies Group International, Inc. in July 1999. The company was incorporated in 1993 and is based in Little Rock, Arkansas.",Little Rock,501-661-9100,AR,1262217600,United States,http://www.dactec.com,86400,4700 South Bowman Road,501-661-9108,Leisure,Suite 900
t-3,DAAT,5412888,5765770,,,272767,,167315,894349,1238216,343867,343867,,-71115,,,,105452,4906009,4562142,3667793,-71100,,167315,167315,117346,1963102,1151742,5530234,98946,6681976,6323,11950,3961852,79152,-401043,355904,430436,1072590,276859,5931867,956674,4479347,776093,-1398743,12727,-365157,-365157,123039,218111,-10071,570541,17575,36886,2023449,-269282,31647,-24159,4859277,en-US,US,EQUITY,False,Delayed Quote,USD,0.0,0.2 - 0.2,0.2,0.0,0.0,0,0,finmb_415022,Other OTC,USD,1310,2750,0.049999997,0.3333333,0.15 - 0.52,-0.32,-0.61538464,0.15,0.52,-0.004,-14400000,0.923,0.19027779,0.009722218,0.051094867,0.2555797,-0.055579707,4,DAC TECHNOLOGIES GROUP INTL INC,"DAC Technologies Group International, Inc.",0.2,1630077741,0.0,0.2,0.2,0.2,5000,REGULAR,PNK,us_market,-0.21746525,1153154,0.21668473,15,America/New_York,EDT,False,False,0,-0.12,,,0.52,0.15,0.1903,0.2556,1.31k,2.75k,5.77M,,,58.67%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 30, 2009","Sep 29, 2010",-0.22%,0.83%,0.79%,-0.47%,11.59M,2.00,-14.70%,4.13M,168.52k,-24.92k,-0.0040,-90.10%,162.09k,0.03,15.04k,0.28,3.89,0.92,576.05k,506.25k,Value,72210,Consumer Cyclical,12,"DAC Technologies Group International, Inc. manufactures and markets consumer products for wholesale, retail, and OEM gun manufacturing markets. The company specializes in gun cleaning kits, gun safety devices, security items, and other outdoor products. It offers products in the categories of gun cleaning kits and accessories, other shooting and outdoor accessories, licensed products, gun locks, and safes. The company sells its products to mass merchants, retail chains, sporting goods retailers, distributors, and OEM gun manufacturers. It also markets its products through catalog companies. The company was formerly known as DAC Technologies of America, Inc. and changed its name to DAC Technologies Group International, Inc. in July 1999. The company was incorporated in 1993 and is based in Little Rock, Arkansas.",Little Rock,501-661-9100,AR,1262217600,United States,http://www.dactec.com,86400,4700 South Bowman Road,501-661-9108,Leisure,Suite 900
