Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,messageBoardId,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,gmtOffSetMilliseconds,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,priceHint,shortName,longName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchange,market,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,esgPopulated,tradeable,exchangeDataDelayedBy,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,website,maxAge,address1,fax,industry
t0,WAH.DE,-1489759.0,1327560,,,-1029704,1708378,-748817,,800897,-666565,-666565,832309,-224067,,,,-260586,11141754,11808319,10340858,-363139,,-769118,-748817,1849781.0,7415496.0,43561548.0,5755623.0,2660748.0,51025548.0,1202556.0,-4273469.0,8259047.0,5395601.0,1411040.0,2292549.0,3094100.0,28345994.0,1445060.0,8932104.0,1411040.0,7795231.0,32707947.0,984439.0,53390.0,24113944.0,6956507.0,5446513.0,12988999.0,0,4361953.0,en-US,US,EQUITY,False,Delayed Quote,EUR,-3.8461537,12.5 - 12.9,13.0,12.5,12.7,finmb_542937926,XETRA,EUR,1695,980,5.833334,0.8750002,6.666666 - 15.0,-2.5,-0.16666667,6.666666,15.0,-0.411,7200000,6.01,13.150476,-0.65047646,-0.0494641,11.415493,1.084507,2,WOLFTANK-ADISA HLDG O.N.,Wolftank-Adisa Holding AG,12.5,1630572017,-0.5,12.9,12.9,12.5,918,REGULAR,GER,de_market,0.095003076,16594500,2.079867,15,Europe/Berlin,CEST,False,False,0,0.37,,,15.0,6.67,13.15,11.42,1.7k,980,1.33M,,3.91M,0.00%,15.64%,,,,,,,,,,,0.00%,,,3:1,"Jul 20, 2021","Dec 31, 2020","Dec 31, 2020",-6.28%,-4.98%,-2.30%,-30.59%,35.28M,9.78,-14.50%,2.76M,265.27k,-2.22M,-0.41,,3.15M,0.79,15.89M,212.87,1.15,6.01,-59.59k,-1.12M,Value,6020,Industrials,186,"Wolftank-Adisa Holding AG offers engineering and environmental protection services for contaminated soils and facilities, including remediation and monitoring of tank farms. It also designs, builds, refurbishes, extends and dismantles petrol stations. It also provides general contractor services to petrol stations. It provides double-walled renovation of flat bottom tanks and soil and groundwater purification. Wolftank-Adisa Holding AG is headquartered in Innsbruck, Austria and has additional locations in Italy, Austria, Germany, France, Russia, and China.",Innsbruck,43 512 345 726,Austria,http://wolftank-adisa.com,86400,Grabenweg 58,43 512 345 726 89,Pollution & Treatment Controls
t-1,WAH.DE,-1489759.0,1327560,,,-1029704,1708378,-748817,,800897,-666565,-666565,832309,-224067,,,,-260586,11141754,11808319,10340858,-363139,,-769118,-748817,1849781.0,7415496.0,43561548.0,5755623.0,2660748.0,51025548.0,1202556.0,-4273469.0,8259047.0,5395601.0,1411040.0,2292549.0,3094100.0,28345994.0,1445060.0,8932104.0,1411040.0,7795231.0,32707947.0,984439.0,53390.0,24113944.0,6956507.0,5446513.0,12988999.0,0,4361953.0,en-US,US,EQUITY,False,Delayed Quote,EUR,-3.8461537,12.5 - 12.9,13.0,12.5,12.7,finmb_542937926,XETRA,EUR,1695,980,5.833334,0.8750002,6.666666 - 15.0,-2.5,-0.16666667,6.666666,15.0,-0.411,7200000,6.01,13.150476,-0.65047646,-0.0494641,11.415493,1.084507,2,WOLFTANK-ADISA HLDG O.N.,Wolftank-Adisa Holding AG,12.5,1630572017,-0.5,12.9,12.9,12.5,918,REGULAR,GER,de_market,0.095003076,16594500,2.079867,15,Europe/Berlin,CEST,False,False,0,0.37,,,15.0,6.67,13.15,11.42,1.7k,980,1.33M,,3.91M,0.00%,15.64%,,,,,,,,,,,0.00%,,,3:1,"Jul 20, 2021","Dec 31, 2020","Dec 31, 2020",-6.28%,-4.98%,-2.30%,-30.59%,35.28M,9.78,-14.50%,2.76M,265.27k,-2.22M,-0.41,,3.15M,0.79,15.89M,212.87,1.15,6.01,-59.59k,-1.12M,Value,6020,Industrials,186,"Wolftank-Adisa Holding AG offers engineering and environmental protection services for contaminated soils and facilities, including remediation and monitoring of tank farms. It also designs, builds, refurbishes, extends and dismantles petrol stations. It also provides general contractor services to petrol stations. It provides double-walled renovation of flat bottom tanks and soil and groundwater purification. Wolftank-Adisa Holding AG is headquartered in Innsbruck, Austria and has additional locations in Italy, Austria, Germany, France, Russia, and China.",Innsbruck,43 512 345 726,Austria,http://wolftank-adisa.com,86400,Grabenweg 58,43 512 345 726 89,Pollution & Treatment Controls
t-2,WAH.DE,2937337.0,1327560,,,-392953,-249580,-359390,,579677,-211217,-211217,415628,-183588,,,,3925,6499284,6710501,5919607,-181736,,-396878,-359390,1478882.0,7415496.0,37103556.0,7226911.0,1362660.0,44080885.0,1202556.0,-2775838.0,3464055.0,2810692.0,1384697.0,1631626.0,6732347.0,20856287.0,311756.0,7177559.0,1384697.0,5068381.0,32393710.0,697594.0,,19503457.0,12783214.0,6157906.0,9620758.0,0,11537423.0,en-US,US,EQUITY,False,Delayed Quote,EUR,-3.8461537,12.5 - 12.9,13.0,12.5,12.7,finmb_542937926,XETRA,EUR,1695,980,5.833334,0.8750002,6.666666 - 15.0,-2.5,-0.16666667,6.666666,15.0,-0.411,7200000,6.01,13.150476,-0.65047646,-0.0494641,11.415493,1.084507,2,WOLFTANK-ADISA HLDG O.N.,Wolftank-Adisa Holding AG,12.5,1630572017,-0.5,12.9,12.9,12.5,918,REGULAR,GER,de_market,0.095003076,16594500,2.079867,15,Europe/Berlin,CEST,False,False,0,0.37,,,15.0,6.67,13.15,11.42,1.7k,980,1.33M,,3.91M,0.00%,15.64%,,,,,,,,,,,0.00%,,,3:1,"Jul 20, 2021","Dec 31, 2020","Dec 31, 2020",-6.28%,-4.98%,-2.30%,-30.59%,35.28M,9.78,-14.50%,2.76M,265.27k,-2.22M,-0.41,,3.15M,0.79,15.89M,212.87,1.15,6.01,-59.59k,-1.12M,Value,6020,Industrials,186,"Wolftank-Adisa Holding AG offers engineering and environmental protection services for contaminated soils and facilities, including remediation and monitoring of tank farms. It also designs, builds, refurbishes, extends and dismantles petrol stations. It also provides general contractor services to petrol stations. It provides double-walled renovation of flat bottom tanks and soil and groundwater purification. Wolftank-Adisa Holding AG is headquartered in Innsbruck, Austria and has additional locations in Italy, Austria, Germany, France, Russia, and China.",Innsbruck,43 512 345 726,Austria,http://wolftank-adisa.com,86400,Grabenweg 58,43 512 345 726 89,Pollution & Treatment Controls
t-3,WAH.DE,2937337.0,1327560,,,-392953,-249580,-359390,,579677,-211217,-211217,415628,-183588,,,,3925,6499284,6710501,5919607,-181736,,-396878,-359390,1478882.0,7415496.0,37103556.0,7226911.0,1362660.0,44080885.0,1202556.0,-2775838.0,3464055.0,2810692.0,1384697.0,1631626.0,6732347.0,20856287.0,311756.0,7177559.0,1384697.0,5068381.0,32393710.0,697594.0,,19503457.0,12783214.0,6157906.0,9620758.0,0,11537423.0,en-US,US,EQUITY,False,Delayed Quote,EUR,-3.8461537,12.5 - 12.9,13.0,12.5,12.7,finmb_542937926,XETRA,EUR,1695,980,5.833334,0.8750002,6.666666 - 15.0,-2.5,-0.16666667,6.666666,15.0,-0.411,7200000,6.01,13.150476,-0.65047646,-0.0494641,11.415493,1.084507,2,WOLFTANK-ADISA HLDG O.N.,Wolftank-Adisa Holding AG,12.5,1630572017,-0.5,12.9,12.9,12.5,918,REGULAR,GER,de_market,0.095003076,16594500,2.079867,15,Europe/Berlin,CEST,False,False,0,0.37,,,15.0,6.67,13.15,11.42,1.7k,980,1.33M,,3.91M,0.00%,15.64%,,,,,,,,,,,0.00%,,,3:1,"Jul 20, 2021","Dec 31, 2020","Dec 31, 2020",-6.28%,-4.98%,-2.30%,-30.59%,35.28M,9.78,-14.50%,2.76M,265.27k,-2.22M,-0.41,,3.15M,0.79,15.89M,212.87,1.15,6.01,-59.59k,-1.12M,Value,6020,Industrials,186,"Wolftank-Adisa Holding AG offers engineering and environmental protection services for contaminated soils and facilities, including remediation and monitoring of tank farms. It also designs, builds, refurbishes, extends and dismantles petrol stations. It also provides general contractor services to petrol stations. It provides double-walled renovation of flat bottom tanks and soil and groundwater purification. Wolftank-Adisa Holding AG is headquartered in Innsbruck, Austria and has additional locations in Italy, Austria, Germany, France, Russia, and China.",Innsbruck,43 512 345 726,Austria,http://wolftank-adisa.com,86400,Grabenweg 58,43 512 345 726 89,Pollution & Treatment Controls
