Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,shortTermInvestments,netReceivables,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,changeToOperatingActivities,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,currency,esgPopulated,tradeable,exchangeDataDelayedBy,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,exchange,marketState,market,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,DMNXF,23464161,4474129920,,,-491731,,-491731,625058,168112,-491731,-491731,,,,,,0,168112,659843,0,0,,-491731,-491731,4370339,23464161,3674249,27834500,88407864,-65096369,152666,4582080,4338394,152666,23020655,4813845,2188,150226,544923,0.0,-803799.0,-8982.0,3070378.0,3205565.0,2044710.0,-2104.0,-219766.0,12958.0,-126206.0,259008.0,-803799.0,,,475451,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.088,21.999998,0.004 - 0.1249,-0.032899998,-0.26341072,0.004,0.1249,-0.002,-8.41215,0.089 - 0.099,0.10045,0.0,0.0,0,0,finmb_11235445,Other OTC,Sayona Mining Limited,AUD,3499536,3013363,0.008,0.07895139,0.013048612,0.165274,0.04741711,0.04458289,0.94022787,403802720,11.499999,15,America/New_York,EDT,-14400000,4,PNK,REGULAR,us_market,SAYONA MINING LIMITED,0.092,1629489564,-0.00845,0.099,0.099,0.089,3047980,0.47,,,0.1249,0.004,0.079,0.0474,3.5M,3.01M,4.47B,,2.02B,35.12%,0.00%,,,,,,,,,,,0.00%,,,1:4,"Oct 24, 2013","Jun 29, 2020","Dec 30, 2020",0.00%,"-1,283.35%",-12.11%,-22.00%,387.18k,0.00,"3,449.70%",60.43k,-3.41M,-5.02M,-0.0020,,4.58M,0,71.14k,0.30,1.11,0.01,-2.89M,-636.39k,Value,4064,Basic Materials,"Sayona Mining Limited, together with its subsidiaries, engages in the identification, acquisition, evaluation, and exploration of mineral assets in Australia and Canada. It primarily explores for lithium and graphite. The company's flagship project is the Authier Lithium Project located in Quebec, Canada. It also holds interest in the Tansim project with 275 claims covering 15,907 hectares of prospective lithium acreage located in Quebec. The company was formerly known as DiamonEx Limited and changed its name to Sayona Mining Limited in May 2013. Sayona Mining Limited was incorporated in 2000 and is headquartered in Paddington, Australia.",Paddington,61 7 3369 7058,QLD,1609372800,Australia,http://www.sayonamining.com.au,86400,283 Given Terrace,Other Industrial Metals & Mining,Suite 68
t-1,DMNXF,23464161,4474129920,,,-491731,,-491731,625058,168112,-491731,-491731,,,,,,0,168112,659843,0,0,,-491731,-491731,4370339,23464161,3674249,27834500,88407864,-65096369,152666,4582080,4338394,152666,23020655,4813845,2188,150226,544923,0.0,-803799.0,-8982.0,3070378.0,3205565.0,2044710.0,-2104.0,-219766.0,12958.0,-126206.0,259008.0,-803799.0,,,475451,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.088,21.999998,0.004 - 0.1249,-0.032899998,-0.26341072,0.004,0.1249,-0.002,-8.41215,0.089 - 0.099,0.10045,0.0,0.0,0,0,finmb_11235445,Other OTC,Sayona Mining Limited,AUD,3499536,3013363,0.008,0.07895139,0.013048612,0.165274,0.04741711,0.04458289,0.94022787,403802720,11.499999,15,America/New_York,EDT,-14400000,4,PNK,REGULAR,us_market,SAYONA MINING LIMITED,0.092,1629489564,-0.00845,0.099,0.099,0.089,3047980,0.47,,,0.1249,0.004,0.079,0.0474,3.5M,3.01M,4.47B,,2.02B,35.12%,0.00%,,,,,,,,,,,0.00%,,,1:4,"Oct 24, 2013","Jun 29, 2020","Dec 30, 2020",0.00%,"-1,283.35%",-12.11%,-22.00%,387.18k,0.00,"3,449.70%",60.43k,-3.41M,-5.02M,-0.0020,,4.58M,0,71.14k,0.30,1.11,0.01,-2.89M,-636.39k,Value,4064,Basic Materials,"Sayona Mining Limited, together with its subsidiaries, engages in the identification, acquisition, evaluation, and exploration of mineral assets in Australia and Canada. It primarily explores for lithium and graphite. The company's flagship project is the Authier Lithium Project located in Quebec, Canada. It also holds interest in the Tansim project with 275 claims covering 15,907 hectares of prospective lithium acreage located in Quebec. The company was formerly known as DiamonEx Limited and changed its name to Sayona Mining Limited in May 2013. Sayona Mining Limited was incorporated in 2000 and is headquartered in Paddington, Australia.",Paddington,61 7 3369 7058,QLD,1609372800,Australia,http://www.sayonamining.com.au,86400,283 Given Terrace,Other Industrial Metals & Mining,Suite 68
t-2,DMNXF,21145728,4474129920,,,-2015874,,-2015874,1211224,25479,-1992698,-1992698,,,,,,0,25479,2018177,0,-23176,,-2015874,-2015874,1044716,21145728,251226,22190444,84930181,-64112907,328454,492660,993158,328454,21430559,759885,2238,228361,642963,-23260.0,-462533.0,151905.0,1709499.0,1684268.0,42697.0,19395.0,-1223665.0,786243.0,-126674.0,-51498.0,-462533.0,30104.0,50620.0,-233273,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.088,21.999998,0.004 - 0.1249,-0.032899998,-0.26341072,0.004,0.1249,-0.002,-8.41215,0.089 - 0.099,0.10045,0.0,0.0,0,0,finmb_11235445,Other OTC,Sayona Mining Limited,AUD,3499536,3013363,0.008,0.07895139,0.013048612,0.165274,0.04741711,0.04458289,0.94022787,403802720,11.499999,15,America/New_York,EDT,-14400000,4,PNK,REGULAR,us_market,SAYONA MINING LIMITED,0.092,1629489564,-0.00845,0.099,0.099,0.089,3047980,0.47,,,0.1249,0.004,0.079,0.0474,3.5M,3.01M,4.47B,,2.02B,35.12%,0.00%,,,,,,,,,,,0.00%,,,1:4,"Oct 24, 2013","Jun 29, 2020","Dec 30, 2020",0.00%,"-1,283.35%",-12.11%,-22.00%,387.18k,0.00,"3,449.70%",60.43k,-3.41M,-5.02M,-0.0020,,4.58M,0,71.14k,0.30,1.11,0.01,-2.89M,-636.39k,Value,4064,Basic Materials,"Sayona Mining Limited, together with its subsidiaries, engages in the identification, acquisition, evaluation, and exploration of mineral assets in Australia and Canada. It primarily explores for lithium and graphite. The company's flagship project is the Authier Lithium Project located in Quebec, Canada. It also holds interest in the Tansim project with 275 claims covering 15,907 hectares of prospective lithium acreage located in Quebec. The company was formerly known as DiamonEx Limited and changed its name to Sayona Mining Limited in May 2013. Sayona Mining Limited was incorporated in 2000 and is headquartered in Paddington, Australia.",Paddington,61 7 3369 7058,QLD,1609372800,Australia,http://www.sayonamining.com.au,86400,283 Given Terrace,Other Industrial Metals & Mining,Suite 68
t-3,DMNXF,21145728,4474129920,,,-2015874,,-2015874,1211224,25479,-1992698,-1992698,,,,,,0,25479,2018177,0,-23176,,-2015874,-2015874,1044716,21145728,251226,22190444,84930181,-64112907,328454,492660,993158,328454,21430559,759885,2238,228361,642963,-23260.0,-462533.0,151905.0,1709499.0,1684268.0,42697.0,19395.0,-1223665.0,786243.0,-126674.0,-51498.0,-462533.0,30104.0,50620.0,-233273,en-US,US,EQUITY,False,Delayed Quote,USD,False,False,0,0.088,21.999998,0.004 - 0.1249,-0.032899998,-0.26341072,0.004,0.1249,-0.002,-8.41215,0.089 - 0.099,0.10045,0.0,0.0,0,0,finmb_11235445,Other OTC,Sayona Mining Limited,AUD,3499536,3013363,0.008,0.07895139,0.013048612,0.165274,0.04741711,0.04458289,0.94022787,403802720,11.499999,15,America/New_York,EDT,-14400000,4,PNK,REGULAR,us_market,SAYONA MINING LIMITED,0.092,1629489564,-0.00845,0.099,0.099,0.089,3047980,0.47,,,0.1249,0.004,0.079,0.0474,3.5M,3.01M,4.47B,,2.02B,35.12%,0.00%,,,,,,,,,,,0.00%,,,1:4,"Oct 24, 2013","Jun 29, 2020","Dec 30, 2020",0.00%,"-1,283.35%",-12.11%,-22.00%,387.18k,0.00,"3,449.70%",60.43k,-3.41M,-5.02M,-0.0020,,4.58M,0,71.14k,0.30,1.11,0.01,-2.89M,-636.39k,Value,4064,Basic Materials,"Sayona Mining Limited, together with its subsidiaries, engages in the identification, acquisition, evaluation, and exploration of mineral assets in Australia and Canada. It primarily explores for lithium and graphite. The company's flagship project is the Authier Lithium Project located in Quebec, Canada. It also holds interest in the Tansim project with 275 claims covering 15,907 hectares of prospective lithium acreage located in Quebec. The company was formerly known as DiamonEx Limited and changed its name to Sayona Mining Limited in May 2013. Sayona Mining Limited was incorporated in 2000 and is headquartered in Paddington, Australia.",Paddington,61 7 3369 7058,QLD,1609372800,Australia,http://www.sayonamining.com.au,86400,283 Given Terrace,Other Industrial Metals & Mining,Suite 68
