Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,inventory,accountsPayable,deferredLongTermLiab,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,exchange,currency,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,marketState,market,shortName,exchangeDataDelayedBy,esgPopulated,tradeable,priceHint,regularMarketChangePercent,regularMarketDayRange,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,CXXIF,-14160783.0,117534000,,,-5663817,,-6581640,1947934,4138611,1635065,1635065,,-1997255,,,,917823,9145984,7510919,5007373,-7298882,,-6581640,-6581640,10957961.0,43471008.0,25338501.0,4007479.0,68809509.0,92237648.0,1442617.0,-76616401.0,9485999.0,28541323.0,9717254.0,47739.0,6237182.0,15724841.0,8598509.0,9717254.0,13682365.0,15580121.0,209872.0,8568953.0,6758508.0,1382519.0,,-476843,-904759,3479160,2659907,12069,688,2834311,-111470,1190633,1721291,419154,154159,-819941,8644127,-158503,-144720.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.79,1630438790,0.016600013,0.8068,0.8068,0.76387,35616,0.80444,finmb_876100,Other OTC,C21 Investments Inc.,USD,103270,42900,0.32500002,0.6989248,0.465 - 2.05,-1.26,-0.61463416,0.465,2.05,1494547200,1622199540,1628679540,1629115200,REGULAR,us_market,C21 INVESTMENTS INC,0,False,False,4,2.1463683,0.76387 - 0.8068,-0.058,0.216,0.79661113,-0.006611109,-0.008299042,1.1250145,-0.33501452,-0.29778683,92851864,3.6574075,15,America/New_York,EDT,-14400000,1.35,,,2.05,0.465,0.7966,1.125,103.27k,42.9k,117.53M,,84.47M,24.29%,6.63%,,,,,,,,,,,0.00%,"May 11, 2017",,,,"Jan 30, 2021","Jan 30, 2021",-16.90%,20.82%,7.22%,-31.38%,36.13M,0.34,-3.90%,17.27M,9.62M,-6.11M,-0.0580,,6.24M,0.05,27.3M,107.73,0.99,0.22,9.92M,3.52M,Value,V6B 1G1,Healthcare,"C21 Investments Inc., an integrated cannabis company, cultivates, processes, distributes, and sells cannabis and hemp-derived consumer products in the United States. It offers packaged and wholesale flower, vaporizer pens, cured extracts, edibles, pre-rolls, tinctures, and topicals. The company was formerly known as Curlew Lake Resources Inc. and changed its name to C21 Investments Inc. in November 2017. C21 Investments Inc. was incorporated in 1987 and is headquartered in Vancouver, Canada.",Vancouver,833 289 2994,BC,1609372800,Canada,http://www.cxxi.ca,86400,601 West Cordova,Drug Manufacturers—Specialty & Generic,Suite 170 Mailbox 107
t-1,CXXIF,-22718998.0,117534000,,,2141382,,2303069,1725322,5886217,3268603,3268603,,-908983,,,,-161687,9469199,6200596,3582982,-1127221,,2303069,2303069,11593874.0,42568644.0,17416199.0,6029955.0,59984843.0,79529702.0,,-70034761.0,3487013.0,28541323.0,7921258.0,52132.0,3402871.0,35400647.0,24857130.0,7921258.0,8732678.0,11064836.0,364031.0,470875.0,6353923.0,1454433.0,6428.0,-546291,3884,-2231805,-2545504,-346425,98262,693781,103717,3131684,-135967,993876,-87327,-411961,951114,3884,-24335811.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.79,1630438790,0.016600013,0.8068,0.8068,0.76387,35616,0.80444,finmb_876100,Other OTC,C21 Investments Inc.,USD,103270,42900,0.32500002,0.6989248,0.465 - 2.05,-1.26,-0.61463416,0.465,2.05,1494547200,1622199540,1628679540,1629115200,REGULAR,us_market,C21 INVESTMENTS INC,0,False,False,4,2.1463683,0.76387 - 0.8068,-0.058,0.216,0.79661113,-0.006611109,-0.008299042,1.1250145,-0.33501452,-0.29778683,92851864,3.6574075,15,America/New_York,EDT,-14400000,1.35,,,2.05,0.465,0.7966,1.125,103.27k,42.9k,117.53M,,84.47M,24.29%,6.63%,,,,,,,,,,,0.00%,"May 11, 2017",,,,"Jan 30, 2021","Jan 30, 2021",-16.90%,20.82%,7.22%,-31.38%,36.13M,0.34,-3.90%,17.27M,9.62M,-6.11M,-0.0580,,6.24M,0.05,27.3M,107.73,0.99,0.22,9.92M,3.52M,Value,V6B 1G1,Healthcare,"C21 Investments Inc., an integrated cannabis company, cultivates, processes, distributes, and sells cannabis and hemp-derived consumer products in the United States. It offers packaged and wholesale flower, vaporizer pens, cured extracts, edibles, pre-rolls, tinctures, and topicals. The company was formerly known as Curlew Lake Resources Inc. and changed its name to C21 Investments Inc. in November 2017. C21 Investments Inc. was incorporated in 1987 and is headquartered in Vancouver, Canada.",Vancouver,833 289 2994,BC,1609372800,Canada,http://www.cxxi.ca,86400,601 West Cordova,Drug Manufacturers—Specialty & Generic,Suite 170 Mailbox 107
t-2,CXXIF,-25577621.0,117534000,,,981737,,-38183,1623573,4004889,1747223,1747223,,-709946,,,,1019920,9366279,7619056,5361390,-765486,,-38183,-38183,11968861.0,45540930.0,14932563.0,6191642.0,60473493.0,78649586.0,,-72337830.0,3486797.0,28541323.0,8620807.0,52127.0,2709090.0,38042656.0,26990094.0,8620807.0,9273292.0,10637890.0,276704.0,478958.0,7054510.0,1473674.0,6610.0,1016369,-37196,-2241749,-3073041,39984,98262,1394458,261571,4243124,1300994,-487294,180229,-831292,2230660,-37196,-27404766.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.79,1630438790,0.016600013,0.8068,0.8068,0.76387,35616,0.80444,finmb_876100,Other OTC,C21 Investments Inc.,USD,103270,42900,0.32500002,0.6989248,0.465 - 2.05,-1.26,-0.61463416,0.465,2.05,1494547200,1622199540,1628679540,1629115200,REGULAR,us_market,C21 INVESTMENTS INC,0,False,False,4,2.1463683,0.76387 - 0.8068,-0.058,0.216,0.79661113,-0.006611109,-0.008299042,1.1250145,-0.33501452,-0.29778683,92851864,3.6574075,15,America/New_York,EDT,-14400000,1.35,,,2.05,0.465,0.7966,1.125,103.27k,42.9k,117.53M,,84.47M,24.29%,6.63%,,,,,,,,,,,0.00%,"May 11, 2017",,,,"Jan 30, 2021","Jan 30, 2021",-16.90%,20.82%,7.22%,-31.38%,36.13M,0.34,-3.90%,17.27M,9.62M,-6.11M,-0.0580,,6.24M,0.05,27.3M,107.73,0.99,0.22,9.92M,3.52M,Value,V6B 1G1,Healthcare,"C21 Investments Inc., an integrated cannabis company, cultivates, processes, distributes, and sells cannabis and hemp-derived consumer products in the United States. It offers packaged and wholesale flower, vaporizer pens, cured extracts, edibles, pre-rolls, tinctures, and topicals. The company was formerly known as Curlew Lake Resources Inc. and changed its name to C21 Investments Inc. in November 2017. C21 Investments Inc. was incorporated in 1987 and is headquartered in Vancouver, Canada.",Vancouver,833 289 2994,BC,1609372800,Canada,http://www.cxxi.ca,86400,601 West Cordova,Drug Manufacturers—Specialty & Generic,Suite 170 Mailbox 107
t-3,CXXIF,-26241793.0,117534000,,,-1199273,,-1789263,1841392,3237516,871422,871422,,-871939,,,,589990,8145824,7274402,4908308,-2070695,,-1789263,-1789263,12277301.0,45343859.0,14576831.0,5171722.0,59920690.0,78649586.0,,-72299647.0,3484889.0,28541323.0,8226892.0,50836.0,1314632.0,36617295.0,27429210.0,8226892.0,9322100.0,9729130.0,456933.0,1656472.0,7319995.0,879615.0,6975.0,-422504,-165962,-2284174,-2736426,-94088,98262,-1761861,-217757,1358284,488952,332245,-13811,-452252,2856753,-35962,-26888165.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.79,1630438790,0.016600013,0.8068,0.8068,0.76387,35616,0.80444,finmb_876100,Other OTC,C21 Investments Inc.,USD,103270,42900,0.32500002,0.6989248,0.465 - 2.05,-1.26,-0.61463416,0.465,2.05,1494547200,1622199540,1628679540,1629115200,REGULAR,us_market,C21 INVESTMENTS INC,0,False,False,4,2.1463683,0.76387 - 0.8068,-0.058,0.216,0.79661113,-0.006611109,-0.008299042,1.1250145,-0.33501452,-0.29778683,92851864,3.6574075,15,America/New_York,EDT,-14400000,1.35,,,2.05,0.465,0.7966,1.125,103.27k,42.9k,117.53M,,84.47M,24.29%,6.63%,,,,,,,,,,,0.00%,"May 11, 2017",,,,"Jan 30, 2021","Jan 30, 2021",-16.90%,20.82%,7.22%,-31.38%,36.13M,0.34,-3.90%,17.27M,9.62M,-6.11M,-0.0580,,6.24M,0.05,27.3M,107.73,0.99,0.22,9.92M,3.52M,Value,V6B 1G1,Healthcare,"C21 Investments Inc., an integrated cannabis company, cultivates, processes, distributes, and sells cannabis and hemp-derived consumer products in the United States. It offers packaged and wholesale flower, vaporizer pens, cured extracts, edibles, pre-rolls, tinctures, and topicals. The company was formerly known as Curlew Lake Resources Inc. and changed its name to C21 Investments Inc. in November 2017. C21 Investments Inc. was incorporated in 1987 and is headquartered in Vancouver, Canada.",Vancouver,833 289 2994,BC,1609372800,Canada,http://www.cxxi.ca,86400,601 West Cordova,Drug Manufacturers—Specialty & Generic,Suite 170 Mailbox 107
