Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,cash,totalCurrentLiabilities,totalCurrentAssets,netReceivables,inventory,accountsPayable,changeToLiabilities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,changeToInventory,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceHint,regularMarketChangePercent,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,currency,esgPopulated,tradeable,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,shortName,exchangeDataDelayedBy,market,marketState,epsTrailingTwelveMonths,twoHundredDayAverageChangePercent,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (May 09, 2001) 4","Short Ratio (May 09, 2001) 4","Short % of Float (May 09, 2001) 4","Short % of Shares Outstanding (May 09, 2001) 4","Shares Short (prior month Mar 11, 2001) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry
t0,EROX,-83000.0,4151950,4000,,12000,,12000,126000,137000,7000,7000,,,,,,0,146000,139000,9000,5000,,12000,12000,240000.0,-83000.0,175000.0,157000.0,21098000.0,12000.0,-21181000.0,30000.0,48000.0,210000.0,157000.0,77000.0,20000.0,35000.0,0.0,,,,,,-53000.0,en-US,US,EQUITY,False,Delayed Quote,200,0.0,0.0,0.0043 - 0.13,-0.1257,-0.9669231,0.0043,0.13,-0.02,0.015683332,-0.011383332,-0.7258236,0.044126242,-0.039826244,20599,4,-67.65701,-0.21500002,15,America/New_York,EDT,-14400000,0.0043 - 0.0043,0.013295,0.0,0.0,0,0,finmb_334350,Other OTC,"Human Pheromone Sciences, Inc.",USD,389,USD,False,False,0.0043,1630506682,-0.008995,0.0043,0.0043,0.0043,2820,PNK,HUMAN PHERAMONE SCIENCES INC,0,us_market,REGULAR,-0.011,-0.90255237,3.74,,,0.13,0.0043,0.0157,0.0441,389,200,4.15M,,,,,,0,,0.00%,5.2k,,,,,,0.00%,,,1:3,"Apr 13, 1999","Dec 30, 2011","Dec 30, 2011",-7.73%,-8.26%,-13.60%,,569k,0.14,-35.10%,482k,-46k,-44k,-0.0110,-89.80%,48k,0.01,,,0.75,-0.02,,,Value,95113,Consumer Defensive,"Human Pheromone Sciences, Inc. engages in the research, development, manufacture, and marketing of consumer products containing synthetic human pheromones and other mood enhancing compounds in the United States and internationally. It provides a line of fragrance and toiletry products for men and women under the Natural Attraction trademark. The company also licenses its initial compounds and related technology, as well as sells its patented compounds to licensed customers to include these compounds as components in their products. In addition, it offers private label manufacturing services to licensed customers. Human Pheromone Sciences, Inc. distributes its products through distributors, as well as through the Web site, naturalattraction.com. The company was formerly known as EROX Corporation and changed its name to Human Pheromone Sciences, Inc. in May 1998. Human Pheromone Sciences, Inc. was founded in 1989 and is headquartered in San Jose, California.",San Jose,408-938-3030,CA,1293753600,United States,http://www.naturalattraction.com,86400,84 West Santa Clara Street,408-938-3025,Household & Personal Products
t-1,EROX,-95000.0,4151950,4000,,-30000,,-30000,124000,98000,-30000,-30000,,,,,,0,113000,143000,15000,0,,-30000,-30000,290000.0,-95000.0,155000.0,195000.0,21098000.0,29000.0,-21193000.0,,69000.0,290000.0,195000.0,67000.0,30000.0,39000.0,-27000.0,5000.0,-37000.0,-37000.0,6000.0,9000.0,-95000.0,en-US,US,EQUITY,False,Delayed Quote,200,0.0,0.0,0.0043 - 0.13,-0.1257,-0.9669231,0.0043,0.13,-0.02,0.015683332,-0.011383332,-0.7258236,0.044126242,-0.039826244,20599,4,-67.65701,-0.21500002,15,America/New_York,EDT,-14400000,0.0043 - 0.0043,0.013295,0.0,0.0,0,0,finmb_334350,Other OTC,"Human Pheromone Sciences, Inc.",USD,389,USD,False,False,0.0043,1630506682,-0.008995,0.0043,0.0043,0.0043,2820,PNK,HUMAN PHERAMONE SCIENCES INC,0,us_market,REGULAR,-0.011,-0.90255237,3.74,,,0.13,0.0043,0.0157,0.0441,389,200,4.15M,,,,,,0,,0.00%,5.2k,,,,,,0.00%,,,1:3,"Apr 13, 1999","Dec 30, 2011","Dec 30, 2011",-7.73%,-8.26%,-13.60%,,569k,0.14,-35.10%,482k,-46k,-44k,-0.0110,-89.80%,48k,0.01,,,0.75,-0.02,,,Value,95113,Consumer Defensive,"Human Pheromone Sciences, Inc. engages in the research, development, manufacture, and marketing of consumer products containing synthetic human pheromones and other mood enhancing compounds in the United States and internationally. It provides a line of fragrance and toiletry products for men and women under the Natural Attraction trademark. The company also licenses its initial compounds and related technology, as well as sells its patented compounds to licensed customers to include these compounds as components in their products. In addition, it offers private label manufacturing services to licensed customers. Human Pheromone Sciences, Inc. distributes its products through distributors, as well as through the Web site, naturalattraction.com. The company was formerly known as EROX Corporation and changed its name to Human Pheromone Sciences, Inc. in May 1998. Human Pheromone Sciences, Inc. was founded in 1989 and is headquartered in San Jose, California.",San Jose,408-938-3030,CA,1293753600,United States,http://www.naturalattraction.com,86400,84 West Santa Clara Street,408-938-3025,Household & Personal Products
t-2,EROX,-65000.0,4151950,5000,,-18000,,-19000,125000,113000,-17000,-17000,,-1000.0,,,,1000,124000,141000,11000,-1000,,-19000,-19000,317000.0,-65000.0,184000.0,252000.0,21098000.0,33000.0,-21163000.0,,106000.0,317000.0,252000.0,76000.0,37000.0,42000.0,-27000.0,106000.0,51000.0,51000.0,-8000.0,-1000.0,-65000.0,en-US,US,EQUITY,False,Delayed Quote,200,0.0,0.0,0.0043 - 0.13,-0.1257,-0.9669231,0.0043,0.13,-0.02,0.015683332,-0.011383332,-0.7258236,0.044126242,-0.039826244,20599,4,-67.65701,-0.21500002,15,America/New_York,EDT,-14400000,0.0043 - 0.0043,0.013295,0.0,0.0,0,0,finmb_334350,Other OTC,"Human Pheromone Sciences, Inc.",USD,389,USD,False,False,0.0043,1630506682,-0.008995,0.0043,0.0043,0.0043,2820,PNK,HUMAN PHERAMONE SCIENCES INC,0,us_market,REGULAR,-0.011,-0.90255237,3.74,,,0.13,0.0043,0.0157,0.0441,389,200,4.15M,,,,,,0,,0.00%,5.2k,,,,,,0.00%,,,1:3,"Apr 13, 1999","Dec 30, 2011","Dec 30, 2011",-7.73%,-8.26%,-13.60%,,569k,0.14,-35.10%,482k,-46k,-44k,-0.0110,-89.80%,48k,0.01,,,0.75,-0.02,,,Value,95113,Consumer Defensive,"Human Pheromone Sciences, Inc. engages in the research, development, manufacture, and marketing of consumer products containing synthetic human pheromones and other mood enhancing compounds in the United States and internationally. It provides a line of fragrance and toiletry products for men and women under the Natural Attraction trademark. The company also licenses its initial compounds and related technology, as well as sells its patented compounds to licensed customers to include these compounds as components in their products. In addition, it offers private label manufacturing services to licensed customers. Human Pheromone Sciences, Inc. distributes its products through distributors, as well as through the Web site, naturalattraction.com. The company was formerly known as EROX Corporation and changed its name to Human Pheromone Sciences, Inc. in May 1998. Human Pheromone Sciences, Inc. was founded in 1989 and is headquartered in San Jose, California.",San Jose,408-938-3030,CA,1293753600,United States,http://www.naturalattraction.com,86400,84 West Santa Clara Street,408-938-3025,Household & Personal Products
t-3,EROX,-46000.0,4151950,5000,,-7000,,-7000,136000,134000,-7000,-7000,,-1000.0,,,,0,186000,193000,52000,0,,-7000,-7000,244000.0,-46000.0,121000.0,198000.0,21098000.0,40000.0,-21144000.0,,55000.0,244000.0,198000.0,75000.0,28000.0,44000.0,-70000.0,9000.0,-37000.0,-37000.0,-2000.0,33000.0,-46000.0,en-US,US,EQUITY,False,Delayed Quote,200,0.0,0.0,0.0043 - 0.13,-0.1257,-0.9669231,0.0043,0.13,-0.02,0.015683332,-0.011383332,-0.7258236,0.044126242,-0.039826244,20599,4,-67.65701,-0.21500002,15,America/New_York,EDT,-14400000,0.0043 - 0.0043,0.013295,0.0,0.0,0,0,finmb_334350,Other OTC,"Human Pheromone Sciences, Inc.",USD,389,USD,False,False,0.0043,1630506682,-0.008995,0.0043,0.0043,0.0043,2820,PNK,HUMAN PHERAMONE SCIENCES INC,0,us_market,REGULAR,-0.011,-0.90255237,3.74,,,0.13,0.0043,0.0157,0.0441,389,200,4.15M,,,,,,0,,0.00%,5.2k,,,,,,0.00%,,,1:3,"Apr 13, 1999","Dec 30, 2011","Dec 30, 2011",-7.73%,-8.26%,-13.60%,,569k,0.14,-35.10%,482k,-46k,-44k,-0.0110,-89.80%,48k,0.01,,,0.75,-0.02,,,Value,95113,Consumer Defensive,"Human Pheromone Sciences, Inc. engages in the research, development, manufacture, and marketing of consumer products containing synthetic human pheromones and other mood enhancing compounds in the United States and internationally. It provides a line of fragrance and toiletry products for men and women under the Natural Attraction trademark. The company also licenses its initial compounds and related technology, as well as sells its patented compounds to licensed customers to include these compounds as components in their products. In addition, it offers private label manufacturing services to licensed customers. Human Pheromone Sciences, Inc. distributes its products through distributors, as well as through the Web site, naturalattraction.com. The company was formerly known as EROX Corporation and changed its name to Human Pheromone Sciences, Inc. in May 1998. Human Pheromone Sciences, Inc. was founded in 1989 and is headquartered in San Jose, California.",San Jose,408-938-3030,CA,1293753600,United States,http://www.naturalattraction.com,86400,84 West Santa Clara Street,408-938-3025,Household & Personal Products
