Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,issuanceOfStock,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,shortName,esgPopulated,tradeable,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,exchangeDataDelayedBy,priceHint,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,longName,fullExchangeName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingPE,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,ITMSF,-571000.0,25811500,,,-1072000,,-1067000,,-1360000,-1754000,-1754000,,-16000,,,,-5000,862000,2616000,2222000,682000,,-1067000,-1067000,1002000.0,26034000.0,6033000.0,431000.0,1661000.0,6464000.0,203642000.0,-229208000.0,-37000.0,33000.0,754000.0,4922000.0,7000.0,-37000.0,3231000.0,2198000.0,640000.0,659000.0,1326000.0,-62000.0,-195000.0,-71000.0,-71000.0,-15000.0,-1024000.0,1000.0,-759000.0,394000.0,-39000.0,30000.0,-102000.0,,,-2724000.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,INTERMAP TECHNOLOGIES CORP,False,False,PNK,0.8302,1630526397,0.030200005,0.80049,0.873,0.8,24051,PRE,0,4,3.7750006,0.8 - 0.873,0.8,0.0,0.0,0,0,finmb_1803126,Intermap Technologies Corporation,Other OTC,USD,82093,28557,0.38020003,0.844889,0.45 - 1.18,-0.34979993,-0.29644063,0.45,1.18,1512691200,1617220800,1617220800,1617220800,0.6872517,1.208,0.017,0.84257144,-0.012371421,-0.014682934,0.75268114,0.07751888,0.10299033,21428708,48.835293,15,America/New_York,EDT,-14400000,1.92,,,1.18,0.45,0.8426,0.7527,82.09k,28.56k,25.81M,,19.31M,25.16%,0.07%,,,,,,,,,,,0.00%,"Dec 07, 2017",,1:10,"Dec 07, 2017","Dec 30, 2020","Mar 30, 2021",689.67%,-149.33%,-53.67%,,3.95M,0.18,-47.20%,-3.71M,-4.76M,27.23M,1.2080,,754k,0.03,1.39M,322.97,0.45,0.02,-2.14M,-1.74M,Value,80112-5809,Technology,68,"Intermap Technologies Corporation, a geospatial intelligence company, provides various geospatial solutions and analytics in the United States, the Asia Pacific, and Europe. It offers Data-as-a-Service (DaaS) solutions, such as InsitePro, a configurable insurance underwriting software; and NEXTView, a configurable data solution that delivers terrain and obstacle awareness that enhance airborne safety. The company also provides geospatial data acquisition and production services; value-added data licensing; and software solutions and services. Its geospatial solutions are used in a range of applications, including location-based information, risk assessment, geographic information systems, engineering, utilities, global positioning systems maps, oil and gas, renewable energy, hydrology, environmental planning, land management, wireless communications, transportation, outdoor advertising, and 3D visualization. The company was founded in 1996 and is headquartered in Englewood, Colorado.",Englewood,303 708 0955,CO,1609372800,United States,http://www.intermap.com,86400,8310 South Valley Highway,Software—Application,Suite 240
t-1,ITMSF,565000.0,25811500,,,-1309000,,-1309000,,-1114000,-1442000,-1442000,,-1000,,,,0,925000,2367000,2039000,133000,,-1309000,-1309000,921000.0,26007000.0,6158000.0,1486000.0,1612000.0,7644000.0,203642000.0,-228141000.0,-22000.0,41000.0,1778000.0,4989000.0,4000.0,-22000.0,3509000.0,3173000.0,626000.0,648000.0,1556000.0,-541000.0,137000.0,279000.0,2708000.0,-12000.0,1043000.0,27000.0,-1829000.0,328000.0,-326000.0,31000.0,283000.0,2880000.0,-451000.0,-1816000.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,INTERMAP TECHNOLOGIES CORP,False,False,PNK,0.8302,1630526397,0.030200005,0.80049,0.873,0.8,24051,PRE,0,4,3.7750006,0.8 - 0.873,0.8,0.0,0.0,0,0,finmb_1803126,Intermap Technologies Corporation,Other OTC,USD,82093,28557,0.38020003,0.844889,0.45 - 1.18,-0.34979993,-0.29644063,0.45,1.18,1512691200,1617220800,1617220800,1617220800,0.6872517,1.208,0.017,0.84257144,-0.012371421,-0.014682934,0.75268114,0.07751888,0.10299033,21428708,48.835293,15,America/New_York,EDT,-14400000,1.92,,,1.18,0.45,0.8426,0.7527,82.09k,28.56k,25.81M,,19.31M,25.16%,0.07%,,,,,,,,,,,0.00%,"Dec 07, 2017",,1:10,"Dec 07, 2017","Dec 30, 2020","Mar 30, 2021",689.67%,-149.33%,-53.67%,,3.95M,0.18,-47.20%,-3.71M,-4.76M,27.23M,1.2080,,754k,0.03,1.39M,322.97,0.45,0.02,-2.14M,-1.74M,Value,80112-5809,Technology,68,"Intermap Technologies Corporation, a geospatial intelligence company, provides various geospatial solutions and analytics in the United States, the Asia Pacific, and Europe. It offers Data-as-a-Service (DaaS) solutions, such as InsitePro, a configurable insurance underwriting software; and NEXTView, a configurable data solution that delivers terrain and obstacle awareness that enhance airborne safety. The company also provides geospatial data acquisition and production services; value-added data licensing; and software solutions and services. Its geospatial solutions are used in a range of applications, including location-based information, risk assessment, geographic information systems, engineering, utilities, global positioning systems maps, oil and gas, renewable energy, hydrology, environmental planning, land management, wireless communications, transportation, outdoor advertising, and 3D visualization. The company was founded in 1996 and is headquartered in Englewood, Colorado.",Englewood,303 708 0955,CO,1609372800,United States,http://www.intermap.com,86400,8310 South Valley Highway,Software—Application,Suite 240
t-2,ITMSF,410000.0,25811500,,,-1357000,,-1357000,,-980000,-1335000,-1335000,,-11000,,,,0,1002000,2337000,1982000,-22000,,-1357000,-1357000,,26090000.0,6305000.0,410000.0,1871000.0,6715000.0,201011000.0,-226536000.0,-155000.0,,735000.0,5495000.0,30000.0,-155000.0,4882000.0,1833000.0,380000.0,330000.0,1637000.0,-256000.0,-194000.0,-1044000.0,528000.0,28000.0,-410000.0,2000.0,-746000.0,355000.0,460000.0,24000.0,-194000.0,1779000.0,-207000.0,-3662000.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,INTERMAP TECHNOLOGIES CORP,False,False,PNK,0.8302,1630526397,0.030200005,0.80049,0.873,0.8,24051,PRE,0,4,3.7750006,0.8 - 0.873,0.8,0.0,0.0,0,0,finmb_1803126,Intermap Technologies Corporation,Other OTC,USD,82093,28557,0.38020003,0.844889,0.45 - 1.18,-0.34979993,-0.29644063,0.45,1.18,1512691200,1617220800,1617220800,1617220800,0.6872517,1.208,0.017,0.84257144,-0.012371421,-0.014682934,0.75268114,0.07751888,0.10299033,21428708,48.835293,15,America/New_York,EDT,-14400000,1.92,,,1.18,0.45,0.8426,0.7527,82.09k,28.56k,25.81M,,19.31M,25.16%,0.07%,,,,,,,,,,,0.00%,"Dec 07, 2017",,1:10,"Dec 07, 2017","Dec 30, 2020","Mar 30, 2021",689.67%,-149.33%,-53.67%,,3.95M,0.18,-47.20%,-3.71M,-4.76M,27.23M,1.2080,,754k,0.03,1.39M,322.97,0.45,0.02,-2.14M,-1.74M,Value,80112-5809,Technology,68,"Intermap Technologies Corporation, a geospatial intelligence company, provides various geospatial solutions and analytics in the United States, the Asia Pacific, and Europe. It offers Data-as-a-Service (DaaS) solutions, such as InsitePro, a configurable insurance underwriting software; and NEXTView, a configurable data solution that delivers terrain and obstacle awareness that enhance airborne safety. The company also provides geospatial data acquisition and production services; value-added data licensing; and software solutions and services. Its geospatial solutions are used in a range of applications, including location-based information, risk assessment, geographic information systems, engineering, utilities, global positioning systems maps, oil and gas, renewable energy, hydrology, environmental planning, land management, wireless communications, transportation, outdoor advertising, and 3D visualization. The company was founded in 1996 and is headquartered in Englewood, Colorado.",Englewood,303 708 0955,CO,1609372800,United States,http://www.intermap.com,86400,8310 South Valley Highway,Software—Application,Suite 240
t-3,ITMSF,162000.0,25811500,,,30967000,,30950000,,-984000,-1384000,-1384000,,-542000,,,,17000,1160000,2544000,2144000,32351000,,30950000,30950000,,25585000.0,7444000.0,162000.0,2103000.0,7606000.0,199917000.0,-225179000.0,-161000.0,,1145000.0,6892000.0,1120000.0,-161000.0,4912000.0,2694000.0,846000.0,176000.0,1692000.0,736000.0,-162000.0,-265000.0,-115000.0,7000.0,903000.0,3000.0,1177000.0,400000.0,781000.0,-32205000.0,-162000.0,1779000.0,150000.0,-4198000.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,INTERMAP TECHNOLOGIES CORP,False,False,PNK,0.8302,1630526397,0.030200005,0.80049,0.873,0.8,24051,PRE,0,4,3.7750006,0.8 - 0.873,0.8,0.0,0.0,0,0,finmb_1803126,Intermap Technologies Corporation,Other OTC,USD,82093,28557,0.38020003,0.844889,0.45 - 1.18,-0.34979993,-0.29644063,0.45,1.18,1512691200,1617220800,1617220800,1617220800,0.6872517,1.208,0.017,0.84257144,-0.012371421,-0.014682934,0.75268114,0.07751888,0.10299033,21428708,48.835293,15,America/New_York,EDT,-14400000,1.92,,,1.18,0.45,0.8426,0.7527,82.09k,28.56k,25.81M,,19.31M,25.16%,0.07%,,,,,,,,,,,0.00%,"Dec 07, 2017",,1:10,"Dec 07, 2017","Dec 30, 2020","Mar 30, 2021",689.67%,-149.33%,-53.67%,,3.95M,0.18,-47.20%,-3.71M,-4.76M,27.23M,1.2080,,754k,0.03,1.39M,322.97,0.45,0.02,-2.14M,-1.74M,Value,80112-5809,Technology,68,"Intermap Technologies Corporation, a geospatial intelligence company, provides various geospatial solutions and analytics in the United States, the Asia Pacific, and Europe. It offers Data-as-a-Service (DaaS) solutions, such as InsitePro, a configurable insurance underwriting software; and NEXTView, a configurable data solution that delivers terrain and obstacle awareness that enhance airborne safety. The company also provides geospatial data acquisition and production services; value-added data licensing; and software solutions and services. Its geospatial solutions are used in a range of applications, including location-based information, risk assessment, geographic information systems, engineering, utilities, global positioning systems maps, oil and gas, renewable energy, hydrology, environmental planning, land management, wireless communications, transportation, outdoor advertising, and 3D visualization. The company was founded in 1996 and is headquartered in Englewood, Colorado.",Englewood,303 708 0955,CO,1609372800,United States,http://www.intermap.com,86400,8310 South Valley Highway,Software—Application,Suite 240
