Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,totalCurrentAssets,accountsPayable,otherLiab,treasuryStock,otherStockholderEquity,propertyPlantEquipment,netReceivables,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeInCash,totalCashFromOperatingActivities,changeToNetincome,totalCashflowsFromInvestingActivities,changeToOperatingActivities,effectOfExchangeRate,depreciation,otherCashflowsFromInvestingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,priceHint,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,shortName,marketState,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,maxAge,address1,industry,address2
t0,GSUXF,-608813.0,1099370,,,-85571,,-85571,62452,0,-62452,-62452,,-400,,,,0,0,62452,0,-23119,,-85571,-85571,806233.0,-608813.0,15010.0,197420.0,6619503.0,-7228316.0,197420.0,806233.0,197420.0,588305.0,,,,,,80073.0,202518.0,202518.0,197420.0,-5098.0,400.0,,,,,,-608813.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.1,1629997920,0.0,0.1,0.1,0.1,80,0,GOLDEN SUN MINING CORPORATION,PREPRE,us_market,0.0,0.1 - 0.1,0.1,0.0,0.0,0,0,finmb_34594331,Other OTC,Golden Sun Mining Corp.,CAD,223,1035,0.095,19.0,0.005 - 5.1,-5.0,-0.98039216,0.005,5.1,-0.45822296,0.7302148,-0.63021475,-0.863054,-0.006,-0.554,0.18457778,-0.08457778,3411,-0.18050541,15,America/New_York,EDT,-14400000,False,False,36.29,,,5.1,0.005,0.1846,0.7302,223,1.03k,1.1M,,,,,,,,,,,,,,,0.00%,,,1:50,"Feb 18, 2021","Apr 29, 2020","Jan 30, 2021",0.00%,0.00%,,,,,,,,-7.5k,-0.0060,,197.42k,0.18,202.92k,,,-0.55,,,Value,V6C 1T2,Basic Materials,"Golden Sun Mining Corp. does not have significant operations. Previously, it was engaged in the exploration and evaluation of mineral properties. The company intends to acquire strategic mining assets and undertake precious and base-metals mineral exploration activities. The company was formerly known as Silver Sun Resource Corp. and changed its name to Golden Sun Mining Corp. in January 2013. Golden Sun Mining Corp. was incorporated in 2007 and is based in Vancouver, Canada.",Vancouver,604-678-2531,BC,Canada,86400,409 Granville Street,Other Industrial Metals & Mining,Suite 400
t-1,GSUXF,-523242.0,1099370,,,-8609,,-8609,8609,0,-8609,-8609,,-400,,,,0,0,8609,0,0,,-8609,-8609,523242.0,-523242.0,14347.0,,6619503.0,-7142745.0,,523242.0,,508895.0,,,,,,8609.0,202518.0,202518.0,197420.0,-5098.0,400.0,,,,,,,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.1,1629997920,0.0,0.1,0.1,0.1,80,0,GOLDEN SUN MINING CORPORATION,PREPRE,us_market,0.0,0.1 - 0.1,0.1,0.0,0.0,0,0,finmb_34594331,Other OTC,Golden Sun Mining Corp.,CAD,223,1035,0.095,19.0,0.005 - 5.1,-5.0,-0.98039216,0.005,5.1,-0.45822296,0.7302148,-0.63021475,-0.863054,-0.006,-0.554,0.18457778,-0.08457778,3411,-0.18050541,15,America/New_York,EDT,-14400000,False,False,36.29,,,5.1,0.005,0.1846,0.7302,223,1.03k,1.1M,,,,,,,,,,,,,,,0.00%,,,1:50,"Feb 18, 2021","Apr 29, 2020","Jan 30, 2021",0.00%,0.00%,,,,,,,,-7.5k,-0.0060,,197.42k,0.18,202.92k,,,-0.55,,,Value,V6C 1T2,Basic Materials,"Golden Sun Mining Corp. does not have significant operations. Previously, it was engaged in the exploration and evaluation of mineral properties. The company intends to acquire strategic mining assets and undertake precious and base-metals mineral exploration activities. The company was formerly known as Silver Sun Resource Corp. and changed its name to Golden Sun Mining Corp. in January 2013. Golden Sun Mining Corp. was incorporated in 2007 and is based in Vancouver, Canada.",Vancouver,604-678-2531,BC,Canada,86400,409 Granville Street,Other Industrial Metals & Mining,Suite 400
t-2,GSUXF,-523242.0,1099370,,,-8609,,-8609,8609,0,-8609,-8609,,-400,,,,0,0,8609,0,0,,-8609,-8609,523242.0,-523242.0,14347.0,,6619503.0,-7142745.0,,523242.0,,508895.0,,,,,,8609.0,202518.0,202518.0,197420.0,-5098.0,400.0,,,,,,,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.1,1629997920,0.0,0.1,0.1,0.1,80,0,GOLDEN SUN MINING CORPORATION,PREPRE,us_market,0.0,0.1 - 0.1,0.1,0.0,0.0,0,0,finmb_34594331,Other OTC,Golden Sun Mining Corp.,CAD,223,1035,0.095,19.0,0.005 - 5.1,-5.0,-0.98039216,0.005,5.1,-0.45822296,0.7302148,-0.63021475,-0.863054,-0.006,-0.554,0.18457778,-0.08457778,3411,-0.18050541,15,America/New_York,EDT,-14400000,False,False,36.29,,,5.1,0.005,0.1846,0.7302,223,1.03k,1.1M,,,,,,,,,,,,,,,0.00%,,,1:50,"Feb 18, 2021","Apr 29, 2020","Jan 30, 2021",0.00%,0.00%,,,,,,,,-7.5k,-0.0060,,197.42k,0.18,202.92k,,,-0.55,,,Value,V6C 1T2,Basic Materials,"Golden Sun Mining Corp. does not have significant operations. Previously, it was engaged in the exploration and evaluation of mineral properties. The company intends to acquire strategic mining assets and undertake precious and base-metals mineral exploration activities. The company was formerly known as Silver Sun Resource Corp. and changed its name to Golden Sun Mining Corp. in January 2013. Golden Sun Mining Corp. was incorporated in 2007 and is based in Vancouver, Canada.",Vancouver,604-678-2531,BC,Canada,86400,409 Granville Street,Other Industrial Metals & Mining,Suite 400
t-3,GSUXF,1282695.0,1099370,,,-107983,,-107983,77016,0,-92775,-92775,,-400,,,,0,0,92775,0,-15208,,-107983,-107983,231097.0,1282695.0,,1513792.0,6619503.0,-5966194.0,6509.0,164563.0,49620.0,99539.0,66534.0,629386.0,629386.0,1464172.0,41323.0,0.0,-12170.0,-12170.0,-8973.0,6202.0,-1408.0,-4212.0,108225.0,1207.0,7368.0,-4212.0,-114943.0,en-US,US,EQUITY,False,Delayed Quote,USD,4,PNK,0.1,1629997920,0.0,0.1,0.1,0.1,80,0,GOLDEN SUN MINING CORPORATION,PREPRE,us_market,0.0,0.1 - 0.1,0.1,0.0,0.0,0,0,finmb_34594331,Other OTC,Golden Sun Mining Corp.,CAD,223,1035,0.095,19.0,0.005 - 5.1,-5.0,-0.98039216,0.005,5.1,-0.45822296,0.7302148,-0.63021475,-0.863054,-0.006,-0.554,0.18457778,-0.08457778,3411,-0.18050541,15,America/New_York,EDT,-14400000,False,False,36.29,,,5.1,0.005,0.1846,0.7302,223,1.03k,1.1M,,,,,,,,,,,,,,,0.00%,,,1:50,"Feb 18, 2021","Apr 29, 2020","Jan 30, 2021",0.00%,0.00%,,,,,,,,-7.5k,-0.0060,,197.42k,0.18,202.92k,,,-0.55,,,Value,V6C 1T2,Basic Materials,"Golden Sun Mining Corp. does not have significant operations. Previously, it was engaged in the exploration and evaluation of mineral properties. The company intends to acquire strategic mining assets and undertake precious and base-metals mineral exploration activities. The company was formerly known as Silver Sun Resource Corp. and changed its name to Golden Sun Mining Corp. in January 2013. Golden Sun Mining Corp. was incorporated in 2007 and is based in Vancouver, Canada.",Vancouver,604-678-2531,BC,Canada,86400,409 Granville Street,Other Industrial Metals & Mining,Suite 400
