Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,shortTermInvestments,longTermDebt,accountsPayable,netReceivables,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,changeToNetincome,capitalExpenditures,changeToAccountReceivables,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,currency,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,shortName,exchange,marketState,twoHundredDayAverageChangePercent,exchangeDataDelayedBy,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,epsTrailingTwelveMonths,priceHint,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jun 13, 2013) 4","Short Ratio (Jun 13, 2013) 4","Short % of Float (Jun 13, 2013) 4","Short % of Shares Outstanding (Jun 13, 2013) 4","Shares Short (prior month May 14, 2013) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,address2
t0,JETMF,290172.0,40393300,,,-5138625,,-5138625,1647049,-1067369,-2855989,-2855989,,-74618,,,,0,0,2855989,1067369,-2282636,,-5138625,-5138625,7694302.0,9233917.0,290172.0,3035037.0,3226786.0,9524089.0,38093.0,1035596.0,-7582419.0,100000.0,140196.0,3035037.0,1806200.0,6676504.0,785400.0,140196.0,2675672.0,3813380.0,307803.0,842179.0,1759310.0,,394306.0,-433295.0,-101487.0,4799083.0,-617949.0,4900570.0,1279922.0,-3085866.0,3652.0,-300000.0,2272750.0,-133295.0,,,-2863124.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,2.15,1630525837,0.08000016,2.1575,2.1691,2.1,19336,GLOBAL CROSSING AIRLINES GROUP ,PNK,PRE,0.062211134,0,False,False,3.864742,2.1 - 2.1691,2.07,0.0,0.0,0,0,finmb_648218626,Other OTC,Global Crossing Airlines Group Inc.,USD,15871,14828,1.437,2.0154278,0.713 - 3.17,-1.02,-0.32176656,0.713,3.17,1625184000,-0.277,4,0.008,2.4319713,-0.28197122,-0.11594348,2.0240798,0.1259203,98074616,268.75,15,America/New_York,EDT,-14400000,,,,3.17,0.713,2.432,2.0241,15.87k,14.83k,40.39M,,16.86M,20.67%,0.03%,1.18k,0.58,0.28%,0.27%,1.35k,,,,,,0.00%,"Jul 01, 2021",,1:10,"Jun 24, 2020","Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-64.91%,,,,,-253.27k,,-6.86M,-0.2770,,2.11M,0.05,4.15M,1429.44,0.57,0.01,-4.25M,67.7k,Value,19904,Industrials,"Global Crossing Airlines Group Inc. operates in the airline business. It focuses to fly as an aircraft, crew, maintenance, and insurance (ACMI) and wet lease charter airline serving the United States, the Caribbean, and Latin American markets. The company is based in Dover, Delaware.",Dover,786 751 8503,DE,United States,http://www.globalairlinesgroup.com,86400,850 New Burton Road,Airlines,Suite 201
t-1,JETMF,302379.0,40393300,,,-1180225,,-1180225,861270,-68447,-929757,-929757,,-4,,,,0,0,929757,68447,2538095,,-1180225,-1180225,2264966.0,6868833.0,302379.0,3035037.0,1056634.0,7171212.0,28938.0,730000.0,-2443794.0,187928.0,452269.0,3035037.0,526170.0,3556543.0,392700.0,452269.0,2520665.0,1615510.0,19028.0,1209516.0,1411812.0,1548.0,456215.0,-329479.0,-1824.0,1140388.0,-17665.0,954001.0,313469.0,-497440.0,40.0,-330000.0,244195.0,521.0,2381.0,188211.0,-1941033.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,2.15,1630525837,0.08000016,2.1575,2.1691,2.1,19336,GLOBAL CROSSING AIRLINES GROUP ,PNK,PRE,0.062211134,0,False,False,3.864742,2.1 - 2.1691,2.07,0.0,0.0,0,0,finmb_648218626,Other OTC,Global Crossing Airlines Group Inc.,USD,15871,14828,1.437,2.0154278,0.713 - 3.17,-1.02,-0.32176656,0.713,3.17,1625184000,-0.277,4,0.008,2.4319713,-0.28197122,-0.11594348,2.0240798,0.1259203,98074616,268.75,15,America/New_York,EDT,-14400000,,,,3.17,0.713,2.432,2.0241,15.87k,14.83k,40.39M,,16.86M,20.67%,0.03%,1.18k,0.58,0.28%,0.27%,1.35k,,,,,,0.00%,"Jul 01, 2021",,1:10,"Jun 24, 2020","Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-64.91%,,,,,-253.27k,,-6.86M,-0.2770,,2.11M,0.05,4.15M,1429.44,0.57,0.01,-4.25M,67.7k,Value,19904,Industrials,"Global Crossing Airlines Group Inc. operates in the airline business. It focuses to fly as an aircraft, crew, maintenance, and insurance (ACMI) and wet lease charter airline serving the United States, the Caribbean, and Latin American markets. The company is based in Dover, Delaware.",Dover,786 751 8503,DE,United States,http://www.globalairlinesgroup.com,86400,850 New Burton Road,Airlines,Suite 201
t-2,JETMF,370661.0,40393300,,,2795702,,2795702,627652,-71569,-746757,-746757,,-3489,,,,0,0,746757,71569,3542459,,2795702,2795702,,3507417.0,370661.0,2923266.0,919580.0,3878078.0,2473191.0,377668.0,-1263569.0,1023162.0,-838961.0,2923266.0,237701.0,2343177.0,378000.0,-838961.0,436.0,954376.0,5596.0,1164240.0,988597.0,2381.0,-303594.0,-24773.0,-29280.0,243176.0,-7144.0,272607.0,-585176.0,-803579.0,44.0,-25000.0,-3297266.0,-43.0,8679.0,-151.0,-1388801.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,2.15,1630525837,0.08000016,2.1575,2.1691,2.1,19336,GLOBAL CROSSING AIRLINES GROUP ,PNK,PRE,0.062211134,0,False,False,3.864742,2.1 - 2.1691,2.07,0.0,0.0,0,0,finmb_648218626,Other OTC,Global Crossing Airlines Group Inc.,USD,15871,14828,1.437,2.0154278,0.713 - 3.17,-1.02,-0.32176656,0.713,3.17,1625184000,-0.277,4,0.008,2.4319713,-0.28197122,-0.11594348,2.0240798,0.1259203,98074616,268.75,15,America/New_York,EDT,-14400000,,,,3.17,0.713,2.432,2.0241,15.87k,14.83k,40.39M,,16.86M,20.67%,0.03%,1.18k,0.58,0.28%,0.27%,1.35k,,,,,,0.00%,"Jul 01, 2021",,1:10,"Jun 24, 2020","Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-64.91%,,,,,-253.27k,,-6.86M,-0.2770,,2.11M,0.05,4.15M,1429.44,0.57,0.01,-4.25M,67.7k,Value,19904,Industrials,"Global Crossing Airlines Group Inc. operates in the airline business. It focuses to fly as an aircraft, crew, maintenance, and insurance (ACMI) and wet lease charter airline serving the United States, the Caribbean, and Latin American markets. The company is based in Dover, Delaware.",Dover,786 751 8503,DE,United States,http://www.globalairlinesgroup.com,86400,850 New Burton Road,Airlines,Suite 201
t-3,JETMF,-127173.0,40393300,,,-3334192,,-3334192,310442,-42242,-521344,-521344,,-4651,,,,0,0,521344,42242,-2812848,,-3334192,-3334192,,1643738.0,-127173.0,,265027.0,1516565.0,3207783.0,350280.0,-4059271.0,,724315.0,,822877.0,1614218.0,,724315.0,478.0,1516087.0,5596.0,29520.0,1349191.0,8679.0,1066181.0,-326109.0,-415379.0,920480.0,-385655.0,1251899.0,735838.0,141467.0,41.0,-350000.0,2802270.0,-478.0,-7179.0,83960.0,-98131.0,en-US,US,EQUITY,False,Delayed Quote,USD,us_market,2.15,1630525837,0.08000016,2.1575,2.1691,2.1,19336,GLOBAL CROSSING AIRLINES GROUP ,PNK,PRE,0.062211134,0,False,False,3.864742,2.1 - 2.1691,2.07,0.0,0.0,0,0,finmb_648218626,Other OTC,Global Crossing Airlines Group Inc.,USD,15871,14828,1.437,2.0154278,0.713 - 3.17,-1.02,-0.32176656,0.713,3.17,1625184000,-0.277,4,0.008,2.4319713,-0.28197122,-0.11594348,2.0240798,0.1259203,98074616,268.75,15,America/New_York,EDT,-14400000,,,,3.17,0.713,2.432,2.0241,15.87k,14.83k,40.39M,,16.86M,20.67%,0.03%,1.18k,0.58,0.28%,0.27%,1.35k,,,,,,0.00%,"Jul 01, 2021",,1:10,"Jun 24, 2020","Dec 30, 2020","Mar 30, 2021",0.00%,0.00%,-64.91%,,,,,-253.27k,,-6.86M,-0.2770,,2.11M,0.05,4.15M,1429.44,0.57,0.01,-4.25M,67.7k,Value,19904,Industrials,"Global Crossing Airlines Group Inc. operates in the airline business. It focuses to fly as an aircraft, crew, maintenance, and insurance (ACMI) and wet lease charter airline serving the United States, the Caribbean, and Latin American markets. The company is based in Dover, Delaware.",Dover,786 751 8503,DE,United States,http://www.globalairlinesgroup.com,86400,850 New Burton Road,Airlines,Suite 201
