Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,treasuryStock,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,inventory,accountsPayable,otherCurrentLiab,longTermInvestments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToNetincome,investments,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,exchange,currency,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,marketState,market,shortName,exchangeDataDelayedBy,esgPopulated,tradeable,priceHint,regularMarketChangePercent,regularMarketDayRange,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,industry,address2
t0,GBHPF,1634836.0,266960000,,,-227427,-44399,-199769,38924,-2276,-212376,-212376,,-8133,,,,-26059,0,212376,2276,-15051,,-201368,-199769,1156569.0,1634836.0,2747006.0,7856143.0,84274.0,-10532251.0,4310944.0,315428.0,1156569.0,4310944.0,2258923.0,488083.0,49204.0,39177.0,393820.0,,,-139132.0,9995.0,-88342.0,649958.0,-148601.0,738300.0,299056.0,9511.0,-370408.0,7151.0,-38707.0,148650.0,,,-668486.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.028,1630525040,-0.0040000007,0.03,0.03,0.028,238088,0.032,0.0,0.0,0,0,finmb_99666449,Other OTC,Global Hemp Group Inc.,CAD,1960409,111933,0.021200001,3.1176472,0.0068 - 0.1,-0.072,-0.71999997,0.0068,0.1,POST,us_market,GLOBAL HEMP GROUP INC,0,False,False,4,-12.500002,0.028 - 0.03,-0.002,0.006,0.032605555,-0.004605554,-0.1412506,0.042316668,-0.014316667,-0.33832216,8200276,4.666667,15,America/New_York,EDT,-14400000,2.8,,,0.1,0.0068,0.0326,0.0423,1.96M,111.93k,266.96M,,260.3M,2.36%,0.00%,,,,,,,,,,,0.00%,,,,,"Sep 29, 2020","Dec 30, 2020",0.00%,"8,541,600.00%",2.40%,-39.56%,1,0.00,,20.98k,109.05k,-456.04k,-0.0020,,315.43k,0,706.48k,44.42,0.42,0.01,-364.55k,-281.25k,Value,V7H 2Y4,Healthcare,"Global Hemp Group Inc. focuses on the industrial hemp industry in Canada and the United States. The company was formerly known as Arris Holdings Inc. and changed its name to Global Hemp Group Inc. in March 2014. Global Hemp Group Inc. was incorporated in 2009 and is headquartered in North Vancouver, Canada.",North Vancouver,424 354 2998,BC,1609372800,Canada,http://globalhempgroup.com,86400,1169 Mount Seymour Road,Drug Manufacturers—Specialty & Generic,Suite 106
t-1,GBHPF,957435.0,266960000,-2.0,,-216850,-42800,-116965,94779,-192,323676,323676,,-1093,,,,0,1,-323675,193,-540526,,-216850,-116965,1508887.0,957435.0,2423522.0,7118029.0,15878.0,-10332482.0,4171888.0,16372.0,1508887.0,4171888.0,2358599.0,64923.0,32203.0,470.0,393017.0,14137.0,,114549.0,-227453.0,50000.0,225002.0,-47728.0,175002.0,-31281.0,-23231.0,-5599.0,5568.0,-38707.0,16153.0,-227797.0,22824.0,-1443964.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.028,1630525040,-0.0040000007,0.03,0.03,0.028,238088,0.032,0.0,0.0,0,0,finmb_99666449,Other OTC,Global Hemp Group Inc.,CAD,1960409,111933,0.021200001,3.1176472,0.0068 - 0.1,-0.072,-0.71999997,0.0068,0.1,POST,us_market,GLOBAL HEMP GROUP INC,0,False,False,4,-12.500002,0.028 - 0.03,-0.002,0.006,0.032605555,-0.004605554,-0.1412506,0.042316668,-0.014316667,-0.33832216,8200276,4.666667,15,America/New_York,EDT,-14400000,2.8,,,0.1,0.0068,0.0326,0.0423,1.96M,111.93k,266.96M,,260.3M,2.36%,0.00%,,,,,,,,,,,0.00%,,,,,"Sep 29, 2020","Dec 30, 2020",0.00%,"8,541,600.00%",2.40%,-39.56%,1,0.00,,20.98k,109.05k,-456.04k,-0.0020,,315.43k,0,706.48k,44.42,0.42,0.01,-364.55k,-281.25k,Value,V7H 2Y4,Healthcare,"Global Hemp Group Inc. focuses on the industrial hemp industry in Canada and the United States. The company was formerly known as Arris Holdings Inc. and changed its name to Global Hemp Group Inc. in March 2014. Global Hemp Group Inc. was incorporated in 2009 and is headquartered in North Vancouver, Canada.",North Vancouver,424 354 2998,BC,1609372800,Canada,http://globalhempgroup.com,86400,1169 Mount Seymour Road,Drug Manufacturers—Specialty & Generic,Suite 106
t-2,GBHPF,1053352.0,266960000,-2.0,,-91466,57085,-85831,27090,2644,-32633,-32633,,-924,,,,0,0,32633,-2644,-58833,,-91466,-85831,442427.0,1053352.0,1552864.0,6691986.0,,-10215517.0,4576883.0,47653.0,442427.0,4576883.0,202542.0,63957.0,15834.0,470.0,410273.0,,1286365.0,16297.0,-30181.0,50000.0,225002.0,29603.0,175002.0,-52517.0,-46143.0,23807.0,10913.0,-38707.0,52825.0,-30181.0,22824.0,-378470.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.028,1630525040,-0.0040000007,0.03,0.03,0.028,238088,0.032,0.0,0.0,0,0,finmb_99666449,Other OTC,Global Hemp Group Inc.,CAD,1960409,111933,0.021200001,3.1176472,0.0068 - 0.1,-0.072,-0.71999997,0.0068,0.1,POST,us_market,GLOBAL HEMP GROUP INC,0,False,False,4,-12.500002,0.028 - 0.03,-0.002,0.006,0.032605555,-0.004605554,-0.1412506,0.042316668,-0.014316667,-0.33832216,8200276,4.666667,15,America/New_York,EDT,-14400000,2.8,,,0.1,0.0068,0.0326,0.0423,1.96M,111.93k,266.96M,,260.3M,2.36%,0.00%,,,,,,,,,,,0.00%,,,,,"Sep 29, 2020","Dec 30, 2020",0.00%,"8,541,600.00%",2.40%,-39.56%,1,0.00,,20.98k,109.05k,-456.04k,-0.0020,,315.43k,0,706.48k,44.42,0.42,0.01,-364.55k,-281.25k,Value,V7H 2Y4,Healthcare,"Global Hemp Group Inc. focuses on the industrial hemp industry in Canada and the United States. The company was formerly known as Arris Holdings Inc. and changed its name to Global Hemp Group Inc. in March 2014. Global Hemp Group Inc. was incorporated in 2009 and is headquartered in North Vancouver, Canada.",North Vancouver,424 354 2998,BC,1609372800,Canada,http://globalhempgroup.com,86400,1169 Mount Seymour Road,Drug Manufacturers—Specialty & Generic,Suite 106
t-3,GBHPF,1139183.0,266960000,-3672.0,,-53141,62720,-53478,-3077,0,6749,6749,,-973,,,,0,0,-6749,0,-59890,,-53141,-53478,425579.0,1139183.0,1627482.0,6691986.0,,-10129686.0,4576883.0,100170.0,425579.0,4576883.0,213455.0,146077.0,45437.0,470.0,364036.0,,1267950.0,-20310.0,-160699.0,50000.0,225002.0,652.0,175002.0,-86643.0,86409.0,-12353.0,10913.0,-38707.0,60783.0,-160699.0,22824.0,-279502.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.028,1630525040,-0.0040000007,0.03,0.03,0.028,238088,0.032,0.0,0.0,0,0,finmb_99666449,Other OTC,Global Hemp Group Inc.,CAD,1960409,111933,0.021200001,3.1176472,0.0068 - 0.1,-0.072,-0.71999997,0.0068,0.1,POST,us_market,GLOBAL HEMP GROUP INC,0,False,False,4,-12.500002,0.028 - 0.03,-0.002,0.006,0.032605555,-0.004605554,-0.1412506,0.042316668,-0.014316667,-0.33832216,8200276,4.666667,15,America/New_York,EDT,-14400000,2.8,,,0.1,0.0068,0.0326,0.0423,1.96M,111.93k,266.96M,,260.3M,2.36%,0.00%,,,,,,,,,,,0.00%,,,,,"Sep 29, 2020","Dec 30, 2020",0.00%,"8,541,600.00%",2.40%,-39.56%,1,0.00,,20.98k,109.05k,-456.04k,-0.0020,,315.43k,0,706.48k,44.42,0.42,0.01,-364.55k,-281.25k,Value,V7H 2Y4,Healthcare,"Global Hemp Group Inc. focuses on the industrial hemp industry in Canada and the United States. The company was formerly known as Arris Holdings Inc. and changed its name to Global Hemp Group Inc. in March 2014. Global Hemp Group Inc. was incorporated in 2009 and is headquartered in North Vancouver, Canada.",North Vancouver,424 354 2998,BC,1609372800,Canada,http://globalhempgroup.com,86400,1169 Mount Seymour Road,Drug Manufacturers—Specialty & Generic,Suite 106
