Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,issuanceOfStock,repurchaseOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,ask,bid,regularMarketPreviousClose,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,currency,marketState,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,market,priceHint,exchangeDataDelayedBy,twoHundredDayAverageChangePercent,shortName,exchange,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,state,country,website,maxAge,address1,industry,address2
t0,GRPBF,-2279595000,2475930112,,,778227000,,518651000,5367367000,6680650000,1321555000,1321555000,-8272000,-591551000,,,,259576000,20043460000,18721905000,13362810000,-543328000,,518651000,518651000,4866915000,12241929000,53982934000,16590790000,4913297000,70573724000,1485883000,850265000,13456008000,4238203000,14003470000,-10593030000,6268271000,4538864000,22343055000,2608757000,2368054000,-10593030000,22397915000,22407607000,629546000,10508706000,25074260000,6509772000,11704409000,174265000.0,-374248000.0,-606982000.0,-1627775000.0,452749000.0,-238508000.0,-140458000.0,1903973000.0,781877000.0,23095000.0,-373119000.0,-591816000.0,183230000.0,-647674000.0,385017000.0,-347828000.0,,,64552000,en-US,US,EQUITY,False,Delayed Quote,0.0,0.95 - 0.95,0.0,0.0,0.95,0,0,finmb_22515904,Other OTC,"Grupo Lala, S.A.B. de C.V.",MXN,7237,1000,0.45999998,0.9387754,0.49 - 0.955,-0.004999995,-0.005235597,0.49,0.955,0.615,63.333332,0.64736843,USD,PREPRE,0.95,1629996607,0.0,0.95,0.95,0.95,51,us_market,4,0,0.31679392,GRUPO LALA SAB DE CV,PNK,0.015,6.701,0.7882286,0.16177142,0.20523414,0.72144926,0.22855073,2367019776,0.14176989,15,America/New_York,EDT,-14400000,False,False,0.92,,,0.955,0.49,0.7882,0.7214,7.24k,1k,2.48B,,545.74M,75.30%,4.15%,,,,,,0.03,3.91%,0.62,64.74%,,198.45%,,"May 23, 2021",,,"Dec 30, 2020","Mar 30, 2021",0.92%,4.85%,3.27%,3.82%,81.47B,34.00,3.30%,27.5B,7.26B,745.3M,0.0150,100.80%,4.54B,1.83,32.23B,194.28,1.00,6.70,7.6B,2.15B,Value,01219,Consumer Defensive,39952,"Grupo Lala, S.A.B. de C.V. produces, transports, and markets flavored milk and beverages in Mexico. The company offers drinks, creams, milks, butter and margarine, chesses, smoothies yogurts, drinkable yogurts, deserts, gelatins, hams, sausages, mayonnaise, ice creams, and other products. It serves customers under the Lala, Nutrileche, Nutrideli, Nutrilety, Vigor, Borden, Promised Land, Eskimo, La Perfecta, Faixa Azul, Amelia, Danubio, Mesa, Fong, Serrabella, LecoYomi, Chiquitin, Soy Vita, Aquafrut, Plenia, Chambourcy, Fiorelo, Mileche, Boreal, Frusion, Nordica, Skim Plus, Monarca, Los Volcanes, Yome Lala, Queen, Promise Land, Reino Jong, and Le Chef brand names. The company was founded in 1949 and is based in Mexico City, Mexico.",Mexico City,DF,Mexico,http://www.lala.com.mx,86400,Avenida Javier Barros Sierra 495,Packaged Foods,"6th Floor Park Plaza 3 Colonia Zedec Santa Fe, Ãlvaro ObregÃ³n"
t-1,GRPBF,-2923975000,2475930112,,,-363860000,,-646615000,5885910000,7010913000,1634270000,1634270000,-509267000,-609923000,,,,282755000,20654004000,19019734000,13643091000,-1998130000,,-646615000,-646615000,5056752000,12241929000,55012177000,16965478000,1434539000,71977655000,1485883000,671728000,12937357000,4720220000,14832701000,-9699691000,6607052000,4777372000,22869316000,2497687000,2321195000,-9699691000,22446731000,22425617000,608802000,10954994000,25265576000,6021523000,13232676000,495390000.0,-466444000.0,-992125000.0,-1838626000.0,1363380000.0,348440000.0,-142731000.0,2796241000.0,849054000.0,19407000.0,-373191000.0,-93680000.0,29726000.0,-336980000.0,1645944000.0,-491163000.0,18159000.0,-154489000.0,-443699000,en-US,US,EQUITY,False,Delayed Quote,0.0,0.95 - 0.95,0.0,0.0,0.95,0,0,finmb_22515904,Other OTC,"Grupo Lala, S.A.B. de C.V.",MXN,7237,1000,0.45999998,0.9387754,0.49 - 0.955,-0.004999995,-0.005235597,0.49,0.955,0.615,63.333332,0.64736843,USD,PREPRE,0.95,1629996607,0.0,0.95,0.95,0.95,51,us_market,4,0,0.31679392,GRUPO LALA SAB DE CV,PNK,0.015,6.701,0.7882286,0.16177142,0.20523414,0.72144926,0.22855073,2367019776,0.14176989,15,America/New_York,EDT,-14400000,False,False,0.92,,,0.955,0.49,0.7882,0.7214,7.24k,1k,2.48B,,545.74M,75.30%,4.15%,,,,,,0.03,3.91%,0.62,64.74%,,198.45%,,"May 23, 2021",,,"Dec 30, 2020","Mar 30, 2021",0.92%,4.85%,3.27%,3.82%,81.47B,34.00,3.30%,27.5B,7.26B,745.3M,0.0150,100.80%,4.54B,1.83,32.23B,194.28,1.00,6.70,7.6B,2.15B,Value,01219,Consumer Defensive,39952,"Grupo Lala, S.A.B. de C.V. produces, transports, and markets flavored milk and beverages in Mexico. The company offers drinks, creams, milks, butter and margarine, chesses, smoothies yogurts, drinkable yogurts, deserts, gelatins, hams, sausages, mayonnaise, ice creams, and other products. It serves customers under the Lala, Nutrileche, Nutrideli, Nutrilety, Vigor, Borden, Promised Land, Eskimo, La Perfecta, Faixa Azul, Amelia, Danubio, Mesa, Fong, Serrabella, LecoYomi, Chiquitin, Soy Vita, Aquafrut, Plenia, Chambourcy, Fiorelo, Mileche, Boreal, Frusion, Nordica, Skim Plus, Monarca, Los Volcanes, Yome Lala, Queen, Promise Land, Reino Jong, and Le Chef brand names. The company was founded in 1949 and is based in Mexico City, Mexico.",Mexico City,DF,Mexico,http://www.lala.com.mx,86400,Avenida Javier Barros Sierra 495,Packaged Foods,"6th Floor Park Plaza 3 Colonia Zedec Santa Fe, Ãlvaro ObregÃ³n"
t-2,GRPBF,-2075138000,2475930112,,,680267000,,455269000,5703885000,7246679000,1280730000,1280730000,262064000,-633814000,,,,224998000,20724738000,19444008000,13478059000,-600463000,,455269000,455269000,5468789000,12241929000,56059168000,19746668000,3350591000,75805836000,1485883000,855694000,13576379000,4992333000,16353017000,-7557523000,7117690000,4428932000,22721431000,2412935000,217571000,-7557523000,23490958000,22781706000,593676000,11451874000,26345721000,6045206000,13398453000,733493000.0,-366300000.0,-761309000.0,-1718598000.0,-141139000.0,-194734000.0,-138894000.0,2029058000.0,764368000.0,42379000.0,-373151000.0,221777000.0,-11300000.0,-584138000.0,6591000.0,-371050000.0,18159000.0,-154489000.0,60275000,en-US,US,EQUITY,False,Delayed Quote,0.0,0.95 - 0.95,0.0,0.0,0.95,0,0,finmb_22515904,Other OTC,"Grupo Lala, S.A.B. de C.V.",MXN,7237,1000,0.45999998,0.9387754,0.49 - 0.955,-0.004999995,-0.005235597,0.49,0.955,0.615,63.333332,0.64736843,USD,PREPRE,0.95,1629996607,0.0,0.95,0.95,0.95,51,us_market,4,0,0.31679392,GRUPO LALA SAB DE CV,PNK,0.015,6.701,0.7882286,0.16177142,0.20523414,0.72144926,0.22855073,2367019776,0.14176989,15,America/New_York,EDT,-14400000,False,False,0.92,,,0.955,0.49,0.7882,0.7214,7.24k,1k,2.48B,,545.74M,75.30%,4.15%,,,,,,0.03,3.91%,0.62,64.74%,,198.45%,,"May 23, 2021",,,"Dec 30, 2020","Mar 30, 2021",0.92%,4.85%,3.27%,3.82%,81.47B,34.00,3.30%,27.5B,7.26B,745.3M,0.0150,100.80%,4.54B,1.83,32.23B,194.28,1.00,6.70,7.6B,2.15B,Value,01219,Consumer Defensive,39952,"Grupo Lala, S.A.B. de C.V. produces, transports, and markets flavored milk and beverages in Mexico. The company offers drinks, creams, milks, butter and margarine, chesses, smoothies yogurts, drinkable yogurts, deserts, gelatins, hams, sausages, mayonnaise, ice creams, and other products. It serves customers under the Lala, Nutrileche, Nutrideli, Nutrilety, Vigor, Borden, Promised Land, Eskimo, La Perfecta, Faixa Azul, Amelia, Danubio, Mesa, Fong, Serrabella, LecoYomi, Chiquitin, Soy Vita, Aquafrut, Plenia, Chambourcy, Fiorelo, Mileche, Boreal, Frusion, Nordica, Skim Plus, Monarca, Los Volcanes, Yome Lala, Queen, Promise Land, Reino Jong, and Le Chef brand names. The company was founded in 1949 and is based in Mexico City, Mexico.",Mexico City,DF,Mexico,http://www.lala.com.mx,86400,Avenida Javier Barros Sierra 495,Packaged Foods,"6th Floor Park Plaza 3 Colonia Zedec Santa Fe, Ãlvaro ObregÃ³n"
t-3,GRPBF,-2328899000,2475930112,,,625627000,,417995000,5603377000,6854497000,1227685000,1227685000,23435000,-684148000,,,,207632000,20047948000,18820263000,13193451000,-602058000,,417995000,417995000,5724832000,12241929000,57540258000,20414185000,3954368000,77954443000,1485883000,1075821000,13113575000,5377477000,17018252000,-6427202000,7336872000,4623666000,28125173000,2586401000,75720000,-6427202000,23953455000,23330180000,590852000,11303825000,21942218000,6326868000,13475694000,671844000.0,-312758000.0,-529394000.0,-1265570000.0,-1048696000.0,-877005000.0,-170210000.0,871533000.0,800564000.0,52426000.0,-373155000.0,-116698000.0,-492887000.0,-363021000.0,639411000.0,-346520000.0,18159000.0,-154489000.0,-4794993000,en-US,US,EQUITY,False,Delayed Quote,0.0,0.95 - 0.95,0.0,0.0,0.95,0,0,finmb_22515904,Other OTC,"Grupo Lala, S.A.B. de C.V.",MXN,7237,1000,0.45999998,0.9387754,0.49 - 0.955,-0.004999995,-0.005235597,0.49,0.955,0.615,63.333332,0.64736843,USD,PREPRE,0.95,1629996607,0.0,0.95,0.95,0.95,51,us_market,4,0,0.31679392,GRUPO LALA SAB DE CV,PNK,0.015,6.701,0.7882286,0.16177142,0.20523414,0.72144926,0.22855073,2367019776,0.14176989,15,America/New_York,EDT,-14400000,False,False,0.92,,,0.955,0.49,0.7882,0.7214,7.24k,1k,2.48B,,545.74M,75.30%,4.15%,,,,,,0.03,3.91%,0.62,64.74%,,198.45%,,"May 23, 2021",,,"Dec 30, 2020","Mar 30, 2021",0.92%,4.85%,3.27%,3.82%,81.47B,34.00,3.30%,27.5B,7.26B,745.3M,0.0150,100.80%,4.54B,1.83,32.23B,194.28,1.00,6.70,7.6B,2.15B,Value,01219,Consumer Defensive,39952,"Grupo Lala, S.A.B. de C.V. produces, transports, and markets flavored milk and beverages in Mexico. The company offers drinks, creams, milks, butter and margarine, chesses, smoothies yogurts, drinkable yogurts, deserts, gelatins, hams, sausages, mayonnaise, ice creams, and other products. It serves customers under the Lala, Nutrileche, Nutrideli, Nutrilety, Vigor, Borden, Promised Land, Eskimo, La Perfecta, Faixa Azul, Amelia, Danubio, Mesa, Fong, Serrabella, LecoYomi, Chiquitin, Soy Vita, Aquafrut, Plenia, Chambourcy, Fiorelo, Mileche, Boreal, Frusion, Nordica, Skim Plus, Monarca, Los Volcanes, Yome Lala, Queen, Promise Land, Reino Jong, and Le Chef brand names. The company was founded in 1949 and is based in Mexico City, Mexico.",Mexico City,DF,Mexico,http://www.lala.com.mx,86400,Avenida Javier Barros Sierra 495,Packaged Foods,"6th Floor Park Plaza 3 Colonia Zedec Santa Fe, Ãlvaro ObregÃ³n"
