Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,inventory,accountsPayable,changeToLiabilities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToInventory,changeToAccountReceivables,changeToNetincome,totalCashFromFinancingActivities,issuanceOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,ask,bid,regularMarketPreviousClose,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,trailingPE,currency,marketState,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,market,priceHint,exchangeDataDelayedBy,twoHundredDayAverageChangePercent,shortName,exchange,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,address2
t0,DEWM,-1018583,2441659904,,,25401,,25401,249271,165734,-83537,-83537,,-19380,,,,0,234468,318005,68734,108938,,25401,25401,4354763,1291766,-1018583,212828,323183,2759546,9332,-8132892,22570,1291766,21182,302001,209546,60553,188407,33452.0,9450.0,-17333.0,-17333.0,1888.0,23175.0,-117868.0,-9317.0,,,-989765,en-US,US,EQUITY,False,Delayed Quote,0.0,6.0E-4 - 6.0E-4,0.0,0.0,0.0006,0,0,finmb_117583379,Other OTC,"Dewmar International BMC, Inc.",USD,9438289,8923808,0.0003,1.0,3.0E-4 - 0.0035,-0.0029000002,-0.82857144,0.0003,0.0035,0.6,USD,REGULAR,0.0006,1630435772,0.0,0.0008,0.0006,0.0006,2931797,us_market,4,0,-0.5053988,DEWMAR INTL BMC INC,PNK,0.001,0.001,0.0010277778,-0.00042777776,-0.4162162,0.0012130986,-0.0006130986,1464996,0.6,15,America/New_York,EDT,-14400000,False,False,-0.09,,,0.0035,0.0003,0.001,0.0012,9.44M,8.92M,2.44B,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,250:1,"Apr 18, 2007","Dec 30, 2014","Sep 29, 2014",49.53%,56.93%,74.04%,311.47%,4.13M,0.00,354.10%,3.97M,2.36M,2.05M,0.0010,,22.57k,0,326.96k,,2.58,0.00,2.2M,1.49M,Value,39056,Consumer Defensive,"Dewmar International BMC, Inc. operates as a brand management services company in the United States and internationally. The company specializes in developing or acquiring new products, brands, or companies for launch or distribution in various markets. It manages multiple brands and services, including consumer good categories, and health and wellness industry verticals, as well as offers outsourced sales and marketing services. The company also provides yella, purp, and easta pink flavored relaxation beverage products under the brand name of Lean Slow Motion Potion. Dewmar International BMC, Inc. is headquartered in Clinton, Mississippi.",Clinton,877-747-5326,MS,United States,http://www.dewmarinternational.com,86400,132 East Northside Dr.,Packaged Foods,Suite C
t-1,DEWM,-1162984,2441659904,,,-504787,,-504787,500999,38735,-462264,-462264,,-19042,,,,0,132810,595074,94075,-42523,,-504787,-504787,4290763,1370145,-1162984,341145,257161,2704546,9332,-8158293,39903,1370145,23070,234091,101128,83728,183935,-9200.0,-11771.0,-126166.0,-126166.0,1887.0,-10392.0,-32191.0,423981.0,,,-1136054,en-US,US,EQUITY,False,Delayed Quote,0.0,6.0E-4 - 6.0E-4,0.0,0.0,0.0006,0,0,finmb_117583379,Other OTC,"Dewmar International BMC, Inc.",USD,9438289,8923808,0.0003,1.0,3.0E-4 - 0.0035,-0.0029000002,-0.82857144,0.0003,0.0035,0.6,USD,REGULAR,0.0006,1630435772,0.0,0.0008,0.0006,0.0006,2931797,us_market,4,0,-0.5053988,DEWMAR INTL BMC INC,PNK,0.001,0.001,0.0010277778,-0.00042777776,-0.4162162,0.0012130986,-0.0006130986,1464996,0.6,15,America/New_York,EDT,-14400000,False,False,-0.09,,,0.0035,0.0003,0.001,0.0012,9.44M,8.92M,2.44B,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,250:1,"Apr 18, 2007","Dec 30, 2014","Sep 29, 2014",49.53%,56.93%,74.04%,311.47%,4.13M,0.00,354.10%,3.97M,2.36M,2.05M,0.0010,,22.57k,0,326.96k,,2.58,0.00,2.2M,1.49M,Value,39056,Consumer Defensive,"Dewmar International BMC, Inc. operates as a brand management services company in the United States and internationally. The company specializes in developing or acquiring new products, brands, or companies for launch or distribution in various markets. It manages multiple brands and services, including consumer good categories, and health and wellness industry verticals, as well as offers outsourced sales and marketing services. The company also provides yella, purp, and easta pink flavored relaxation beverage products under the brand name of Lean Slow Motion Potion. Dewmar International BMC, Inc. is headquartered in Clinton, Mississippi.",Clinton,877-747-5326,MS,United States,http://www.dewmarinternational.com,86400,132 East Northside Dr.,Packaged Foods,Suite C
t-2,DEWM,-1058697,2441659904,,,-848652,,-848652,613308,68107,-545201,-545201,,-47305,,,,0,112424,657625,44317,-303451,,-848652,-848652,3945263,1339557,-1058697,317665,330860,2649546,9333,-7653506,166069,1339557,24957,305903,57165,73336,197093,4855.0,347.0,158838.0,-144782.0,1888.0,-38192.0,-37896.0,729685.0,303620.0,303620.0,-1033654,en-US,US,EQUITY,False,Delayed Quote,0.0,6.0E-4 - 6.0E-4,0.0,0.0,0.0006,0,0,finmb_117583379,Other OTC,"Dewmar International BMC, Inc.",USD,9438289,8923808,0.0003,1.0,3.0E-4 - 0.0035,-0.0029000002,-0.82857144,0.0003,0.0035,0.6,USD,REGULAR,0.0006,1630435772,0.0,0.0008,0.0006,0.0006,2931797,us_market,4,0,-0.5053988,DEWMAR INTL BMC INC,PNK,0.001,0.001,0.0010277778,-0.00042777776,-0.4162162,0.0012130986,-0.0006130986,1464996,0.6,15,America/New_York,EDT,-14400000,False,False,-0.09,,,0.0035,0.0003,0.001,0.0012,9.44M,8.92M,2.44B,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,250:1,"Apr 18, 2007","Dec 30, 2014","Sep 29, 2014",49.53%,56.93%,74.04%,311.47%,4.13M,0.00,354.10%,3.97M,2.36M,2.05M,0.0010,,22.57k,0,326.96k,,2.58,0.00,2.2M,1.49M,Value,39056,Consumer Defensive,"Dewmar International BMC, Inc. operates as a brand management services company in the United States and internationally. The company specializes in developing or acquiring new products, brands, or companies for launch or distribution in various markets. It manages multiple brands and services, including consumer good categories, and health and wellness industry verticals, as well as offers outsourced sales and marketing services. The company also provides yella, purp, and easta pink flavored relaxation beverage products under the brand name of Lean Slow Motion Potion. Dewmar International BMC, Inc. is headquartered in Clinton, Mississippi.",Clinton,877-747-5326,MS,United States,http://www.dewmarinternational.com,86400,132 East Northside Dr.,Packaged Foods,Suite C
t-3,DEWM,-1047866,2441659904,,,-340300,,-340300,256128,37229,-218899,-218899,,-70827,,,,0,51638,270537,14409,-121401,,-340300,-340300,4468144,1105718,-1047866,77034,107852,787684,9332,-6303694,11949,1105718,28732,79120,38383,9446,19405,34440.0,-12363.0,-58813.0,-58813.0,1888.0,11743.0,14336.0,166550.0,303620.0,303620.0,-1026598,en-US,US,EQUITY,False,Delayed Quote,0.0,6.0E-4 - 6.0E-4,0.0,0.0,0.0006,0,0,finmb_117583379,Other OTC,"Dewmar International BMC, Inc.",USD,9438289,8923808,0.0003,1.0,3.0E-4 - 0.0035,-0.0029000002,-0.82857144,0.0003,0.0035,0.6,USD,REGULAR,0.0006,1630435772,0.0,0.0008,0.0006,0.0006,2931797,us_market,4,0,-0.5053988,DEWMAR INTL BMC INC,PNK,0.001,0.001,0.0010277778,-0.00042777776,-0.4162162,0.0012130986,-0.0006130986,1464996,0.6,15,America/New_York,EDT,-14400000,False,False,-0.09,,,0.0035,0.0003,0.001,0.0012,9.44M,8.92M,2.44B,,,0.00%,0.00%,,,,,,,,,,,0.00%,,,250:1,"Apr 18, 2007","Dec 30, 2014","Sep 29, 2014",49.53%,56.93%,74.04%,311.47%,4.13M,0.00,354.10%,3.97M,2.36M,2.05M,0.0010,,22.57k,0,326.96k,,2.58,0.00,2.2M,1.49M,Value,39056,Consumer Defensive,"Dewmar International BMC, Inc. operates as a brand management services company in the United States and internationally. The company specializes in developing or acquiring new products, brands, or companies for launch or distribution in various markets. It manages multiple brands and services, including consumer good categories, and health and wellness industry verticals, as well as offers outsourced sales and marketing services. The company also provides yella, purp, and easta pink flavored relaxation beverage products under the brand name of Lean Slow Motion Potion. Dewmar International BMC, Inc. is headquartered in Clinton, Mississippi.",Clinton,877-747-5326,MS,United States,http://www.dewmarinternational.com,86400,132 East Northside Dr.,Packaged Foods,Suite C
