Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,shortLongTermDebt,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,priceHint,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,shortName,marketState,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,dividendDate,fiftyTwoWeekLow,fiftyTwoWeekHigh,trailingAnnualDividendRate,trailingAnnualDividendYield,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry,address2
t0,DNTUF,-63386000000.0,281712992,,,20023000000,64803000000,4885000000,186125000000,222478000000,35895000000,35895000000,458000000,-11024000000,,,,12994000000,248850000000,212955000000,26372000000,-15872000000,,7029000000,4885000000,213862000000.0,76124000000.0,2488782000000.0,786354000000.0,381738000000.0,3339939000000.0,74609000000.0,83750000000.0,598779000000.0,305805000000.0,635878000000.0,36842000000.0,56872000000.0,446051000000.0,1672730000000.0,56867000000.0,71437000000.0,271308000000.0,1829261000000.0,332758000000.0,12882000000.0,1267426000000.0,510247000000.0,19152000000.0,1185747000000.0,,693000000,-99567000000,-7130000000,8410000000,-8863000000,-31888000000,-84641000000,-3000000,17778000000,-86425000000,19924000000,-431000000,-6681000000,690000000,67318000000,-10589000000,-62926000000,-5529000000,156531000000.0,en-US,US,EQUITY,False,Delayed Quote,USD,2,PNK,35.68,1629381315,0.0,35.72,35.68,35.68,95000,0,DENTSU GROUP INC,REGULAR,us_market,0.0,35.68 - 35.68,35.68,0.0,0.0,0,0,finmb_883194,Other OTC,Dentsu Group Inc.,JPY,801,0,8.860001,0.33035052,26.82 - 38.35,-2.6699982,-0.06962186,1504224000,26.82,38.35,71.25,1.996917,-0.010751403,33.896515,1.7834854,0.052615598,-5.468,2795.165,36.06778,-0.38777924,10195846144,0.012764899,15,America/New_York,EDT,-14400000,False,False,1.1,,,38.35,26.82,36.07,33.9,801,,281.71M,,198.32M,23.31%,43.29%,,,,,,0.67,1.91%,71.25,199.69%,,,"Aug 31, 2017","Dec 29, 2020",100:1,"Jan 04, 2009","Dec 30, 2020","Mar 30, 2021",-18.18%,10.02%,1.73%,-18.42%,935.36B,3328.17,-1.50%,835.04B,177.71B,-170.07B,-5.47,-68.20%,458.93B,1631.32,615.49B,72.31,1.09,2795.17,117.33B,266.65B,Value,105-7050,Communication Services,64533,1,1,"Dentsu Group Inc. operates in the advertising business in Japan and internationally. The company offers advertising services, including newspapers, magazines, radio, television, internet, sales promotions, movies, outdoors, transportation, and other advertising operations and advertising expressions. It is also involved in the consulting, development, and operation of information systems; sale of various software products; and provision of marketing and comprehensive network services. In addition, the company leases office buildings; and buys and sells real estate properties, as well as offers building and commission calculation services. Dentsu Group Inc. was founded in 1901 and is headquartered in Tokyo, Japan.",Tokyo,81 3 6217 6600,5,1577750400,1622505600,2,Japan,http://www.group.dentsu.com,86400,2,"1-8-1, Higashi-Shimbashi",Advertising Agencies,Minato-ku
t-1,DNTUF,-43681000000.0,281712992,1952000000.0,,-166199000000,63483000000,-169882000000,104343000000,233115000000,36067000000,36067000000,4855000000,-4673000000,,,,1630000000,262881000000,226814000000,29766000000,-202266000000,,-167829000000,-169882000000,207182000000.0,75596000000.0,2560059000000.0,756870000000.0,442793000000.0,3380412000000.0,74609000000.0,64744000000.0,599466000000.0,208590000000.0,593369000000.0,7199000000.0,54629000000.0,530692000000.0,1759071000000.0,54624000000.0,41791000000.0,280196000000.0,1924816000000.0,320220000000.0,12162000000.0,1293370000000.0,512273000000.0,23848000000.0,1247172000000.0,,190417000000,229079000000,177715000000,-46025000000,-81177000000,82891000000,242226000000,-2000000,-729000000,146415000000,22096000000,373000000,-6681000000,1778000000,-144609000000,-8642000000,106599000000,-5937000000,165745000000.0,en-US,US,EQUITY,False,Delayed Quote,USD,2,PNK,35.68,1629381315,0.0,35.72,35.68,35.68,95000,0,DENTSU GROUP INC,REGULAR,us_market,0.0,35.68 - 35.68,35.68,0.0,0.0,0,0,finmb_883194,Other OTC,Dentsu Group Inc.,JPY,801,0,8.860001,0.33035052,26.82 - 38.35,-2.6699982,-0.06962186,1504224000,26.82,38.35,71.25,1.996917,-0.010751403,33.896515,1.7834854,0.052615598,-5.468,2795.165,36.06778,-0.38777924,10195846144,0.012764899,15,America/New_York,EDT,-14400000,False,False,1.1,,,38.35,26.82,36.07,33.9,801,,281.71M,,198.32M,23.31%,43.29%,,,,,,0.67,1.91%,71.25,199.69%,,,"Aug 31, 2017","Dec 29, 2020",100:1,"Jan 04, 2009","Dec 30, 2020","Mar 30, 2021",-18.18%,10.02%,1.73%,-18.42%,935.36B,3328.17,-1.50%,835.04B,177.71B,-170.07B,-5.47,-68.20%,458.93B,1631.32,615.49B,72.31,1.09,2795.17,117.33B,266.65B,Value,105-7050,Communication Services,64533,1,1,"Dentsu Group Inc. operates in the advertising business in Japan and internationally. The company offers advertising services, including newspapers, magazines, radio, television, internet, sales promotions, movies, outdoors, transportation, and other advertising operations and advertising expressions. It is also involved in the consulting, development, and operation of information systems; sale of various software products; and provision of marketing and comprehensive network services. In addition, the company leases office buildings; and buys and sells real estate properties, as well as offers building and commission calculation services. Dentsu Group Inc. was founded in 1901 and is headquartered in Tokyo, Japan.",Tokyo,81 3 6217 6600,5,1577750400,1622505600,2,Japan,http://www.group.dentsu.com,86400,2,"1-8-1, Higashi-Shimbashi",Advertising Agencies,Minato-ku
t-2,DNTUF,-34980000000.0,281712992,1952000000.0,,-7063000000,56529000000,-5508000000,177062000000,193060000000,13113000000,13113000000,2885000000,-6042000000,,,,-2911000000,217280000000,204167000000,24220000000,-20176000000,,-4152000000,-5508000000,216745000000.0,75032000000.0,2362345000000.0,912370000000.0,362439000000.0,3331244000000.0,74609000000.0,74794000000.0,640780000000.0,327063000000.0,730605000000.0,121949000000.0,94595000000.0,288465000000.0,1518201000000.0,43848000000.0,156541000000.0,286907000000.0,1550669000000.0,451723000000.0,12355000000.0,1149481000000.0,517081000000.0,25574000000.0,1014420000000.0,141342000000.0,-1838000000,-40669000000,-17055000000,-68253000000,-65220000000,4136000000,-134178000000,-1000000,-960000000,-50942000000,21137000000,-208000000,-6681000000,-2272000000,-28916000000,29542000000,17486000000,-5200000000,32468000000.0,en-US,US,EQUITY,False,Delayed Quote,USD,2,PNK,35.68,1629381315,0.0,35.72,35.68,35.68,95000,0,DENTSU GROUP INC,REGULAR,us_market,0.0,35.68 - 35.68,35.68,0.0,0.0,0,0,finmb_883194,Other OTC,Dentsu Group Inc.,JPY,801,0,8.860001,0.33035052,26.82 - 38.35,-2.6699982,-0.06962186,1504224000,26.82,38.35,71.25,1.996917,-0.010751403,33.896515,1.7834854,0.052615598,-5.468,2795.165,36.06778,-0.38777924,10195846144,0.012764899,15,America/New_York,EDT,-14400000,False,False,1.1,,,38.35,26.82,36.07,33.9,801,,281.71M,,198.32M,23.31%,43.29%,,,,,,0.67,1.91%,71.25,199.69%,,,"Aug 31, 2017","Dec 29, 2020",100:1,"Jan 04, 2009","Dec 30, 2020","Mar 30, 2021",-18.18%,10.02%,1.73%,-18.42%,935.36B,3328.17,-1.50%,835.04B,177.71B,-170.07B,-5.47,-68.20%,458.93B,1631.32,615.49B,72.31,1.09,2795.17,117.33B,266.65B,Value,105-7050,Communication Services,64533,1,1,"Dentsu Group Inc. operates in the advertising business in Japan and internationally. The company offers advertising services, including newspapers, magazines, radio, television, internet, sales promotions, movies, outdoors, transportation, and other advertising operations and advertising expressions. It is also involved in the consulting, development, and operation of information systems; sale of various software products; and provision of marketing and comprehensive network services. In addition, the company leases office buildings; and buys and sells real estate properties, as well as offers building and commission calculation services. Dentsu Group Inc. was founded in 1901 and is headquartered in Tokyo, Japan.",Tokyo,81 3 6217 6600,5,1577750400,1622505600,2,Japan,http://www.group.dentsu.com,86400,2,"1-8-1, Higashi-Shimbashi",Advertising Agencies,Minato-ku
t-3,DNTUF,-36165000000.0,281712992,1952000000.0,,2379000000,56728000000,438000000,174351000000,181697000000,4052000000,4052000000,3294000000,-4360000000,,,,851000000,206344000000,202292000000,24647000000,-1673000000,,1528000000,438000000,224767000000.0,74556000000.0,2429515000000.0,909847000000.0,284083000000.0,3396090000000.0,74609000000.0,74816000000.0,661571000000.0,390790000000.0,721245000000.0,99111000000.0,38258000000.0,422644000000.0,1640900000000.0,38253000000.0,133702000000.0,292537000000.0,1646039000000.0,473244000000.0,13097000000.0,1112263000000.0,397825000000.0,23219000000.0,1053829000000.0,,-1307000000,-129700000000,-7981000000,75285000000,61385000000,-1546000000,162882000000,-1000000,1199000000,108279000000,20865000000,-724000000,-6681000000,-2515000000,220425000000,-13900000000,-1630000000,-5123000000,5139000000.0,en-US,US,EQUITY,False,Delayed Quote,USD,2,PNK,35.68,1629381315,0.0,35.72,35.68,35.68,95000,0,DENTSU GROUP INC,REGULAR,us_market,0.0,35.68 - 35.68,35.68,0.0,0.0,0,0,finmb_883194,Other OTC,Dentsu Group Inc.,JPY,801,0,8.860001,0.33035052,26.82 - 38.35,-2.6699982,-0.06962186,1504224000,26.82,38.35,71.25,1.996917,-0.010751403,33.896515,1.7834854,0.052615598,-5.468,2795.165,36.06778,-0.38777924,10195846144,0.012764899,15,America/New_York,EDT,-14400000,False,False,1.1,,,38.35,26.82,36.07,33.9,801,,281.71M,,198.32M,23.31%,43.29%,,,,,,0.67,1.91%,71.25,199.69%,,,"Aug 31, 2017","Dec 29, 2020",100:1,"Jan 04, 2009","Dec 30, 2020","Mar 30, 2021",-18.18%,10.02%,1.73%,-18.42%,935.36B,3328.17,-1.50%,835.04B,177.71B,-170.07B,-5.47,-68.20%,458.93B,1631.32,615.49B,72.31,1.09,2795.17,117.33B,266.65B,Value,105-7050,Communication Services,64533,1,1,"Dentsu Group Inc. operates in the advertising business in Japan and internationally. The company offers advertising services, including newspapers, magazines, radio, television, internet, sales promotions, movies, outdoors, transportation, and other advertising operations and advertising expressions. It is also involved in the consulting, development, and operation of information systems; sale of various software products; and provision of marketing and comprehensive network services. In addition, the company leases office buildings; and buys and sells real estate properties, as well as offers building and commission calculation services. Dentsu Group Inc. was founded in 1901 and is headquartered in Tokyo, Japan.",Tokyo,81 3 6217 6600,5,1577750400,1622505600,2,Japan,http://www.group.dentsu.com,86400,2,"1-8-1, Higashi-Shimbashi",Advertising Agencies,Minato-ku
