Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,netReceivables,accountsPayable,otherCurrentAssets,treasuryStock,otherStockholderEquity,changeToLiabilities,totalCashflowsFromInvestingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,capitalExpenditures,otherCashflowsFromInvestingActivities,changeToNetincome,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,currency,esgPopulated,tradeable,market,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,marketState,shortName,exchange,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,priceHint,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,state,compensationAsOfEpochDate,country,maxAge,address1,industry,address2
t0,IGFFF,-158581000.0,124168000,,,-6011000,,-6011000,396000,-205000,-545000,-545000,,-5402000,,,,0,0,545000,205000,-5466000,,-6011000,-6011000,24800000.0,160516000.0,-158581000.0,132000.0,1935000.0,57951000.0,-241332000.0,169000.0,160516000.0,1431000.0,504000.0,100000.0,55000.0,,,,-108000.0,36000.0,5453000.0,-686000.0,-722000.0,-56000.0,,,,-160012000.0,en-US,US,EQUITY,False,Delayed Quote,0.0,1.0E-4 - 1.0E-4,0.0001,0.0,0.0,0,0,finmb_2220210,Other OTC,Infinito Gold Ltd.,CAD,4,0,0.0,0.0,1.0E-4 - 0.001,-0.00090000004,-0.9,0.0001,0.001,USD,False,False,us_market,0.0001,1628866193,0.0,0.0001,0.0001,0.0001,1,PRE,INFINITO GOLD LIMITED,PNK,-0.155,0,-1.277,0.0001,0.0,0.0,0.00016814814,-6.814814e-05,-0.4052863,12400,-7.8308534e-05,15,America/New_York,EDT,-14400000,4,162.8,,,0.001,0.0001,0.0001,0.0002,4,,124.17M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2014","Dec 30, 2014",0.00%,0.00%,-36.83%,,,,,-180k,-1.66M,-23.88M,-0.1550,,169k,0,159.8M,,0.00,-1.28,-2.38M,-14.38M,Value,V7Y 1B3,,"Infinito Gold Ltd. engages in the acquisition, exploration, and development of gold properties primarily in Costa Rica. It focuses on developing the Crucitas project located in northern Costa Rica. The company was founded in 1981 and is based in Vancouver, Canada. Infinito Gold Ltd. is a subsidiary of Exploram Enterprises Ltd.",Vancouver,BC,1135987200,Canada,86400,700 West Georgia Street,,25th Floor
t-1,IGFFF,-152570000.0,124168000,,,-5555000,,-5555000,267000,0,-246000,-246000,,-5296000,,,,0,0,246000,0,-5309000,,-5555000,-5555000,24800000.0,155050000.0,-152570000.0,273000.0,2480000.0,57951000.0,-235321000.0,855000.0,155050000.0,1433000.0,1047000.0,156000.0,100000.0,,,,-86000.0,156000.0,5339000.0,-167000.0,-323000.0,-21000.0,,,,-154003000.0,en-US,US,EQUITY,False,Delayed Quote,0.0,1.0E-4 - 1.0E-4,0.0001,0.0,0.0,0,0,finmb_2220210,Other OTC,Infinito Gold Ltd.,CAD,4,0,0.0,0.0,1.0E-4 - 0.001,-0.00090000004,-0.9,0.0001,0.001,USD,False,False,us_market,0.0001,1628866193,0.0,0.0001,0.0001,0.0001,1,PRE,INFINITO GOLD LIMITED,PNK,-0.155,0,-1.277,0.0001,0.0,0.0,0.00016814814,-6.814814e-05,-0.4052863,12400,-7.8308534e-05,15,America/New_York,EDT,-14400000,4,162.8,,,0.001,0.0001,0.0001,0.0002,4,,124.17M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2014","Dec 30, 2014",0.00%,0.00%,-36.83%,,,,,-180k,-1.66M,-23.88M,-0.1550,,169k,0,159.8M,,0.00,-1.28,-2.38M,-14.38M,Value,V7Y 1B3,,"Infinito Gold Ltd. engages in the acquisition, exploration, and development of gold properties primarily in Costa Rica. It focuses on developing the Crucitas project located in northern Costa Rica. The company was founded in 1981 and is based in Vancouver, Canada. Infinito Gold Ltd. is a subsidiary of Exploram Enterprises Ltd.",Vancouver,BC,1135987200,Canada,86400,700 West Georgia Street,,25th Floor
t-2,IGFFF,-147015000.0,124168000,,,-5907000,,-5907000,387000,0,-682000,-682000,,-5138000,,,,0,0,682000,0,-5225000,,-5907000,-5907000,23952000.0,149761000.0,-147015000.0,331000.0,2746000.0,57951000.0,-229766000.0,1022000.0,149761000.0,1549000.0,1197000.0,,103000.0,96000.0,848000.0,848000.0,30000.0,1000.0,5172000.0,-409000.0,-410000.0,295000.0,-15000.0,,,-148564000.0,en-US,US,EQUITY,False,Delayed Quote,0.0,1.0E-4 - 1.0E-4,0.0001,0.0,0.0,0,0,finmb_2220210,Other OTC,Infinito Gold Ltd.,CAD,4,0,0.0,0.0,1.0E-4 - 0.001,-0.00090000004,-0.9,0.0001,0.001,USD,False,False,us_market,0.0001,1628866193,0.0,0.0001,0.0001,0.0001,1,PRE,INFINITO GOLD LIMITED,PNK,-0.155,0,-1.277,0.0001,0.0,0.0,0.00016814814,-6.814814e-05,-0.4052863,12400,-7.8308534e-05,15,America/New_York,EDT,-14400000,4,162.8,,,0.001,0.0001,0.0001,0.0002,4,,124.17M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2014","Dec 30, 2014",0.00%,0.00%,-36.83%,,,,,-180k,-1.66M,-23.88M,-0.1550,,169k,0,159.8M,,0.00,-1.28,-2.38M,-14.38M,Value,V7Y 1B3,,"Infinito Gold Ltd. engages in the acquisition, exploration, and development of gold properties primarily in Costa Rica. It focuses on developing the Crucitas project located in northern Costa Rica. The company was founded in 1981 and is based in Vancouver, Canada. Infinito Gold Ltd. is a subsidiary of Exploram Enterprises Ltd.",Vancouver,BC,1135987200,Canada,86400,700 West Georgia Street,,25th Floor
t-3,IGFFF,-141108000.0,124168000,,,-6404000,,-6404000,338000,-65000,-601000,-601000,,-4973000,,,,0,0,601000,65000,-5803000,,-6404000,-6404000,23293000.0,144593000.0,-141108000.0,331000.0,3485000.0,57951000.0,-223859000.0,1431000.0,144593000.0,1941000.0,1544000.0,,49000.0,,1507000.0,1507000.0,-189000.0,339000.0,4915000.0,-585000.0,-924000.0,198000.0,-15000.0,67000.0,556000.0,-143049000.0,en-US,US,EQUITY,False,Delayed Quote,0.0,1.0E-4 - 1.0E-4,0.0001,0.0,0.0,0,0,finmb_2220210,Other OTC,Infinito Gold Ltd.,CAD,4,0,0.0,0.0,1.0E-4 - 0.001,-0.00090000004,-0.9,0.0001,0.001,USD,False,False,us_market,0.0001,1628866193,0.0,0.0001,0.0001,0.0001,1,PRE,INFINITO GOLD LIMITED,PNK,-0.155,0,-1.277,0.0001,0.0,0.0,0.00016814814,-6.814814e-05,-0.4052863,12400,-7.8308534e-05,15,America/New_York,EDT,-14400000,4,162.8,,,0.001,0.0001,0.0001,0.0002,4,,124.17M,,,0.00%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2014","Dec 30, 2014",0.00%,0.00%,-36.83%,,,,,-180k,-1.66M,-23.88M,-0.1550,,169k,0,159.8M,,0.00,-1.28,-2.38M,-14.38M,Value,V7Y 1B3,,"Infinito Gold Ltd. engages in the acquisition, exploration, and development of gold properties primarily in Costa Rica. It focuses on developing the Crucitas project located in northern Costa Rica. The company was founded in 1981 and is based in Vancouver, Canada. Infinito Gold Ltd. is a subsidiary of Exploram Enterprises Ltd.",Vancouver,BC,1135987200,Canada,86400,700 West Georgia Street,,25th Floor
