Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netReceivables,longTermDebt,otherLiab,changeToLiabilities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,marketState,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,shortName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,exchange,priceHint,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jun 14, 2021) 4","Short Ratio (Jun 14, 2021) 4","Short % of Float (Jun 14, 2021) 4","Short % of Shares Outstanding (Jun 14, 2021) 4","Shares Short (prior month May 13, 2021) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,website,maxAge,address1,industry,address2
t0,HX,27052048.0,17486200,,,-8719677,,-11793816,1948689,-5763290,-7739712,-7739712,,-579471,,,,37018,676611,8416323,6439901,-979965,-3037122,-8756694,-11793816,60615047.0,33128942.0,27052048.0,11778085.0,60180990.0,5002.0,7717622.0,-25017254.0,-8550747.0,10609470.0,21901286.0,13128942.0,-4562377.0,72140.0,47899380.0,1600000.0,18280472.0,20000000.0,,0,34770438.0,en-US,US,EQUITY,True,Delayed Quote,1.1111168,1.78 - 1.84,1.8,0.0,0.0,10,8,finmb_539205452,NasdaqGM,Xiaobai Maimai Inc.,USD,112531,116542,0.59000003,0.47967482,1.23 - 3.4,-1.58,-0.46470588,1.23,3.4,1598227200,1608557400,1608557400,1608557400,0.27,-14400000,False,False,USD,PRE,0.15,-4.741,0.86,1.661,1.6126857,0.20731437,0.12855224,1.6841232,0.1358769,0.08068109,31824884,2.1162791,1.0957255,15,America/New_York,EDT,Xiaobai Maimai Inc.,1.82,1630526403,0.0200001,1.8,1.84,1.78,3473,0,NGM,4,us_market,1.14,,,3.4,1.23,1.6127,1.6841,112.53k,116.54k,17.49M,,16.29M,0.00%,2.49%,10.83k,0.11,,0.06%,41.32k,,,0.27,15.00%,,0.00%,"Aug 23, 2020","Jul 31, 2018",1:3,"Aug 23, 2020","Mar 30, 2020","Sep 29, 2020",0.00%,-695.47%,-34.27%,-138.46%,7.63M,0.47,-85.10%,11.44M,-52.38M,-88.22M,-4.7410,,21.9M,1.35,20M,73.93,3.65,1.66,,,Value,100020,Consumer Cyclical,182,"Xiaobai Maimai Inc. operates a social e-commerce platform in China. Its platform collaborates with domestic e-commerce platforms and offers users a range of products on its social e-commerce platform. The company was formerly known as Hexindai Inc. and changed its name to Xiaobai Maimai Inc. in December 2020. Xiaobai Maimai Inc. was founded in 2013 and is headquartered in Beijing, China.",Beijing,86 10 5370 9902,China,http://www.ir.xiaobaimaimai.com/Investor-Home,86400,"Block C, Shimao",Internet Retail,"13th Floor No 92, Jianguo Road Chaoyang District"
t-1,HX,27052048.0,17486200,,,-8719677,,-11793816,1948689,-5763290,-7739712,-7739712,,-579471,,,,37018,676611,8416323,6439901,-979965,-3037122,-8756694,-11793816,60615047.0,33128942.0,27052048.0,11778085.0,60180990.0,5002.0,7717622.0,-25017254.0,-8550747.0,10609470.0,21901286.0,13128942.0,-4562377.0,72140.0,47899380.0,1600000.0,18280472.0,20000000.0,,0,34770438.0,en-US,US,EQUITY,True,Delayed Quote,1.1111168,1.78 - 1.84,1.8,0.0,0.0,10,8,finmb_539205452,NasdaqGM,Xiaobai Maimai Inc.,USD,112531,116542,0.59000003,0.47967482,1.23 - 3.4,-1.58,-0.46470588,1.23,3.4,1598227200,1608557400,1608557400,1608557400,0.27,-14400000,False,False,USD,PRE,0.15,-4.741,0.86,1.661,1.6126857,0.20731437,0.12855224,1.6841232,0.1358769,0.08068109,31824884,2.1162791,1.0957255,15,America/New_York,EDT,Xiaobai Maimai Inc.,1.82,1630526403,0.0200001,1.8,1.84,1.78,3473,0,NGM,4,us_market,1.14,,,3.4,1.23,1.6127,1.6841,112.53k,116.54k,17.49M,,16.29M,0.00%,2.49%,10.83k,0.11,,0.06%,41.32k,,,0.27,15.00%,,0.00%,"Aug 23, 2020","Jul 31, 2018",1:3,"Aug 23, 2020","Mar 30, 2020","Sep 29, 2020",0.00%,-695.47%,-34.27%,-138.46%,7.63M,0.47,-85.10%,11.44M,-52.38M,-88.22M,-4.7410,,21.9M,1.35,20M,73.93,3.65,1.66,,,Value,100020,Consumer Cyclical,182,"Xiaobai Maimai Inc. operates a social e-commerce platform in China. Its platform collaborates with domestic e-commerce platforms and offers users a range of products on its social e-commerce platform. The company was formerly known as Hexindai Inc. and changed its name to Xiaobai Maimai Inc. in December 2020. Xiaobai Maimai Inc. was founded in 2013 and is headquartered in Beijing, China.",Beijing,86 10 5370 9902,China,http://www.ir.xiaobaimaimai.com/Investor-Home,86400,"Block C, Shimao",Internet Retail,"13th Floor No 92, Jianguo Road Chaoyang District"
t-2,HX,48100889.0,17486200,,,-25467494,,-26819959,11019278,986615,-10055053,-10055053,,-619302,,,,1352464,986615,11041668,0,-15412442,-3037122,-26819959,-26819959,60559583.0,30281587.0,48100889.0,1606749.0,78382476.0,4999.0,1172250.0,-1429623.0,-11034070.0,25216684.0,10925208.0,10171860.0,-7045700.0,1641306.0,49924486.0,1600000.0,37827028.0,20000000.0,96228.0,0,39752626.0,en-US,US,EQUITY,True,Delayed Quote,1.1111168,1.78 - 1.84,1.8,0.0,0.0,10,8,finmb_539205452,NasdaqGM,Xiaobai Maimai Inc.,USD,112531,116542,0.59000003,0.47967482,1.23 - 3.4,-1.58,-0.46470588,1.23,3.4,1598227200,1608557400,1608557400,1608557400,0.27,-14400000,False,False,USD,PRE,0.15,-4.741,0.86,1.661,1.6126857,0.20731437,0.12855224,1.6841232,0.1358769,0.08068109,31824884,2.1162791,1.0957255,15,America/New_York,EDT,Xiaobai Maimai Inc.,1.82,1630526403,0.0200001,1.8,1.84,1.78,3473,0,NGM,4,us_market,1.14,,,3.4,1.23,1.6127,1.6841,112.53k,116.54k,17.49M,,16.29M,0.00%,2.49%,10.83k,0.11,,0.06%,41.32k,,,0.27,15.00%,,0.00%,"Aug 23, 2020","Jul 31, 2018",1:3,"Aug 23, 2020","Mar 30, 2020","Sep 29, 2020",0.00%,-695.47%,-34.27%,-138.46%,7.63M,0.47,-85.10%,11.44M,-52.38M,-88.22M,-4.7410,,21.9M,1.35,20M,73.93,3.65,1.66,,,Value,100020,Consumer Cyclical,182,"Xiaobai Maimai Inc. operates a social e-commerce platform in China. Its platform collaborates with domestic e-commerce platforms and offers users a range of products on its social e-commerce platform. The company was formerly known as Hexindai Inc. and changed its name to Xiaobai Maimai Inc. in December 2020. Xiaobai Maimai Inc. was founded in 2013 and is headquartered in Beijing, China.",Beijing,86 10 5370 9902,China,http://www.ir.xiaobaimaimai.com/Investor-Home,86400,"Block C, Shimao",Internet Retail,"13th Floor No 92, Jianguo Road Chaoyang District"
t-3,HX,48100889.0,17486200,,,-25467494,,-26819959,11019278,986615,-10055053,-10055053,,-619302,,,,1352464,986615,11041668,0,-15412442,-3037122,-26819959,-26819959,60559583.0,30281587.0,48100889.0,1606749.0,78382476.0,4999.0,1172250.0,-1429623.0,-11034070.0,25216684.0,10925208.0,10171860.0,-7045700.0,1641306.0,49924486.0,1600000.0,37827028.0,20000000.0,96228.0,0,39752626.0,en-US,US,EQUITY,True,Delayed Quote,1.1111168,1.78 - 1.84,1.8,0.0,0.0,10,8,finmb_539205452,NasdaqGM,Xiaobai Maimai Inc.,USD,112531,116542,0.59000003,0.47967482,1.23 - 3.4,-1.58,-0.46470588,1.23,3.4,1598227200,1608557400,1608557400,1608557400,0.27,-14400000,False,False,USD,PRE,0.15,-4.741,0.86,1.661,1.6126857,0.20731437,0.12855224,1.6841232,0.1358769,0.08068109,31824884,2.1162791,1.0957255,15,America/New_York,EDT,Xiaobai Maimai Inc.,1.82,1630526403,0.0200001,1.8,1.84,1.78,3473,0,NGM,4,us_market,1.14,,,3.4,1.23,1.6127,1.6841,112.53k,116.54k,17.49M,,16.29M,0.00%,2.49%,10.83k,0.11,,0.06%,41.32k,,,0.27,15.00%,,0.00%,"Aug 23, 2020","Jul 31, 2018",1:3,"Aug 23, 2020","Mar 30, 2020","Sep 29, 2020",0.00%,-695.47%,-34.27%,-138.46%,7.63M,0.47,-85.10%,11.44M,-52.38M,-88.22M,-4.7410,,21.9M,1.35,20M,73.93,3.65,1.66,,,Value,100020,Consumer Cyclical,182,"Xiaobai Maimai Inc. operates a social e-commerce platform in China. Its platform collaborates with domestic e-commerce platforms and offers users a range of products on its social e-commerce platform. The company was formerly known as Hexindai Inc. and changed its name to Xiaobai Maimai Inc. in December 2020. Xiaobai Maimai Inc. was founded in 2013 and is headquartered in Beijing, China.",Beijing,86 10 5370 9902,China,http://www.ir.xiaobaimaimai.com/Investor-Home,86400,"Block C, Shimao",Internet Retail,"13th Floor No 92, Jianguo Road Chaoyang District"
