Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,goodWill,cash,totalCurrentLiabilities,totalCurrentAssets,accountsPayable,longTermDebt,propertyPlantEquipment,shortTermInvestments,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,otherCashflowsFromInvestingActivities,changeToNetincome,netBorrowings,WC,language,region,quoteType,triggerable,quoteSourceName,exchange,currency,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,marketState,market,shortName,exchangeDataDelayedBy,esgPopulated,tradeable,priceHint,regularMarketChangePercent,regularMarketDayRange,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,maxAge,address1,industry,address2
t0,CYAP,-864342.0,171792992,,,-87449,,-87449,87449,0,-87449,-87449,,,,,,0,0,87449,0,0,,-87449,-87449,716420.0,9895006.0,910774.0,816659.0,10000.0,1727433.0,34320.0,-9112667.0,964581.0,35780.0,910774.0,46432.0,113732.0,,,,-49240.0,499164.0,22264.0,-425814.0,22264.0,-41075.0,-562502.0,499164.0,1.0,,-864342.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.0067,1630439642,0.0005999999,0.0056,0.0074,0.0049,642394,0.00535,0.0,0.0,0,0,finmb_12721895,Other OTC,Cyber Apps World Inc.,USD,3248378,1806383,0.0017999997,0.36734688,0.0049 - 0.374,-0.3673,-0.9820855,0.0049,0.374,1550534400,REGULAR,us_market,CYBER APPS WORLD INC,0,False,False,4,9.836064,0.0049 - 0.0074,-0.002,0.005,0.0065833335,0.00011666631,0.017721465,0.07766667,-0.07096667,-0.9137339,1151013,1.34,15,America/New_York,EDT,-14400000,1.53,,,0.374,0.0049,0.0066,0.0777,3.25M,1.81M,171.79M,,79.82M,54.82%,0.00%,,,,,,,,,,,0.00%,"Feb 18, 2019",,4:1,"Feb 09, 2020","Jul 30, 2020","Apr 29, 2021",0.00%,0.00%,-14.65%,-39.16%,,,,,,-365.51k,-0.0020,,35.78k,0,787.04k,96.37,0.05,0.00,-342.41k,-542.02k,Value,89134,Communication Services,"Cyber Apps World Inc. operates a price comparison Website. The company's savinstultra.com Website consists of a search engine that users may access in order to compare the prices of different consumer products in various product categories, such as electronics, computers, cellular phones, office equipment, clothing, books, toys, and jewelry. The company was formerly known as Clean Enviro Tech Corp. and changed its name to Cyber Apps World Inc. in April 2015. Cyber Apps World Inc. was incorporated in 2002 and is based in Las Vegas, Nevada.",Las Vegas,702 805 0632,NV,1609372800,United States,86400,9436 West Lake Mead Boulevard,Internet Content & Information,Suite 5-53
t-1,CYAP,-799158.0,171792992,,,102420,,102420,-102420,0,102420,102420,,,,,,0,0,-102420,0,0,,102420,102420,716420.0,9872742.0,886665.0,881843.0,10000.0,1768508.0,34320.0,-9025219.0,964581.0,76855.0,781586.0,87507.0,155472.0,105079.0,,,36234.0,-300000.0,-1862.0,426146.0,110000.0,58098.0,359960.0,499164.0,1.0,-111862.0,-694079.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.0067,1630439642,0.0005999999,0.0056,0.0074,0.0049,642394,0.00535,0.0,0.0,0,0,finmb_12721895,Other OTC,Cyber Apps World Inc.,USD,3248378,1806383,0.0017999997,0.36734688,0.0049 - 0.374,-0.3673,-0.9820855,0.0049,0.374,1550534400,REGULAR,us_market,CYBER APPS WORLD INC,0,False,False,4,9.836064,0.0049 - 0.0074,-0.002,0.005,0.0065833335,0.00011666631,0.017721465,0.07766667,-0.07096667,-0.9137339,1151013,1.34,15,America/New_York,EDT,-14400000,1.53,,,0.374,0.0049,0.0066,0.0777,3.25M,1.81M,171.79M,,79.82M,54.82%,0.00%,,,,,,,,,,,0.00%,"Feb 18, 2019",,4:1,"Feb 09, 2020","Jul 30, 2020","Apr 29, 2021",0.00%,0.00%,-14.65%,-39.16%,,,,,,-365.51k,-0.0020,,35.78k,0,787.04k,96.37,0.05,0.00,-342.41k,-542.02k,Value,89134,Communication Services,"Cyber Apps World Inc. operates a price comparison Website. The company's savinstultra.com Website consists of a search engine that users may access in order to compare the prices of different consumer products in various product categories, such as electronics, computers, cellular phones, office equipment, clothing, books, toys, and jewelry. The company was formerly known as Clean Enviro Tech Corp. and changed its name to Cyber Apps World Inc. in April 2015. Cyber Apps World Inc. was incorporated in 2002 and is based in Las Vegas, Nevada.",Las Vegas,702 805 0632,NV,1609372800,United States,86400,9436 West Lake Mead Boulevard,Internet Content & Information,Suite 5-53
t-2,CYAP,874263.0,171792992,,,-59878,,-59878,59878,0,-59878,-59878,,,,,,0,0,59878,0,0,,-59878,-59878,,9772742.0,526147.0,874263.0,,1400410.0,24320.0,-8922799.0,,18757.0,526147.0,19409.0,118905.0,,1381001.0,652.0,-7236.0,-4401.0,90157.0,426146.0,110000.0,18642.0,-67114.0,499164.0,1.0,90157.0,-506738.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.0067,1630439642,0.0005999999,0.0056,0.0074,0.0049,642394,0.00535,0.0,0.0,0,0,finmb_12721895,Other OTC,Cyber Apps World Inc.,USD,3248378,1806383,0.0017999997,0.36734688,0.0049 - 0.374,-0.3673,-0.9820855,0.0049,0.374,1550534400,REGULAR,us_market,CYBER APPS WORLD INC,0,False,False,4,9.836064,0.0049 - 0.0074,-0.002,0.005,0.0065833335,0.00011666631,0.017721465,0.07766667,-0.07096667,-0.9137339,1151013,1.34,15,America/New_York,EDT,-14400000,1.53,,,0.374,0.0049,0.0066,0.0777,3.25M,1.81M,171.79M,,79.82M,54.82%,0.00%,,,,,,,,,,,0.00%,"Feb 18, 2019",,4:1,"Feb 09, 2020","Jul 30, 2020","Apr 29, 2021",0.00%,0.00%,-14.65%,-39.16%,,,,,,-365.51k,-0.0020,,35.78k,0,787.04k,96.37,0.05,0.00,-342.41k,-542.02k,Value,89134,Communication Services,"Cyber Apps World Inc. operates a price comparison Website. The company's savinstultra.com Website consists of a search engine that users may access in order to compare the prices of different consumer products in various product categories, such as electronics, computers, cellular phones, office equipment, clothing, books, toys, and jewelry. The company was formerly known as Clean Enviro Tech Corp. and changed its name to Cyber Apps World Inc. in April 2015. Cyber Apps World Inc. was incorporated in 2002 and is based in Las Vegas, Nevada.",Las Vegas,702 805 0632,NV,1609372800,United States,86400,9436 West Lake Mead Boulevard,Internet Content & Information,Suite 5-53
t-3,CYAP,-442409.0,171792992,,,-115768,,-115768,115768,0,-115768,-115768,,,,,,0,0,115768,0,0,,-115768,-115768,412019.0,9772742.0,443509.0,934191.0,,1377700.0,24320.0,-8862871.0,964581.0,115.0,443509.0,1100.0,65291.0,,,985.0,8261.0,-4040.0,94535.0,17038.0,110000.0,25.0,-90470.0,499164.0,-1.0,94535.0,-442409.0,en-US,US,EQUITY,False,Delayed Quote,PNK,USD,0.0067,1630439642,0.0005999999,0.0056,0.0074,0.0049,642394,0.00535,0.0,0.0,0,0,finmb_12721895,Other OTC,Cyber Apps World Inc.,USD,3248378,1806383,0.0017999997,0.36734688,0.0049 - 0.374,-0.3673,-0.9820855,0.0049,0.374,1550534400,REGULAR,us_market,CYBER APPS WORLD INC,0,False,False,4,9.836064,0.0049 - 0.0074,-0.002,0.005,0.0065833335,0.00011666631,0.017721465,0.07766667,-0.07096667,-0.9137339,1151013,1.34,15,America/New_York,EDT,-14400000,1.53,,,0.374,0.0049,0.0066,0.0777,3.25M,1.81M,171.79M,,79.82M,54.82%,0.00%,,,,,,,,,,,0.00%,"Feb 18, 2019",,4:1,"Feb 09, 2020","Jul 30, 2020","Apr 29, 2021",0.00%,0.00%,-14.65%,-39.16%,,,,,,-365.51k,-0.0020,,35.78k,0,787.04k,96.37,0.05,0.00,-342.41k,-542.02k,Value,89134,Communication Services,"Cyber Apps World Inc. operates a price comparison Website. The company's savinstultra.com Website consists of a search engine that users may access in order to compare the prices of different consumer products in various product categories, such as electronics, computers, cellular phones, office equipment, clothing, books, toys, and jewelry. The company was formerly known as Clean Enviro Tech Corp. and changed its name to Cyber Apps World Inc. in April 2015. Cyber Apps World Inc. was incorporated in 2002 and is based in Las Vegas, Nevada.",Las Vegas,702 805 0632,NV,1609372800,United States,86400,9436 West Lake Mead Boulevard,Internet Content & Information,Suite 5-53
