Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,accountsPayable,otherCurrentLiab,shortTermInvestments,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,currency,shortName,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,marketState,exchangeDataDelayedBy,priceHint,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchange,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Feb 26, 2015) 4","Short Ratio (Feb 26, 2015) 4","Short % of Float (Feb 26, 2015) 4","Short % of Shares Outstanding (Feb 26, 2015) 4","Shares Short (prior month Jan 29, 2015) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,HDYNQ,-3987000.0,35572400,,,-12560000,,-12560000,696000,0,-702000,-702000,,,,,,0,0,702000,0,-11858000,,-12560000,-14071000,325355000.0,6712000.0,-3987000.0,2725000.0,175000.0,185000.0,-329517000.0,2030000.0,2454000.0,4682000.0,51000.0,2674000.0,4010000.0,,,-763000,-2473000,6496000,287000,6387000,1863000,-2160000,6000,-75000,-651000,10870000,-6498000,-2008000.0,en-US,US,EQUITY,False,Delayed Quote,USD,HYPERDYNAMICS CORP,-0.86151534,42686,-0.008275863,15,America/New_York,EDT,-14400000,False,False,PRE,0,4,0.0012,1630525311,-0.0018,0.003,0.003,0.0012,12312,PNK,us_market,-59.999996,0.0012 - 0.003,0.003,finmb_406376,Other OTC,Hyperdynamics Corporation,USD,37392,25700,0.0011000001,11.000001,1.0E-4 - 0.15,-0.1488,-0.992,0.0001,0.15,-1.06,-0.145,0.0054085716,-0.0042085713,-0.7781299,0.008665217,-0.0074652173,-0.86,,,0.15,0.0001,0.0054,0.0087,37.39k,25.7k,35.57M,,29.81M,0.00%,0.00%,993.06k,16.21,5.45%,4.72%,1.07M,,,,,,0.00%,,,,,"Jun 29, 2017","Jun 29, 2017",0.00%,0.00%,-107.37%,-723.81%,,,,,-12.32M,-23.04M,-1.0600,,2.45M,0.07,,,0.57,-0.14,-10.33M,-11.22M,Value,77079,Energy,16,"Hyperdynamics Corporation, together with its subsidiaries, operates as an independent oil and gas exploration company. It engages in the acquisition, exploration, and development of oil and natural gas properties in the Republic of Guinea, Northwest Africa. The company owns a 100% interest in a concession that covers an area of approximately 5,000 square miles in offshore Guinea. Hyperdynamics Corporation was founded in 1983 and is headquartered in Houston, Texas.",Houston,713-353-9400,TX,1514678400,United States,http://www.hyperdynamics.com,86400,12012 Wickchester Lane,713-353-9421,Oil & Gas E&P,Suite 475
t-1,HDYNQ,3355000.0,35572400,,,-3387000,,-3387000,3380000,0,-3387000,-3387000,,,,,,0,0,3387000,0,0,,-3387000,-3387000,320142000.0,2374000.0,3355000.0,5729000.0,170000.0,,-316957000.0,205000.0,591000.0,2169000.0,4706000.0,1023000.0,1793000.0,278000.0,110000.0,694000,-1753000,1027000,448000,46000,-1648000,-922000,7000,-75000,-210000,1316000,-1753000,-1146000.0,en-US,US,EQUITY,False,Delayed Quote,USD,HYPERDYNAMICS CORP,-0.86151534,42686,-0.008275863,15,America/New_York,EDT,-14400000,False,False,PRE,0,4,0.0012,1630525311,-0.0018,0.003,0.003,0.0012,12312,PNK,us_market,-59.999996,0.0012 - 0.003,0.003,finmb_406376,Other OTC,Hyperdynamics Corporation,USD,37392,25700,0.0011000001,11.000001,1.0E-4 - 0.15,-0.1488,-0.992,0.0001,0.15,-1.06,-0.145,0.0054085716,-0.0042085713,-0.7781299,0.008665217,-0.0074652173,-0.86,,,0.15,0.0001,0.0054,0.0087,37.39k,25.7k,35.57M,,29.81M,0.00%,0.00%,993.06k,16.21,5.45%,4.72%,1.07M,,,,,,0.00%,,,,,"Jun 29, 2017","Jun 29, 2017",0.00%,0.00%,-107.37%,-723.81%,,,,,-12.32M,-23.04M,-1.0600,,2.45M,0.07,,,0.57,-0.14,-10.33M,-11.22M,Value,77079,Energy,16,"Hyperdynamics Corporation, together with its subsidiaries, operates as an independent oil and gas exploration company. It engages in the acquisition, exploration, and development of oil and natural gas properties in the Republic of Guinea, Northwest Africa. The company owns a 100% interest in a concession that covers an area of approximately 5,000 square miles in offshore Guinea. Hyperdynamics Corporation was founded in 1983 and is headquartered in Houston, Texas.",Houston,713-353-9400,TX,1514678400,United States,http://www.hyperdynamics.com,86400,12012 Wickchester Lane,713-353-9421,Oil & Gas E&P,Suite 475
t-2,HDYNQ,4537000.0,35572400,,,-6723000,,-6723000,4281000,0,-4291000,-4291000,,,,,,0,0,4291000,0,-2432000,,-6723000,-6723000,317938000.0,2783000.0,4537000.0,7320000.0,169000.0,,-313570000.0,,2239000.0,2783000.0,4201000.0,3119000.0,601000.0,1479000.0,235000.0,254000,-674000,1027000,98000,46000,-4471000,-3797000,10000,-75000,-210000,2564000,-674000,336000.0,en-US,US,EQUITY,False,Delayed Quote,USD,HYPERDYNAMICS CORP,-0.86151534,42686,-0.008275863,15,America/New_York,EDT,-14400000,False,False,PRE,0,4,0.0012,1630525311,-0.0018,0.003,0.003,0.0012,12312,PNK,us_market,-59.999996,0.0012 - 0.003,0.003,finmb_406376,Other OTC,Hyperdynamics Corporation,USD,37392,25700,0.0011000001,11.000001,1.0E-4 - 0.15,-0.1488,-0.992,0.0001,0.15,-1.06,-0.145,0.0054085716,-0.0042085713,-0.7781299,0.008665217,-0.0074652173,-0.86,,,0.15,0.0001,0.0054,0.0087,37.39k,25.7k,35.57M,,29.81M,0.00%,0.00%,993.06k,16.21,5.45%,4.72%,1.07M,,,,,,0.00%,,,,,"Jun 29, 2017","Jun 29, 2017",0.00%,0.00%,-107.37%,-723.81%,,,,,-12.32M,-23.04M,-1.0600,,2.45M,0.07,,,0.57,-0.14,-10.33M,-11.22M,Value,77079,Energy,16,"Hyperdynamics Corporation, together with its subsidiaries, operates as an independent oil and gas exploration company. It engages in the acquisition, exploration, and development of oil and natural gas properties in the Republic of Guinea, Northwest Africa. The company owns a 100% interest in a concession that covers an area of approximately 5,000 square miles in offshore Guinea. Hyperdynamics Corporation was founded in 1983 and is headquartered in Houston, Texas.",Houston,713-353-9400,TX,1514678400,United States,http://www.hyperdynamics.com,86400,12012 Wickchester Lane,713-353-9421,Oil & Gas E&P,Suite 475
t-3,HDYNQ,11127000.0,35572400,,,1144000,,1144000,3966000,0,-3991000,-3991000,,,,,,0,0,3991000,0,5135000,,1144000,1144000,317805000.0,1331000.0,11127000.0,12458000.0,169000.0,11000.0,-306847000.0,,6710000.0,1331000.0,4770000.0,7688000.0,355000.0,544000.0,,-522000,-186000,18000,322000,18000,-3617000,-3449000,25000,-75000,-210000,-4418000,-186000,6357000.0,en-US,US,EQUITY,False,Delayed Quote,USD,HYPERDYNAMICS CORP,-0.86151534,42686,-0.008275863,15,America/New_York,EDT,-14400000,False,False,PRE,0,4,0.0012,1630525311,-0.0018,0.003,0.003,0.0012,12312,PNK,us_market,-59.999996,0.0012 - 0.003,0.003,finmb_406376,Other OTC,Hyperdynamics Corporation,USD,37392,25700,0.0011000001,11.000001,1.0E-4 - 0.15,-0.1488,-0.992,0.0001,0.15,-1.06,-0.145,0.0054085716,-0.0042085713,-0.7781299,0.008665217,-0.0074652173,-0.86,,,0.15,0.0001,0.0054,0.0087,37.39k,25.7k,35.57M,,29.81M,0.00%,0.00%,993.06k,16.21,5.45%,4.72%,1.07M,,,,,,0.00%,,,,,"Jun 29, 2017","Jun 29, 2017",0.00%,0.00%,-107.37%,-723.81%,,,,,-12.32M,-23.04M,-1.0600,,2.45M,0.07,,,0.57,-0.14,-10.33M,-11.22M,Value,77079,Energy,16,"Hyperdynamics Corporation, together with its subsidiaries, operates as an independent oil and gas exploration company. It engages in the acquisition, exploration, and development of oil and natural gas properties in the Republic of Guinea, Northwest Africa. The company owns a 100% interest in a concession that covers an area of approximately 5,000 square miles in offshore Guinea. Hyperdynamics Corporation was founded in 1983 and is headquartered in Houston, Texas.",Houston,713-353-9400,TX,1514678400,United States,http://www.hyperdynamics.com,86400,12012 Wickchester Lane,713-353-9421,Oil & Gas E&P,Suite 475
