Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,goodWill,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToNetincome,capitalExpenditures,effectOfExchangeRate,investments,changeToInventory,changeToAccountReceivables,WC,language,region,quoteType,triggerable,quoteSourceName,currency,priceHint,exchange,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,exchangeDataDelayedBy,shortName,marketState,market,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,epsTrailingTwelveMonths,bookValue,fiftyDayAverage,fiftyDayAverageChange,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,compensationRisk,auditRisk,longBusinessSummary,city,phone,shareHolderRightsRisk,compensationAsOfEpochDate,governanceEpochDate,boardRisk,country,website,maxAge,overallRisk,address1,industry,address2
t0,NEF.DE,5606000000.0,767969024,,,464000000,2000000,433000000,114000000,811000000,463000000,463000000,98000000,-13000000,,,,33000000,3022000000,2559000000,2211000000,1000000,,431000000,433000000,433000000.0,4826000000.0,6039000000.0,152000000.0,10867000000.0,40000000.0,137000000.0,6093000000.0,629000000.0,-94000000.0,104000000.0,1281000000.0,2957000000.0,39000000.0,473000000.0,-88000000.0,4892000000.0,5345000000.0,93000000.0,36000000.0,1475000000.0,922000000.0,2416000000.0,2222000000.0,,0.0,-306000000.0,-42000000.0,-349000000.0,75000000.0,-89000000.0,567000000.0,136000000.0,-67000000.0,-307000000.0,-77000000.0,-239000000.0,,,,,2388000000.0,en-US,US,EQUITY,False,Delayed Quote,EUR,2,GER,52.54,1630510542,0.0,51.1,52.54,51.1,277,0,NESTE OYJ,REGULAR,de_market,0.0,51.1 - 52.54,52.54,52.5,53.2,finmb_20582418,XETRA,Neste Oyj,EUR,319,439,10.540001,0.2509524,42.0 - 57.2,-4.66,-0.08146853,42.0,57.2,0.8,45.489178,0.0152264945,0.017569097,51.237606,1.3023949,0.02541873,1.155,7.311,51.63286,0.90714264,40349093888,7.186432,15,Europe/Berlin,CEST,7200000,False,False,0.83,,,57.2,42.0,51.63,51.24,319,439,767.97M,,321.57M,46.22%,29.78%,,,,,,0.8,1.56%,0.80,1.52%,,30.46%,,"Oct 04, 2021",,,"Dec 31, 2020","Jun 30, 2021",10.86%,14.75%,9.84%,19.36%,10.67B,13.91,17.50%,2.39B,1.97B,1.16B,1.15,170.60%,1.32B,1.72,1.82B,30.18,1.81,7.31,2.22B,1.18B,Value,00095,Energy,5137,1,3,"Neste Oyj provides renewable and oil products in Finland and other Nordic countries, Baltic Rim, other European countries, North and South America, and internationally. The company operates in four segments: Renewable Products, Oil Products, Marketing & Services, and Others. The Renewable Products segment produces, markets, and sells renewable diesel, renewable jet fuels and solutions, and renewable solvents, as well as raw material for bioplastics based on its technology to wholesale markets. The Oil Products segment produces, markets, and sells diesel fuel, gasoline, aviation and marine fuels, light and heavy fuel oils, base oils, gasoline components, small engine gasoline, solvents, liquid gases, and bitumen. This segment serves retailers and distributors, oil majors and trading companies, petrochemicals companies, and companies marketing lubricants and solvents. The Marketing & Services segment markets and sells petroleum products and associated services to private motorists, industry, transport companies, farmers, and heating oil customers through a network of 800 service station, as well as direct sales. The Others segment offers engineering and technology solutions. The company also manufactures raw materials for polymers and chemicals materials. The company was formerly known as Neste Oil Oyj and changed its name to Neste Oyj in June 2015. Neste Oyj was founded in 1948 and is headquartered in Espoo, Finland.",Espoo,358 10 45811,8,1609372800,1625097600,2,Finland,http://www.neste.com,86400,2,Keilaranta 21,Oil & Gas Refining & Marketing,PO Box 95
t-1,NEF.DE,5174000000.0,767969024,,,415000000,3000000,375000000,103000000,756000000,456000000,456000000,70000000,-15000000,,,,40000000,3132000000,2676000000,2376000000,-41000000,,375000000,375000000,441000000.0,5039000000.0,5615000000.0,231000000.0,10657000000.0,40000000.0,169000000.0,5665000000.0,597000000.0,-90000000.0,102000000.0,1370000000.0,3178000000.0,37000000.0,493000000.0,-84000000.0,4692000000.0,5329000000.0,93000000.0,27000000.0,1485000000.0,933000000.0,2278000000.0,2338000000.0,,0.0,-492000000.0,461000000.0,461000000.0,-801000000.0,-182000000.0,-153000000.0,127000000.0,-83000000.0,-307000000.0,146000000.0,-163000000.0,2000000.0,,,,2151000000.0,en-US,US,EQUITY,False,Delayed Quote,EUR,2,GER,52.54,1630510542,0.0,51.1,52.54,51.1,277,0,NESTE OYJ,REGULAR,de_market,0.0,51.1 - 52.54,52.54,52.5,53.2,finmb_20582418,XETRA,Neste Oyj,EUR,319,439,10.540001,0.2509524,42.0 - 57.2,-4.66,-0.08146853,42.0,57.2,0.8,45.489178,0.0152264945,0.017569097,51.237606,1.3023949,0.02541873,1.155,7.311,51.63286,0.90714264,40349093888,7.186432,15,Europe/Berlin,CEST,7200000,False,False,0.83,,,57.2,42.0,51.63,51.24,319,439,767.97M,,321.57M,46.22%,29.78%,,,,,,0.8,1.56%,0.80,1.52%,,30.46%,,"Oct 04, 2021",,,"Dec 31, 2020","Jun 30, 2021",10.86%,14.75%,9.84%,19.36%,10.67B,13.91,17.50%,2.39B,1.97B,1.16B,1.15,170.60%,1.32B,1.72,1.82B,30.18,1.81,7.31,2.22B,1.18B,Value,00095,Energy,5137,1,3,"Neste Oyj provides renewable and oil products in Finland and other Nordic countries, Baltic Rim, other European countries, North and South America, and internationally. The company operates in four segments: Renewable Products, Oil Products, Marketing & Services, and Others. The Renewable Products segment produces, markets, and sells renewable diesel, renewable jet fuels and solutions, and renewable solvents, as well as raw material for bioplastics based on its technology to wholesale markets. The Oil Products segment produces, markets, and sells diesel fuel, gasoline, aviation and marine fuels, light and heavy fuel oils, base oils, gasoline components, small engine gasoline, solvents, liquid gases, and bitumen. This segment serves retailers and distributors, oil majors and trading companies, petrochemicals companies, and companies marketing lubricants and solvents. The Marketing & Services segment markets and sells petroleum products and associated services to private motorists, industry, transport companies, farmers, and heating oil customers through a network of 800 service station, as well as direct sales. The Others segment offers engineering and technology solutions. The company also manufactures raw materials for polymers and chemicals materials. The company was formerly known as Neste Oil Oyj and changed its name to Neste Oyj in June 2015. Neste Oyj was founded in 1948 and is headquartered in Espoo, Finland.",Espoo,358 10 45811,8,1609372800,1625097600,2,Finland,http://www.neste.com,86400,2,Keilaranta 21,Oil & Gas Refining & Marketing,PO Box 95
t-2,NEF.DE,5661000000.0,767969024,,,-20000000,4000000,5000000,144000000,532000000,189000000,189000000,67000000,-7000000,,,,-26000000,1634000000,1445000000,1102000000,-209000000,,6000000,5000000,144000000.0,3886000000.0,5925000000.0,660000000.0,9815000000.0,40000000.0,279000000.0,5906000000.0,589000000.0,-21000000.0,100000000.0,1552000000.0,2247000000.0,35000000.0,143000000.0,-14000000.0,4477000000.0,4886000000.0,88000000.0,20000000.0,1206000000.0,761000000.0,1829000000.0,1227000000.0,120000000.0,-99000000.0,-238000000.0,-28000000.0,-458000000.0,412000000.0,608000000.0,1306000000.0,132000000.0,-8000000.0,-430000000.0,297000000.0,-161000000.0,-2000000.0,-35000000.0,-176000000.0,735000000.0,2639000000.0,en-US,US,EQUITY,False,Delayed Quote,EUR,2,GER,52.54,1630510542,0.0,51.1,52.54,51.1,277,0,NESTE OYJ,REGULAR,de_market,0.0,51.1 - 52.54,52.54,52.5,53.2,finmb_20582418,XETRA,Neste Oyj,EUR,319,439,10.540001,0.2509524,42.0 - 57.2,-4.66,-0.08146853,42.0,57.2,0.8,45.489178,0.0152264945,0.017569097,51.237606,1.3023949,0.02541873,1.155,7.311,51.63286,0.90714264,40349093888,7.186432,15,Europe/Berlin,CEST,7200000,False,False,0.83,,,57.2,42.0,51.63,51.24,319,439,767.97M,,321.57M,46.22%,29.78%,,,,,,0.8,1.56%,0.80,1.52%,,30.46%,,"Oct 04, 2021",,,"Dec 31, 2020","Jun 30, 2021",10.86%,14.75%,9.84%,19.36%,10.67B,13.91,17.50%,2.39B,1.97B,1.16B,1.15,170.60%,1.32B,1.72,1.82B,30.18,1.81,7.31,2.22B,1.18B,Value,00095,Energy,5137,1,3,"Neste Oyj provides renewable and oil products in Finland and other Nordic countries, Baltic Rim, other European countries, North and South America, and internationally. The company operates in four segments: Renewable Products, Oil Products, Marketing & Services, and Others. The Renewable Products segment produces, markets, and sells renewable diesel, renewable jet fuels and solutions, and renewable solvents, as well as raw material for bioplastics based on its technology to wholesale markets. The Oil Products segment produces, markets, and sells diesel fuel, gasoline, aviation and marine fuels, light and heavy fuel oils, base oils, gasoline components, small engine gasoline, solvents, liquid gases, and bitumen. This segment serves retailers and distributors, oil majors and trading companies, petrochemicals companies, and companies marketing lubricants and solvents. The Marketing & Services segment markets and sells petroleum products and associated services to private motorists, industry, transport companies, farmers, and heating oil customers through a network of 800 service station, as well as direct sales. The Others segment offers engineering and technology solutions. The company also manufactures raw materials for polymers and chemicals materials. The company was formerly known as Neste Oil Oyj and changed its name to Neste Oyj in June 2015. Neste Oyj was founded in 1948 and is headquartered in Espoo, Finland.",Espoo,358 10 45811,8,1609372800,1625097600,2,Finland,http://www.neste.com,86400,2,Keilaranta 21,Oil & Gas Refining & Marketing,PO Box 95
t-3,NEF.DE,6043000000.0,767969024,,,406000000,4000000,346000000,87000000,752000000,464000000,464000000,74000000,-11000000,,,,60000000,2881000000,2417000000,2129000000,-58000000,,346000000,346000000,268000000.0,3257000000.0,6311000000.0,67000000.0,9572000000.0,40000000.0,187000000.0,6330000000.0,484000000.0,-59000000.0,100000000.0,944000000.0,1717000000.0,34000000.0,125000000.0,-52000000.0,4504000000.0,4658000000.0,42000000.0,35000000.0,1589000000.0,761000000.0,1903000000.0,1430000000.0,,0.0,-182000000.0,-23000000.0,-23000000.0,-17000000.0,294000000.0,497000000.0,127000000.0,13000000.0,-430000000.0,41000000.0,-195000000.0,2000000.0,-35000000.0,-176000000.0,735000000.0,2941000000.0,en-US,US,EQUITY,False,Delayed Quote,EUR,2,GER,52.54,1630510542,0.0,51.1,52.54,51.1,277,0,NESTE OYJ,REGULAR,de_market,0.0,51.1 - 52.54,52.54,52.5,53.2,finmb_20582418,XETRA,Neste Oyj,EUR,319,439,10.540001,0.2509524,42.0 - 57.2,-4.66,-0.08146853,42.0,57.2,0.8,45.489178,0.0152264945,0.017569097,51.237606,1.3023949,0.02541873,1.155,7.311,51.63286,0.90714264,40349093888,7.186432,15,Europe/Berlin,CEST,7200000,False,False,0.83,,,57.2,42.0,51.63,51.24,319,439,767.97M,,321.57M,46.22%,29.78%,,,,,,0.8,1.56%,0.80,1.52%,,30.46%,,"Oct 04, 2021",,,"Dec 31, 2020","Jun 30, 2021",10.86%,14.75%,9.84%,19.36%,10.67B,13.91,17.50%,2.39B,1.97B,1.16B,1.15,170.60%,1.32B,1.72,1.82B,30.18,1.81,7.31,2.22B,1.18B,Value,00095,Energy,5137,1,3,"Neste Oyj provides renewable and oil products in Finland and other Nordic countries, Baltic Rim, other European countries, North and South America, and internationally. The company operates in four segments: Renewable Products, Oil Products, Marketing & Services, and Others. The Renewable Products segment produces, markets, and sells renewable diesel, renewable jet fuels and solutions, and renewable solvents, as well as raw material for bioplastics based on its technology to wholesale markets. The Oil Products segment produces, markets, and sells diesel fuel, gasoline, aviation and marine fuels, light and heavy fuel oils, base oils, gasoline components, small engine gasoline, solvents, liquid gases, and bitumen. This segment serves retailers and distributors, oil majors and trading companies, petrochemicals companies, and companies marketing lubricants and solvents. The Marketing & Services segment markets and sells petroleum products and associated services to private motorists, industry, transport companies, farmers, and heating oil customers through a network of 800 service station, as well as direct sales. The Others segment offers engineering and technology solutions. The company also manufactures raw materials for polymers and chemicals materials. The company was formerly known as Neste Oil Oyj and changed its name to Neste Oyj in June 2015. Neste Oyj was founded in 1948 and is headquartered in Espoo, Finland.",Espoo,358 10 45811,8,1609372800,1625097600,2,Finland,http://www.neste.com,86400,2,Keilaranta 21,Oil & Gas Refining & Marketing,PO Box 95
