Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,cash,totalCurrentLiabilities,totalCurrentAssets,accountsPayable,netReceivables,changeToNetincome,changeToAccountReceivables,changeToLiabilities,totalCashFromOperatingActivities,changeInCash,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,marketState,currency,exchange,shortName,market,priceHint,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,messageBoardId,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,maxAge,address1,industry,address2
t0,ITNF,-758322.0,33718800,,,-10800,,-10800,7708,0,-7708,-7708,,-3092,,,,0,0,7708,0,-3092,,-10800,-10800,1463019.0,758712.0,-758322.0,390.0,33719.0,-2255060.0,390.0,758712.0,390.0,6113.0,,3091.0,3000.0,2825.0,-1884.0,-1884.0,,,,-758322.0,en-US,US,EQUITY,False,Delayed Quote,PRE,USD,PNK,INTERNET INFINITY INC(US),us_market,4,Other OTC,"Internet Infinity, Inc.",USD,27700,12302,0.0050999997,0.84999996,0.006 - 0.3499,-0.3388,-0.9682767,0.006,0.3499,-0.0,0,-0.022,0.059264444,-0.048164442,-0.81270385,0.03085063,-0.01975063,-0.64020187,374278,-0.50454545,15,America/New_York,EDT,-14400000,False,False,0.0,0.0111 - 0.0111,0.0111,finmb_3162308,0.0111,1630439020,0.0,0.02,0.0111,0.0111,3300,-2.69,,,0.3499,0.006,0.0593,0.0309,27.7k,12.3k,33.72M,,,,,,,,,,,4.85%,,,,,,,,,"Mar 30, 2013","Sep 29, 2013",-77.42%,-64.11%,-128.38%,,10.25k,0.00,,13.25k,,-7.93k,-0.0000,,390,0,752.6k,,0.00,-0.02,25.43k,-30.38k,Value,92663,Technology,"As of July 25, 2017, Internet Infinity Inc. operates as a subsidiary of Canyon Create Corp.",Newport Beach,310-493-2244,CA,1388448000,United States,86400,220 Nice Lane,Software—Infrastructure,Suite 108
t-1,ITNF,-747522.0,33718800,,,-5198,,-5198,5406,3500,-1906,-1906,,-3292,,,,0,3500,5406,0,-3292,,-5198,-5198,1463019.0,752796.0,-747522.0,5274.0,33719.0,-2244260.0,2274.0,752796.0,5274.0,3288.0,3000.0,3092.0,-500.0,149.0,-2457.0,-2457.0,,,,-747522.0,en-US,US,EQUITY,False,Delayed Quote,PRE,USD,PNK,INTERNET INFINITY INC(US),us_market,4,Other OTC,"Internet Infinity, Inc.",USD,27700,12302,0.0050999997,0.84999996,0.006 - 0.3499,-0.3388,-0.9682767,0.006,0.3499,-0.0,0,-0.022,0.059264444,-0.048164442,-0.81270385,0.03085063,-0.01975063,-0.64020187,374278,-0.50454545,15,America/New_York,EDT,-14400000,False,False,0.0,0.0111 - 0.0111,0.0111,finmb_3162308,0.0111,1630439020,0.0,0.02,0.0111,0.0111,3300,-2.69,,,0.3499,0.006,0.0593,0.0309,27.7k,12.3k,33.72M,,,,,,,,,,,4.85%,,,,,,,,,"Mar 30, 2013","Sep 29, 2013",-77.42%,-64.11%,-128.38%,,10.25k,0.00,,13.25k,,-7.93k,-0.0000,,390,0,752.6k,,0.00,-0.02,25.43k,-30.38k,Value,92663,Technology,"As of July 25, 2017, Internet Infinity Inc. operates as a subsidiary of Canyon Create Corp.",Newport Beach,310-493-2244,CA,1388448000,United States,86400,220 Nice Lane,Software—Infrastructure,Suite 108
t-2,ITNF,-742324.0,33718800,,,-2621,,-2621,3840,2500,-474,-474,-866.0,-2147,,,,0,2500,2974,0,-2147,,-2621,-2621,1463019.0,749555.0,-742324.0,7231.0,33719.0,-2239062.0,4731.0,749555.0,7231.0,3139.0,2500.0,3092.0,3000.0,-4712.0,-2094.0,3906.0,6000.0,6000.0,2239.0,-742324.0,en-US,US,EQUITY,False,Delayed Quote,PRE,USD,PNK,INTERNET INFINITY INC(US),us_market,4,Other OTC,"Internet Infinity, Inc.",USD,27700,12302,0.0050999997,0.84999996,0.006 - 0.3499,-0.3388,-0.9682767,0.006,0.3499,-0.0,0,-0.022,0.059264444,-0.048164442,-0.81270385,0.03085063,-0.01975063,-0.64020187,374278,-0.50454545,15,America/New_York,EDT,-14400000,False,False,0.0,0.0111 - 0.0111,0.0111,finmb_3162308,0.0111,1630439020,0.0,0.02,0.0111,0.0111,3300,-2.69,,,0.3499,0.006,0.0593,0.0309,27.7k,12.3k,33.72M,,,,,,,,,,,4.85%,,,,,,,,,"Mar 30, 2013","Sep 29, 2013",-77.42%,-64.11%,-128.38%,,10.25k,0.00,,13.25k,,-7.93k,-0.0000,,390,0,752.6k,,0.00,-0.02,25.43k,-30.38k,Value,92663,Technology,"As of July 25, 2017, Internet Infinity Inc. operates as a subsidiary of Canyon Create Corp.",Newport Beach,310-493-2244,CA,1388448000,United States,86400,220 Nice Lane,Software—Infrastructure,Suite 108
t-3,ITNF,-743720.0,33718800,,,-630,,-630,400,4250,3517,3517,333.0,-4147,,,,0,4250,733,0,-4147,,-630,-630,1459743.0,747545.0,-743720.0,3825.0,33719.0,-2237182.0,825.0,747545.0,3825.0,7851.0,3000.0,3092.0,-1250.0,0.0,31862.0,-3433.0,-35295.0,-35295.0,22428.0,-743720.0,en-US,US,EQUITY,False,Delayed Quote,PRE,USD,PNK,INTERNET INFINITY INC(US),us_market,4,Other OTC,"Internet Infinity, Inc.",USD,27700,12302,0.0050999997,0.84999996,0.006 - 0.3499,-0.3388,-0.9682767,0.006,0.3499,-0.0,0,-0.022,0.059264444,-0.048164442,-0.81270385,0.03085063,-0.01975063,-0.64020187,374278,-0.50454545,15,America/New_York,EDT,-14400000,False,False,0.0,0.0111 - 0.0111,0.0111,finmb_3162308,0.0111,1630439020,0.0,0.02,0.0111,0.0111,3300,-2.69,,,0.3499,0.006,0.0593,0.0309,27.7k,12.3k,33.72M,,,,,,,,,,,4.85%,,,,,,,,,"Mar 30, 2013","Sep 29, 2013",-77.42%,-64.11%,-128.38%,,10.25k,0.00,,13.25k,,-7.93k,-0.0000,,390,0,752.6k,,0.00,-0.02,25.43k,-30.38k,Value,92663,Technology,"As of July 25, 2017, Internet Infinity Inc. operates as a subsidiary of Canyon Create Corp.",Newport Beach,310-493-2244,CA,1388448000,United States,86400,220 Nice Lane,Software—Infrastructure,Suite 108
