Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netReceivables,inventory,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToAccountReceivables,changeToNetincome,capitalExpenditures,otherCashflowsFromInvestingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,exchange,currency,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,marketState,market,shortName,exchangeDataDelayedBy,esgPopulated,tradeable,priceHint,regularMarketChangePercent,regularMarketDayRange,epsTrailingTwelveMonths,epsForward,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry
t0,O5H.DE,-5226213.0,38172000,,,-779519,,-795819,1262796,1504777,-524931,-524931,,-262222,,,,16301,1558874,2083805,54097,-254588,,-795819,-795819,4330171.0,11419230.0,9916121.0,-896042.0,812227.0,9020079.0,9692022.0,-1.0,-24612423.0,5583494.0,2605129.0,1210000.0,795250.0,2964271.0,1210000.0,125000.0,2605129.0,1753947.0,1725961.0,865384.0,5010.0,469465.0,0.0,-680175.0,-508742.0,-508742.0,-439444.0,-1739006.0,-550090.0,154209.0,-134900.0,53162.0,-656562.0,,-1238310.0,en-US,US,EQUITY,False,Delayed Quote,GER,EUR,0.0225,1630510534,0.0,0.026,0.026,0.017,11887,0.0225,0.0175,0.022,13500,2000,finmb_52957156,XETRA,OpenLimit Holding AG,EUR,92373,45018,0.017500002,3.5000005,0.005 - 0.218,-0.19549999,-0.89678895,0.005,0.218,REGULAR,de_market,OPENLIMIT HLDG INH. SF-30,0,False,False,4,0.0,0.017 - 0.026,-0.095,0.08,-0.023,0.021928571,0.00057142973,0.026058685,0.03802113,-0.015521128,-0.40822375,858870,0.28125003,-0.97826093,15,Europe/Berlin,CEST,7200000,0.32,,,0.218,0.005,0.0219,0.038,92.37k,45.02k,38.17M,,20.61M,46.48%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 31, 2019","Jun 30, 2020",-55.53%,-40.75%,-17.57%,-394.19%,6.69M,0.17,-35.20%,7.97M,-4.16M,-3.72M,-0.0950,,795.25k,0.02,2.39M,,0.58,-0.02,170.04k,-2.09M,Value,6341,Technology,52,"OpenLimit Holding AG, a software company, provides various secure data communication, eID, and authentication technologies. The company through its technologies enable people and machines to communicate without any restrictions and in a secure, provable, and identifiable manner. It develops basic technologies and products in the various areas, such as secure data communication between machines, electronic identities, electronic signatures, and evidential value-preserving long-term storage of data and documents. The company's solutions form an integral part of products from various manufacturers of IT applications and are used by enterprises, public authorities, institutions, and private households. OpenLimit Holding AG is based in Baar, Switzerland.",Baar,41 41 560 10 20,1388448000,Switzerland,http://www.openlimit.com,86400,Zugerstrasse 74,41 41 560 10 39,Software—Application
t-1,O5H.DE,-5226213.0,38172000,,,-779519,,-795819,1262796,1504777,-524931,-524931,,-262222,,,,16301,1558874,2083805,54097,-254588,,-795819,-795819,4330171.0,11419230.0,9916121.0,-896042.0,812227.0,9020079.0,9692022.0,-1.0,-24612423.0,5583494.0,2605129.0,1210000.0,795250.0,2964271.0,1210000.0,125000.0,2605129.0,1753947.0,1725961.0,865384.0,5010.0,469465.0,0.0,-680175.0,-508742.0,-508742.0,-439444.0,-1739006.0,-550090.0,154209.0,-134900.0,53162.0,-656562.0,,-1238310.0,en-US,US,EQUITY,False,Delayed Quote,GER,EUR,0.0225,1630510534,0.0,0.026,0.026,0.017,11887,0.0225,0.0175,0.022,13500,2000,finmb_52957156,XETRA,OpenLimit Holding AG,EUR,92373,45018,0.017500002,3.5000005,0.005 - 0.218,-0.19549999,-0.89678895,0.005,0.218,REGULAR,de_market,OPENLIMIT HLDG INH. SF-30,0,False,False,4,0.0,0.017 - 0.026,-0.095,0.08,-0.023,0.021928571,0.00057142973,0.026058685,0.03802113,-0.015521128,-0.40822375,858870,0.28125003,-0.97826093,15,Europe/Berlin,CEST,7200000,0.32,,,0.218,0.005,0.0219,0.038,92.37k,45.02k,38.17M,,20.61M,46.48%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 31, 2019","Jun 30, 2020",-55.53%,-40.75%,-17.57%,-394.19%,6.69M,0.17,-35.20%,7.97M,-4.16M,-3.72M,-0.0950,,795.25k,0.02,2.39M,,0.58,-0.02,170.04k,-2.09M,Value,6341,Technology,52,"OpenLimit Holding AG, a software company, provides various secure data communication, eID, and authentication technologies. The company through its technologies enable people and machines to communicate without any restrictions and in a secure, provable, and identifiable manner. It develops basic technologies and products in the various areas, such as secure data communication between machines, electronic identities, electronic signatures, and evidential value-preserving long-term storage of data and documents. The company's solutions form an integral part of products from various manufacturers of IT applications and are used by enterprises, public authorities, institutions, and private households. OpenLimit Holding AG is based in Baar, Switzerland.",Baar,41 41 560 10 20,1388448000,Switzerland,http://www.openlimit.com,86400,Zugerstrasse 74,41 41 560 10 39,Software—Application
t-2,O5H.DE,-3581913.0,38172000,,,-1094721,,-1062616,1749922,1625989,-838790,-838790,-4485.0,-178721,,,,-32105,1787680,2626469,161691,-255931,,-1062616,-1062616,4242454.0,11419230.0,11740673.0,660541.0,1649870.0,12401214.0,9692022.0,,-23020785.0,5605178.0,2570074.0,1210000.0,4273261.0,4556335.0,1210000.0,336906.0,2570074.0,2014588.0,4934172.0,602309.0,3477.0,657654.0,0.0,-463903.0,1952474.0,1952474.0,-403326.0,2123679.0,635108.0,117069.0,1313774.0,67935.0,-3511.0,-1.0,377837.0,en-US,US,EQUITY,False,Delayed Quote,GER,EUR,0.0225,1630510534,0.0,0.026,0.026,0.017,11887,0.0225,0.0175,0.022,13500,2000,finmb_52957156,XETRA,OpenLimit Holding AG,EUR,92373,45018,0.017500002,3.5000005,0.005 - 0.218,-0.19549999,-0.89678895,0.005,0.218,REGULAR,de_market,OPENLIMIT HLDG INH. SF-30,0,False,False,4,0.0,0.017 - 0.026,-0.095,0.08,-0.023,0.021928571,0.00057142973,0.026058685,0.03802113,-0.015521128,-0.40822375,858870,0.28125003,-0.97826093,15,Europe/Berlin,CEST,7200000,0.32,,,0.218,0.005,0.0219,0.038,92.37k,45.02k,38.17M,,20.61M,46.48%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 31, 2019","Jun 30, 2020",-55.53%,-40.75%,-17.57%,-394.19%,6.69M,0.17,-35.20%,7.97M,-4.16M,-3.72M,-0.0950,,795.25k,0.02,2.39M,,0.58,-0.02,170.04k,-2.09M,Value,6341,Technology,52,"OpenLimit Holding AG, a software company, provides various secure data communication, eID, and authentication technologies. The company through its technologies enable people and machines to communicate without any restrictions and in a secure, provable, and identifiable manner. It develops basic technologies and products in the various areas, such as secure data communication between machines, electronic identities, electronic signatures, and evidential value-preserving long-term storage of data and documents. The company's solutions form an integral part of products from various manufacturers of IT applications and are used by enterprises, public authorities, institutions, and private households. OpenLimit Holding AG is based in Baar, Switzerland.",Baar,41 41 560 10 20,1388448000,Switzerland,http://www.openlimit.com,86400,Zugerstrasse 74,41 41 560 10 39,Software—Application
t-3,O5H.DE,-3581913.0,38172000,,,-1094721,,-1062616,1749922,1625989,-838790,-838790,-4485.0,-178721,,,,-32105,1787680,2626469,161691,-255931,,-1062616,-1062616,4242454.0,11419230.0,11740673.0,660541.0,1649870.0,12401214.0,9692022.0,,-23020785.0,5605178.0,2570074.0,1210000.0,4273261.0,4556335.0,1210000.0,336906.0,2570074.0,2014588.0,4934172.0,602309.0,3477.0,657654.0,0.0,-463903.0,1952474.0,1952474.0,-403326.0,2123679.0,635108.0,117069.0,1313774.0,67935.0,-3511.0,-1.0,377837.0,en-US,US,EQUITY,False,Delayed Quote,GER,EUR,0.0225,1630510534,0.0,0.026,0.026,0.017,11887,0.0225,0.0175,0.022,13500,2000,finmb_52957156,XETRA,OpenLimit Holding AG,EUR,92373,45018,0.017500002,3.5000005,0.005 - 0.218,-0.19549999,-0.89678895,0.005,0.218,REGULAR,de_market,OPENLIMIT HLDG INH. SF-30,0,False,False,4,0.0,0.017 - 0.026,-0.095,0.08,-0.023,0.021928571,0.00057142973,0.026058685,0.03802113,-0.015521128,-0.40822375,858870,0.28125003,-0.97826093,15,Europe/Berlin,CEST,7200000,0.32,,,0.218,0.005,0.0219,0.038,92.37k,45.02k,38.17M,,20.61M,46.48%,0.00%,,,,,,,,,,,0.00%,,,,,"Dec 31, 2019","Jun 30, 2020",-55.53%,-40.75%,-17.57%,-394.19%,6.69M,0.17,-35.20%,7.97M,-4.16M,-3.72M,-0.0950,,795.25k,0.02,2.39M,,0.58,-0.02,170.04k,-2.09M,Value,6341,Technology,52,"OpenLimit Holding AG, a software company, provides various secure data communication, eID, and authentication technologies. The company through its technologies enable people and machines to communicate without any restrictions and in a secure, provable, and identifiable manner. It develops basic technologies and products in the various areas, such as secure data communication between machines, electronic identities, electronic signatures, and evidential value-preserving long-term storage of data and documents. The company's solutions form an integral part of products from various manufacturers of IT applications and are used by enterprises, public authorities, institutions, and private households. OpenLimit Holding AG is based in Baar, Switzerland.",Baar,41 41 560 10 20,1388448000,Switzerland,http://www.openlimit.com,86400,Zugerstrasse 74,41 41 560 10 39,Software—Application
