Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,totalLiab,totalStockholderEquity,totalAssets,commonStock,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,totalCurrentAssets,netReceivables,accountsPayable,changeToLiabilities,netBorrowings,totalCashFromFinancingActivities,changeInCash,totalCashFromOperatingActivities,changeToAccountReceivables,changeToNetincome,changeToOperatingActivities,totalCashflowsFromInvestingActivities,repurchaseOfStock,WC,language,region,quoteType,triggerable,quoteSourceName,marketState,currency,exchange,shortName,market,priceHint,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,EVOGF,-380322.0,15722400,,,-33909,,-33909,29164,0,-29164,-29164,,-1884,,,,0,0,29164,0,-4745,,-33909,-33909,401464.0,-380322.0,21142.0,85230416.0,-84849378.0,18678.0,-761360.0,18678.0,1010.0,382786.0,-761360.0,2464.0,1454.0,93259.0,32091.0,170.0,170.0,-47.0,-217.0,-283.0,1884.0,,,,-380322.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,EVOLVING GOLD CORP,us_market,4,Other OTC,Evolving Gold Corp.,CAD,136,144,0.2283,2.283,0.1 - 0.9808,-0.6525,-0.66527325,0.1,0.9808,-0.009,0,-0.023,0.31089443,0.01740557,0.055985466,0.5189261,-0.19062608,-0.36734727,5161664,-14.273913,15,America/New_York,EDT,-14400000,False,False,228.30002,0.3283 - 0.3283,0.1,0.0,0.0,0,0,finmb_11777021,0.3283,1630503009,0.2283,0.3283,0.3283,0.3283,292,-134.36,,,0.9808,0.1,0.3109,0.5189,136,144,15.72M,,22.37M,1.11%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2020","Dec 30, 2020",0.00%,0.00%,-343.27%,,,,,,-162.75k,-168.35k,-0.0090,,1.01k,0,93.28k,,0.01,-0.02,-105.59k,43.16k,Value,V6E 3Z3,,"Evolving Gold Corp., an exploration stage company, engages in the acquisition, exploration, and development of natural resource properties in Canada. The company explores for lithium deposit. Its flagship property is the Lithium Lakes property that covers an area of 72.5 square kilometers in Quebec. The company was formerly known as 6109527 Canada Ltd. and changed its name to Evolving Gold Corp. in September 2003. Evolving Gold Corp. was incorporated in 2003 and is headquartered in Vancouver, Canada.",Vancouver,604-685-6375,BC,1514678400,Canada,http://www.evolvinggold.com,86400,1166 Alberni Street,604-909-1163,,Suite 605
t-1,EVOGF,-346413.0,15722400,,,-53284,,-53284,42971,0,-42971,-42971,,-3825,,,,0,0,42971,0,-10313,,-53284,-53284,368231.0,-346413.0,21818.0,85230416.0,-84815469.0,19590.0,-761360.0,19590.0,1057.0,348641.0,-761360.0,2228.0,1171.0,87418.0,21963.0,23371.0,23371.0,-2478.0,-25849.0,-1171.0,3824.0,2819.0,,,-346413.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,EVOLVING GOLD CORP,us_market,4,Other OTC,Evolving Gold Corp.,CAD,136,144,0.2283,2.283,0.1 - 0.9808,-0.6525,-0.66527325,0.1,0.9808,-0.009,0,-0.023,0.31089443,0.01740557,0.055985466,0.5189261,-0.19062608,-0.36734727,5161664,-14.273913,15,America/New_York,EDT,-14400000,False,False,228.30002,0.3283 - 0.3283,0.1,0.0,0.0,0,0,finmb_11777021,0.3283,1630503009,0.2283,0.3283,0.3283,0.3283,292,-134.36,,,0.9808,0.1,0.3109,0.5189,136,144,15.72M,,22.37M,1.11%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2020","Dec 30, 2020",0.00%,0.00%,-343.27%,,,,,,-162.75k,-168.35k,-0.0090,,1.01k,0,93.28k,,0.01,-0.02,-105.59k,43.16k,Value,V6E 3Z3,,"Evolving Gold Corp., an exploration stage company, engages in the acquisition, exploration, and development of natural resource properties in Canada. The company explores for lithium deposit. Its flagship property is the Lithium Lakes property that covers an area of 72.5 square kilometers in Quebec. The company was formerly known as 6109527 Canada Ltd. and changed its name to Evolving Gold Corp. in September 2003. Evolving Gold Corp. was incorporated in 2003 and is headquartered in Vancouver, Canada.",Vancouver,604-685-6375,BC,1514678400,Canada,http://www.evolvinggold.com,86400,1166 Alberni Street,604-909-1163,,Suite 605
t-2,EVOGF,-293129.0,15722400,,,-45749,,-45749,41369,0,-41369,-41369,,-1479,,,,0,0,41369,0,-4380,,-45749,-45749,319481.0,-293129.0,26352.0,85230416.0,-84762185.0,19998.0,-761360.0,19998.0,3535.0,299483.0,-761360.0,6354.0,,102956.0,36982.0,23371.0,23371.0,-126.0,-126.0,4331.0,1480.0,2830.0,,,-293129.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,EVOLVING GOLD CORP,us_market,4,Other OTC,Evolving Gold Corp.,CAD,136,144,0.2283,2.283,0.1 - 0.9808,-0.6525,-0.66527325,0.1,0.9808,-0.009,0,-0.023,0.31089443,0.01740557,0.055985466,0.5189261,-0.19062608,-0.36734727,5161664,-14.273913,15,America/New_York,EDT,-14400000,False,False,228.30002,0.3283 - 0.3283,0.1,0.0,0.0,0,0,finmb_11777021,0.3283,1630503009,0.2283,0.3283,0.3283,0.3283,292,-134.36,,,0.9808,0.1,0.3109,0.5189,136,144,15.72M,,22.37M,1.11%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2020","Dec 30, 2020",0.00%,0.00%,-343.27%,,,,,,-162.75k,-168.35k,-0.0090,,1.01k,0,93.28k,,0.01,-0.02,-105.59k,43.16k,Value,V6E 3Z3,,"Evolving Gold Corp., an exploration stage company, engages in the acquisition, exploration, and development of natural resource properties in Canada. The company explores for lithium deposit. Its flagship property is the Lithium Lakes property that covers an area of 72.5 square kilometers in Quebec. The company was formerly known as 6109527 Canada Ltd. and changed its name to Evolving Gold Corp. in September 2003. Evolving Gold Corp. was incorporated in 2003 and is headquartered in Vancouver, Canada.",Vancouver,604-685-6375,BC,1514678400,Canada,http://www.evolvinggold.com,86400,1166 Alberni Street,604-909-1163,,Suite 605
t-3,EVOGF,-247380.0,15722400,,,-35407,,-35407,49487,0,-49487,-49487,,-1479,,,,0,0,49487,0,14080,,-35407,-35407,281794.0,-247380.0,34414.0,85230416.0,-84716436.0,20773.0,-761360.0,20773.0,3661.0,261021.0,-761360.0,13641.0,4331.0,103473.0,48305.0,87162.0,74412.0,-1174.0,-79396.0,2888.0,-96609.0,1427.0,3810.0,-12750.0,-247380.0,en-US,US,EQUITY,False,Delayed Quote,REGULAR,USD,PNK,EVOLVING GOLD CORP,us_market,4,Other OTC,Evolving Gold Corp.,CAD,136,144,0.2283,2.283,0.1 - 0.9808,-0.6525,-0.66527325,0.1,0.9808,-0.009,0,-0.023,0.31089443,0.01740557,0.055985466,0.5189261,-0.19062608,-0.36734727,5161664,-14.273913,15,America/New_York,EDT,-14400000,False,False,228.30002,0.3283 - 0.3283,0.1,0.0,0.0,0,0,finmb_11777021,0.3283,1630503009,0.2283,0.3283,0.3283,0.3283,292,-134.36,,,0.9808,0.1,0.3109,0.5189,136,144,15.72M,,22.37M,1.11%,0.00%,,,,,,,,,,,,,,,,"Mar 30, 2020","Dec 30, 2020",0.00%,0.00%,-343.27%,,,,,,-162.75k,-168.35k,-0.0090,,1.01k,0,93.28k,,0.01,-0.02,-105.59k,43.16k,Value,V6E 3Z3,,"Evolving Gold Corp., an exploration stage company, engages in the acquisition, exploration, and development of natural resource properties in Canada. The company explores for lithium deposit. Its flagship property is the Lithium Lakes property that covers an area of 72.5 square kilometers in Quebec. The company was formerly known as 6109527 Canada Ltd. and changed its name to Evolving Gold Corp. in September 2003. Evolving Gold Corp. was incorporated in 2003 and is headquartered in Vancouver, Canada.",Vancouver,604-685-6375,BC,1514678400,Canada,http://www.evolvinggold.com,86400,1166 Alberni Street,604-909-1163,,Suite 605
