Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,retainedEarnings,treasuryStock,otherAssets,cash,totalCurrentLiabilities,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,accountsPayable,otherLiab,deferredLongTermLiab,changeToLiabilities,changeToOperatingActivities,changeInCash,totalCashFromOperatingActivities,depreciation,changeToNetincome,netBorrowings,totalCashFromFinancingActivities,effectOfExchangeRate,totalCashflowsFromInvestingActivities,capitalExpenditures,WC,language,region,quoteType,triggerable,quoteSourceName,marketState,currency,exchange,shortName,market,priceHint,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,exchangeDataDelayedBy,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,messageBoardId,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,address2
t0,ILIM,-2509264.0,1831760000,,,-120093,,-120093,517639,0,-517639,-517639,,-112506,,,,0,0,517639,0,397546,,-120093,-120093,5894421.0,2558800.0,-2509264.0,1059452.0,49536.0,36511.0,-8433946.0,-6250.0,17303.0,73.0,2558800.0,-6250.0,32160.0,73.0,74662.0,,,138128.0,13798.0,-125.0,-125.0,4802.0,-124998.0,,,,,,-2558727.0,en-US,US,EQUITY,False,Delayed Quote,PRE,USD,PNK,IL2M INTERNATIONAL CORP,us_market,4,Other OTC,IL2M International Corp,USD,28180280,22323280,0.0025,25.0,1.0E-4 - 0.0046,-0.002,-0.43478262,0.0001,0.0046,-0.067,0,-0.007,0.00317,-0.0005699999,-0.1798107,0.0016134266,0.0009865734,0.6114771,4762576,-0.37142855,15,America/New_York,EDT,-14400000,False,False,0.0,0.0023 - 0.0028,0.0026,0.0,0.0,0,0,finmb_254776501,0.0026,1630526385,0.0,0.0026,0.0028,0.0023,10122876,19.28,,,0.0046,0.0001,0.0032,0.0016,28.18M,22.32M,1.83B,,,,,,,,,,,,,,,0.00%,,,1:10,"Jan 07, 2014","May 30, 2014","Feb 27, 2015",0.00%,0.00%,,,,,,,-4.57M,-17.18M,-0.0670,,73,0,1.4M,,0.00,-0.01,-1.66M,,Value,91505,Communication Services,3,"il2m International Corp. operates as a music entertainment and social media company. The company develops, creates, and markets Ilink2music.com, a social media platform that allows users to unify their personal digital-mobile lifestyle while simultaneously providing exclusive international music entertainment content, networking, events, products, and services. Its platform enables the user to create a profile in the music entertainment zone that displays his/her talents or expertise. The company is based in Burbank, California.",Burbank,818-953-7585,CA,United States,http://www.ilink2music.com,86400,3500 West Olive Avenue,Internet Content & Information,Suite 810
t-1,ILIM,-3564124.0,1831760000,,,-894739,,-894739,380981,0,-380981,-380981,,-211758,,,,0,0,380981,0,-513758,,-894739,-894739,4735191.0,3636138.0,-3564124.0,2034706.0,72014.0,20743.0,-8310683.0,-9375.0,34854.0,198.0,3600374.0,-9375.0,36962.0,198.0,176803.0,35764.0,,8759.0,-16544.0,-76882.0,-204339.0,4802.0,481625.0,127166.0,127166.0,291.0,,,-3600176.0,en-US,US,EQUITY,False,Delayed Quote,PRE,USD,PNK,IL2M INTERNATIONAL CORP,us_market,4,Other OTC,IL2M International Corp,USD,28180280,22323280,0.0025,25.0,1.0E-4 - 0.0046,-0.002,-0.43478262,0.0001,0.0046,-0.067,0,-0.007,0.00317,-0.0005699999,-0.1798107,0.0016134266,0.0009865734,0.6114771,4762576,-0.37142855,15,America/New_York,EDT,-14400000,False,False,0.0,0.0023 - 0.0028,0.0026,0.0,0.0,0,0,finmb_254776501,0.0026,1630526385,0.0,0.0026,0.0028,0.0023,10122876,19.28,,,0.0046,0.0001,0.0032,0.0016,28.18M,22.32M,1.83B,,,,,,,,,,,,,,,0.00%,,,1:10,"Jan 07, 2014","May 30, 2014","Feb 27, 2015",0.00%,0.00%,,,,,,,-4.57M,-17.18M,-0.0670,,73,0,1.4M,,0.00,-0.01,-1.66M,,Value,91505,Communication Services,3,"il2m International Corp. operates as a music entertainment and social media company. The company develops, creates, and markets Ilink2music.com, a social media platform that allows users to unify their personal digital-mobile lifestyle while simultaneously providing exclusive international music entertainment content, networking, events, products, and services. Its platform enables the user to create a profile in the music entertainment zone that displays his/her talents or expertise. The company is based in Burbank, California.",Burbank,818-953-7585,CA,United States,http://www.ilink2music.com,86400,3500 West Olive Avenue,Internet Content & Information,Suite 810
t-2,ILIM,-2857010.0,1831760000,,,10087894,,10087894,448184,0,-448184,-448184,,-150112,,,,0,0,448184,0,10536078,,10087894,10087894,4540238.0,3027316.0,-2857010.0,1731508.0,170306.0,18696.0,-7415944.0,,51462.0,77080.0,2990354.0,,41764.0,77080.0,59509.0,36962.0,35394.0,-72225.0,13421.0,76246.0,-253919.0,4802.0,-10415062.0,330456.0,330456.0,-291.0,,,-2913274.0,en-US,US,EQUITY,False,Delayed Quote,PRE,USD,PNK,IL2M INTERNATIONAL CORP,us_market,4,Other OTC,IL2M International Corp,USD,28180280,22323280,0.0025,25.0,1.0E-4 - 0.0046,-0.002,-0.43478262,0.0001,0.0046,-0.067,0,-0.007,0.00317,-0.0005699999,-0.1798107,0.0016134266,0.0009865734,0.6114771,4762576,-0.37142855,15,America/New_York,EDT,-14400000,False,False,0.0,0.0023 - 0.0028,0.0026,0.0,0.0,0,0,finmb_254776501,0.0026,1630526385,0.0,0.0026,0.0028,0.0023,10122876,19.28,,,0.0046,0.0001,0.0032,0.0016,28.18M,22.32M,1.83B,,,,,,,,,,,,,,,0.00%,,,1:10,"Jan 07, 2014","May 30, 2014","Feb 27, 2015",0.00%,0.00%,,,,,,,-4.57M,-17.18M,-0.0670,,73,0,1.4M,,0.00,-0.01,-1.66M,,Value,91505,Communication Services,3,"il2m International Corp. operates as a music entertainment and social media company. The company develops, creates, and markets Ilink2music.com, a social media platform that allows users to unify their personal digital-mobile lifestyle while simultaneously providing exclusive international music entertainment content, networking, events, products, and services. Its platform enables the user to create a profile in the music entertainment zone that displays his/her talents or expertise. The company is based in Burbank, California.",Burbank,818-953-7585,CA,United States,http://www.ilink2music.com,86400,3500 West Olive Avenue,Internet Content & Information,Suite 810
t-3,ILIM,-13420891.0,1831760000,,,-26248106,,-26248106,2896605,0,-3242399,-3242399,,-1377151,,,,0,0,3242399,0,-23005708,,-26248106,-26248106,4064896.0,13499903.0,-13420891.0,12137798.0,79012.0,18051.0,-17503838.0,,31612.0,834.0,13461514.0,,46566.0,834.0,240269.0,38389.0,2242.0,299766.0,-17601.0,1430.0,-1201512.0,6049.0,23405805.0,1269466.0,1269466.0,-291.0,-66524.0,-66524.0,-13460680.0,en-US,US,EQUITY,False,Delayed Quote,PRE,USD,PNK,IL2M INTERNATIONAL CORP,us_market,4,Other OTC,IL2M International Corp,USD,28180280,22323280,0.0025,25.0,1.0E-4 - 0.0046,-0.002,-0.43478262,0.0001,0.0046,-0.067,0,-0.007,0.00317,-0.0005699999,-0.1798107,0.0016134266,0.0009865734,0.6114771,4762576,-0.37142855,15,America/New_York,EDT,-14400000,False,False,0.0,0.0023 - 0.0028,0.0026,0.0,0.0,0,0,finmb_254776501,0.0026,1630526385,0.0,0.0026,0.0028,0.0023,10122876,19.28,,,0.0046,0.0001,0.0032,0.0016,28.18M,22.32M,1.83B,,,,,,,,,,,,,,,0.00%,,,1:10,"Jan 07, 2014","May 30, 2014","Feb 27, 2015",0.00%,0.00%,,,,,,,-4.57M,-17.18M,-0.0670,,73,0,1.4M,,0.00,-0.01,-1.66M,,Value,91505,Communication Services,3,"il2m International Corp. operates as a music entertainment and social media company. The company develops, creates, and markets Ilink2music.com, a social media platform that allows users to unify their personal digital-mobile lifestyle while simultaneously providing exclusive international music entertainment content, networking, events, products, and services. Its platform enables the user to create a profile in the music entertainment zone that displays his/her talents or expertise. The company is based in Burbank, California.",Burbank,818-953-7585,CA,United States,http://www.ilink2music.com,86400,3500 West Olive Avenue,Internet Content & Information,Suite 810
