Period,symbol,NAV,sharesOutstanding,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,totalLiab,totalStockholderEquity,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,changeToLiabilities,totalCashflowsFromInvestingActivities,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,changeInCash,totalCashFromOperatingActivities,changeToAccountReceivables,changeToNetincome,capitalExpenditures,netBorrowings,investments,repurchaseOfStock,otherCashflowsFromFinancingActivities,WC,language,region,quoteType,triggerable,quoteSourceName,regularMarketPrice,regularMarketTime,regularMarketChange,regularMarketOpen,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceToBook,sourceInterval,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,currency,priceHint,shortName,exchange,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,exchangeDataDelayedBy,messageBoardId,fullExchangeName,longName,financialCurrency,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,epsTrailingTwelveMonths,marketState,regularMarketChangePercent,regularMarketDayRange,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Implied Shares Outstanding 6,Float,% Held by Insiders 1,% Held by Institutions 1,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),index,zip,sector,longBusinessSummary,city,phone,state,compensationAsOfEpochDate,country,website,maxAge,address1,fax,industry,address2
t0,KCCFF,11851736.0,95442496,,,-917256,,-917256,247667,0,-323048,-323048,,-904705,,,,0,0,323048,0,-594208,,-917256,-917256,2374.0,36380338.0,11854110.0,48234448.0,43457462.0,262275.0,-37688895.0,9106000.0,6085543.0,257013.0,923725.0,3041404.0,1704643.0,6085543.0,46235905.0,1639156.0,100000.0,240000.0,30299.0,24232934.0,108838.0,16532.0,-218466.0,25000.0,-265865.0,25000.0,-716321.0,-522855.0,-14751.0,655671.0,-218466.0,,,,,-1402248.0,en-US,US,EQUITY,False,Delayed Quote,0.4768,1630522201,0.014799982,0.47219,0.4768,0.456115,6350,0.012230426,0.02632636,45506980,3.1999998,15,America/New_York,EDT,-14400000,False,False,USD,4,KUTCHO COPPER CORP,PNK,0.149,0.52364284,-0.046842843,-0.08945572,0.46456957,0,finmb_3162382,Other OTC,Kutcho Copper Corp.,CAD,31009,4171,0.3438,2.5849624,0.133 - 4.09,-3.6132002,-0.883423,0.133,4.09,1493596800,-0.045,PRE,3.2034595,0.456115 - 0.4768,0.462,0.0,0.0,0,0,us_market,2.9,,,4.09,0.133,0.5236,0.4646,31.01k,4.17k,95.44M,,65.43M,18.13%,0.00%,,,,,,,,,,,0.00%,"Apr 30, 2017",,1:2,"Apr 30, 2017","Apr 29, 2020","Jan 30, 2021",0.00%,0.00%,-1.66%,-31.92%,,,,-10.38k,-1.24M,-4.02M,-0.0450,,1.16M,0.01,27.17M,229.16,0.54,0.15,-1.51M,-1.17M,Value,V6E 2Y3,Basic Materials,"Kutcho Copper Corp., a resource development company, focuses on expanding and developing the Kutcho copper-zinc-gold-silver project (Kutcho Project). Its Kutcho project consists of 1 mining lease and 55 mineral exploration claims covering an area of 24,233 hectares located in northern British Columbia. The company was formerly known as Desert Star Resources Ltd. and changed its name to Kutcho Copper Corp. in December 2017. Kutcho Copper Corp. is headquartered in Vancouver, Canada.",Vancouver,604 628 5623,BC,1609372800,Canada,http://kutcho.ca,86400,1030 West Georgia Street,604 647 6613,Other Industrial Metals & Mining,Suite 717
t-1,KCCFF,12668611.0,95442496,,,-1129933,,-1129933,205467,0,-486702,-486702,,-881195,,,,0,0,486702,0,-643231,,-1129933,-1129933,5188.0,35751886.0,12673799.0,48425685.0,43432462.0,262275.0,-36771639.0,9482600.0,6012976.0,160000.0,1640046.0,8490.0,,6012976.0,45933623.0,2226874.0,100000.0,295000.0,15548.0,26260796.0,8490.0,-118320.0,-136607.0,2252826.0,-248257.0,2092826.0,1523472.0,-592747.0,274.0,900676.0,-136607.0,160000.0,,,,2218384.0,en-US,US,EQUITY,False,Delayed Quote,0.4768,1630522201,0.014799982,0.47219,0.4768,0.456115,6350,0.012230426,0.02632636,45506980,3.1999998,15,America/New_York,EDT,-14400000,False,False,USD,4,KUTCHO COPPER CORP,PNK,0.149,0.52364284,-0.046842843,-0.08945572,0.46456957,0,finmb_3162382,Other OTC,Kutcho Copper Corp.,CAD,31009,4171,0.3438,2.5849624,0.133 - 4.09,-3.6132002,-0.883423,0.133,4.09,1493596800,-0.045,PRE,3.2034595,0.456115 - 0.4768,0.462,0.0,0.0,0,0,us_market,2.9,,,4.09,0.133,0.5236,0.4646,31.01k,4.17k,95.44M,,65.43M,18.13%,0.00%,,,,,,,,,,,0.00%,"Apr 30, 2017",,1:2,"Apr 30, 2017","Apr 29, 2020","Jan 30, 2021",0.00%,0.00%,-1.66%,-31.92%,,,,-10.38k,-1.24M,-4.02M,-0.0450,,1.16M,0.01,27.17M,229.16,0.54,0.15,-1.51M,-1.17M,Value,V6E 2Y3,Basic Materials,"Kutcho Copper Corp., a resource development company, focuses on expanding and developing the Kutcho copper-zinc-gold-silver project (Kutcho Project). Its Kutcho project consists of 1 mining lease and 55 mineral exploration claims covering an area of 24,233 hectares located in northern British Columbia. The company was formerly known as Desert Star Resources Ltd. and changed its name to Kutcho Copper Corp. in December 2017. Kutcho Copper Corp. is headquartered in Vancouver, Canada.",Vancouver,604 628 5623,BC,1609372800,Canada,http://kutcho.ca,86400,1030 West Georgia Street,604 647 6613,Other Industrial Metals & Mining,Suite 717
t-2,KCCFF,11424483.0,95442496,,,-558007,,-558007,179217,0,-204456,-204456,,-818268,,,,0,0,204456,0,-353551,,-558007,-558007,8001.0,34932621.0,11432484.0,46365105.0,41403705.0,,-35641706.0,9542800.0,5670485.0,160000.0,116574.0,1350413.0,243135.0,5670485.0,45829185.0,267919.0,100000.0,107500.0,15822.0,24039408.0,68979.0,-42529.0,-86494.0,150000.0,11439.0,2092826.0,-149200.0,-212706.0,2084.0,371493.0,-111494.0,150000.0,25000.0,,,-1082494.0,en-US,US,EQUITY,False,Delayed Quote,0.4768,1630522201,0.014799982,0.47219,0.4768,0.456115,6350,0.012230426,0.02632636,45506980,3.1999998,15,America/New_York,EDT,-14400000,False,False,USD,4,KUTCHO COPPER CORP,PNK,0.149,0.52364284,-0.046842843,-0.08945572,0.46456957,0,finmb_3162382,Other OTC,Kutcho Copper Corp.,CAD,31009,4171,0.3438,2.5849624,0.133 - 4.09,-3.6132002,-0.883423,0.133,4.09,1493596800,-0.045,PRE,3.2034595,0.456115 - 0.4768,0.462,0.0,0.0,0,0,us_market,2.9,,,4.09,0.133,0.5236,0.4646,31.01k,4.17k,95.44M,,65.43M,18.13%,0.00%,,,,,,,,,,,0.00%,"Apr 30, 2017",,1:2,"Apr 30, 2017","Apr 29, 2020","Jan 30, 2021",0.00%,0.00%,-1.66%,-31.92%,,,,-10.38k,-1.24M,-4.02M,-0.0450,,1.16M,0.01,27.17M,229.16,0.54,0.15,-1.51M,-1.17M,Value,V6E 2Y3,Basic Materials,"Kutcho Copper Corp., a resource development company, focuses on expanding and developing the Kutcho copper-zinc-gold-silver project (Kutcho Project). Its Kutcho project consists of 1 mining lease and 55 mineral exploration claims covering an area of 24,233 hectares located in northern British Columbia. The company was formerly known as Desert Star Resources Ltd. and changed its name to Kutcho Copper Corp. in December 2017. Kutcho Copper Corp. is headquartered in Vancouver, Canada.",Vancouver,604 628 5623,BC,1609372800,Canada,http://kutcho.ca,86400,1030 West Georgia Street,604 647 6613,Other Industrial Metals & Mining,Suite 717
t-3,KCCFF,11957251.0,95442496,,,-1417066,,-1417066,329425,0,-255022,-255022,,-761321,,,,0,0,255022,0,-1162044,,-1417066,-1417066,10815.0,34349821.0,11968066.0,46317887.0,41403705.0,,-35083699.0,9897000.0,5648060.0,160000.0,265774.0,1837962.0,882969.0,5648060.0,45706430.0,340642.0,100000.0,17500.0,17906.0,22614859.0,190247.0,29691.0,1261940.0,-883008.0,15855.0,2092826.0,192918.0,-186014.0,13982.0,1328175.0,1236940.0,-883008.0,25000.0,-40156.0,40156.0,-1497320.0,en-US,US,EQUITY,False,Delayed Quote,0.4768,1630522201,0.014799982,0.47219,0.4768,0.456115,6350,0.012230426,0.02632636,45506980,3.1999998,15,America/New_York,EDT,-14400000,False,False,USD,4,KUTCHO COPPER CORP,PNK,0.149,0.52364284,-0.046842843,-0.08945572,0.46456957,0,finmb_3162382,Other OTC,Kutcho Copper Corp.,CAD,31009,4171,0.3438,2.5849624,0.133 - 4.09,-3.6132002,-0.883423,0.133,4.09,1493596800,-0.045,PRE,3.2034595,0.456115 - 0.4768,0.462,0.0,0.0,0,0,us_market,2.9,,,4.09,0.133,0.5236,0.4646,31.01k,4.17k,95.44M,,65.43M,18.13%,0.00%,,,,,,,,,,,0.00%,"Apr 30, 2017",,1:2,"Apr 30, 2017","Apr 29, 2020","Jan 30, 2021",0.00%,0.00%,-1.66%,-31.92%,,,,-10.38k,-1.24M,-4.02M,-0.0450,,1.16M,0.01,27.17M,229.16,0.54,0.15,-1.51M,-1.17M,Value,V6E 2Y3,Basic Materials,"Kutcho Copper Corp., a resource development company, focuses on expanding and developing the Kutcho copper-zinc-gold-silver project (Kutcho Project). Its Kutcho project consists of 1 mining lease and 55 mineral exploration claims covering an area of 24,233 hectares located in northern British Columbia. The company was formerly known as Desert Star Resources Ltd. and changed its name to Kutcho Copper Corp. in December 2017. Kutcho Copper Corp. is headquartered in Vancouver, Canada.",Vancouver,604 628 5623,BC,1609372800,Canada,http://kutcho.ca,86400,1030 West Georgia Street,604 647 6613,Other Industrial Metals & Mining,Suite 717
